,third_level,Sold_AfterDays,CountEntity,Rank_Sold_AfterDays,Rank_CountEntity,Score
7,"Lighting columns, brackets and bollards",25.677083333333332,96,6.0,2.0,8.0
4,Glass blocks and panels,40.416058394160586,137,9.0,1.0,10.0
2,Masonry walling units,16.666666666666668,9,2.0,11.0,13.0
18,Shaft-lining products,17.083333333333332,12,3.0,10.0,13.0
12,Space heating and cooling products,8.428571428571429,7,1.0,13.0,14.0
1,Other,42.104651162790695,86,11.0,4.0,15.0
10,Furnishings,44.45652173913044,92,12.0,3.0,15.0
0,Walling units,33.38461538461539,26,8.0,8.0,16.0
11,"Non-rigid sheet, mat and strip covering and finish products",22.428571428571427,7,4.0,13.0,17.0
8,"Floor plates, gratings and edgings",48.855421686746986,83,13.0,5.0,18.0
23,Power and lighting outlet products,41.84615384615385,26,10.0,8.0,18.0
14,Handrails,30.125,8,7.0,12.0,19.0
6,Sanitary fittings and accessories,49.11764705882353,51,14.0,6.0,20.0
17,Wire structure and general products,24.333333333333332,6,5.0,15.0,20.0
24,Headwall and swale inlet products,50.90909090909091,33,15.0,7.0,22.0
