,third_level,SoldAfterDays,CountEntity,Rank_SoldAfterDays,Rank_CountEntity,Score
1,Glass blocks and panels,74.13464447806354,661,3.0,2.0,5.0
8,Sanitary fittings and accessories,92.28498985801217,986,5.0,1.0,6.0
21,Space heating and cooling products,35.8348623853211,109,1.0,7.0,8.0
0,Furnishings,78.98058252427184,103,4.0,8.0,12.0
2,Safety cages,98.19713261648745,279,7.0,6.0,13.0
4,Walling units,100.62025316455696,79,8.0,9.0,17.0
7,Other,112.9205298013245,302,16.0,4.0,20.0
20,Wire structure and general products,96.58333333333333,36,6.0,15.0,21.0
22,Power and lighting outlet products,64.78947368421052,19,2.0,20.0,22.0
18,Shaft-lining products,105.375,40,10.0,14.0,24.0
9,Handrails,108.60714285714286,56,13.0,12.0,25.0
3,"Lighting columns, brackets and bollards",136.52739726027397,438,23.0,3.0,26.0
16,Unit covering and finish products,105.44444444444444,36,11.0,15.0,26.0
6,"Floor plates, gratings and edgings",129.30743243243242,296,22.0,5.0,27.0
13,Masonry walling units,112.5625,48,15.0,13.0,28.0
5,Structural roofing units,114.0,57,17.0,11.0,28.0
17,Trim products,124.26315789473684,76,21.0,10.0,31.0
15,Treads and landing units,111.45454545454545,33,14.0,17.0,31.0
10,Support and restraint products,103.7,10,9.0,24.0,33.0
24,"Non-rigid sheet, mat and strip covering and finish products",108.0,17,12.0,21.0,33.0
11,Prefabricated buildings and structures,118.6923076923077,26,19.0,18.0,37.0
26,Structural units,118.54545454545455,11,18.0,22.0,40.0
19,Structure and general products,122.0,11,20.0,22.0,42.0
14,Headwall and swale inlet products,140.52380952380952,21,24.0,19.0,43.0
25,Sectional products,160.28571428571428,7,25.0,25.0,50.0
