,Code,SoldAfterDays,CountEntity,Rank_SoldAfterDays,Rank_CountEntity,Score
315,Refrigerators,54.65384615384615,78,14.0,18.0,32.0
485,Wood panelled door leaves,37.36666666666667,60,6.0,26.0,32.0
84,Reclining chairs,92.35555555555555,90,35.0,14.0,49.0
627,Dishwashers,35.77272727272727,22,5.0,53.0,58.0
102,Aluminium skirtings,53.851851851851855,27,12.0,47.0,59.0
108,Bureaux,92.75806451612904,62,36.0,24.0,60.0
324,Dish and utensil washers,43.857142857142854,21,8.0,55.0,63.0
0,Occasional tables,112.375,80,51.0,17.0,68.0
80,Window walls,117.1747572815534,103,60.0,12.0,72.0
559,Fridge-freezers,35.4375,16,4.0,68.0,72.0
353,Aluminium shutters,38.8235294117647,17,7.0,66.0,73.0
35,Soffit grilles,95.5945945945946,37,38.0,37.0,75.0
77,Pedestal washbasins,113.45588235294117,68,54.0,21.0,75.0
279,Domestic cooking equipment,58.8421052631579,19,16.0,62.0,78.0
241,Kitchenette units,87.91304347826087,23,30.0,51.0,81.0
269,Bathroom cabinets,67.5,16,18.0,68.0,86.0
281,Wash troughs,100.53333333333333,30,42.0,45.0,87.0
469,Glazed structures,44.785714285714285,14,9.0,79.0,88.0
373,Wood window walls,86.15789473684211,19,27.0,62.0,89.0
233,Stone tiles,78.33333333333333,15,21.0,73.0,94.0
546,Electrochromic glass,89.0,16,32.0,68.0,100.0
79,Sprinklers,134.1846153846154,65,78.0,23.0,101.0
4,Water heaters,145.96527777777777,144,95.0,6.0,101.0
28,Sliding shutter doorsets,149.88819875776397,161,98.0,4.0,102.0
142,Grommets,134.34426229508196,61,79.0,25.0,104.0
678,Fishwashers,49.63636363636363,11,11.0,94.0,105.0
27,Trellises,148.84745762711864,118,96.0,10.0,106.0
136,Glassware,124.28125,32,66.0,41.0,107.0
90,Wood skirtings,135.48979591836735,49,80.0,29.0,109.0
64,Paging consoles,125.7741935483871,31,68.0,42.0,110.0
468,Special lamps,83.46153846153847,13,26.0,84.0,110.0
6,Pendant luminaires,157.65919282511211,223,107.0,3.0,110.0
146,Lamps,128.94594594594594,37,74.0,37.0,111.0
5,Double slips,150.17171717171718,99,99.0,13.0,112.0
37,Sedge,155.7537313432836,134,106.0,7.0,113.0
439,Cabinet and countertop hinges,80.27272727272727,11,23.0,94.0,117.0
16,Arrises,165.6878612716763,519,117.0,1.0,118.0
422,Ceramic tiles,45.4,10,10.0,108.0,118.0
355,Door frames and leaves,88.5,12,31.0,87.0,118.0
24,Lacquers,163.95238095238096,147,114.0,5.0,119.0
335,Double window steam sight glasses,98.35714285714286,14,40.0,79.0,119.0
107,Stair trims,144.0,59,93.0,27.0,120.0
639,Machine parts cleaning washer units,33.333333333333336,9,3.0,117.0,120.0
26,Murals,154.7159090909091,88,105.0,16.0,121.0
43,Door hinges,162.928,125,113.0,8.0,121.0
52,Acoustic batten cradles,86.27272727272727,11,28.0,94.0,122.0
2,Pliable conduit,170.5945205479452,365,123.0,2.0,125.0
185,WC pans,128.9047619047619,21,73.0,55.0,128.0
176,Desks,136.03703703703704,27,81.0,47.0,128.0
557,Microwave ovens,54.22222222222222,9,13.0,117.0,130.0
325,Equipment heaters,102.66666666666667,12,43.0,87.0,130.0
30,Vanity and washroom furniture,115.46666666666667,15,58.0,73.0,131.0
3,Glass fins,145.05714285714285,35,94.0,39.0,133.0
