,Unnamed: 0.1,Unnamed: 0,ID,Title,Weight,Weight_Units,Product_Units,Description,Category,URL,Imagefile,Initial_Price,Latest_Price,Initial_Stock,Stock_Now,Condition,Dates_Available,Material,Dimensions,Technical,Collection,Last_Up_On,Price_Change,Quantity_Change,Date,Country,Store,Language,Sold,Sold_After,material,dim,quantity_n,material_emb,Belgium_Raw,Belgium_Code,first_level,second_level,third_level,SoldAfterDays
63,63,63,999FLO161,White marble tiles xcm,50.0,kg,m2,"
White marble floor tiles. Sold per square meter. Dimensions (may have slight variations of +/- 0.5 cm) :Height: 40 cmLength: 40 cmThickness: 2 cmGood used condition. May have scratches and small damages along the edges. The joints have not been cleaned.   
",Floors,https://rotordc.com/shop/product/999flo161-white-marble-tiles-40x40cm-58845?category=34,,44.0,44.0,,,,,,,,,2022-08-06,0.0,,2022-08-02,BE,rotordc,fr,1,4.0,"{'score': 0.552272617816925, 'start': 1, 'end': 13, 'answer': 'White marble'}","{'score': 0.34140264987945557, 'start': 103, 'end': 141, 'answer': ' :Height: 40 cmLength: 40 cmThickness:'}","{'score': 0.25756824016571045, 'start': 26, 'end': 49, 'answer': '\xa0Sold per square meter.'}",Marble,Stone tiles,Pr_35_93_96_86,"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",4.0
64,64,64,999CLA874M1,Batch of white marble tiles,400.0,kg,pc,"
Various batches of white marble floor tiles with different qualities.Pallets :Model 1 (+/- 4,5 m2) : Used condition. May have a few damaged tiles. There are slight size variations from a tile to another. A bit dusty, needs to be cleaned. 10 tiles of +/- 100 x 50 x 2 cmModel 2 (+/- 5,1 m2) : Used condition. May have a few damaged tiles. There are slight size variations from a tile to another. A bit dusty, needs to be cleaned. 10 tiles of +/- 110 x 55 x 2 cmModel 4 (+/- 6,6 m2) : Used condition. May have a few damaged tiles. There are slight size variations from a tile to another. A bit dusty, needs to be cleaned. 20 tiles of +/- 60 x 60 x 2 cmModel 5 (+/- 5,84 m2) : Good used condition. There are slight size variations from a tile to another. A bit dusty, needs to be cleaned. 10 tiles of +/- 109 x 58 x 2 cmModel 6 (+/- 5,36 m2) : Good used condition. There are slight size variations from a tile to another. A bit dusty, needs to be cleaned. 10 tiles of +/- 99 x 57 x 2 cmModel 7 (+/- 4,87 m2) :Good used condition. There are slight size variations from a tile to another. A bit dusty, needs to be cleaned. 10 tiles of +/- 99 x 49.5 x 2 cmModel 8 (+/- 4,5 m2) : Used condition. May have a few damaged tiles. There are slight size variations from a tile to another. A bit dusty, needs to be cleaned. 10 tiles of +/- 99 x 50 x 2 cmModel 9 (+/- 5,5 m2) : Used condition. May have a few damaged tiles. There are slight size variations from a tile to another. A bit dusty, needs to be cleaned. 10 tiles of +/- 109 x 55.5 x 2 cmModel 10 (+/- 4,5 m2) : Used condition. May have a few damaged tiles. There are slight size variations from a tile to another. A bit dusty, needs to be cleaned. 10 tiles of +/- 99 x 50 x 2 cm Please note! We advise customers to come at our physical shop and see those products before buying.
",Floors,https://rotordc.com/shop/product/batch-of-white-marble-tiles-58844?category=34,,289.0,289.0,,,,,,,,,2022-08-06,0.0,,2022-08-02,BE,rotordc,fr,1,4.0,"{'score': 0.48233121633529663, 'start': 19, 'end': 32, 'answer': ' white marble'}","{'score': 0.06613535434007645, 'start': 1500, 'end': 1539, 'answer': ' 10 tiles of\xa0+/- 109 x 55.5 x 2 cmModel'}","{'score': 0.5534764528274536, 'start': 59, 'end': 77, 'answer': ' qualities.Pallets'}",Marble,Stone tiles,Pr_35_93_96_86,"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",4.0
68,68,68,112CLA001,Tiles in grey granite,47.0,kg,m2,"
Dimensions: L 60 cm x W 30 cm x H 2 cm.

price per sqm

Condition: very good. All cement has been removed on the back. A thing layer of cement is still present on the sides.
",Floors,https://rotordc.com/shop/product/112cla001-tiles-in-grey-granite-36588?page=2&category=34,,29.0,29.0,,,,,,,,,,0.0,,2022-08-02,BE,rotordc,fr,0,,"{'score': 0.09174303710460663, 'start': 82, 'end': 89, 'answer': ' cement'}","{'score': 0.6685248613357544, 'start': 12, 'end': 40, 'answer': ' L 60 cm x W 30 cm x H 2 cm.'}","{'score': 0.03391854092478752, 'start': 41, 'end': 55, 'answer': '\nprice per sqm'}",Marble,Stone tiles,Pr_35_93_96_86,"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",
831,831,831,999FLO998,Batch of marble tiles +/- m,200.0,kg,pc,"
Batch of 8 white marble tiles.Dimensions: Widthfrom 32 to 57,5 cmLengthfrom 47 to 108,5 cmThickness2,1 cmGood used conditions. There might be some chipped corners. Dusty, needs to be cleaned.
",Floors,https://rotordc.com/shop/product/999flo998-batch-of-marble-tiles-2-m2-59839?category=34,"['59839_9063d5b.png', '10991_bfe3636.png', '10992_bfe3636.png', '10993_bfe3636.png']",139.0,139.0,,,,,,,,,2022-10-28,0.0,,2022-10-28,BE,rotordc,fr,1,0.0,"{'score': 0.15921328961849213, 'start': 11, 'end': 24, 'answer': ' white marble'}","{'score': 0.4105251431465149, 'start': 42, 'end': 103, 'answer': '\xa0Widthfrom 32 to 57,5 cmLengthfrom 47 to 108,5 cmThickness2,1'}","{'score': 0.4075342118740082, 'start': 9, 'end': 11, 'answer': ' 8'}",Marble,Stone tiles,Pr_35_93_96_86,"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",0.0
832,832,832,999FLO997,"Batch of marble tiles +/- , m",405.0,kg,pc,"
Batch of 12 white marble tiles.Dimensions: Widthfrom 59,7 to 75,5 cmLengthfrom 50 to 79 cmThickness2,1 cmGood used conditions. There might be some chipped corners. Dusty, needs to be cleaned.
",Floors,https://rotordc.com/shop/product/999flo997-batch-of-marble-tiles-5-2-m2-59838?category=34,"['59838_f6c65bf.png', '10988_3594a3d.png', '10989_3594a3d.png', '10990_3594a3d.png']",519.0,519.0,,,,,,,,,2022-12-26,0.0,,2022-10-28,BE,rotordc,fr,1,59.0,"{'score': 0.1807912439107895, 'start': 12, 'end': 25, 'answer': ' white marble'}","{'score': 0.4124325215816498, 'start': 43, 'end': 79, 'answer': '\xa0Widthfrom 59,7 to 75,5 cmLengthfrom'}","{'score': 0.41922131180763245, 'start': 9, 'end': 12, 'answer': ' 12'}",Marble,Stone tiles,Pr_35_93_96_86,"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",59.0
833,833,833,999FLO996,"Batch of marble tiles +/- , m",490.0,kg,pc,"
Batch of 18 white marble tiles. The batch is stored on two pallets.Dimensions: Widthfrom 45,5 to 70 cmLengthfrom 50 to 109 cmThickness2,1 cmGood used conditions. There might be some chipped corners. Dusty, needs to be cleaned. 
",Floors,https://rotordc.com/shop/product/999flo996-batch-of-marble-tiles-6-5-m2-59837?category=34,"['59837_65cdb91.png', '10985_4bb22ce.png', '10986_4bb22ce.png', '10987_4bb22ce.png']",649.0,649.0,,,,,,,,,2022-12-26,0.0,,2022-10-28,BE,rotordc,fr,1,59.0,"{'score': 0.20958194136619568, 'start': 12, 'end': 25, 'answer': ' white marble'}","{'score': 0.3736034631729126, 'start': 79, 'end': 138, 'answer': '\xa0Widthfrom 45,5 to 70 cmLengthfrom 50 to 109 cmThickness2,1'}","{'score': 0.43833789229393005, 'start': 9, 'end': 32, 'answer': ' 18 white marble tiles.'}",Marble,Stone tiles,Pr_35_93_96_86,"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",59.0
834,834,834,999FLO995,Batch of marble tiles +/- m,400.0,kg,pc,"
Batch of 8 white marble tiles.Dimensions: Widthfrom 63,5 to 70 cmLengthfrom 98,5 to 109 cmThickness2,1 cmGood used conditions. There might be some chipped corners. Dusty, needs to be cleaned.
",Floors,https://rotordc.com/shop/product/999flo995-batch-of-marble-tiles-5-m2-59836?category=34,"['59836_8f78ae7.png', '10982_14bcdd8.png', '10983_14bcdd8.png', '10984_14bcdd8.png']",499.0,499.0,,,,,,,,,2022-10-28,0.0,,2022-10-28,BE,rotordc,fr,1,0.0,"{'score': 0.15019723773002625, 'start': 11, 'end': 24, 'answer': ' white marble'}","{'score': 0.5121200680732727, 'start': 42, 'end': 103, 'answer': '\xa0Widthfrom 63,5 to 70 cmLengthfrom 98,5 to 109 cmThickness2,1'}","{'score': 0.4089471399784088, 'start': 9, 'end': 42, 'answer': ' 8 white marble tiles.Dimensions:'}",Marble,Stone tiles,Pr_35_93_96_86,"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",0.0
835,835,835,999FLO994,"Batch of marble tiles +/- , m",420.0,kg,pc,"
Batch of 10 white marble tiles.Dimensions: Widthfrom 57 to 57,5 cmLengthfrom 99 to 108,5 cmThickness2,1 cmGood used conditions. There might be some chipped corners. Dusty, needs to be cleaned.
",Floors,https://rotordc.com/shop/product/999flo994-batch-of-marble-tiles-5-87-m2-59814?category=34,"['59814_d1fd887.png', '10876_b3eab6a.png', '10877_b3eab6a.png', '10878_b3eab6a.png', '10879_b3eab6a.png']",579.0,579.0,,,,,,,,,2022-12-26,0.0,,2022-10-28,BE,rotordc,fr,1,59.0,"{'score': 0.16055728495121002, 'start': 12, 'end': 25, 'answer': ' white marble'}","{'score': 0.40681418776512146, 'start': 43, 'end': 104, 'answer': '\xa0Widthfrom 57 to 57,5 cmLengthfrom 99 to 108,5 cmThickness2,1'}","{'score': 0.4819026291370392, 'start': 9, 'end': 12, 'answer': ' 10'}",Marble,Stone tiles,Pr_35_93_96_86,"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",59.0
836,836,836,999FLO993,Batch of marble tiles +/- m,430.0,kg,pc,"
Batch of 10 white marble tiles.Dimensions: Widthfrom 45 to 70,4 cmLengthfrom 100,5 to 109 cmThickness2,1 cmGood used conditions. There might be some chipped corners. Dusty, needs to be cleaned.
",Floors,https://rotordc.com/shop/product/999flo993-batch-of-marble-tiles-6-m2-59813?category=34,"['59813_8278f8f.png', '10872_c8dd3b2.png', '10873_c8dd3b2.png', '10874_c8dd3b2.png', '10875_c8dd3b2.png']",599.0,599.0,,,,,,,,,2022-12-26,0.0,,2022-10-28,BE,rotordc,fr,1,59.0,"{'score': 0.16717927157878876, 'start': 12, 'end': 25, 'answer': ' white marble'}","{'score': 0.4271255433559418, 'start': 43, 'end': 77, 'answer': '\xa0Widthfrom 45 to 70,4 cmLengthfrom'}","{'score': 0.4348887801170349, 'start': 9, 'end': 12, 'answer': ' 10'}",Marble,Stone tiles,Pr_35_93_96_86,"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",59.0
837,837,837,999FLO992,"Batch of marble tiles +/- , m",420.0,kg,pc,"
Batch of  20 white marble tiles.Dimensions: Widthfrom 63,2 to 63,5 cmLengthfrom 44 to 50 cmThickness2,1 cmGood used conditions. There might be some chipped corners. Dusty, needs to be cleaned.
",Floors,https://rotordc.com/shop/product/999flo992-batch-of-marble-tiles-5-82-m2-59812?category=34,"['59812_ed03450.png', '10869_3fb1db7.png', '10870_3fb1db7.png', '10871_3fb1db7.png']",579.0,579.0,,,,,,,,,2022-12-26,0.0,,2022-10-28,BE,rotordc,fr,1,59.0,"{'score': 0.13801655173301697, 'start': 13, 'end': 26, 'answer': ' white marble'}","{'score': 0.45448386669158936, 'start': 44, 'end': 80, 'answer': '\xa0Widthfrom 63,2 to 63,5 cmLengthfrom'}","{'score': 0.4784538149833679, 'start': 10, 'end': 13, 'answer': '\xa020'}",Marble,Stone tiles,Pr_35_93_96_86,"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",59.0
