,ID,Title,Weight,Weight_Units,Product_Units,Description,Category,URL,Imagefile,Initial_Price,Latest_Price,Initial_Stock,Stock_Now,Condition,Dates_Available,Material,Dimensions,Technical,Collection,Last_Up_On,Price_Change,Quantity_Change,Date,Country,Store,Language,Sold,Sold_After,material,dim,quantity_n,material_emb,Belgium_Raw,Belgium_Code,first_level,second_level,third_level,quantity_score,Length,Width,Height,SoldAfterDays
632,901WOO018,Laminated birch plywood board,5.5,kg,pc,"
Laminated birch plywood board with wood imitation.  Dimensions :Length : 122 cmWidth : 28 cmThickness : 2 cmGood used condition. May have small scratches on the plywood. Please note there are few screw holes at the back (see last image). A bit dusty, needs to be cleaned
",Wood,https://rotordc.com/shop/product/901woo018-laminated-birch-plywood-board-58878?category=50,,2.0,2.0,,,,,,,,,2022-12-26,0.0,,2022-08-02,BE,rotordc,fr,1,146.0,"{'score': 0.20713315904140472, 'start': 1, 'end': 30, 'answer': 'Laminated birch plywood board'}","{'score': 0.5451385974884033, 'start': 63, 'end': 85, 'answer': ' :Length : 122 cmWidth'}","{'score': 0.22213435173034668, 'start': 63, 'end': 85, 'answer': ' :Length : 122 cmWidth'}",Wood,Laminboard core plywoods,Pr_25_71_97_46,Furnishings,"Blocks, Panels, Fences, Bricks",Glass blocks and panels,0.22213435173034668,,,,146.0
634,901WOO006107,Laminated birch plywood table top,14.0,kg,panel,"
Laminated birch plywood boards with an unusual shape.One side is wood-print, back side is dark brown with a few screw holes and a few metallic inserts that can easily be removed.Two sizes:Model 1 = 107 cm x 141,5 cmModel 2 = 121 cm x 169,5 cmThickness: 20 mmGood used condition but some boards may be a bit more damaged than others, with scratches and imperfections. A bit dusty, needs to be cleaned.
",Wood,https://rotordc.com/shop/product/laminated-birch-plywood-table-top-58773?category=50,,10.0,10.0,,,,,,,,,2022-08-06,0.0,,2022-08-02,BE,rotordc,fr,1,4.0,"{'score': 0.3853349983692169, 'start': 1, 'end': 31, 'answer': 'Laminated birch plywood boards'}","{'score': 0.32913270592689514, 'start': 198, 'end': 221, 'answer': ' 107 cm x 141,5 cmModel'}","{'score': 0.00010637218656484038, 'start': 1, 'end': 31, 'answer': 'Laminated birch plywood boards'}",Wood,Laminboard core plywoods,Pr_25_71_97_46,Furnishings,Furnishings,Furnishings,0.00010637218656484038,,,,4.0
639,901WOO007,Laminated birch plywood x cm,12.0,kg,panel,"
Laminated birch plywood salvaged on office desks. Shape is a bit unusual with a slightly curved side and a hole (⌀ 8 cm). One side is wood print, back side is grey or blue with a few screw holes.

Dimensions: 120 cm x 120 cm
Thickness: 20 mm

Good used condition but some boards may be a bit more damaged than others, with scratches and imperfections. A bit dusty, needs to be cleaned.
",Wood,https://rotordc.com/shop/product/901woo007-laminated-birch-plywood-120-x-120-cm-36608?category=50,,7.0,5.0,,,,,,,,,,2.0,,2022-08-02,BE,rotordc,fr,0,,"{'score': 0.6779261827468872, 'start': 1, 'end': 24, 'answer': 'Laminated birch plywood'}","{'score': 0.9395257830619812, 'start': 209, 'end': 225, 'answer': ' 120 cm x 120 cm'}","{'score': 0.00012680533109232783, 'start': 209, 'end': 225, 'answer': ' 120 cm x 120 cm'}",Wood,Laminboard core plywoods,Pr_25_71_97_46,Other,"Floors, Ceiling","Non-rigid sheet, mat and strip covering and finish products",0.00012680533109232783,,,,
641,901WOO001,Laminated birch plywood * cm,13.0,kg,pc,"
Salvaged on office desks. Small imperfections, varnished edges.
One side grey, back side dark brown with a few screw holes.

Thickness: 19mm
",Wood,https://rotordc.com/shop/product/901woo001-laminated-birch-plywood-80-120cm-35170?category=50,,14.0,14.0,,,,,,,,,2022-08-06,0.0,,2022-08-02,BE,rotordc,fr,1,4.0,"{'score': 0.0326153002679348, 'start': 125, 'end': 141, 'answer': '\nThickness: 19mm'}","{'score': 1.0491790817468427e-05, 'start': 125, 'end': 141, 'answer': '\nThickness: 19mm'}","{'score': 1.6273907021968625e-06, 'start': 1, 'end': 26, 'answer': 'Salvaged on office desks.'}",Wood,Laminboard core plywoods,Pr_25_71_97_46,Other,"Floors, Ceiling","Non-rigid sheet, mat and strip covering and finish products",1.6273907021968625e-06,,,,4.0
642,901WOO003,Laminated birch plywood x cm,13.0,kg,panel,"
Laminated birch plywood salvaged on office desks. Shape is a bit unusual with a small notch on one side of the board. One side is off-white, back side is dark brown with a few screw holes. Dimensions: 80 cm x 120 cm Thickness: 20 mmGood used condition but some boards may be a bit more damaged than others, with scratches and imperfections. A bit dusty, needs to be cleaned.
",Wood,https://rotordc.com/shop/product/901woo003-laminated-birch-plywood-80-x-120-cm-59048?category=50,,17.5,17.0,,,,,,,,,2022-08-06,0.0,,2022-08-03,BE,rotordc,fr,1,3.0,"{'score': 0.6681634783744812, 'start': 1, 'end': 24, 'answer': 'Laminated birch plywood'}","{'score': 0.9264258146286011, 'start': 201, 'end': 216, 'answer': ' 80 cm x 120 cm'}","{'score': 0.00013618875527754426, 'start': 201, 'end': 216, 'answer': ' 80 cm x 120 cm'}",Wood,Laminboard core plywoods,Pr_25_71_97_46,Other,"Floors, Ceiling","Non-rigid sheet, mat and strip covering and finish products",0.00013618875527754426,,,,3.0
1187,901WOO006121,Laminated birch plywood table top,14.0,kg,panel,"
Laminated birch plywood boards with an unusual shape.One side is wood-print, back side is dark brown with a few screw holes and a few metallic inserts that can easily be removed.Two sizes:Model 1 = 107 cm x 141,5 cmModel 2 = 121 cm x 169,5 cmThickness: 20 mmGood used condition but some boards may be a bit more damaged than others, with scratches and imperfections. A bit dusty, needs to be cleaned.
",Wood,https://rotordc.com/shop/product/laminated-birch-plywood-table-top-58773?category=50,"['58773_143c2df.png', '7320_1247c79.png', '7321_1247c79.png', '7322_1247c79.png']",10.0,8.0,,,,,,,,,,2.0,,2022-10-28,BE,rotordc,fr,0,,"{'score': 0.3853349983692169, 'start': 1, 'end': 31, 'answer': 'Laminated birch plywood boards'}","{'score': 0.32913270592689514, 'start': 198, 'end': 221, 'answer': ' 107 cm x 141,5 cmModel'}","{'score': 0.00010637218656484038, 'start': 1, 'end': 31, 'answer': 'Laminated birch plywood boards'}",Wood,Laminboard core plywoods,Pr_25_71_97_46,Furnishings,Furnishings,Furnishings,0.00010637218656484038,,,,
1188,901WOO011,Laminated birch plywood x cm,14.0,kg,panel,"
Laminated birch plywood salvaged on office desks. Shape is a bit unusual with small notches on two sides of the board and a hole (⌀ 7cm) on each board. One side is off-white, back side is dark brown with a few screw holes.

Dimensions: 120 cm x 120 cm
Thickness: 20 mm

Good used condition but some boards may be a bit more damaged than others, with scratches and imperfections. A bit dusty, needs to be cleaned.
",Wood,https://rotordc.com/shop/product/901woo011-laminated-birch-plywood-120-x-120-cm-36609?category=50,"['36609_143c2df.png', '4248_92eaeaf.png', '4249_92eaeaf.png', '4250_92eaeaf.png']",9.0,6.0,,,,,,,,,,3.0,,2022-10-28,BE,rotordc,fr,0,,"{'score': 0.6670475006103516, 'start': 1, 'end': 24, 'answer': 'Laminated birch plywood'}","{'score': 0.9221010804176331, 'start': 236, 'end': 252, 'answer': ' 120 cm x 120 cm'}","{'score': 9.013568342197686e-05, 'start': 236, 'end': 252, 'answer': ' 120 cm x 120 cm'}",Wood,Laminboard core plywoods,Pr_25_71_97_46,Other,"Floors, Ceiling","Non-rigid sheet, mat and strip covering and finish products",9.013568342197686e-05,,,,
1310,901WOO016,Laminated birch plywood cm x cm,12.0,kg,pc,"
Laminated birch plywood salvaged on office desks. Shape is a bit unusual with two small notches on the sides. One side is off-white, back side is dark brown with a few screw holes.

Dimensions: 110 cm x 79 cm
Thickness: 20 mm

Good used condition but some boards may be a bit more damaged than others, with scratches and imperfections. A bit dusty, needs to be cleaned.
",Wood,https://rotordc.com/shop/product/901woo016-laminated-birch-plywood-110-cm-x-79-cm-35167?category=50,"['35167_535016d.png', '3803_92eaeaf.png']",7.0,5.0,,,,,,,,,,2.0,,2022-12-26,BE,rotordc,fr,0,,"{'score': 0.6374943256378174, 'start': 1, 'end': 24, 'answer': 'Laminated birch plywood'}","{'score': 0.9314379096031189, 'start': 194, 'end': 209, 'answer': ' 110 cm x 79 cm'}","{'score': 6.471718279499328e-06, 'start': 194, 'end': 209, 'answer': ' 110 cm x 79 cm'}",Wood,Laminboard core plywoods,Pr_25_71_97_46,Other,"Floors, Ceiling","Non-rigid sheet, mat and strip covering and finish products",6.471718279499328e-06,,,,
1968,999WOO047,Laminated birch plywood x cm,5.0,kg,pc,"
Laminated birch plywood salvaged on office desks. One side is wooden laminated, back side is dark brown with a few screw holes.Length60 cmWidth60 cmThickness2 cm  Good used conditions. There are some scratches and chips. Dusty, needs to be cleaned. 
",Wood,https://rotordc.com/shop/product/999woo047-laminated-birch-plywood-60-x-60-cm-60759?category=50,"['60759_ca234d4.png', '14572_3b3c413.png', '14573_3b3c413.png']",5.0,5.0,,,,,,,,,,0.0,,2023-06-20,BE,rotordc,fr,0,,"{'score': 0.47375184297561646, 'start': 10, 'end': 24, 'answer': ' birch plywood'}","{'score': 0.42953038215637207, 'start': 121, 'end': 146, 'answer': ' holes.Length60 cmWidth60'}","{'score': 0.02899928018450737, 'start': 121, 'end': 146, 'answer': ' holes.Length60 cmWidth60'}",Wood,Laminboard core plywoods,Pr_25_71_97_46,Other,"Floors, Ceiling","Non-rigid sheet, mat and strip covering and finish products",0.02899928018450737,,,,
1969,999WOO046,Laminated birch plywood x cm,15.0,kg,pc,"
Laminated birch plywood salvaged on office desks. One side is wooden laminated, back side is dark brown with a few screw holes.Length120 cmWidth85 cmThickness2 cm  Good used conditions. There are some scratches and chips. Dusty, needs to be cleaned. 
",Wood,https://rotordc.com/shop/product/999woo046-laminated-birch-plywood-120-x-85-cm-60758?category=50,"['60758_ca234d4.png', '14574_0a89468.png', '14575_0a89468.png']",15.0,15.0,,,,,,,,,,0.0,,2023-06-20,BE,rotordc,fr,0,,"{'score': 0.4676938056945801, 'start': 1, 'end': 24, 'answer': 'Laminated birch plywood'}","{'score': 0.4776856601238251, 'start': 121, 'end': 147, 'answer': ' holes.Length120 cmWidth85'}","{'score': 0.014447483234107494, 'start': 121, 'end': 147, 'answer': ' holes.Length120 cmWidth85'}",Wood,Laminboard core plywoods,Pr_25_71_97_46,Other,"Floors, Ceiling","Non-rigid sheet, mat and strip covering and finish products",0.014447483234107494,,,,
