,Unnamed: 0.1,Unnamed: 0,ID,Title,Weight,Weight_Units,Product_Units,Description,Category,URL,Imagefile,Initial_Price,Latest_Price,Initial_Stock,Stock_Now,Condition,Dates_Available,Material,Dimensions,Technical,Collection,Last_Up_On,Price_Change,Quantity_Change,Date,Country,Store,Language,Sold,Sold_After,material,dim,quantity_n,material_emb,Belgium_Raw,Belgium_Code,first_level,second_level,third_level,SoldAfterDays
655,655,655,999DOP850,Double acting double door in wood and textured glass cm x cm,54.0,kg,pc,"
Location of door:B1Attributes:Material:Note:WoodPainted green on one side, brown on the other.Glass panelsTextured glassGeneral conditionScratches, small holes and chipped areas on the wood.Good used conditions. Dusty, needs to be cleaned.Dimensions:Height216 cmWidth136 cmThickness6,5 cmWeight54 kgDoor swing directionBoth waysHardware:HandlesYesHingesNoLockcaseNoKeyNo
",Doors,https://rotordc.com/shop/product/999dop850-double-acting-double-door-in-wood-and-textured-glass-h-216-cm-x-w-136-cm-59851?category=32,"['59851_c5b00df.png', '11032_20d3767.png', '11033_20d3767.png', '11034_20d3767.png', '11035_20d3767.png', '11036_20d3767.png']",249.0,249.0,,,,,,,,,2022-10-28,0.0,,2022-10-28,BE,rotordc,fr,1,0.0,"{'score': 0.9765758514404297, 'start': 12, 'end': 56, 'answer': ' door:B1Attributes:Material:Note:WoodPainted'}","{'score': 0.0712263360619545, 'start': 231, 'end': 271, 'answer': ' cleaned.Dimensions:Height216 cmWidth136'}","{'score': 0.0028205031994730234, 'start': 286, 'end': 304, 'answer': ' cmWeight54 kgDoor'}",Architectural glass,Wood doorsets,Pr_30_59_24_97,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,0.0
664,664,664,906DOP002103FR,"Large door in laminated wood cm x or , cm",60.0,kg,pc,"
Large door in laminated wood from an Embassy, sold with or without frame.4 models available:Model 1 : Door with frame (H 241 cm x W 103 cm)Model 2 : Door without frame (H 241 cm x W 103 cm)Model 3 : Door with frame (H 241 cm x W 82,5 cm)Model 4 : Door without frame (H 241 cm x W 82,5 cm)Laminate may be a bit damaged, especially on the bottom of the door. Frames may have some scratches and a few small chips.Lock set and handles are included in the price.
",Doors,https://rotordc.com/shop/product/large-door-in-laminated-wood-h-241-cm-x-w-103-or-82-5-cm-58519?category=32,"['58519_ad4e178.png', '6018_7ea4233.png', '6019_7ea4233.png', '6020_7ea4233.png', '6021_7ea4233.png', '6022_7ea4233.png']",79.0,79.0,,,,,,,,,,0.0,,2022-10-28,BE,rotordc,fr,0,,"{'score': 0.9170898199081421, 'start': 14, 'end': 29, 'answer': ' laminated wood'}","{'score': 0.0060386150144040585, 'start': 82, 'end': 136, 'answer': ' available:Model 1 : Door with frame (H 241 cm x W 103'}","{'score': 0.0006044102483429015, 'start': 404, 'end': 419, 'answer': ' chips.Lock set'}",Wood,Wood doorsets,Pr_30_59_24_97,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,
669,669,669,999DOP852,"Solid wooden door , cm x , cm - Right",15.0,kg,pc,"




Location of door:


C1


















Attributes:


Material:


Note:







Solid wood


Chemically stripped of paint















General condition


Used condition. Some scratches and cracks in the panel boards of the door leaf. Door frame not included in the price. Dusty, needs to be cleaned. 


















Dimensions:










Height


205,1 cm







Width


89,2 cm







Thickness


3,5 cm







Weight


15kg







Door swing direction


Right


















Hardware:










Handels


No







Hinges


Yes


 




Lockcase


Yes







Key


No







",Doors,https://rotordc.com/shop/product/999dop852-solid-wooden-door-h-205-1-cm-x-w-89-2-cm-right-59788?category=32,"['59788_af41f13.png', '10768_5300fb5.png', '10769_5300fb5.png', '10770_5300fb5.png', '10771_5300fb5.png', '10772_5300fb5.png']",99.0,99.0,,,,,,,,,2022-12-26,0.0,,2022-10-28,BE,rotordc,fr,1,59.0,"{'score': 0.9475653171539307, 'start': 84, 'end': 95, 'answer': '\nSolid wood'}","{'score': 0.21631230413913727, 'start': 348, 'end': 389, 'answer': '\nHeight\n\n\n205,1 cm\n\n\n\n\n\n\n\nWidth\n\n\n89,2 cm'}","{'score': 0.033184297382831573, 'start': 431, 'end': 436, 'answer': '\n15kg'}",Wood,Wood doorsets,Pr_30_59_24_97,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,59.0
678,678,678,999DOP844,"Solid wooden door cm x , cm - Left",30.0,kg,pc,"
Location of door:C1Attributes:Material:Note:Solid woodPainted whiteGlass panelsTextured glassGeneral conditionGood used condition. Some scratches. Door frame not included in the price. Dusty, needs to be cleaned. Dimensions:Height208 cmWidth82,5 cmThickness5,8 cmWeight30kgDoor swing directionLeftHardware:HandelsNoHingesNoLockcaseNoKeyNo
",Doors,https://rotordc.com/shop/product/999dop844-solid-wooden-door-h-208-cm-x-w-82-5-cm-left-59778?page=2&category=32,"['59778_d1563fb.png', '10711_de19e49.png', '10712_de19e49.png', '10713_de19e49.png', '10714_de19e49.png']",99.0,99.0,,,,,,,,,2022-10-28,0.0,,2022-10-28,BE,rotordc,fr,1,0.0,"{'score': 0.7968590259552002, 'start': 12, 'end': 62, 'answer': ' door:C1Attributes:Material:Note:Solid woodPainted'}","{'score': 0.19829249382019043, 'start': 213, 'end': 261, 'answer': '\xa0Dimensions:Height208 cmWidth82,5 cmThickness5,8'}","{'score': 0.09072604030370712, 'start': 261, 'end': 278, 'answer': ' cmWeight30kgDoor'}",Wood,Wood doorsets,Pr_30_59_24_97,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,0.0
680,680,680,999DOP841,"Triple door in solid wood and texture glass cm x , cm",120.0,kg,pc,"




Location of door:


C4


















Attributes:


Material:


Note:




Door panel


Solid wood


Painted, some chipping in the paint




Glass


Textured


Some panels are broken or missing




General condition













Used condition, paint is chipped. Broken or missing glass panels. Some scratches. Dusty, needs to be cleaned. 







Dimensions:










Height


270 cm







Width


214,4 cm







Thickness


8,7 cm







Weight


120 kg







Door swing direction


Left


















Hardware:










Handels


No







Hinges


No







Lockcase


Yes







Key


No







",Doors,https://rotordc.com/shop/product/999dop841-triple-door-in-solid-wood-and-texture-glass-h-270-cm-x-w-214-4-cm-59742?page=2&category=32,"['59742_b4aa82b.png', '10643_3799524.png', '10644_3799524.png', '10645_3799524.png', '10646_3799524.png', '10647_3799524.png', '10648_3799524.png', '10649_3799524.png']",329.0,329.0,,,,,,,,,2022-10-28,0.0,,2022-10-28,BE,rotordc,fr,1,0.0,"{'score': 0.7598404288291931, 'start': 94, 'end': 105, 'answer': '\nSolid wood'}","{'score': 0.0661044493317604, 'start': 375, 'end': 415, 'answer': '\nHeight\n\n\n270 cm\n\n\n\n\n\n\n\nWidth\n\n\n214,4 cm'}","{'score': 0.010810604318976402, 'start': 457, 'end': 464, 'answer': '\n120 kg'}",Architectural glass,Wood doorsets,Pr_30_59_24_97,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,0.0
682,682,682,202DOP021L,Double door in solid wood from Ixelles City Hall x cm - Left,100.0,kg,pc,"
Location of door:C4Attributes:Material:Note:Double door panelsSolid woodPainted Light GreyGeneral conditionGood used condition, paint might be chipped. There might be some scratches. Dusty, needs to be cleaned.Dimensions:Height297 cm Total width145 cm  Thickness6 cmWeightMain door swing directionLeftHardware:HandlesNoHingesNoLockcaseNoKeyNoDoor frame is not included.
",Doors,https://rotordc.com/shop/product/202dop021l-double-door-in-solid-wood-from-ixelles-city-hall-h-297-x-w-145-cm-left-59737?page=2&category=32,['59737_2e2c33f.png'],399.0,399.0,,,,,,,,,,0.0,,2022-10-28,BE,rotordc,fr,0,,"{'score': 0.8911041021347046, 'start': 56, 'end': 80, 'answer': ' panelsSolid woodPainted'}","{'score': 0.38514718413352966, 'start': 202, 'end': 252, 'answer': ' cleaned.Dimensions:Height297 cm\xa0Total width145 cm'}","{'score': 0.001010117121040821, 'start': 264, 'end': 277, 'answer': ' cmWeightMain'}",Architectural glass,Wood doorsets,Pr_30_59_24_97,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,
685,685,685,202DOP022M22,Solid wooden doors from Ixelles City Hall Various sizes - Left/Right,45.0,kg,pc,"




Location of door:


Model 1: D6Model 2: D6 Model 3: D6
























Attributes:


Material:


Note:







Door panel


Solid wood


Painted Light Grey





















General condition
















Good used condition, paint might be chipped. There might be some scratches. Dusty, needs to be cleaned.










Dimensions:


Model 1:


Model 2:


Model 3:




Height


212 cm (+/- 0.5 cm)


226 cm


223.5 cm




Width


95.3 cm  (+/- 0.5 cm)


97 cm


96.5 cm




Thickness


4 cm


3.2 cm


4.5 cm




Weight


45 kg


45 kg


45 kg




Door swing direction


Right


Right


Left


















Hardware:













Handles


No


No


No




Hinges


No


No


No




Lockcase


No


No


No




Key


No


No


No




Ventilation grill


No


Yes


Yes



Door frame is not included.
",Doors,https://rotordc.com/shop/product/202dop022-solid-wooden-doors-from-ixelles-city-hall-various-sizes-left-right-59712?page=2&category=32,"['59712_4275346.png', '10538_8ff5e05.png', '10539_8ff5e05.png', '10540_8ff5e05.png', '10541_8ff5e05.png', '10542_8ff5e05.png']",129.0,129.0,,,,,,,,,,0.0,,2022-10-28,BE,rotordc,fr,0,,"{'score': 0.90847247838974, 'start': 135, 'end': 146, 'answer': '\nSolid wood'}","{'score': 0.043859224766492844, 'start': 350, 'end': 381, 'answer': '\nModel 1:\n\n\nModel 2:\n\n\nModel 3:'}","{'score': 0.308317095041275, 'start': 538, 'end': 544, 'answer': '\n45 kg'}",Architectural glass,Wood doorsets,Pr_30_59_24_97,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,
686,686,686,202DOP021,Double door in solid wood from Ixelles City Hall x cm - Right,100.0,kg,pc,"




Location of door:


C4


















Attributes:


Material:


Note:




Double door panels


Solid wood


Painted Light Grey















General condition













Good used condition, paint might be chipped. There might be some scratches. Dusty, needs to be cleaned.







Dimensions:










Height


297 cm 







Total width


145 cm  







Thickness


6 cm







Weight










Main door swing direction


Right


















Hardware:










Handles


No







Hinges


No







Lockcase


No







Key


No






Door frame is not included.
",Doors,https://rotordc.com/shop/product/202dop021-double-door-in-solid-wood-from-ixelles-city-hall-h-297-x-w-145-cm-right-59711?page=2&category=32,"['59711_15ee1fa.png', '10534_e5a18a5.png', '10535_e5a18a5.png', '10536_e5a18a5.png', '10537_23461ab.png']",399.0,399.0,,,,,,,,,,0.0,,2022-10-28,BE,rotordc,fr,0,,"{'score': 0.865740954875946, 'start': 102, 'end': 113, 'answer': '\nSolid wood'}","{'score': 0.26012030243873596, 'start': 313, 'end': 358, 'answer': '\nHeight\n\n\n297 cm\xa0\n\n\n\n\n\n\n\nTotal width\n\n\n145 cm'}","{'score': 5.631608655676246e-05, 'start': 555, 'end': 566, 'answer': '\nDoor frame'}",Architectural glass,Wood doorsets,Pr_30_59_24_97,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,
687,687,687,202DOP018M19,Solid wooden doors from Ixelles City Hall Various size - Right/Left,45.0,kg,pc,"




Location of doors:


Model 1:
Model 2: D5Model 3: D5
























Attributes:


Material:


Note:







Door panel


Solid wood


Painted white





















General condition
















Good used condition, paint might be chipped. There might be some scratches.


Plant/Flower stickers on the door.







Dimensions:


Model 1:


Model 2:


Model 3:




Height


238.5 cm (+/- 0.5 cm)


228.5 cm


227 cm




Width


84 cm  (+/- 0.5 cm)


92 cm


88.5 cm




Thickness


5.5 cm


5.5 cm


5.5 cm




Weight


45 kg


45 kg


45 kg




Door swing direction


Right


Right


Left


















Hardware:













Handles


No


No


Yes




Hinges


No


No


No




Lockcase


No


No


No




Key


No


No


No



Door frame is not included.
",Doors,https://rotordc.com/shop/product/202dop018-solid-wooden-doors-from-ixelles-city-hall-various-size-right-left-59710?page=2&category=32,"['59710_d3c6512.png', '10530_3561b60.png', '10531_3561b60.png', '10532_3561b60.png', '10533_3561b60.png']",129.0,129.0,,,,,,,,,,0.0,,2022-10-28,BE,rotordc,fr,0,,"{'score': 0.8717876672744751, 'start': 133, 'end': 144, 'answer': '\nSolid wood'}","{'score': 0.055013492703437805, 'start': 43, 'end': 51, 'answer': ' D5Model'}","{'score': 0.19484911859035492, 'start': 539, 'end': 545, 'answer': '\n45 kg'}",Architectural glass,Wood doorsets,Pr_30_59_24_97,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,
704,704,704,189DOP0154,Doors in pine wood Various sizes - Left/Right,30.0,kg,pc,"
The various sizes are :W. 88 x H. 230,2 cm, Thickness: 3,5cm, Left.W. 87,7 x H. 220,8 cm, Thickness: 4,3cm, RightW. 87,3 x H. 227 cm, Thickness: 4,3cm, Right: Location in door pavilion: B5W. 88,2 x H. 233,2 cm, Thickness: 3,4cm, Left: Location in door pavilion: B4/B5W. 82,6 x H. 230,7 cm, Thickness: 3,4cm, Right: Location in door pavilion: B5W. 87,5 x H. 225,4 cm, Thickness: 4,4cm, Right: Location in door pavilion: B5Good used condition. Wood may have imperfections with small holes. The paint being chemically stripped, the exposed wood is ready to be sanded and treated. Dusty, needs to be cleaned. Lock case are present but rusty; they should be replaced. Keys, hinges and handles are missing. 
",Doors,https://rotordc.com/shop/product/189dop015-doors-in-pine-wood-various-sizes-left-right-59101?page=3&category=32,"['59101_5d40ad0.png', '8598_73ab805.png', '8599_73ab805.png', '8600_73ab805.png', '8601_73ab805.png', '8602_73ab805.png', '8603_73ab805.png', '8604_73ab805.png', '8605_73ab805.png']",149.0,149.0,,,,,,,,,,0.0,,2022-10-28,BE,rotordc,fr,0,,"{'score': 0.5038129687309265, 'start': 442, 'end': 447, 'answer': '\xa0Wood'}","{'score': 0.4455533027648926, 'start': 22, 'end': 44, 'answer': ' :W. 88 x H. 230,2 cm,'}","{'score': 5.418252112576738e-05, 'start': 1, 'end': 18, 'answer': 'The various sizes'}",Wood,Wood doorsets,Pr_30_59_24_97,"Roof, Slabs, Stairs","Door, Windows, Gates",Furnishings,
