,ID,Title,Weight,Weight_Units,Product_Units,Description,Category,URL,Imagefile,Initial_Price,Latest_Price,Initial_Stock,Stock_Now,Condition,Dates_Available,Material,Dimensions,Technical,Collection,Last_Up_On,Price_Change,Quantity_Change,Date,Country,Store,Language,Sold,Sold_After,material,dim,quantity_n,material_emb,Belgium_Raw,Belgium_Code,first_level,second_level,third_level,quantity_score,Length,Width,Height,SoldAfterDays
34,5425014711394W,Peinture murale Eos by Galtane - Basis White,2.5,kg,pc,"
Washable Eos II paint for interiors: Deep matt, extraordinary coverage and perfect adhesion with a wealth of authentic and luminous mineral colours. Once applied, the painted surface is washable (class 2 according to the EN 13300 standard). The paint is guaranteed to be vegetable oil based.Please note that the entire composition is integral. Guaranteeing excellent adhesion, it can be applied to various new or old surfaces. Carefully read the technical data sheet and the table “Which primer? “and choose a quality roller.More info:– FR : https://www.galtane.com/fr/accueil/57-267-peinture-eos-ii.html#/30-contenance-1_l/50-couleurs-blanc_wit– NL : https://www.galtane.com/nl/home/57-267-peinture-eos-ii.html
",Droguerie,https://rotordc.com/shop/product/peinture-murale-eos-ii-by-galtane-basis-white-58810?category=33,,42.5,42.0,,57.0,,,,,,,2022-08-06,0.0,,2022-08-02,BE,rotordc,fr,1,4.0,"{'score': 0.5133847594261169, 'start': 271, 'end': 285, 'answer': ' vegetable oil'}","{'score': 2.1652844225172885e-05, 'start': 542, 'end': 647, 'answer': '\xa0https://www.galtane.com/fr/accueil/57-267-peinture-eos-ii.html#/30-contenance-1_l/50-couleurs-blanc_wit–'}","{'score': 0.8950510025024414, 'start': 542, 'end': 647, 'answer': '\xa0https://www.galtane.com/fr/accueil/57-267-peinture-eos-ii.html#/30-contenance-1_l/50-couleurs-blanc_wit–'}",Decorative aggregates,Murals,Pr_40_50_05_55,Other,Other,Other,0.8950510025024414,30.0,267.0,57.0,4.0
820,999GAL002010W,Peinture murale Eos by Galtane - Basis White,1.0,kg,pc,"
Washable Eos II paint for interiors: Deep matt, extraordinary coverage and perfect adhesion with a wealth of authentic and luminous mineral colours. Once applied, the painted surface is washable (class 2 according to the EN 13300 standard). The paint is guaranteed to be vegetable oil based.Please note that the entire composition is integral. Guaranteeing excellent adhesion, it can be applied to various new or old surfaces. Carefully read the technical data sheet and the table “Which primer? “and choose a quality roller.More info:– FR : https://www.galtane.com/fr/accueil/57-267-peinture-eos-ii.html#/30-contenance-1_l/50-couleurs-blanc_wit– NL : https://www.galtane.com/nl/home/57-267-peinture-eos-ii.html
",Droguerie,https://rotordc.com/shop/product/peinture-murale-eos-ii-by-galtane-basis-white-58810?category=33,['58810_302be2b.png'],18.5,18.0,,57.0,,,,,,,,0.0,,2022-10-28,BE,rotordc,fr,0,,"{'score': 0.5133847594261169, 'start': 271, 'end': 285, 'answer': ' vegetable oil'}","{'score': 2.1652844225172885e-05, 'start': 542, 'end': 647, 'answer': '\xa0https://www.galtane.com/fr/accueil/57-267-peinture-eos-ii.html#/30-contenance-1_l/50-couleurs-blanc_wit–'}","{'score': 0.8950510025024414, 'start': 542, 'end': 647, 'answer': '\xa0https://www.galtane.com/fr/accueil/57-267-peinture-eos-ii.html#/30-contenance-1_l/50-couleurs-blanc_wit–'}",Decorative aggregates,Murals,Pr_40_50_05_55,Other,Other,Other,0.8950510025024414,30.0,267.0,57.0,
1317,2208-4816,Applique murale,,,,"Applique murale Zumtobel avec diffuseur Micro-perforé.
Température de couleur: 3000K
Tube fluorescent
Émission direct-indirect.",Electricités et luminaires,https://materiuum.ch/produit/384386-16/,"['https://materiuum.ch/wp-content/uploads/2022/11/2208-4816-a-2-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2022/11/2208-4816-b-2.jpg', 'https://materiuum.ch/wp-content/uploads/2022/11/2208-4816-c-2.jpg']",28.0,,2.0,2.0,Correct,07/04/2022 - 01/04/2023,Plastique,62 × 16 × 12.5 cm,"Mode d’assemblage : Vissée au mur
Préconisations de dépose :",SAULES : Sur place ou à discuter en fonction des objets,2023-02-11,,0.0,2023-02-11,BE,rotordc,fr,1,0.0,"{'score': 0.7377417087554932, 'start': 84, 'end': 101, 'answer': '\nTube fluorescent'}","{'score': 2.6967554731527343e-05, 'start': 39, 'end': 54, 'answer': ' Micro-perforé.'}","{'score': 0.0021460934076458216, 'start': 78, 'end': 101, 'answer': ' 3000K\nTube fluorescent'}",Decorative aggregates,Murals,Pr_40_50_05_55,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,0.0021460934076458216,,,,
1322,2208-4747,Applique murale,,,,Luminaire avec diffuseur en verre. 2 ampoules E14. Interrupteur sur le côté,Electricités et luminaires,https://materiuum.ch/produit/384389-27/,"['https://materiuum.ch/wp-content/uploads/2022/11/2208-4747-a-2-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2022/11/2208-4747-b-2.jpg']",28.0,,2.0,2.0,Correct,07/04/2022 - 01/04/2023,Verre,34.5 × 7 × 6.5 cm,"Mode d’assemblage : Vissée au mur
Préconisations de dépose :",SAULES : Sur place ou à discuter en fonction des objets,2023-02-11,,0.0,2023-02-11,BE,rotordc,fr,1,0.0,"{'score': 0.7697960734367371, 'start': 27, 'end': 34, 'answer': ' verre.'}","{'score': 0.3517974615097046, 'start': 34, 'end': 50, 'answer': ' 2 ampoules E14.'}","{'score': 0.49135443568229675, 'start': 34, 'end': 50, 'answer': ' 2 ampoules E14.'}",Decorative aggregates,Murals,Pr_40_50_05_55,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,0.49135443568229675,,,,
1329,2209-4994,Applique murale,,,,"Applique murale en verre Opale, avec ampoule douille E27.",Electricités et luminaires,https://materiuum.ch/produit/384389-25/,"['https://materiuum.ch/wp-content/uploads/2023/01/2209-4994-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/01/2209-4994-b.jpg']",25.0,,16.0,16.0,Correct,09/12/2022 - 15/02/2023,Verre,12 × 45 cm,"Mode d’assemblage : Vissé au mur
Préconisations de dépose :",MAD : Retrait des éléments sur rendez-vous après confirmation de la commande par Matériuum.,2023-02-11,,0.0,2023-02-11,BE,rotordc,fr,1,0.0,"{'score': 0.6527530550956726, 'start': 18, 'end': 31, 'answer': ' verre Opale,'}","{'score': 0.046747032552957535, 'start': 18, 'end': 57, 'answer': ' verre Opale, avec ampoule douille E27.'}","{'score': 0.6041930317878723, 'start': 52, 'end': 57, 'answer': ' E27.'}",Decorative aggregates,Murals,Pr_40_50_05_55,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,0.6041930317878723,,,,
1416,2207-4335,Support étagère murale,0.5,,,Crémaillère également disponible,Quincaillerie,https://materiuum.ch/produit/384-104/,"['https://materiuum.ch/wp-content/uploads/2022/10/2207-4335-b-77-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2022/10/2207-4335-a-77-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2022/10/2207-4335-b-78-600x800.jpg']",3.0,,63.0,63.0,Correct,,Métal,49 × 1 × 7 cm,"Mode d’assemblage :
Préconisations de dépose :",MACO : Retrait sur place du mardi au vendredi de 14h à 17h.,2023-02-11,,0.0,2023-02-11,BE,rotordc,fr,1,0.0,"{'score': 0.6438274383544922, 'start': 0, 'end': 11, 'answer': 'Crémaillère'}","{'score': 0.0005432708421722054, 'start': 0, 'end': 11, 'answer': 'Crémaillère'}","{'score': 0.04511447995901108, 'start': 0, 'end': 11, 'answer': 'Crémaillère'}",Decorative aggregates,Murals,Pr_40_50_05_55,Furnishings,Furnishings,Retaining wall units,0.04511447995901108,,,,
1452,2208-4814,Vasque murale,,,,Large vasque blanche de la marque Laufen. Mitigeur KWC,Sanitaires,https://materiuum.ch/produit/382-75/,"['https://materiuum.ch/wp-content/uploads/2022/11/2208-4814-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2022/11/2208-4814-b.jpg', 'https://materiuum.ch/wp-content/uploads/2022/11/2208-4814-c.jpg']",85.0,,1.0,1.0,Correct,01/02/2023 - 01/04/2023,Céramique,83 × 52 × 18 cm,"Mode d’assemblage : Boulonnée au mur
Préconisations de dépose :",SAULES : Sur place ou à discuter en fonction des objets,2023-02-11,,0.0,2023-02-11,BE,rotordc,fr,1,0.0,"{'score': 0.13360284268856049, 'start': 12, 'end': 20, 'answer': ' blanche'}","{'score': 0.00014767702668905258, 'start': 0, 'end': 20, 'answer': 'Large vasque blanche'}","{'score': 0.003346271114423871, 'start': 0, 'end': 20, 'answer': 'Large vasque blanche'}",Loose surfacing decorative aggregates,Murals,Pr_40_50_05_55,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,0.003346271114423871,,,,
1454,2208-4813,Vasque murale,,,,"Vasque en céramique blanche, de la marque Laufen. Mitigeur KWC.",Sanitaires,https://materiuum.ch/produit/382-73/,"['https://materiuum.ch/wp-content/uploads/2022/11/2208-4813-a-2-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2022/11/2208-4813-b-2.jpg', 'https://materiuum.ch/wp-content/uploads/2022/11/2208-4813-c-2.jpg']",55.0,,1.0,1.0,Correct,07/04/2022 - 01/04/2023,Céramique,49 × 62 × 15 cm,"Mode d’assemblage : Boulonnée au mur
Préconisations de dépose :",SAULES : Sur place ou à discuter en fonction des objets,2023-02-11,,0.0,2023-02-11,BE,rotordc,fr,1,0.0,"{'score': 0.2615976333618164, 'start': 19, 'end': 28, 'answer': ' blanche,'}","{'score': 6.188176485011354e-06, 'start': 0, 'end': 28, 'answer': 'Vasque en céramique blanche,'}","{'score': 6.330403152787767e-07, 'start': 49, 'end': 63, 'answer': ' Mitigeur KWC.'}",Loose surfacing decorative aggregates,Murals,Pr_40_50_05_55,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,6.330403152787767e-07,,,,
1455,2208-4769,Vasque murale,,,,Vasque céramique blanche sans robinetterie.,Sanitaires,https://materiuum.ch/produit/382-72/,"['https://materiuum.ch/wp-content/uploads/2022/11/2208-4769-a-2-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2022/11/2208-4769-b-2.jpg', 'https://materiuum.ch/wp-content/uploads/2022/11/2208-4769-c-2.jpg']",55.0,,2.0,2.0,Usé,07/04/2022 - 01/04/2023,Céramique,52 × 45 × 16 cm,"Mode d’assemblage : Boulonnée au mur
Préconisations de dépose :",SAULES : Sur place ou à discuter en fonction des objets,2023-02-11,,0.0,2023-02-11,BE,rotordc,fr,1,0.0,"{'score': 0.696748673915863, 'start': 6, 'end': 16, 'answer': ' céramique'}","{'score': 0.00025789739447645843, 'start': 24, 'end': 43, 'answer': ' sans robinetterie.'}","{'score': 2.5218178052455187e-06, 'start': 0, 'end': 43, 'answer': 'Vasque céramique blanche sans robinetterie.'}",Loose surfacing decorative aggregates,Murals,Pr_40_50_05_55,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,2.5218178052455187e-06,,,,
1457,2208-4746,Miroir mural,,,,Miroir mural en très bon état,Sanitaires,https://materiuum.ch/produit/389-15/,"['https://materiuum.ch/wp-content/uploads/2022/11/2208-4746-a-2-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2022/11/2208-4746-b-2.jpg']",15.0,,5.0,5.0,Correct,07/04/2022 - 01/04/2023,Verre,50 × 40 cm,"Mode d’assemblage : Vissé au mur par 4 attaches
Préconisations de dépose :",SAULES : Sur place ou à discuter en fonction des objets,2023-02-11,,0.0,2023-02-11,BE,rotordc,fr,1,0.0,"{'score': 5.549913112190552e-06, 'start': 0, 'end': 29, 'answer': 'Miroir mural en très bon état'}","{'score': 0.0014281673356890678, 'start': 0, 'end': 29, 'answer': 'Miroir mural en très bon état'}","{'score': 0.00273717800155282, 'start': 0, 'end': 29, 'answer': 'Miroir mural en très bon état'}",Loose surfacing decorative aggregates,Murals,Pr_40_50_05_55,"Wall, Barriers, Pannels","Floors, Ceiling",Walling units,0.00273717800155282,,,,
