,ID,Title,Weight,Weight_Units,Product_Units,Description,Category,URL,Imagefile,Initial_Price,Latest_Price,Initial_Stock,Stock_Now,Condition,Dates_Available,Material,Dimensions,Technical,Collection,Last_Up_On,Price_Change,Quantity_Change,Date,Country,Store,Language,Sold,Sold_After,material,dim,quantity_n,material_emb,Belgium_Raw,Belgium_Code,first_level,second_level,third_level,quantity_score,Length,Width,Height,SoldAfterDays
638,999WOO010X,Door frame in solid oak,7.0,kg,set,"
Door frame in solid oak

Dimensions :

Length : between 220 and 240 cm
Width : Between 8 and 10 cm
Thickness : 2 cm
Sold per set of 5 planks : one plank to be cut in two pieces of 120 cm.

Very good used condition, never used. May have a very few traces, especially on the backside. Needs to be cleaned.

Please note ! Because of the variations of this product, we advise the costumers to come at our physical shop and see the product before buying.
",Wood,https://rotordc.com/shop/product/999woo010x-door-frame-in-solid-oak-55885?category=50,,49.0,49.0,,5.0,,,,,,,,0.0,,2022-08-02,BE,rotordc,fr,0,,"{'score': 0.8278431296348572, 'start': 14, 'end': 24, 'answer': ' solid oak'}","{'score': 0.5716606378555298, 'start': 39, 'end': 71, 'answer': '\nLength : between 220 and 240 cm'}","{'score': 0.5082969665527344, 'start': 132, 'end': 141, 'answer': ' 5 planks'}",Oak,Wood door frames,Pr_30_59_23_96,Furnishings,"Door, Windows, Gates",Glass blocks and panels,0.5082969665527344,,240.0,220.0,
692,202DOP007,"Solid wooden door from Ixelles City Hall x , cm",55.0,kg,pc,"
Location of door:C2Attributes:Material:Note:Door panelSolid woodVarnishedGeneral conditionGood used condition, varnish might be chipped. There might be some scratches. Dimensions:Height249 cmWidth105.5 cmThickness5.5 cmWeightDoor swing directionHardware:HandlesNoHingesNoLockcaseNoKeyNoDoor frame not included. 
",Doors,https://rotordc.com/shop/product/202dop007-solid-wooden-door-from-ixelles-city-hall-h-249-x-w-105-5-cm-59705?page=3&category=32,"['59705_b5181a9.png', '10513_af2bcf7.png', '10514_af2bcf7.png', '10515_af2bcf7.png', '10516_af2bcf7.png']",129.0,129.0,,,,,,,,,,0.0,,2022-10-28,BE,rotordc,fr,0,,"{'score': 0.5938017964363098, 'start': 49, 'end': 81, 'answer': ' panelSolid woodVarnishedGeneral'}","{'score': 0.2953450679779053, 'start': 168, 'end': 217, 'answer': '\xa0Dimensions:Height249 cmWidth105.5 cmThickness5.5'}","{'score': 0.00015372659254353493, 'start': 217, 'end': 291, 'answer': ' cmWeightDoor swing directionHardware:HandlesNoHingesNoLockcaseNoKeyNoDoor'}",Architectural glass,Wood door frames,Pr_30_59_23_96,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,0.00015372659254353493,,,,
698,202DOP003,"Solid wooden door with glass panels from Ixelles City Hall x , cm",45.0,kg,pc,"
Location of door:D6Attributes:Material:Note:Door panelSolid woodVarnished on both sidesWindow panelClear glassGeneral conditionGood used condition, varnish might be chipped. Dimensions:Height224 cmWidth87.5 cmThickness3.2 cmWeightDoor swing directionHardware:HandlesYesHingesYesLockcaseYesKeyNoDoor frame is not included. Side panels not included. 
",Doors,https://rotordc.com/shop/product/202dop003-solid-wooden-door-with-glass-panels-from-ixelles-city-hall-h-224-x-w-87-5-cm-59699?page=3&category=32,"['59699_a3abab0.png', '10494_6cf353d.png', '10495_6cf353d.png', '10496_6cf353d.png']",159.0,159.0,,,,,,,,,,0.0,,2022-10-28,BE,rotordc,fr,0,,"{'score': 0.9730061888694763, 'start': 49, 'end': 74, 'answer': ' panelSolid woodVarnished'}","{'score': 0.11474679410457611, 'start': 174, 'end': 222, 'answer': '\xa0Dimensions:Height224 cmWidth87.5 cmThickness3.2'}","{'score': 0.0006610615528188646, 'start': 12, 'end': 49, 'answer': ' door:D6Attributes:Material:Note:Door'}",Architectural glass,Wood door frames,Pr_30_59_23_96,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,0.0006610615528188646,,,,
710,999DOP630BR,"Painted door in wood , x , cm",20.0,kg,pc,"
Painted door in wood.

Dimensions : H. 220,5 x 87,5 cm
Thickness : 3,5

5 models :

Model 1 :

B - quality. Left. May have some scratches and imperfections. Paint is a bit cracked. A bit dusty, needs to be cleaned. Lock case is included in the price. Handles, key and hinges are missing.

Model 2 : Location in door pavilion: B5
B - quality. Left. May have some scratches and imperfections. Paint is cracked. Painted on one side, wallpaper on the other side. A moulding is broken. Hinges and lock case are included in the price. Handles and key are missing.
 Model 3 : Location in door pavilion: B6
B - quality. Right. May have some scratches and imperfections. Lock is broken. Paint is cracked. Painted in white. A little bit damaged at the bottom. A bit dusty, needs to be cleaned. Hinges and lock case are included in the price. Handles and key are missing.

Model 4 :

B - quality. Left. Painted white on both side. May have some scratches and imperfections. A bit dusty, needs to be cleaned. Handles, hinges, lock case and a lock are included in the price. Key is missing.

Model 5 : Location in door pavilion: D2
A - quality. Right. Painted white on both side. May have some scratches and imperfections. A bit dusty, needs to be cleaned. Hinges, a lock and lock case are included in the price. Key and handles are missing.
 	Width : 93 cm

 
",Doors,https://rotordc.com/shop/product/painted-door-in-wood-h-220-5-x-87-5-cm-58388?page=4&category=32,"['58388_a356d55.png', '6745_7ea4233.png', '6746_7ea4233.png', '6747_7ea4233.png', '6748_7ea4233.png', '6749_7ea4233.png', '6750_7ea4233.png']",49.01,49.0,,,,,,,,,2022-12-26,0.0,,2022-10-28,BE,rotordc,fr,1,59.0,"{'score': 0.11770068109035492, 'start': 16, 'end': 22, 'answer': ' wood.'}","{'score': 0.058427389711141586, 'start': 36, 'end': 55, 'answer': ' H. 220,5 x 87,5 cm'}","{'score': 1.8399633461285703e-07, 'start': 39, 'end': 71, 'answer': ' 220,5 x 87,5 cm\nThickness : 3,5'}",Wood,Wood door frames,Pr_30_59_23_96,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,1.8399633461285703e-07,,,,59.0
718,999FUR836,Double cabinet door in oak veneer x cm - Left,40.0,kg,pc,"




Location:


B3







 


 


 




Attributes:


Material:


Note:




Door panels


Varnsihed oak veneer.


Used condition. Some scratches and chipping in the wood.




Window panels


Clear glass


Used condition. Window seals are old.




General condition





Used condition. Dusty, needs to be cleaned.















Dimensions:










Height


177 cm







Width


122 cm


+/- 0,5 cm variation in the width. 




Thickness


3 cm







Weight


40 kg







Door swing direction


Left


















Hardware:










Handels


Yes







Hinges


Yes







Lockcase


Yes


Vertical latch bolt.




Key


No







",Doors,https://rotordc.com/shop/product/999fur836-double-cabinet-door-in-oak-veneer-h-117-x-w-122-cm-left-59587?page=4&category=32,"['59587_02e42a0.png', '10143_a3a84a2.png', '10144_a3a84a2.png', '10145_a3a84a2.png', '10146_a3a84a2.png', '10147_a3a84a2.png']",49.0,49.0,,,,,,,,,,0.0,,2022-10-28,BE,rotordc,fr,0,,"{'score': 0.7309556603431702, 'start': 90, 'end': 112, 'answer': '\nVarnsihed oak veneer.'}","{'score': 0.045560602098703384, 'start': 351, 'end': 389, 'answer': '\nHeight\n\n\n177 cm\n\n\n\n\n\n\n\nWidth\n\n\n122 cm'}","{'score': 0.06035003438591957, 'start': 464, 'end': 470, 'answer': '\n40 kg'}",Architectural glass,Wood door frames,Pr_30_59_23_96,Furnishings,"Door, Windows, Gates",Glass blocks and panels,0.06035003438591957,,,,
732,189DOP037,"Door in painted wood , x , cm",24.0,kg,pc,"
Dimensions:Height: 213,2 cm Width: 81,2 cmThickness : 3,4 cmRight or LeftGood used condition. May have some scratches or chipped paint and small gaps between the wooden slats. A bit dusty, needs to be cleaned. Keys, lock case, hinges and handles are missing. There is one small lock.Location in door pavilion: B3
",Doors,https://rotordc.com/shop/product/189dop037-door-in-painted-wood-w-81-2-x-h-213-2-cm-59128?page=5&category=32,"['59128_3d830c2.png', '8750_1d4b990.png', '8751_1d4b990.png', '8752_1d4b990.png', '8753_1d4b990.png', '8754_1d4b990.png']",49.0,49.0,,,,,,,,,,0.0,,2022-10-28,BE,rotordc,fr,0,,"{'score': 0.019288932904601097, 'start': 162, 'end': 176, 'answer': ' wooden slats.'}","{'score': 0.5528781414031982, 'start': 1, 'end': 52, 'answer': 'Dimensions:Height: 213,2 cm\xa0Width: 81,2 cmThickness'}","{'score': 2.5975775770348264e-06, 'start': 1, 'end': 25, 'answer': 'Dimensions:Height: 213,2'}",Wood,Wood door frames,Pr_30_59_23_96,"Roof, Slabs, Stairs","Door, Windows, Gates",Furnishings,2.5975775770348264e-06,,,,
733,189DOP0351,Door in painted wood Various sizes - Right,12.0,kg,pc,"
Each side is painted a different colour. Dimensions:Size 1:Height: 204,3 cm Width: 86,5 cmThickness : 3 cmRightSize :Height: 204,3 cm Width: 86,5 cmThickness : 3 cmRightGood used condition. May have some scratches or chipped paint and small gaps between the wooden slats. A bit dusty, needs to be cleaned. Keys are missing. Lock case, hinges (to replace) and handles are included in the price. Location in door pavilion: B3
",Doors,https://rotordc.com/shop/product/door-in-painted-wood-various-sizes-right-59124?page=5&category=32,"['59124_5971ecc.png', '8721_cd68713.png', '8722_cd68713.png', '8723_cd68713.png', '8724_cd68713.png', '8725_cd68713.png', '8726_cd68713.png', '8727_cd68713.png', '8728_cd68713.png']",49.0,49.0,,,,,,,,,2022-12-26,0.0,,2022-10-28,BE,rotordc,fr,1,59.0,"{'score': 0.006930803880095482, 'start': 258, 'end': 272, 'answer': ' wooden slats.'}","{'score': 0.17592380940914154, 'start': 41, 'end': 67, 'answer': '\xa0Dimensions:Size 1:Height:'}","{'score': 0.009513994678854942, 'start': 41, 'end': 67, 'answer': '\xa0Dimensions:Size 1:Height:'}",Wood,Wood door frames,Pr_30_59_23_96,Furnishings,"Door, Windows, Gates",Furnishings,0.009513994678854942,,,,59.0
772,999DOP676L,Wooden door . x cm,15.0,kg,pc,"
Wooden door (H. 201.5 x W. 76 cm).Dimensions :Height : 201.5 cmWidth : 76 cm (may have a slight variation of +/- 2cm)Thickness : 4 cmRight/LeftModels :Model 1 :Location:C3Good used condition. Right or left door. May have a few scratches and small imperfections. A bit dusty, needs to be cleaned. Hinges, handles, lock case are included in the price. Keys are missing.Model 2 :Location:D2Good used condition. Right door. May have a few scratches and small imperfections. A bit dusty, needs to be cleaned. Hinges, handles, lock case are included in the price. Keys are missing. As in the image, with plastic grill at bottom of the door. Location door pavilion: D2Model 3 :Good used condition. Left door. May have a few scratches and small imperfections. A bit dusty, needs to be cleaned. Hinges and lock case are included in the price. Handles and keys are missing. 
",Doors,https://rotordc.com/shop/product/wooden-door-h-201-5-x-w-76-cm-58531?page=7&category=32,"['58531_bebf144.png', '6068_7ea4233.png', '6069_7ea4233.png', '6070_7ea4233.png', '6071_7ea4233.png']",79.0,39.0,,,,,,,,,2022-12-26,40.0,,2022-10-28,BE,rotordc,fr,1,59.0,"{'score': 0.7754767537117004, 'start': 1, 'end': 7, 'answer': 'Wooden'}","{'score': 0.017625389620661736, 'start': 131, 'end': 150, 'answer': ' cmRight/LeftModels'}","{'score': 2.810876685543917e-05, 'start': 359, 'end': 392, 'answer': ' missing.Model 2 :Location:D2Good'}",Wood,Wood door frames,Pr_30_59_23_96,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,2.810876685543917e-05,,,,59.0
788,999DOP592B,Painted wooden door with yellow rolled glass panels cm x cm,25.0,kg,pc,"
Painted wooden door with yellow rolled glass panels.

Dimensions: H 220 cm x W 82 cm
Thickness: 5,5 cm

A Quality
Left door. Good used condition, may only have a few scratches and very small chips, glass panels are all intact but paint may be slightly damaged in some areas. A bit dusty, needs to be cleaned.
Original hinges and lock case are included in the price. Handles and key are missing. Pre-drilled hinges holes.

B Quality
Left or right door (double pre-drilled hinges holes). A bit more damaged than A Quality, one yellow glass panel has been replaced and there is a hole in the door bottom. A bit dusty, needs to be cleaned.
Original handles and lock case are included one price. Hinges and key are missing. Pre-drilled hinges holes.
",Doors,https://rotordc.com/shop/product/painted-wooden-door-with-yellow-rolled-glass-panels-h-220-cm-x-82-cm-54524?page=8&category=32,"['54524_143c2df.png', '5203_ab47246.png', '5204_ab47246.png', '5205_ab47246.png', '5206_ab47246.png', '5207_ab47246.png']",68.99,68.0,,,,,,,,,,0.0,,2022-10-28,BE,rotordc,fr,0,,"{'score': 0.4946241080760956, 'start': 1, 'end': 15, 'answer': 'Painted wooden'}","{'score': 0.6629957556724548, 'start': 66, 'end': 85, 'answer': ' H 220 cm x W 82 cm'}","{'score': 0.020921776071190834, 'start': 680, 'end': 691, 'answer': ' one price.'}",Architectural glass,Wood door frames,Pr_30_59_23_96,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,0.020921776071190834,,,,
790,999DOP683L,Wood veneer door . x . cm,20.0,kg,pc,"
Location in the door pavilion: D2 Dimensions :Height : 201.5 cmWidth : 80.5 cmThickness : 4 cmRight/LeftGood used condition. Right or left door. May have a few scratches and small imperfections. A bit dusty, needs to be cleaned.Hinges, handles, lock case are included in the price. Keys are missing.
",Doors,https://rotordc.com/shop/product/wood-veneer-door-h-201-5-x-w-80-5-cm-54520?page=8&category=32,"['54520_d2b6183.png', '7088_e3d8abb.png', '7089_e3d8abb.png', '7090_e3d8abb.png']",79.0,39.0,,,,,,,,,,40.0,,2022-10-28,BE,rotordc,fr,0,,"{'score': 0.010388354770839214, 'start': 76, 'end': 88, 'answer': ' cmThickness'}","{'score': 0.1988178938627243, 'start': 125, 'end': 139, 'answer': ' Right or left'}","{'score': 0.00893926527351141, 'start': 220, 'end': 282, 'answer': ' cleaned.Hinges, handles, lock case are included in the price.'}",Wood,Wood door frames,Pr_30_59_23_96,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,0.00893926527351141,,,,
