,ID,Title,Weight,Weight_Units,Product_Units,Description,Category,URL,Imagefile,Initial_Price,Latest_Price,Initial_Stock,Stock_Now,Condition,Dates_Available,Material,Dimensions,Technical,Collection,Last_Up_On,Price_Change,Quantity_Change,Date,Country,Store,Language,Sold,Sold_After,material,dim,quantity_n,material_emb,Belgium_Raw,Belgium_Code,first_level,second_level,third_level,quantity_score,Length,Width,Height,SoldAfterDays
135,189FUR001,Cabinet drawer in varnished oak ca .,6.0,kg,pc,"
Cabinet drawers in varnished oak, originally from the 'Jardin Botanique de Liège'. Dimensions :Height : 13 cmLength: 54 cmWidth : 58 cmUsed condition. May have clear scratches, traces of paint and damaged on the wood structure. The cup handle and keyhole are included in the price. Dusty, needs to be cleaned. Please note the inside of the drawer could slightly change from one to another. Only available in our shop
",Furniture,https://rotordc.com/shop/product/189fur001-cabinet-drawer-in-varnished-oak-ca-1950-58853?page=3&category=35,,13.5,7.0,,,,,,,,,2022-12-26,6.0,,2022-08-02,BE,rotordc,fr,1,146.0,"{'score': 0.930702805519104, 'start': 19, 'end': 34, 'answer': ' varnished oak,'}","{'score': 0.5089974403381348, 'start': 94, 'end': 140, 'answer': ' :Height : 13 cmLength: 54 cmWidth : 58 cmUsed'}","{'score': 0.00018991460092365742, 'start': 228, 'end': 282, 'answer': ' The cup handle and keyhole are included in the price.'}",Oak,Cabinet and countertop hinges,Pr_30_36_36_11,Furnishings,Furnishings,Furnishings,0.00018991460092365742,,,,146.0
180,999HAR940,Cabinet handles - Marbled red,2.0,kg,pc,"
Dimensions :Length : 6 cmDepth : 3 cmThickness: 1 cmSpace between the two fixing holes: 3 cmMounting with standard M4 bolts (included) Never used. From an overstock. May have some scratches and small imperfections. A bit dusty, need to be cleaned.
",Hardware,https://rotordc.com/shop/product/999har940-cabinet-handles-marbled-red-59271?category=37,,8.0,8.0,,,,,,,,,2022-12-26,0.0,,2022-08-02,BE,rotordc,fr,1,146.0,"{'score': 0.000199781236005947, 'start': 35, 'end': 48, 'answer': ' cmThickness:'}","{'score': 0.6992216110229492, 'start': 11, 'end': 31, 'answer': ' :Length : 6 cmDepth'}","{'score': 0.3532505929470062, 'start': 155, 'end': 166, 'answer': ' overstock.'}",Porcelain,Cabinet and countertop hinges,Pr_30_36_36_11,Furnishings,Furnishings,"Floor plates, gratings and edgings",0.3532505929470062,,,,146.0
181,999HAR939,Cabinet knob in resin - Marbled red,0.02,kg,pc,"
Dimensions: Knob diameter: 3 cmDepth: 2.4 cmBase diameter: 1.8 cmVery good used condition. A bit dusty needs to be cleaned. Screws are included (M4x30).
",Hardware,https://rotordc.com/shop/product/999har939-cabinet-knob-in-resin-marbled-red-59270?category=37,,6.0,6.0,,,,,,,,,,0.0,,2022-08-02,BE,rotordc,fr,0,,"{'score': 0.00014908528828527778, 'start': 91, 'end': 124, 'answer': ' A bit dusty needs to be cleaned.'}","{'score': 0.6022688746452332, 'start': 12, 'end': 38, 'answer': '\xa0Knob diameter: 3 cmDepth:'}","{'score': 0.18801702558994293, 'start': 144, 'end': 153, 'answer': ' (M4x30).'}",Porcelain,Cabinet and countertop hinges,Pr_30_36_36_11,Furnishings,Furnishings,Sanitary fittings and accessories,0.18801702558994293,,,,
183,999HAR937,Cabinet handles in resin - Dark red - Small,0.01,kg,pc,"
Dimensions :Length : 7 cmDepth : 3 cmTube diameter: 1 cmSpace between the two fixing holes: 6 cmNever used. From an overstock. May have some scratches and small imperfections. A bit dusty, need to be cleaned.
",Hardware,https://rotordc.com/shop/product/999har937-cabinet-handles-in-resin-dark-red-small-59268?category=37,,4.0,4.0,,,,,,,,,,0.0,,2022-08-02,BE,rotordc,fr,0,,"{'score': 0.00035105779534205794, 'start': 176, 'end': 189, 'answer': ' A bit dusty,'}","{'score': 0.7075764536857605, 'start': 11, 'end': 31, 'answer': ' :Length : 7 cmDepth'}","{'score': 0.7132699489593506, 'start': 116, 'end': 127, 'answer': ' overstock.'}",Mastic resin,Cabinet and countertop hinges,Pr_30_36_36_11,Furnishings,Furnishings,Sanitary fittings and accessories,0.7132699489593506,2.6457513110645907,2.6457513110645907,7.0,
184,999HAR936,Cabinet knob in resin - Dark red - Small,0.01,kg,pc,"
Dimensions: Knob diameter: 2.7 cmDepth: 2 cmBase diameter: 1.1 cmVery good used condition. A bit dusty needs to be cleaned. Screws are included (M4x30).
",Hardware,https://rotordc.com/shop/product/999har936-cabinet-knob-in-resin-dark-red-small-59267?category=37,,6.0,6.0,,,,,,,,,,0.0,,2022-08-02,BE,rotordc,fr,0,,"{'score': 0.00017746251251082867, 'start': 91, 'end': 124, 'answer': ' A bit dusty needs to be cleaned.'}","{'score': 0.663600742816925, 'start': 12, 'end': 40, 'answer': '\xa0Knob diameter: 2.7 cmDepth:'}","{'score': 0.22005312144756317, 'start': 144, 'end': 153, 'answer': ' (M4x30).'}",Sitka spruce,Cabinet and countertop hinges,Pr_30_36_36_11,Furnishings,Furnishings,Sanitary fittings and accessories,0.22005312144756317,,,,
185,999HAR933,Cabinet knob in porcelain,0.06,kg,pc,"
Dimensions: Knob diameter: 3.7 cmDepth: 3.2 cmBase diameter: 2 cmVery good used condition. A bit dusty needs to be cleaned. Screws are not included. 
",Hardware,https://rotordc.com/shop/product/999har933-cabinet-knob-in-porcelain-59264?category=37,,7.0,7.0,,,,,,,,,,0.0,,2022-08-02,BE,rotordc,fr,0,,"{'score': 0.00018295990594197065, 'start': 91, 'end': 124, 'answer': ' A bit dusty needs to be cleaned.'}","{'score': 0.66375732421875, 'start': 12, 'end': 40, 'answer': '\xa0Knob diameter: 3.7 cmDepth:'}","{'score': 0.0038318138103932142, 'start': 124, 'end': 149, 'answer': '\xa0Screws are not included.'}",Porcelain,Cabinet and countertop hinges,Pr_30_36_36_11,Furnishings,Furnishings,"Floor plates, gratings and edgings",0.0038318138103932142,,,,
186,999HAR932,Cabinet knob in porcelain and brass base,0.02,kg,pc,"
Dimensions: Knob diameter: 2.3 cmDepth: 2.6 cmBase diameter: 1.3 cmVery good used condition. A bit dusty needs to be cleaned. Screws are included (M4x30).
",Hardware,https://rotordc.com/shop/product/999har932-cabinet-knob-in-porcelain-and-brass-base-59263?category=37,,7.0,7.0,,,,,,,,,2022-12-26,0.0,,2022-08-02,BE,rotordc,fr,1,146.0,"{'score': 0.0001644431467866525, 'start': 93, 'end': 126, 'answer': ' A bit dusty needs to be cleaned.'}","{'score': 0.6489817500114441, 'start': 12, 'end': 40, 'answer': '\xa0Knob diameter: 2.3 cmDepth:'}","{'score': 0.23536327481269836, 'start': 146, 'end': 155, 'answer': ' (M4x30).'}",Porcelain,Cabinet and countertop hinges,Pr_30_36_36_11,Furnishings,Furnishings,"Floor plates, gratings and edgings",0.23536327481269836,,,,146.0
187,999HAR927,Marble cabinet knob by Siro - Light Grey,0.04,kg,pc,"
Dimensions: Knob diameter: 2.7 cmDepth: 2.7 cmBase diameter: 1.6 cmVery good used condition. A bit dusty needs to be cleaned. Screws are included (M4x30). Please note the color tone may vary according to the veins of the marble.
",Hardware,https://rotordc.com/shop/product/999har927-marble-cabinet-knob-by-siro-light-grey-59258?category=37,,6.5,6.0,,,,,,,,,,0.0,,2022-08-02,BE,rotordc,fr,0,,"{'score': 0.0003468268841970712, 'start': 221, 'end': 229, 'answer': ' marble.'}","{'score': 0.6344671249389648, 'start': 12, 'end': 40, 'answer': '\xa0Knob diameter: 2.7 cmDepth:'}","{'score': 0.22454147040843964, 'start': 126, 'end': 155, 'answer': '\xa0Screws are included (M4x30).'}",Porcelain,Cabinet and countertop hinges,Pr_30_36_36_11,Furnishings,Furnishings,"Floor plates, gratings and edgings",0.22454147040843964,,,,
188,999HAR924,Cabinet knob in plastic,0.02,kg,pc,"
Dimensions: Depth: 2.4 cmKnob diameter: 2 cmGood used condition. A bit dusty needs to be cleaned. May have some scratches and imperfections. 
",Hardware,https://rotordc.com/shop/product/999har924-cabinet-knob-in-plastic-59255?category=37,,7.0,7.0,,,,,,,,,2022-12-26,0.0,,2022-08-02,BE,rotordc,fr,1,146.0,"{'score': 0.0006907942588441074, 'start': 65, 'end': 98, 'answer': ' A bit dusty needs to be cleaned.'}","{'score': 0.4153061807155609, 'start': 12, 'end': 49, 'answer': '\xa0Depth: 2.4 cmKnob diameter: 2 cmGood'}","{'score': 0.00017004262190312147, 'start': 19, 'end': 30, 'answer': ' 2.4 cmKnob'}",Ceramic,Cabinet and countertop hinges,Pr_30_36_36_11,Furnishings,Furnishings,Sanitary fittings and accessories,0.00017004262190312147,,,,146.0
189,999HAR920,Cabinet knob in resin - Grey gradient - Large,0.03,kg,pc,"
Dimensions: Knob diameter: 3.6 cmDepth: 2.8 cmBase diameter: 2,2 cmVery good used condition. A bit dusty needs to be cleaned. Screws are included (M4x30).
",Hardware,https://rotordc.com/shop/product/999har920-cabinet-knob-in-resin-grey-gradient-large-59251?category=37,,7.0,7.0,,,,,,,,,,0.0,,2022-08-02,BE,rotordc,fr,0,,"{'score': 7.201127300504595e-05, 'start': 93, 'end': 126, 'answer': ' A bit dusty needs to be cleaned.'}","{'score': 0.42454203963279724, 'start': 12, 'end': 40, 'answer': '\xa0Knob diameter: 3.6 cmDepth:'}","{'score': 0.0714576244354248, 'start': 146, 'end': 155, 'answer': ' (M4x30).'}",Mastic resin,Cabinet and countertop hinges,Pr_30_36_36_11,Furnishings,Furnishings,"Floor plates, gratings and edgings",0.0714576244354248,,,,
