,ID,Title,Weight,Weight_Units,Product_Units,Description,Category,URL,Imagefile,Initial_Price,Latest_Price,Initial_Stock,Stock_Now,Condition,Dates_Available,Material,Dimensions,Technical,Collection,Last_Up_On,Price_Change,Quantity_Change,Date,Country,Store,Language,Sold,Sold_After,material,dim,quantity_n,material_emb,Belgium_Raw,Belgium_Code,first_level,second_level,third_level,quantity_score,Length,Width,Height,SoldAfterDays
190,999HAR919,Aluminium cabinet handle - Silver - Small,0.02,kg,pc,"
Dimensions:Length: 6.7 cmHeight: 1.6 cmDepth: 2.2 cmNever used. From an overstock. May have small scratches or imperfections. A bit dusty needs to be cleaned.
",Hardware,https://rotordc.com/shop/product/999har919-aluminium-cabinet-handle-silver-small-59250?category=37,,4.0,4.0,,,,,,,,,,0.0,,2022-08-02,BE,rotordc,fr,0,,"{'score': 0.001670996774919331, 'start': 50, 'end': 83, 'answer': ' cmNever used. From an overstock.'}","{'score': 0.5168843865394592, 'start': 1, 'end': 33, 'answer': 'Dimensions:Length: 6.7 cmHeight:'}","{'score': 0.6671540141105652, 'start': 72, 'end': 83, 'answer': ' overstock.'}",Aluminium,Aluminium alloy hinged bollards,Pr_20_76_08_03,Furnishings,Furnishings,Sanitary fittings and accessories,0.6671540141105652,,7.0,6.0,
191,999HAR917,Aluminium cabinet handle - Silver - Medium,0.03,kg,pc,"
Dimensions:Length: 8.7 cmHeight: 1.6 cmDepth: 2 cmNever used. From an overstock. May have small scratches or imperfections. A bit dusty needs to be cleaned.
",Hardware,https://rotordc.com/shop/product/999har917-aluminium-cabinet-handle-silver-medium-59248?category=37,,4.0,4.0,,,,,,,,,2022-08-06,0.0,,2022-08-02,BE,rotordc,fr,1,4.0,"{'score': 0.0015935462433844805, 'start': 48, 'end': 81, 'answer': ' cmNever used. From an overstock.'}","{'score': 0.5697863698005676, 'start': 1, 'end': 33, 'answer': 'Dimensions:Length: 8.7 cmHeight:'}","{'score': 0.6589515805244446, 'start': 70, 'end': 81, 'answer': ' overstock.'}",Steel-aluminium alloy,Aluminium alloy hinged bollards,Pr_20_76_08_03,Furnishings,Furnishings,Sanitary fittings and accessories,0.6589515805244446,,7.0,8.0,4.0
244,183HAR055,Big hook in aluminum,0.02,kg,pc,"
Big hook in aluminum.Dimensions :Height: 6 cmDepth: 3.5 cmInner diameter: 2 cmNever used. From an overstock. May have a few scratches and small imperfections. A bit dusty, needs to be cleaned.
",Hardware,https://rotordc.com/shop/product/183har055-big-hook-in-aluminum-58668?page=4&category=37,,4.5,4.0,,,,,,,,,,0.0,,2022-08-02,BE,rotordc,fr,0,,"{'score': 0.564703106880188, 'start': 12, 'end': 32, 'answer': ' aluminum.Dimensions'}","{'score': 0.2193564921617508, 'start': 32, 'end': 52, 'answer': ' :Height: 6 cmDepth:'}","{'score': 0.47749632596969604, 'start': 98, 'end': 109, 'answer': ' overstock.'}",Steel-aluminium alloy,Aluminium alloy hinged bollards,Pr_20_76_08_03,Technical elements,Other,Wire structure and general products,0.47749632596969604,,,,
270,033HAR15508,Cabinet handle in aluminium s,0.45,kg,pc,"
To be used vertical or horizontal.Condition: good working order, but with signs of wear such as scratches.
",Hardware,https://rotordc.com/shop/product/cabinet-handle-in-aluminium-1950s-58518?page=5&category=37,,6.0,6.0,,,,,,,,,2022-12-26,0.0,,2022-08-02,BE,rotordc,fr,1,146.0,"{'score': 5.563760350923985e-05, 'start': 23, 'end': 45, 'answer': ' horizontal.Condition:'}","{'score': 0.5229920148849487, 'start': 11, 'end': 45, 'answer': ' vertical or horizontal.Condition:'}","{'score': 3.547911830992234e-07, 'start': 1, 'end': 45, 'answer': 'To be used vertical or horizontal.Condition:'}",Aluminium,Aluminium alloy hinged bollards,Pr_20_76_08_03,Furnishings,Furnishings,Sanitary fittings and accessories,3.547911830992234e-07,,,,146.0
285,999HAR310,Cabinet handle in aluminium,0.05,kg,pc,"
Cabinet handle in steel.

Dimensions :

Depth : 3 cm
Lengt : 10 cm

Very good condition. Never used.

Compatible with the system 32 furniture standard.

2x M4 x 25,5 mm for 19 mm panel is included in the price. We can provide bolts for different panel thicknesses on request.
",Hardware,https://rotordc.com/shop/product/999har310-cabinet-handle-in-aluminium-55812?page=6&category=37,,4.9,4.0,,,,,,,,,,0.0,,2022-08-02,BE,rotordc,fr,0,,"{'score': 0.4085536003112793, 'start': 18, 'end': 25, 'answer': ' steel.'}","{'score': 0.4205028712749481, 'start': 40, 'end': 67, 'answer': '\nDepth : 3 cm\nLengt : 10 cm'}","{'score': 0.02773432992398739, 'start': 153, 'end': 185, 'answer': '\n2x M4 x 25,5 mm for 19 mm panel'}",Aluminium,Aluminium alloy hinged bollards,Pr_20_76_08_03,Furnishings,Furnishings,Sanitary fittings and accessories,0.02773432992398739,,,,
298,103HAR389M,Chromed aluminium cabinet handle,0.2,kg,pc,"
Large length: 17 cm

Small  length: 13 cm
",Hardware,https://rotordc.com/shop/product/chromed-aluminium-cabinet-handle-54476?page=7&category=37,,15.0,15.0,,,,,,,,,,0.0,,2022-08-02,BE,rotordc,fr,0,,"{'score': 1.3773999853583518e-05, 'start': 21, 'end': 27, 'answer': '\nSmall'}","{'score': 0.006894383113831282, 'start': 14, 'end': 20, 'answer': ' 17 cm'}","{'score': 0.01162044983357191, 'start': 14, 'end': 20, 'answer': ' 17 cm'}",Aluminium,Aluminium alloy hinged bollards,Pr_20_76_08_03,Furnishings,Furnishings,Glass blocks and panels,0.01162044983357191,,,,
328,103HAR343-1-1,Cast aluminum cabinet handle cm,0.02,kg,pc,"
Length: 9 cm
",Hardware,https://rotordc.com/shop/product/103har343-1-1-cast-aluminum-cabinet-handle-9-cm-51190?page=8&category=37,,12.0,12.0,,,,,,,,,2022-12-26,0.0,,2022-08-02,BE,rotordc,fr,1,146.0,"{'score': 1.0759078577393666e-05, 'start': 8, 'end': 13, 'answer': ' 9 cm'}","{'score': 0.10643409937620163, 'start': 1, 'end': 13, 'answer': 'Length: 9 cm'}","{'score': 0.006127506494522095, 'start': 1, 'end': 13, 'answer': 'Length: 9 cm'}",Aluminium,Aluminium alloy hinged bollards,Pr_20_76_08_03,Technical elements,Furnishings,Sanitary fittings and accessories,0.006127506494522095,,,,146.0
329,103HAR343-1,Cast aluminum cabinet handle cm,0.02,kg,pc,"
Length: 7 cm
",Hardware,https://rotordc.com/shop/product/103har343-1-cast-aluminum-cabinet-handle-7-cm-51189?page=8&category=37,,12.0,12.0,,,,,,,,,,0.0,,2022-08-02,BE,rotordc,fr,0,,"{'score': 5.749312549596652e-06, 'start': 8, 'end': 13, 'answer': ' 7 cm'}","{'score': 0.09114555269479752, 'start': 1, 'end': 13, 'answer': 'Length: 7 cm'}","{'score': 0.006404221523553133, 'start': 1, 'end': 13, 'answer': 'Length: 7 cm'}",Aluminium,Aluminium alloy hinged bollards,Pr_20_76_08_03,Technical elements,Furnishings,Sanitary fittings and accessories,0.006404221523553133,,,,
330,103HAR343,Cast aluminum cabinet handle cm,0.02,kg,pc,"
Length: 11 cm
",Hardware,https://rotordc.com/shop/product/103har343-cast-aluminum-cabinet-handle-11cm-51188?page=8&category=37,,7.01,7.0,,,,,,,,,,0.0,,2022-08-02,BE,rotordc,fr,0,,"{'score': 1.1769314369303174e-05, 'start': 8, 'end': 14, 'answer': ' 11 cm'}","{'score': 0.08307085186243057, 'start': 1, 'end': 14, 'answer': 'Length: 11 cm'}","{'score': 0.008865267969667912, 'start': 1, 'end': 8, 'answer': 'Length:'}",Aluminium,Aluminium alloy hinged bollards,Pr_20_76_08_03,Technical elements,Furnishings,Sanitary fittings and accessories,0.008865267969667912,,,,
333,103HAR322,Aluminum cabinet handle,0.05,kg,pc,"
Base Diameter: 7 cm
Height: 2,5 cm
",Hardware,https://rotordc.com/shop/product/103har322-aluminum-cabinet-handle-51182?page=9&category=37,,9.0,9.0,,,,,,,,,,0.0,,2022-08-02,BE,rotordc,fr,0,,"{'score': 4.6668254071846604e-05, 'start': 1, 'end': 5, 'answer': 'Base'}","{'score': 0.3915737271308899, 'start': 1, 'end': 20, 'answer': 'Base Diameter: 7 cm'}","{'score': 0.004739891737699509, 'start': 15, 'end': 20, 'answer': ' 7 cm'}",Aluminium,Aluminium alloy hinged bollards,Pr_20_76_08_03,Furnishings,Furnishings,Sanitary fittings and accessories,0.004739891737699509,,,,
