,Feature,Importance
5,Price_Change,0.9108477
2,Latest_Price,0.033488605
1,Initial_Price,0.0155381
0,Weight,0.015256229
15,Category_Hardware,0.008727229
63,material_emb_Aluminium,0.008473294
185,second_level_Other,0.0059899925
196,third_level_Sanitary fittings and accessories,0.0016788356
149,Belgium_Code_Pr_20_76_51_09,0.0
138,Belgium_Raw_Steel spiles,0.0
130,Belgium_Raw_Round pin socket outlets,0.0
131,Belgium_Raw_Solar-powered illuminated bollards,0.0
132,Belgium_Raw_Solenoid latches and locks,0.0
133,Belgium_Raw_Stainless steel fascias,0.0
134,Belgium_Raw_Stainless steel hook bolts,0.0
135,Belgium_Raw_Stainless steel screws,0.0
136,Belgium_Raw_Stainless steel welded circular tubes,0.0
137,Belgium_Raw_Steel plant containers,0.0
140,Belgium_Raw_Track circuit receivers,0.0
139,Belgium_Raw_Stretcher drive brackets,0.0
148,Belgium_Code_Pr_20_76_08_03,0.0
141,Belgium_Raw_Wattmeters,0.0
128,Belgium_Raw_Projectors,0.0
142,Belgium_Raw_Whiteboards,0.0
143,Belgium_Code_Pr_20_29_08_85,0.0
144,Belgium_Code_Pr_20_29_14_15,0.0
145,Belgium_Code_Pr_20_29_23_65,0.0
146,Belgium_Code_Pr_20_29_76_86,0.0
147,Belgium_Code_Pr_20_29_87_52,0.0
129,Belgium_Raw_Pull handles,0.0
125,Belgium_Raw_Pendant luminaires,0.0
127,Belgium_Raw_Plastics skirtings,0.0
115,Belgium_Raw_Copper plating,0.0
106,Belgium_Raw_Aluminium brise-soleil louvre blades,0.0
107,Belgium_Raw_Aluminium skirtings,0.0
108,Belgium_Raw_Arrises,0.0
109,Belgium_Raw_Brass sections,0.0
110,Belgium_Raw_Cabinet and countertop hinges,0.0
111,"Belgium_Raw_Cables, conductors and fittings products",0.0
112,Belgium_Raw_Cast and wrought iron brackets,0.0
113,Belgium_Raw_Coaxial cables,0.0
114,Belgium_Raw_Conference tables,0.0
116,Belgium_Raw_Coupler connections,0.0
126,Belgium_Raw_Plastics dowel bar caps,0.0
117,Belgium_Raw_Drafting machines,0.0
118,Belgium_Raw_Filing cabinets,0.0
119,Belgium_Raw_Fire dampers,0.0
120,Belgium_Raw_Flange adaptors,0.0
121,Belgium_Raw_Metal skirtings,0.0
122,Belgium_Raw_Metal sways,0.0
123,Belgium_Raw_Meter cabinets,0.0
124,Belgium_Raw_Office tables,0.0
151,Belgium_Code_Pr_20_76_71_82,0.0
150,Belgium_Code_Pr_20_76_52_86,0.0
154,Belgium_Code_Pr_30_36_36_11,0.0
152,Belgium_Code_Pr_20_85_09_17,0.0
153,Belgium_Code_Pr_20_85_34_84,0.0
178,Belgium_Code_Pr_75_30_27_81,0.0
179,Belgium_Code_Pr_80_51_51_98,0.0
180,Belgium_Code_Pr_80_77_28_52,0.0
181,first_level_Technical elements,0.0
182,"second_level_Blocks, Panels, Fences, Bricks",0.0
183,"second_level_Covering, Finish",0.0
184,second_level_Furnishings,0.0
186,"second_level_Stairs, Ramps, Lift, Hardware",0.0
187,third_level_Fastener products,0.0
188,"third_level_Floor plates, gratings and edgings",0.0
189,third_level_Glass blocks and panels,0.0
190,third_level_Handrails,0.0
191,third_level_Hardware products,0.0
192,"third_level_Lighting columns, brackets and bollards",0.0
193,third_level_Masonry walling units,0.0
194,third_level_Other,0.0
195,third_level_Power and lighting outlet products,0.0
197,third_level_Sectional products,0.0
198,third_level_Shaft-lining products,0.0
199,third_level_Trim products,0.0
200,third_level_Unit covering and finish products,0.0
177,Belgium_Code_Pr_70_75_72_80,0.0
176,Belgium_Code_Pr_70_75_70_88,0.0
175,Belgium_Code_Pr_70_70_48_62,0.0
163,Belgium_Code_Pr_40_30_25_96,0.0
104,material_emb_Wrought iron,0.0
155,Belgium_Code_Pr_30_36_59_64,0.0
156,Belgium_Code_Pr_30_59_09_03,0.0
157,Belgium_Code_Pr_35_31_68_19,0.0
158,Belgium_Code_Pr_35_90_28_83,0.0
159,Belgium_Code_Pr_35_90_43_02,0.0
160,Belgium_Code_Pr_35_90_43_04,0.0
161,Belgium_Code_Pr_35_90_43_59,0.0
162,Belgium_Code_Pr_35_90_43_63,0.0
164,Belgium_Code_Pr_40_30_87_29,0.0
174,Belgium_Code_Pr_65_72_97_72,0.0
165,Belgium_Code_Pr_40_50_21_15,0.0
