,Feature,Importance
21,"first_level_Wall, Barriers, Pannels",0.38882157
0,Weight,0.22107002
22,"second_level_Blocks, Panels, Fences, Bricks",0.17234193
1,Initial_Price,0.13599826
2,Latest_Price,0.08176824
14,Store_rotordc,0.0
24,"third_level_Floor plates, gratings and edgings",0.0
23,"second_level_Floors, Ceiling",0.0
20,"first_level_Roof, Slabs, Stairs",0.0
19,first_level_Other,0.0
18,Belgium_Code_Pr_35_93_96_19,0.0
17,Belgium_Raw_Ceramic tiles,0.0
16,material_emb_Ceramic,0.0
15,Language_fr,0.0
13,Country_BE,0.0
12,Category_Wall Cladding,0.0
11,Category_Floors,0.0
10,Category_Floor,0.0
9,Height,0.0
8,Width,0.0
7,Length,0.0
6,Quantity_Change,0.0
5,Price_Change,0.0
4,Stock_Now,0.0
3,Initial_Stock,0.0
25,third_level_Glass blocks and panels,0.0
