,Feature,Importance
94,Belgium_Raw_Stainless steel door frames,0.11573731
139,first_level_Other,0.10988721
12,Category_Doors,0.107157655
11,Category_Door,0.08847279
2,Latest_Price,0.06636635
54,material_emb_Brass,0.05643942
72,material_emb_Stainless steel,0.05382788
152,third_level_Sanitary fittings and accessories,0.052844625
5,Price_Change,0.043142743
95,Belgium_Raw_Stainless steel door leaves,0.037308298
0,Weight,0.03690687
145,third_level_Furnishings,0.031118253
1,Initial_Price,0.024321323
74,material_emb_Wood,0.022170423
102,Belgium_Raw_Wood door frames,0.019638227
137,first_level_Furnishings,0.019246818
146,third_level_Glass blocks and panels,0.019102504
144,"third_level_Floor plates, gratings and edgings",0.016897632
140,"first_level_Roof, Slabs, Stairs",0.016464185
53,material_emb_Architectural glass,0.014635638
142,"first_level_Wall, Barriers, Pannels",0.013561886
104,Belgium_Raw_Wood panelled door leaves,0.013376074
70,material_emb_Sitka spruce,0.012886977
103,Belgium_Raw_Wood doorsets,0.004487218
14,Category_Hardware,0.0040017
109,Belgium_Code_Pr_30_36_36_21,0.0
108,Belgium_Code_Pr_30_36_36_11,0.0
100,Belgium_Raw_Window hinges,0.0
107,Belgium_Code_Pr_30_36_08_36,0.0
85,Belgium_Raw_Door locks,0.0
106,Belgium_Code_Pr_25_71_57_33,0.0
105,Belgium_Raw_Wood window walls,0.0
101,Belgium_Raw_Window walls,0.0
86,Belgium_Raw_Frameless glass door leaves,0.0
99,Belgium_Raw_WC pans,0.0
98,Belgium_Raw_Uncontrolled door closers,0.0
97,Belgium_Raw_Trellises,0.0
96,Belgium_Raw_Stainless steel doorsets,0.0
88,Belgium_Raw_Glass infill gate leaves,0.0
87,Belgium_Raw_Gates and turnstiles,0.0
93,Belgium_Raw_Single axis door hinges,0.0
92,Belgium_Raw_Refrigerated display cabinet doors,0.0
91,Belgium_Raw_Glazed pavement light panels,0.0
111,Belgium_Code_Pr_30_36_36_96,0.0
90,Belgium_Raw_Glassware,0.0
89,Belgium_Raw_Glass noise barrier panels,0.0
110,Belgium_Code_Pr_30_36_36_79,0.0
118,Belgium_Code_Pr_30_59_23_84,0.0
112,Belgium_Code_Pr_30_36_59_25,0.0
138,first_level_Openings,0.0
131,Belgium_Code_Pr_30_59_99_96,0.0
132,Belgium_Code_Pr_35_90_43_04,0.0
133,Belgium_Code_Pr_40_20_93_94,0.0
134,Belgium_Code_Pr_40_70_23_36,0.0
135,Belgium_Code_Pr_45_63_64_90,0.0
136,Belgium_Code_Pr_65_12_71_10,0.0
141,first_level_Structural elements,0.0
113,Belgium_Code_Pr_30_36_59_92,0.0
143,"second_level_Door, Windows, Gates",0.0
147,third_level_Handrails,0.0
148,"third_level_Lighting columns, brackets and bollards",0.0
149,"third_level_Non-rigid sheet, mat and strip covering and finish products",0.0
150,third_level_Other,0.0
151,third_level_Safety cages,0.0
130,Belgium_Code_Pr_30_59_99,0.0
129,Belgium_Code_Pr_30_59_98_02,0.0
128,Belgium_Code_Pr_30_59_61_35,0.0
127,Belgium_Code_Pr_30_59_34,0.0
126,Belgium_Code_Pr_30_59_33_34,0.0
125,Belgium_Code_Pr_30_59_24_97,0.0
124,Belgium_Code_Pr_30_59_24_85,0.0
123,Belgium_Code_Pr_30_59_24_70,0.0
122,Belgium_Code_Pr_30_59_24_02,0.0
121,Belgium_Code_Pr_30_59_23_98,0.0
120,Belgium_Code_Pr_30_59_23_96,0.0
119,Belgium_Code_Pr_30_59_23_85,0.0
83,Belgium_Raw_Door hinges,0.0
117,Belgium_Code_Pr_30_59_23_32,0.0
116,Belgium_Code_Pr_30_59_23_16,0.0
115,Belgium_Code_Pr_30_59_23_03,0.0
114,Belgium_Code_Pr_30_59_23,0.0
84,Belgium_Raw_Door lever handle sets,0.0
77,Belgium_Raw_Aluminium window units,0.0
82,Belgium_Raw_Door frames and leaves,0.0
31,"Technical_Mode d’assemblage :
Préconisations de dépose : Déjà déposées",0.0
25,Material_Composé,0.0
26,Material_Inox,0.0
27,Material_Métal,0.0
28,Material_Verre,0.0
29,"Technical_Mode d’assemblage :
Préconisations de dépose :",0.0
30,"Technical_Mode d’assemblage :
Préconisations de dépose : Déjà déposée",0.0
32,"Technical_Mode d’assemblage :
Préconisations de dépose : À dégonder",0.0
23,Material_Aluminium,0.0
33,"Technical_Mode d’assemblage : Cadre pris dans cloison en bois, difficilement récupérable.
Préconisations de dépose : Récupérer simplement panneaux",0.0
34,"Technical_Mode d’assemblage : Cadre-faux-cadre en bois pris dans maçonnerie
Préconisations de dépose : Cadre difficilement récupérable",0.0
35,"Technical_Mode d’assemblage : Cadre-faux-cadre.
Préconisations de dépose : Cadre potentiellement pas récupérable",0.0
36,"Technical_Mode d’assemblage : Sur gonds
Préconisations de dépose : Stocker les portes droites, si possible enlever les poignées pour éviter de briser les verres",0.0
37,"Technical_Mode d’assemblage : Sur gonds
Préconisations de dépose : À dégonder",0.0
38,"Technical_Mode d’assemblage : Vissé
Préconisations de dépose : Facile",0.0
24,Material_Bois,0.0
22,Material_Acier,0.0
40,"Technical_Mode d’assemblage : Vissé à la poste
Préconisations de dépose : Disponible du 05.06.2023 au 16.06.2023",0.0
10,Category_Cloisons,0.0
3,Initial_Stock,0.0
4,Stock_Now,0.0
6,Quantity_Change,0.0
7,Length,0.0
8,Width,0.0
9,Height,0.0
13,Category_Furniture,0.0
21,Condition_Correct,0.0
15,Category_Lighting,0.0
16,Category_Per Building,0.0
17,Category_Per building,0.0
18,Category_Portes et fenêtres,0.0
19,Category_Quincaillerie,0.0
20,Category_Wood,0.0
39,"Technical_Mode d’assemblage : Vissé sur le cadre de porte et la porte
Préconisations de dépose :",0.0
41,Collection_Beaumont : Démontage prévu en printemps 2023,0.0
81,Belgium_Raw_Composite door leaves,0.0
69,material_emb_Safety glass,0.0
63,material_emb_Oak,0.0
64,material_emb_Patterned glass,0.0
65,material_emb_Pine,0.0
66,material_emb_Pisé,0.0
67,material_emb_Porcelain,0.0
68,material_emb_Prismatic glass,0.0
