,Feature,Importance
121,Belgium_Raw_Terrazzo tiles,0.21712464
82,material_emb_Terracotta,0.15007183
8,Width,0.13154662
12,Category_Floor,0.10527705
5,Price_Change,0.1018821
165,first_level_Furnishings,0.07712279
2,Latest_Price,0.026936196
50,material_emb_Coloured glass,0.023778612
27,Category_Wood,0.02284244
4,Stock_Now,0.022278475
9,Height,0.01711215
175,"third_level_Lighting columns, brackets and bollards",0.016706722
0,Weight,0.012259707
1,Initial_Price,0.011965982
173,third_level_Glass blocks and panels,0.01103592
46,material_emb_Architectural glass,0.010044216
169,"first_level_Wall, Barriers, Pannels",0.008848172
167,"first_level_Roof, Slabs, Stairs",0.008612708
13,Category_Floors,0.007068532
166,first_level_Other,0.005218217
176,"third_level_Non-rigid sheet, mat and strip covering and finish products",0.005121834
171,"third_level_Floor plates, gratings and edgings",0.0038350215
106,Belgium_Raw_Laminboard core plywoods,0.0033101328
127,Belgium_Code_Pr_20_65_60_47,0.0
129,Belgium_Code_Pr_20_85_85_11,0.0
117,Belgium_Raw_Rigid polyurethane frame roof window units,0.0
126,Belgium_Code_Pr_20_31_53_86,0.0
130,Belgium_Code_Pr_20_85_85_84,0.0
125,Belgium_Raw_Wood oils,0.0
128,Belgium_Code_Pr_20_85_08_36,0.0
124,Belgium_Raw_Wall-hung urinals,0.0
131,Belgium_Code_Pr_25_30_85_03,0.0
123,Belgium_Raw_Wall and floor tile units,0.0
122,Belgium_Raw_WC pans,0.0
132,Belgium_Code_Pr_25_57_06_30,0.0
120,Belgium_Raw_Terrazzo mix ,0.0
119,Belgium_Raw_Stainless steel stools,0.0
118,Belgium_Raw_Sinks,0.0
108,Belgium_Raw_Lantern lights,0.0
116,Belgium_Raw_Radiators,0.0
115,Belgium_Raw_Quarry tiles,0.0
99,Belgium_Raw_Footstools,0.0
100,Belgium_Raw_Framed rooflights,0.0
101,Belgium_Raw_Glass brise-soleil louvre blades,0.0
102,Belgium_Raw_Glass panels,0.0
103,Belgium_Raw_Glazed floorlight panels,0.0
104,Belgium_Raw_Glazed pavement light panels,0.0
105,Belgium_Raw_Hardwood beams,0.0
107,Belgium_Raw_Lamps,0.0
134,Belgium_Code_Pr_25_71_50_15,0.0
109,Belgium_Raw_Light-gauge steel floors and roofs,0.0
110,Belgium_Raw_Multilayer flooring,0.0
111,Belgium_Raw_Murals,0.0
112,Belgium_Raw_Particleboards,0.0
113,Belgium_Raw_Pendant luminaires,0.0
114,Belgium_Raw_Plastics lighting bollards,0.0
133,Belgium_Code_Pr_25_71_33_35,0.0
143,Belgium_Code_Pr_35_31_06_55,0.0
135,Belgium_Code_Pr_25_71_97_46,0.0
164,Belgium_Code_Pr_80_77_48_63,0.0
157,Belgium_Code_Pr_40_70_86_08,0.0
158,Belgium_Code_Pr_60_50_20,0.0
159,Belgium_Code_Pr_65_72_97_16,0.0
160,Belgium_Code_Pr_70_60_36_73,0.0
