,Feature,Importance
128,Belgium_Raw_Glassware,0.19889511
12,Category_Door,0.094484776
83,material_emb_Prismatic glass,0.077494815
232,first_level_Other,0.0565316
51,material_emb_Aluminium,0.053950362
21,Category_Objet Trouvé,0.048279315
84,material_emb_Reflective glass,0.046040066
236,"second_level_Blocks, Panels, Fences, Bricks",0.04401962
76,material_emb_Patterned glass,0.039983515
235,"first_level_Wall, Barriers, Pannels",0.037916187
2,Latest_Price,0.026219841
5,Price_Change,0.02126015
240,second_level_Other,0.020587727
30,Category_Wood,0.020476762
0,Weight,0.020222036
4,Stock_Now,0.017816842
58,material_emb_Coloured glass,0.017581923
13,Category_Doors,0.017300092
52,material_emb_Architectural glass,0.0172293
16,Category_Furniture,0.016273953
1,Initial_Price,0.015919235
19,Category_Lighting,0.015432492
238,"second_level_Floors, Ceiling",0.014436247
237,"second_level_Door, Windows, Gates",0.013533133
230,first_level_Furnishings,0.010476214
93,material_emb_Wood,0.0103968475
158,Belgium_Raw_Wood panelled door leaves,0.009990807
233,"first_level_Roof, Slabs, Stairs",0.008765306
157,Belgium_Raw_Wood doorsets,0.0050743953
156,Belgium_Raw_Wood door frames,0.0017641815
17,Category_Hardware,0.0016472181
174,Belgium_Code_Pr_25_71_33_40,0.0
173,Belgium_Code_Pr_25_71_33_39,0.0
178,Belgium_Code_Pr_25_71_57_38,0.0
162,Belgium_Code_Pr_15_31_26_31,0.0
163,Belgium_Code_Pr_20_65_34,0.0
164,Belgium_Code_Pr_20_76_08_03,0.0
165,Belgium_Code_Pr_20_93_33_34,0.0
166,Belgium_Code_Pr_20_93_52_10,0.0
177,Belgium_Code_Pr_25_71_57_33,0.0
176,Belgium_Code_Pr_25_71_57_24,0.0
175,Belgium_Code_Pr_25_71_50_24,0.0
167,Belgium_Code_Pr_25_30_85_03,0.0
168,Belgium_Code_Pr_25_30_90_12,0.0
169,Belgium_Code_Pr_25_57_06_30,0.0
170,Belgium_Code_Pr_25_71_33_03,0.0
161,Belgium_Raw_Wood window walls,0.0
