,Feature,Importance
12,material_state_new,0.06800097
302,location_RENNES,0.057885885
246,location_ARGENTEUIL,0.04643856
294,location_PARIS-1ER-ARRONDISSEMENT,0.0459629
279,location_MARSEILLE-13E--ARRONDISSEMENT,0.037847225
301,location_PUTEAUX,0.03684614
298,location_PARIS-9E-ARRONDISSEMENT,0.035985146
261,location_CHEVILLY-LARUE,0.031881217
51,category_linoleum_pvc_vinyl,0.028693989
285,location_NEUILLY-SUR-SEINE,0.027746793
271,location_LA MADELEINE,0.026998334
260,location_CHELLES,0.026535138
7,Length,0.02529317
278,location_MARSEILLE--2E--ARRONDISSEMENT,0.024398863
174,BIM_class_C.30.30.01.1a,0.020438276
288,location_PARIS-10E-ARRONDISSEMENT,0.017263424
132,BIM_class_C.10.20.02.1b,0.017172998
305,location_SAINT-ETIENNE,0.017064417
531,"second_level_Blocks, Panels, Fences, Bricks",0.016820025
8,Width,0.016742833
266,location_EPERNAY,0.016071692
175,BIM_class_C.30.30.01.1b,0.015778422
276,location_LYON--3E--ARRONDISSEMENT,0.015694499
314,location_VILLENEUVE-SAINT-GEORGES,0.015264748
334,material_emb_Architectural glass,0.01452863
281,location_MONTIGNY-LES-CORMEILLES,0.013521043
425,French_Raw_Soffit grilles,0.012668787
312,location_STRASBOURG,0.011272081
292,location_PARIS-15E-ARRONDISSEMENT,0.011115
541,third_level_Glass blocks and panels,0.010916664
256,location_CHATEAUROUX,0.010020307
10,material_state_correct,0.010012704
290,location_PARIS-13E-ARRONDISSEMENT,0.009816798
11,material_state_damaged,0.009674973
0,price_initial,0.009463563
277,location_LYON--6E--ARRONDISSEMENT,0.008148494
297,location_PARIS-8E-ARRONDISSEMENT,0.008046421
9,Height,0.007881022
532,"second_level_Covering, Finish",0.007428698
551,third_level_Space heating and cooling products,0.00736548
185,BIM_class_C.30.30.01.2,0.006343587
336,material_emb_Compressed air,0.006172173
540,third_level_Furnishings,0.0060483143
424,French_Raw_Sliding shutter doorsets,0.0059482683
1,price_latest,0.0053030336
356,material_emb_Sitka spruce,0.0052745934
62,category_other_production_of_heat,0.0051213168
533,"second_level_Door, Windows, Gates",0.0048010647
404,French_Raw_Metal suspended ceiling hangers,0.0046933168
43,category_glass_interior_door,0.004633065
3,quantity_latest,0.004606183
539,"third_level_Floor plates, gratings and edgings",0.0045808386
552,third_level_Structural roofing units,0.004378607
534,"second_level_Floors, Ceiling",0.0043627247
4,price,0.004208866
215,BIM_class_D.30.50.02.2a,0.0041961013
406,French_Raw_Pendant luminaires,0.00416544
150,BIM_class_C.20.10.01.2a,0.0039836615
542,third_level_Handrails,0.0039678933
17,category_air_heating_cooling_distribution,0.003835955
427,French_Raw_Stair trims,0.0034676853
537,"second_level_Stairs, Ramps, Lift, Hardware",0.0034515723
14,material_state_verygood,0.0033765326
320,material_type_used,0.003315035
15,category_WC,0.0031617316
536,second_level_Other,0.002662292
287,location_ORLEANS,0.0023036913
549,third_level_Safety cages,0.0022521387
344,material_emb_Gravel,0.0021833547
400,French_Raw_Lacquers,0.002155895
32,category_exterior_building_stair,0.0020504564
343,material_emb_Granule,0.002011189
319,material_type_reconditioned,0.0019992776
274,location_LEVALLOIS-PERRET,0.0019797336
42,category_glass_doors,0.0019315823
350,material_emb_Pisé,0.0016315037
45,category_gypsum_wallboard_ceiling_finishes,0.0015193747
345,material_emb_Heat-absorbing glass,0.0013525661
307,location_SAINT-OUEN,0.0013254624
355,material_emb_Silt,0.0012709841
46,category_handrail,0.0012288784
156,BIM_class_C.20.10.90.2a,0.0011585836
131,BIM_class_C.10.20.02.1a,0.0011047741
112,BIM_class_B.20.30.02.1b,0.0010919885
550,third_level_Sanitary fittings and accessories,0.0010513143
363,material_emb_Wood,0.0009948357
553,third_level_Treads and landing units,0.00063621305
382,French_Raw_Domestic cooking equipment,0.0
414,French_Raw_Rigid stair nosings,0.0
387,French_Raw_Elevator bolts,0.0
386,French_Raw_Doorsets,0.0
385,French_Raw_Door hinges,0.0
415,French_Raw_Roof terminals,0.0
384,French_Raw_Door frames and leaves,0.0
383,French_Raw_Door and window weatherstrips and seals,0.0
381,French_Raw_Desks,0.0
403,French_Raw_Metal skirtings,0.0
380,French_Raw_Cultivated turf,0.0
379,French_Raw_Countertop washbasins,0.0
378,French_Raw_Concrete pavers,0.0
377,French_Raw_Concrete helical stair flight units,0.0
376,French_Raw_Concealed hinges,0.0
375,French_Raw_Coffered ceiling infill units,0.0
374,French_Raw_Ceiling track hoists,0.0
373,French_Raw_Cavity sliding doorsets,0.0
413,French_Raw_Renovating plasters,0.0
388,French_Raw_Equipment heaters,0.0
389,French_Raw_Escalators,0.0
412,French_Raw_Rainwater weirs,0.0
402,French_Raw_Louvre doorsets,0.0
372,French_Raw_Boxed sash window hanging fittings,0.0
401,French_Raw_Light-gauge steel floors and roofs,0.0
405,French_Raw_Pedestal washbasins,0.0
416,French_Raw_Roof ventilator unit,0.0
398,French_Raw_Heat pumps,0.0
397,French_Raw_Heat pump dehumidifiers,0.0
396,French_Raw_Hardwood cladding battens,0.0
407,French_Raw_Points heating harnesses,0.0
395,French_Raw_Glued laminated timber stair landing units,0.0
408,French_Raw_Pre-blended concretes,0.0
394,French_Raw_Gates and turnstiles,0.0
393,French_Raw_Garage door holders,0.0
392,French_Raw_Footstools,0.0
391,French_Raw_Flexible doorsets,0.0
409,French_Raw_Prefabricated balconies,0.0
410,French_Raw_Primer-undercoats,0.0
411,French_Raw_Rail foot insulators,0.0
390,French_Raw_Fibre-cement slates,0.0
399,French_Raw_Jumping equipment,0.0
36,category_fan,0.0
371,French_Raw_Balancing veneers,0.0
323,state_ Quasi neuve,0.0
5,quantity,0.0
333,material_emb_Anti-bandit glass,0.0
332,material_emb_Aluminium,0.0
331,material_emb_Air-entrained concrete,0.0
330,material_emb_Air-cooled steel slag,0.0
329,material_emb_Aerogel,0.0
328,state_ très bon,0.0
327,"state_ neuve,",0.0
326,state_ neuf.,0.0
325,state_ bon,0.0
324,state_ Très bon,0.0
322,state_ Bon,0.0
370,French_Raw_Arrises,0.0
321,country_FR,0.0
318,material_type_new,0.0
317,location_Wavre,0.0
316,location_VOUVRAY,0.0
315,location_VILLERS-LE-LAC,0.0
6,min_quantity,0.0
313,location_VERTOU,0.0
311,location_SAVIGNY-SUR-ORGE,0.0
310,location_SARCELLES,0.0
309,location_SAMES,0.0
308,location_SAINTE-LUCE-SUR-LOIRE,0.0
335,material_emb_Cement,0.0
337,material_emb_Daub,0.0
338,material_emb_Decorative aggregates,0.0
339,material_emb_Encaustic,0.0
369,French_Raw_Aluminium skirtings,0.0
368,French_Raw_Airlift injectors,0.0
367,French_Raw_Air conditioning units,0.0
366,French_Raw_Acoustic duct linings,0.0
365,French_Raw_Acoustic batten cradles,0.0
364,French_Raw_Abutment ventilators,0.0
362,material_emb_Weathering steel,0.0
361,material_emb_Structural glass,0.0
360,material_emb_Stone,0.0
359,material_emb_Steel,0.0
358,material_emb_Spruce,0.0
357,material_emb_Soil,0.0
354,material_emb_Sheet glass,0.0
417,French_Raw_Roofing swags,0.0
352,material_emb_Pre-blended concrete,0.0
351,material_emb_Potable water,0.0
349,material_emb_Metal,0.0
348,material_emb_Lodgepole pine,0.0
347,material_emb_Lignite,0.0
346,material_emb_Insulating concrete,0.0
342,material_emb_Granite,0.0
341,material_emb_Fire clay,0.0
340,material_emb_Expansive concrete,0.0
353,material_emb_Precast architectural concrete,0.0
430,French_Raw_Stone stair treads,0.0
418,French_Raw_Sample coolers,0.0
419,French_Raw_Scaffolding and accessories,0.0
509,French_Code_Pr_40_70_24,0.0
508,French_Code_Pr_40_50_83_44,0.0
507,French_Code_Pr_40_50_21_21,0.0
506,French_Code_Pr_40_50_12_29,0.0
505,French_Code_Pr_40_30_20_97,0.0
504,French_Code_Pr_40_20_96_63,0.0
503,French_Code_Pr_40_20_96_18,0.0
502,French_Code_Pr_40_20_87_76,0.0
501,French_Code_Pr_40_20_06_79,0.0
500,French_Code_Pr_35_93_13_15,0.0
499,French_Code_Pr_35_90_43_98,0.0
