,Feature,Importance
337,location_NEUILLY-SUR-SEINE,0.0567522
352,location_PLOEREN,0.053404346
302,location_ARGENTEUIL,0.036563613
354,location_PUTEAUX,0.034043394
346,location_PARIS-1ER-ARRONDISSEMENT,0.033839036
355,location_RENNES,0.029623227
319,location_GENNEVILLIERS,0.029573794
321,location_LA MADELEINE,0.027154507
336,location_NANTES,0.02522219
303,location_AUBAGNE,0.025150996
58,category_main_switchboard,0.023256714
97,category_windows,0.023012677
344,location_PARIS-15E-ARRONDISSEMENT,0.022795646
47,category_hot_water_boiler,0.02227783
509,French_Raw_Pliable conduit,0.021350533
351,location_PARIS-9E-ARRONDISSEMENT,0.02130329
356,location_RUNGIS,0.020592807
368,material_type_new,0.020206088
340,location_PARIS-10E-ARRONDISSEMENT,0.019896818
311,location_CHEVILLY-LARUE,0.019572973
330,location_MARSEILLE--2E--ARRONDISSEMENT,0.017934082
652,"second_level_Stairs, Ramps, Lift, Hardware",0.015041234
1,price_latest,0.013772352
324,location_LEVALLOIS-PERRET,0.0131157115
331,location_MARSEILLE-13E--ARRONDISSEMENT,0.013088257
343,location_PARIS-13E-ARRONDISSEMENT,0.012817031
46,category_handrail,0.012721992
381,material_emb_Aluminium,0.012386912
353,location_PONTCHARRA,0.012020633
142,BIM_class_C.10.20.01.1f,0.011978772
88,category_solid_exterior_door,0.011174259
151,BIM_class_C.10.20.01.2f,0.0106968125
328,location_LYON--6E--ARRONDISSEMENT,0.010486854
338,location_ORLEANS,0.010183767
364,location_VILLENEUVE-SAINT-GEORGES,0.010028882
0,price_initial,0.009717656
665,third_level_Power and lighting outlet products,0.009598564
332,location_MONTIGNY-LES-CORMEILLES,0.009570631
327,location_LYON--3E--ARRONDISSEMENT,0.009096801
224,BIM_class_D.30.50.02.3a,0.008488812
10,material_state_correct,0.008145028
349,location_PARIS-6E-ARRONDISSEMENT,0.0080528855
647,"second_level_Covering, Finish",0.0077707088
150,BIM_class_C.10.20.01.2e,0.0076868227
651,second_level_Other,0.007418305
39,category_fire_alarm_device,0.0068170796
667,third_level_Sanitary fittings and accessories,0.00673907
350,location_PARIS-8E-ARRONDISSEMENT,0.006549085
369,material_type_reconditioned,0.0061613554
411,material_emb_Net,0.0060656727
370,material_type_used,0.0058556986
308,location_CHATILLON,0.005610496
85,category_simple_solid_doors,0.0055939094
149,BIM_class_C.10.20.01.2d,0.0054494534
8,Width,0.00542887
20,category_cable_path,0.00514773
525,French_Raw_Strip ventilators,0.004940017
658,third_level_Glass blocks and panels,0.0046505514
358,location_SAINT-ETIENNE,0.0045939623
422,material_emb_Reflective glass,0.00431023
673,third_level_Support and restraint products,0.004074913
646,"second_level_Blocks, Panels, Fences, Bricks",0.004016482
393,material_emb_Encaustic,0.0039009263
4,price,0.0038750474
426,material_emb_Sitka spruce,0.0038730064
9,Height,0.0037474402
403,material_emb_Gravel,0.0036988787
3,quantity_latest,0.003632798
671,third_level_Space heating and cooling products,0.0035158983
660,third_level_Hardware products,0.0031615107
388,material_emb_Compressed air,0.0031422414
359,location_SAINT-OUEN,0.0029701695
30,category_electronically_heat,0.0029421144
650,second_level_Furnishings,0.002823994
410,material_emb_Metal,0.0026960992
397,material_emb_Fir,0.0024455076
141,BIM_class_C.10.20.01.1e,0.0024431362
11,material_state_damaged,0.002413062
37,category_fan_coil,0.0022865664
122,BIM_class_B.20.30.01.1e,0.002249375
51,category_intercommunication_system,0.0022328051
227,BIM_class_D.30.50.03.2,0.0021034994
13,material_state_verygood,0.0020340055
69,category_other_production_of_heat,0.0020111862
649,"second_level_Floors, Ceiling",0.0015146647
507,French_Raw_Paging consoles,0.0011918702
55,category_lighting_general_equipment,0.0010004047
498,French_Raw_Metal skirtings,0.000899118
173,BIM_class_C.20.10.90.3a,0.00060369517
442,French_Raw_Air-handling units,0.0
448,French_Raw_Arrises,0.0
430,material_emb_Thermoplastic elastomer resin,0.0
431,material_emb_Vinyl ester resin,0.0
451,French_Raw_Built-in gas hobs,0.0
432,material_emb_Water,0.0
433,material_emb_Weathering steel,0.0
434,material_emb_Wired glass,0.0
450,French_Raw_Belt conveyors,0.0
449,French_Raw_Automatic revolving doorsets,0.0
435,material_emb_Wrought iron,0.0
447,French_Raw_Analogue metering equipment,0.0
441,French_Raw_Air conditioning units,0.0
436,material_emb_Zinc,0.0
437,French_Raw_Acoustic batten cradles,0.0
452,French_Raw_Cable troughs,0.0
439,French_Raw_Air and fume outlet products,0.0
446,French_Raw_Aluminium skirtings,0.0
445,French_Raw_Aluminium shutters,0.0
