,Feature,Importance
261,BIM_class_E.20.20.05.3b,0.06749541
336,location_NEUILLY-SUR-SEINE,0.056629416
433,French_Raw_Arrises,0.049858868
319,location_GENNEVILLIERS,0.03241351
361,location_TOULOUSE,0.029152656
345,location_PARIS-1ER-ARRONDISSEMENT,0.027467234
321,location_LA MADELEINE,0.025687328
343,location_PARIS-15E-ARRONDISSEMENT,0.024651889
353,location_RENNES,0.023944588
330,location_MARSEILLE--2E--ARRONDISSEMENT,0.023390474
363,location_VILLENEUVE-SAINT-GEORGES,0.02229813
375,material_emb_Aluminium,0.022041202
352,location_PUTEAUX,0.021748807
309,location_CHEVILLY-LARUE,0.02159531
340,location_PARIS-10E-ARRONDISSEMENT,0.020376066
292,location_ARGENTEUIL,0.019781837
308,location_CHELLES,0.019329768
331,location_MARSEILLE-13E--ARRONDISSEMENT,0.01925401
310,location_CLERMONT-FERRAND,0.019056076
304,location_CHATEAUROUX,0.018201742
299,location_BRIANCON,0.016870525
350,location_PLOEREN,0.015812567
8,Width,0.01531708
342,location_PARIS-13E-ARRONDISSEMENT,0.015187078
306,location_CHATILLON,0.013643872
436,French_Raw_Bidets,0.012804393
300,location_CHAMPS-SUR-MARNE,0.012769736
294,location_AUBAGNE,0.0126843415
305,location_CHATELLERAULT,0.012491475
368,material_type_used,0.012394614
357,location_SAINT-OUEN,0.012318902
325,location_LEVALLOIS-PERRET,0.012315694
40,category_hot_water_boiler,0.012245718
656,"first_level_Wall, Barriers, Pannels",0.011836822
402,material_emb_Loose surfacing decorative aggregates,0.010858012
348,location_PARIS-8E-ARRONDISSEMENT,0.010406826
673,third_level_Sanitary fittings and accessories,0.0098258415
329,location_LYON--6E--ARRONDISSEMENT,0.009476465
354,location_RUNGIS,0.009313684
500,French_Raw_Plaques,0.008652701
423,material_emb_Steel,0.0070860633
680,third_level_Walling units,0.0070424047
367,material_type_reconditioned,0.006918992
0,price_initial,0.006492418
404,material_emb_Metal,0.0063237334
653,"first_level_Roof, Slabs, Stairs",0.0061181663
488,French_Raw_Metal skirtings,0.0061141816
27,category_exterior_claddings,0.005938874
386,material_emb_Decorative aggregates,0.0058694375
11,material_state_damaged,0.0052583287
427,material_emb_Wood,0.005246315
129,BIM_class_B.20.10.09.a,0.0052448935
662,third_level_Glass blocks and panels,0.00514255
14,material_state_verygood,0.0051355064
409,material_emb_Pisé,0.0049376627
90,category_storage_unit,0.004765718
666,third_level_Masonry walling units,0.004509044
1,price_latest,0.004461096
401,material_emb_Lignite,0.0044179712
3,quantity_latest,0.0043476727
12,material_state_new,0.00412363
349,location_PARIS-9E-ARRONDISSEMENT,0.0040149046
44,category_lavatories,0.0037737195
669,third_level_Power and lighting outlet products,0.0035664868
495,French_Raw_Murals,0.0035582695
241,BIM_class_D.50.20.02.13,0.0035220308
128,BIM_class_B.20.10.02.5,0.0034504943
18,category_balcony_railing_terrace_roof,0.0033437356
104,category_windows,0.0032816066
10,material_state_correct,0.003254579
387,material_emb_Encaustic,0.0032035355
672,third_level_Safety cages,0.0032019354
4,price,0.003201633
655,first_level_Technical elements,0.0030420737
45,category_lighting_general_equipment,0.0026798581
9,Height,0.0026559469
419,material_emb_Sitka spruce,0.0024512203
517,French_Raw_Stainless steel arris armourings,0.0022991507
665,"third_level_Lighting columns, brackets and bollards",0.0022098362
482,French_Raw_Lacquers,0.0021365862
664,third_level_Headwall and swale inlet products,0.0020990835
660,"third_level_Floor plates, gratings and edgings",0.0020700833
448,French_Raw_Column guards,0.0019839413
399,material_emb_Gravel,0.0019121084
356,location_SAINT-ETIENNE,0.0017807223
338,location_ORLEANS,0.0016719062
670,third_level_Prefabricated buildings and structures,0.0016643791
396,material_emb_Granule,0.0008748102
451,French_Raw_Concealed hinges,0.0
438,French_Raw_Built-in gas hobs,0.0
437,French_Raw_Bouldering walls,0.0
453,French_Raw_Concrete pavers,0.0
432,French_Raw_Aluminium skirtings,0.0
452,French_Raw_Concrete bollards,0.0
435,French_Raw_Baths,0.0
450,French_Raw_Commercial gas griddles,0.0
449,French_Raw_Commercial cooking equipment,0.0
654,first_level_Structural elements,0.0
434,French_Raw_Balancing veneers,0.0
447,French_Raw_Column casings,0.0
446,French_Raw_Collapsible timber bollards,0.0
439,French_Raw_Ceramic sinks,0.0
445,French_Raw_Clay tile ornamental fittings,0.0
444,French_Raw_Clay paving tiles,0.0
652,first_level_Other,0.0
443,French_Raw_Clay chimney pots,0.0
442,French_Raw_Clay brick sills,0.0
454,French_Raw_Concrete-framed modules,0.0
440,French_Raw_Ceramic slates,0.0
441,French_Raw_Chemical soils stabilizers,0.0
461,French_Raw_Desks,0.0
455,French_Raw_Container-grown shrubs,0.0
472,French_Raw_Garden awnings,0.0
487,French_Raw_Metal penstocks,0.0
486,French_Raw_Masonry capping and coping units,0.0
485,French_Raw_Made ground,0.0
484,French_Raw_Linen containers,0.0
483,French_Raw_Landscape area fill materials,0.0
481,French_Raw_Joist seals,0.0
480,French_Raw_Irrigation water outlets,0.0
479,French_Raw_High-security safes,0.0
478,French_Raw_Guard barriers,0.0
477,French_Raw_Glazed half-height turnstiles,0.0
476,French_Raw_Glazed enclosures,0.0
475,French_Raw_Glass fins,0.0
474,French_Raw_Glass brise-soleil louvre blades,0.0
473,French_Raw_Glass blocks,0.0
471,French_Raw_Floating decanters,0.0
456,French_Raw_Copper brackets,0.0
470,French_Raw_Fire protection safes,0.0
469,French_Raw_Fire dampers,0.0
468,French_Raw_Fibre-cement slates,0.0
467,French_Raw_Equipment heaters,0.0
466,French_Raw_Electrical diagrams,0.0
465,French_Raw_Electrical connection boxes,0.0
464,French_Raw_Double-capped tubular LED lamps,0.0
463,French_Raw_Door dampers,0.0
462,French_Raw_Display plinths,0.0
430,French_Raw_Aluminium doorsets,0.0
460,French_Raw_Decorative facings,0.0
459,French_Raw_Curtain wall glazing and panel gaskets,0.0
458,French_Raw_Cultivated turf,0.0
457,French_Raw_Copper plating,0.0
431,French_Raw_Aluminium gates,0.0
414,material_emb_Precast architectural concrete,0.0
429,French_Raw_Air curtains,0.0
428,material_emb_Zinc,0.0
392,material_emb_Foamed concrete,0.0
668,third_level_Other,0.0
391,material_emb_Fire clay,0.0
390,material_emb_Fir,0.0
389,material_emb_Figured glass,0.0
388,material_emb_Expansive concrete,0.0
671,third_level_Retaining wall units,0.0
385,material_emb_Copper,0.0
384,material_emb_Coade stone,0.0
383,material_emb_Clinker,0.0
382,material_emb_Cinder concrete,0.0
381,material_emb_Ceramic,0.0
380,material_emb_Cement,0.0
674,third_level_Shaft-lining products,0.0
675,third_level_Space heating and cooling products,0.0
379,material_emb_Bone,0.0
676,third_level_Structural roofing units,0.0
378,material_emb_Basalt,0.0
377,material_emb_Asphalt,0.0
376,material_emb_Architectural glass,0.0
677,third_level_Structure and general products,0.0
678,third_level_Treads and landing units,0.0
679,third_level_Unit covering and finish products,0.0
374,state_ Très bon,0.0
373,state_ Occasion,0.0
372,state_ Neuf,0.0
371,state_ Bon,0.0
370,"state_
2-6 ans et 6-8 ans",0.0
369,country_FR,0.0
667,"third_level_Non-rigid sheet, mat and strip covering and finish products",0.0
393,material_emb_Gas,0.0
394,material_emb_Gases,0.0
411,material_emb_Polycarbonate (PC),0.0
426,material_emb_White poplar,0.0
425,material_emb_Wallaba,0.0
424,material_emb_Stone,0.0
422,material_emb_Stainless steel,0.0
421,material_emb_Spruce,0.0
420,material_emb_Soil,0.0
418,material_emb_Silt,0.0
417,material_emb_Sedimentary rocks,0.0
416,material_emb_Safety glass,0.0
415,material_emb_Reflective glass,0.0
490,French_Raw_Metal-framed structures,0.0
413,material_emb_Pre-blended concrete,0.0
412,material_emb_Potable water,0.0
410,material_emb_Plastics,0.0
395,material_emb_Granite,0.0
657,"second_level_Blocks, Panels, Fences, Bricks",0.0
658,third_level_Air and fume distribution products,0.0
408,material_emb_Patterned glass,0.0
407,material_emb_Neat cement,0.0
406,material_emb_Natural stone dusts,0.0
405,material_emb_Mosaic glass,0.0
659,third_level_Fastener products,0.0
403,material_emb_Mahogany,0.0
661,third_level_Furnishings,0.0
663,third_level_Handrails,0.0
400,material_emb_Heat-resisting glass,0.0
398,material_emb_Grass,0.0
397,material_emb_Graphite,0.0
489,French_Raw_Metal sways,0.0
494,French_Raw_Mural roll coverings,0.0
491,French_Raw_Modular mezzanines,0.0
602,French_Code_Pr_35_90_43_04,0.0
595,French_Code_Pr_35_31_68_19,0.0
596,French_Code_Pr_35_31_68_46,0.0
597,French_Code_Pr_35_31_68_99,0.0
598,French_Code_Pr_35_57_22_54,0.0
