,Feature,Importance
189,location_NEUILLY-SUR-SEINE,0.14932753
278,French_Raw_Window hinges,0.060693856
195,location_PARIS-15E-ARRONDISSEMENT,0.051942136
204,location_RUNGIS,0.047974624
197,location_PARIS-1ER-ARRONDISSEMENT,0.04712451
194,location_PARIS-13E-ARRONDISSEMENT,0.046907965
174,location_CLERMONT-FERRAND,0.04044785
171,location_CHELLES,0.038586862
97,BIM_class_C.10.20.01.1e,0.033002645
202,location_PUTEAUX,0.032021366
162,location_ARGENTEUIL,0.030963186
163,location_AUBAGNE,0.029083086
203,location_RENNES,0.027850788
331,first_level_Furnishings,0.023863027
210,location_VILLENEUVE-SAINT-GEORGES,0.022652302
238,French_Raw_Concealed hinges,0.019251848
212,material_type_reconditioned,0.01891944
185,location_MARSEILLE--2E--ARRONDISSEMENT,0.018513376
199,location_PARIS-8E-ARRONDISSEMENT,0.018413302
191,location_PARIS-10E-ARRONDISSEMENT,0.017457327
206,location_SAINT-OUEN,0.01700373
279,French_Raw_Window walls,0.0128020495
9,Height,0.012078483
332,first_level_Openings,0.009725081
274,French_Raw_Vault doors,0.009656461
24,category_glass_interior_door,0.009296484
219,material_emb_Encaustic,0.008987064
344,third_level_Safety cages,0.008455416
213,material_type_used,0.0073065306
0,price_initial,0.0072257896
218,material_emb_Architectural glass,0.007182749
23,category_glass_doors,0.00710036
334,"first_level_Roof, Slabs, Stairs",0.006867321
13,material_state_verygood,0.0068650097
4,price,0.0057156994
11,material_state_damaged,0.0055781975
42,category_simple_solid_doors,0.0054909857
156,BIM_class_E.20.20.05.5a,0.005354959
3,quantity_latest,0.005271481
80,BIM_class_B.20.30.04.3a,0.0049501746
245,French_Raw_Door hinges,0.004779903
345,third_level_Sanitary fittings and accessories,0.0045899525
43,category_sliding_and_folding_doors,0.004536921
184,location_LYON--6E--ARRONDISSEMENT,0.004362123
182,location_LEVALLOIS-PERRET,0.004268591
340,third_level_Glass blocks and panels,0.004172237
259,French_Raw_Manual trapdoors,0.0041593155
10,material_state_correct,0.003971626
112,BIM_class_C.10.20.02.1a,0.0034396832
8,Width,0.003323884
113,BIM_class_C.10.20.02.1b,0.0033214297
200,location_PARIS-9E-ARRONDISSEMENT,0.0029325795
231,material_emb_Sitka spruce,0.0028666193
336,"first_level_Wall, Barriers, Pannels",0.0026600282
106,BIM_class_C.10.20.01.3e,0.002635221
269,French_Raw_Sliding shutter doorsets,0.0022876651
1,price_latest,0.0018786434
68,BIM_class_B.20.30.02.1b,0.0015161523
45,category_storage_unit,0.00032086275
29,category_lift_and_rolling_doors,6.555925e-05
240,French_Raw_Cranked hinges,0.0
244,French_Raw_Door frames and leaves,0.0
243,French_Raw_Door dampers,0.0
242,French_Raw_Door coordinators,0.0
241,French_Raw_Door and window weatherstrips and seals,0.0
333,first_level_Other,0.0
239,French_Raw_Controlled door closers,0.0
338,"third_level_Floor plates, gratings and edgings",0.0
236,French_Raw_Automatic revolving doorsets,0.0
235,French_Raw_Arrises,0.0
234,French_Raw_Aluminium doorsets,0.0
233,French_Raw_Aluminium door leaves,0.0
339,third_level_Furnishings,0.0
237,French_Raw_Cavity sliding doorsets,0.0
247,French_Raw_Ductwork access doorsets,0.0
337,"second_level_Door, Windows, Gates",0.0
246,French_Raw_Doorsets,0.0
248,French_Raw_Flexible doorsets,0.0
249,French_Raw_Frameless glass door leaves,0.0
250,French_Raw_Freezer blinds,0.0
251,French_Raw_Garage door holders,0.0
252,French_Raw_Gate surrounds and leaves,0.0
253,French_Raw_Gates and turnstiles,0.0
254,French_Raw_Glass fins,0.0
255,French_Raw_Glass louvre window units,0.0
256,French_Raw_High-security doorsets,0.0
257,French_Raw_Linen chute inlet doors,0.0
258,French_Raw_Louvre doorsets,0.0
260,French_Raw_Metal gate surrounds,0.0
232,material_emb_Wood,0.0
229,material_emb_Safety glass,0.0
230,material_emb_Sheet glass,0.0
14,category_awning_canopy_awning,0.0
2,price_change,0.0
209,location_VILLENEUVE-LA-GARENNE,0.0
346,third_level_Space heating and cooling products,0.0
208,location_SAVIGNY-SUR-ORGE,0.0
347,third_level_Structural roofing units,0.0
207,location_SAINTE-LUCE-SUR-LOIRE,0.0
205,location_SAINT-ETIENNE,0.0
12,material_state_new,0.0
15,category_demountable_partitions,0.0
16,category_desc,0.0
17,category_door_hardware,0.0
201,location_PONTCHARRA,0.0
18,category_exterior_building_stair,0.0
198,location_PARIS-20E-ARRONDISSEMENT,0.0
211,material_type_new,0.0
343,third_level_Openings and opening component products,0.0
262,French_Raw_Projection window hinges,0.0
222,material_emb_Heat-absorbing glass,0.0
228,material_emb_Reflective glass,0.0
227,material_emb_Prismatic glass,0.0
226,material_emb_Pisé,0.0
225,material_emb_Patterned glass,0.0
224,material_emb_Metal,0.0
223,material_emb_Insulating glass,0.0
221,material_emb_Gravel,0.0
214,country_FR,0.0
220,material_emb_Fir,0.0
341,third_level_Handrails,0.0
342,"third_level_Lighting columns, brackets and bollards",0.0
217,material_emb_Anti-bandit glass,0.0
216,"state_ neuves jamais servies,",0.0
215,state_ bon,0.0
261,French_Raw_Metal skirtings,0.0
265,French_Raw_Screen door closers,0.0
263,French_Raw_Refrigerators,0.0
