,Feature,Importance
12,material_state_new,0.10510316
190,location_NEUILLY-SUR-SEINE,0.078846656
7,Length,0.06788646
203,location_PARIS-9E-ARRONDISSEMENT,0.053107403
207,location_RENNES,0.043900922
93,BIM_class_C.30.30.01.1b,0.0435337
168,location_CHEVILLY-LARUE,0.042259224
217,material_type_reconditioned,0.041281566
183,location_MARSEILLE-13E--ARRONDISSEMENT,0.036268897
199,location_PARIS-1ER-ARRONDISSEMENT,0.035275385
176,location_LA MADELEINE,0.03457885
294,French_Raw_Water heaters,0.0337006
92,BIM_class_C.30.30.01.1a,0.0299991
158,location_ARGENTEUIL,0.02992451
206,location_PUTEAUX,0.025856232
1,price_latest,0.020292599
194,location_PARIS-10E-ARRONDISSEMENT,0.018406408
8,Width,0.0150360605
196,location_PARIS-13E-ARRONDISSEMENT,0.012332802
11,material_state_damaged,0.012076839
218,material_type_used,0.011652542
185,location_MONTIGNY-LES-CORMEILLES,0.0115863215
198,location_PARIS-15E-ARRONDISSEMENT,0.011402816
195,location_PARIS-12E-ARRONDISSEMENT,0.011189615
211,location_SAINT-OUEN,0.010645779
40,category_lighting_general_equipment,0.009673774
137,BIM_class_D.30.50.02.2b,0.009296114
14,material_state_verygood,0.007541899
274,French_Raw_Pedestal washbasins,0.007468977
229,material_emb_Compressed air,0.007345403
18,category_air_heating_cooling_distribution,0.006891581
28,category_electronically_heat,0.006862202
192,location_ORLEANS,0.006755326
181,location_LYON--6E--ARRONDISSEMENT,0.0066999323
349,first_level_Technical elements,0.0066264444
0,price_initial,0.0064124954
10,material_state_correct,0.006382085
357,"third_level_Lighting columns, brackets and bollards",0.005584515
350,"first_level_Wall, Barriers, Pannels",0.0055633145
347,"first_level_Roof, Slabs, Stairs",0.0054421877
275,French_Raw_Pendant luminaires,0.0054201465
4,price,0.0050818296
3,quantity_latest,0.00480768
244,material_emb_Sitka spruce,0.004774359
353,"third_level_Floor plates, gratings and edgings",0.004243888
120,BIM_class_D.20.10.04.7e,0.0039331834
202,location_PARIS-8E-ARRONDISSEMENT,0.00349592
360,third_level_Space heating and cooling products,0.0030112774
359,third_level_Sanitary fittings and accessories,0.002873407
103,BIM_class_C.30.30.01.2,0.0026975651
39,category_lavatories,0.0025028035
243,material_emb_Silt,0.0024192974
272,French_Raw_Metal suspended ceiling hangers,0.0023239022
121,BIM_class_D.20.10.04.8b,0.002133619
178,location_LEVALLOIS-PERRET,0.0021283228
235,material_emb_Gravel,0.0021279429
118,BIM_class_D.20.10.04.7b,0.0020483055
136,BIM_class_D.30.50.02.2a,0.0016299202
361,third_level_Structural roofing units,0.0009270616
236,material_emb_Heat-absorbing glass,0.0007288747
247,French_Raw_Abutment ventilators,0.0
345,first_level_Furnishings,0.0
246,material_emb_Structural glass,0.0
245,material_emb_Steel,0.0
204,location_PLOEREN,0.0
201,location_PARIS-6E-ARRONDISSEMENT,0.0
242,material_emb_Sheet glass,0.0
241,material_emb_Pisé,0.0
240,material_emb_Patterned glass,0.0
239,material_emb_Metal,0.0
238,material_emb_Lignite,0.0
248,French_Raw_Acoustic batten cradles,0.0
249,French_Raw_Acoustic duct linings,0.0
362,third_level_Treads and landing units,0.0
250,French_Raw_Air and fume outlet products,0.0
