,Feature,Importance
248,location_PARIS-15E-ARRONDISSEMENT,0.061572876
65,category_storage_unit,0.05849069
250,location_PARIS-1ER-ARRONDISSEMENT,0.05146888
246,location_PARIS-13E-ARRONDISSEMENT,0.05036499
227,location_LA MADELEINE,0.036287036
258,location_RENNES,0.034044567
255,location_PLOEREN,0.034031413
259,location_RUNGIS,0.032094847
410,first_level_Other,0.029839562
257,location_PUTEAUX,0.029369976
217,location_CHEVILLY-LARUE,0.027372783
208,location_AUBAGNE,0.025857346
212,location_CHAMPS-SUR-MARNE,0.025848934
235,location_MARSEILLE--2E--ARRONDISSEMENT,0.024948778
264,location_SAVIGNY-SUR-ORGE,0.024895612
211,location_BRIANCON,0.020526478
207,location_ARGENTEUIL,0.020219287
236,location_MARSEILLE-13E--ARRONDISSEMENT,0.018280081
188,BIM_class_E.20.20.05.3b,0.01826157
224,location_GENNEVILLIERS,0.017562404
240,location_NANTES,0.017365798
249,location_PARIS-16E-ARRONDISSEMENT,0.017281318
174,BIM_class_D.50.20.02.6,0.01605822
263,location_SAINT-OUEN,0.015769744
52,category_outdoor_sun_protection_device,0.015512858
11,material_state_damaged,0.014497435
350,French_Raw_Trellises,0.014327379
267,location_VILLENEUVE-SAINT-GEORGES,0.0138239395
331,French_Raw_Lacquers,0.013181724
33,category_lavatories,0.011912881
307,material_emb_Silt,0.010085665
215,location_CHATILLON,0.0099684745
254,location_PARIS-9E-ARRONDISSEMENT,0.009646542
337,French_Raw_Pendant luminaires,0.0093772365
413,first_level_Technical elements,0.008874361
409,first_level_Openings,0.008440918
408,first_level_Furnishings,0.0084197745
420,second_level_Other,0.007960562
343,French_Raw_Sedge,0.007669965
231,location_LEVALLOIS-PERRET,0.0071619353
178,BIM_class_D.50.20.02.9,0.007026639
1,price_latest,0.0065884623
0,price_initial,0.0065801227
9,Height,0.0061855186
35,category_lighting_general_equipment,0.00606097
234,location_LYON--6E--ARRONDISSEMENT,0.0059290845
293,material_emb_Encaustic,0.0058818078
292,material_emb_Decorative aggregates,0.0056019644
253,location_PARIS-8E-ARRONDISSEMENT,0.0054374933
299,material_emb_Gravel,0.004502099
10,material_state_correct,0.0044419207
3,quantity_latest,0.0042724195
8,Width,0.004135625
414,"first_level_Wall, Barriers, Pannels",0.0038355824
256,location_PONTCHARRA,0.0037957001
171,BIM_class_D.50.20.02.3,0.0036290823
308,material_emb_Sitka spruce,0.0033838542
304,material_emb_Pisé,0.0033720809
