,Feature,Importance
34,category_demountable_partitions,0.040181614
323,location_CHOLET,0.03812849
349,location_NEUILLY-SUR-SEINE,0.03764465
462,French_Raw_Bureaux,0.036901377
366,location_PUTEAUX,0.031927153
322,location_CHEVILLY-LARUE,0.031327948
313,location_AUBAGNE,0.031322103
367,location_RENNES,0.02849777
363,location_PARIS-9E-ARRONDISSEMENT,0.02823892
364,location_PLOEREN,0.026289495
331,location_GENNEVILLIERS,0.025040284
341,location_MARSEILLE--2E--ARRONDISSEMENT,0.023292273
359,location_PARIS-1ER-ARRONDISSEMENT,0.02049939
378,location_STRASBOURG,0.02032308
152,BIM_class_C.10.10.02.9,0.018952781
365,location_PONTCHARRA,0.018406551
354,location_PARIS-13E-ARRONDISSEMENT,0.01774336
164,BIM_class_C.10.30.02.5,0.016747199
353,location_PARIS-12E-ARRONDISSEMENT,0.016137546
338,location_LYON--3E--ARRONDISSEMENT,0.015858723
333,location_LA MADELEINE,0.01585006
342,location_MARSEILLE-13E--ARRONDISSEMENT,0.0156416
346,location_NANCY,0.01562518
436,material_emb_Perlite aggregates,0.015306043
2,price_change,0.014612738
110,BIM_class_B.10.10.01.2a,0.01460737
133,BIM_class_B.20.20.05.2e,0.01427372
332,location_ISSY-LES-MOULINEAUX,0.01408133
348,location_NANTES,0.013865216
318,location_CHAMPS-SUR-MARNE,0.012989782
380,location_VILLENEUVE-SAINT-GEORGES,0.012064526
312,location_ARGENTEUIL,0.011777101
356,location_PARIS-15E-ARRONDISSEMENT,0.011104245
50,category_gypsum_wallboard_ceiling_finishes,0.010650414
357,location_PARIS-16E-ARRONDISSEMENT,0.00999887
368,location_RUNGIS,0.009060703
371,location_SAINT-OUEN,0.008322257
0,price_initial,0.0081659835
339,location_LYON--6E--ARRONDISSEMENT,0.007859165
533,first_level_Technical elements,0.0075524757
320,location_CHATILLON,0.007480526
453,material_emb_White poplar,0.007438552
78,category_ovens,0.007391987
1,price_latest,0.0073349103
8,Width,0.0068754884
386,material_type_used,0.0068361764
362,location_PARIS-8E-ARRONDISSEMENT,0.0066944123
385,material_type_reconditioned,0.006478365
85,category_seated,0.006183201
10,material_state_correct,0.006181409
351,location_PARIS-10E-ARRONDISSEMENT,0.0060619516
