,Feature,Importance
128,location_NEUILLY-SUR-SEINE,0.26306382
82,BIM_class_C.20.10.90.2e,0.13246493
8,Width,0.115275934
136,location_PARIS-1ER-ARRONDISSEMENT,0.057224825
182,French_Raw_Metal skirtings,0.04954624
229,second_level_Other,0.03503012
105,location_AUBAGNE,0.032124404
38,category_solid_exterior_door,0.022774545
170,French_Raw_Corner guards,0.02144692
190,French_Raw_Vault doors,0.016432708
156,material_emb_Gravel,0.015786793
154,material_emb_Encaustic,0.015280663
14,category_balcony_railing_terrace_roof,0.015061413
13,material_state_verygood,0.014670034
10,material_state_correct,0.013208296
222,first_level_Other,0.0127153285
228,"second_level_Door, Windows, Gates",0.0125774825
161,material_emb_Silt,0.011183614
138,location_PARIS-8E-ARRONDISSEMENT,0.011040027
35,category_security_system,0.009121003
159,material_emb_Pisé,0.009096888
123,location_LYON--6E--ARRONDISSEMENT,0.008951102
11,material_state_damaged,0.008866389
139,location_PARIS-9E-ARRONDISSEMENT,0.008694506
3,quantity_latest,0.0075949654
225,"first_level_Wall, Barriers, Pannels",0.007180324
0,price_initial,0.006944261
226,"second_level_Blocks, Panels, Fences, Bricks",0.0064248475
121,location_LEVALLOIS-PERRET,0.006360602
171,French_Raw_Door hinges,0.006183686
168,French_Raw_Column guards,0.006058636
4,price,0.0059532775
94,BIM_class_E.20.20.05.5a,0.0049952264
21,category_handrail,0.004905364
40,category_storage_unit,0.0043283124
221,first_level_Openings,0.0042073163
175,French_Raw_Gates and turnstiles,0.0040051267
36,category_simple_solid_doors,0.0036566025
223,"first_level_Roof, Slabs, Stairs",0.0033278025
33,category_railing,0.0023333847
79,BIM_class_C.20.10.90.2a,0.002318764
24,category_lift_and_rolling_doors,0.0015835048
167,French_Raw_Automatic revolving doorsets,0.0
129,location_ORLEANS,0.0
157,material_emb_Metal,0.0
158,material_emb_Net,0.0
160,material_emb_Safety glass,0.0
169,French_Raw_Concealed hinges,0.0
162,material_emb_Sitka spruce,0.0
163,material_emb_Steel,0.0
164,material_emb_Wood,0.0
165,French_Raw_Alarms,0.0
166,French_Raw_Arrises,0.0
135,location_PARIS-16E-ARRONDISSEMENT,0.0
153,material_emb_Bone,0.0
155,material_emb_Fire clay,0.0
130,location_PARIS-10E-ARRONDISSEMENT,0.0
137,location_PARIS-20E-ARRONDISSEMENT,0.0
133,location_PARIS-13E-ARRONDISSEMENT,0.0
140,location_PONTCHARRA,0.0
141,location_PUTEAUX,0.0
132,location_PARIS-12E-ARRONDISSEMENT,0.0
131,location_PARIS-11E-ARRONDISSEMENT,0.0
143,location_RUNGIS,0.0
144,location_SAINT-ETIENNE,0.0
145,location_SAINT-OUEN,0.0
146,location_VILLENEUVE-SAINT-GEORGES,0.0
147,material_type_new,0.0
148,material_type_reconditioned,0.0
149,material_type_used,0.0
150,country_FR,0.0
151,state_ bon,0.0
152,material_emb_Anti-bandit glass,0.0
134,location_PARIS-15E-ARRONDISSEMENT,0.0
