,Feature,Importance
277,location_NEUILLY-SUR-SEINE,0.0686332
285,location_PARIS-15E-ARRONDISSEMENT,0.035770234
294,location_RENNES,0.0343872
302,location_VILLENEUVE-SAINT-GEORGES,0.03436225
293,location_PUTEAUX,0.033966765
241,location_ARGENTEUIL,0.033943836
295,location_RUNGIS,0.030309457
263,location_LA MADELEINE,0.028731361
402,French_Raw_Pliable conduit,0.0280462
291,location_PLOEREN,0.027756525
259,location_GENNEVILLIERS,0.027001705
257,location_EPERNAY,0.025614677
287,location_PARIS-1ER-ARRONDISSEMENT,0.024867505
290,location_PARIS-9E-ARRONDISSEMENT,0.024303855
276,location_NANTES,0.022934616
542,"second_level_Stairs, Ramps, Lift, Hardware",0.022634637
253,location_CHEVILLY-LARUE,0.02094144
270,location_MARSEILLE--2E--ARRONDISSEMENT,0.020641373
271,location_MARSEILLE-13E--ARRONDISSEMENT,0.020330068
242,location_AUBAGNE,0.019911991
111,BIM_class_C.10.20.01.1f,0.019350652
265,location_LEVALLOIS-PERRET,0.019279482
537,"second_level_Covering, Finish",0.01816043
539,"second_level_Floors, Ceiling",0.016549254
273,location_MONTIGNY-LES-CORMEILLES,0.01372019
269,location_LYON--6E--ARRONDISSEMENT,0.013647835
396,French_Raw_Metal skirtings,0.011762589
7,Length,0.010703377
28,category_faucets,0.010500658
14,material_state_verygood,0.010427225
281,location_PARIS-10E-ARRONDISSEMENT,0.0103209
67,category_solid_exterior_door,0.010119703
284,location_PARIS-13E-ARRONDISSEMENT,0.009451694
1,price_latest,0.009000372
119,BIM_class_C.10.20.01.2e,0.00884445
289,location_PARIS-8E-ARRONDISSEMENT,0.008821559
0,price_initial,0.008649627
538,"second_level_Door, Windows, Gates",0.008384739
370,French_Raw_Double slips,0.008197179
536,"second_level_Blocks, Panels, Fences, Bricks",0.007839384
183,BIM_class_D.20.10.04.7b,0.0076974
8,Width,0.0075290496
18,category_bath_and_toilet_accessories,0.0071091
533,"first_level_Roof, Slabs, Stairs",0.006886413
40,category_handrail,0.0068492624
4,price,0.006681066
9,Height,0.0063312887
110,BIM_class_C.10.20.01.1e,0.006176053
126,BIM_class_C.10.20.01.3e,0.0059613725
530,first_level_Furnishings,0.0059563965
304,material_type_reconditioned,0.005901307
10,material_state_correct,0.005862656
109,BIM_class_C.10.20.01.1d,0.005850793
305,material_type_used,0.0056961426
11,material_state_damaged,0.005688291
331,material_emb_Pisé,0.0053576618
336,material_emb_Sitka spruce,0.0052047726
279,location_ORLEANS,0.0050031748
177,BIM_class_D.20.10.04.1b,0.0049105245
541,second_level_Other,0.0046472023
12,material_state_new,0.004386495
334,material_emb_Safety glass,0.004371761
63,category_simple_solid_doors,0.0043642437
540,second_level_Furnishings,0.004355998
3,quantity_latest,0.0038436556
45,category_lavatories,0.0038270205
322,material_emb_Gravel,0.0034891586
388,French_Raw_Lacquers,0.003326114
353,French_Raw_Bidets,0.003173521
118,BIM_class_C.10.20.01.2d,0.002828898
147,BIM_class_C.10.30.02.7,0.0027989917
534,first_level_Technical elements,0.0026927802
255,location_CLERMONT-FERRAND,0.0023154067
392,French_Raw_Manual trapdoors,0.0021942027
318,material_emb_Encaustic,0.0021369893
535,"first_level_Wall, Barriers, Pannels",0.0019374435
426,French_Raw_Voice alarm controllers,0.0019361952
327,material_emb_Metal,0.0017390711
30,category_fire_alarm_device,0.0013638695
62,category_showers_baths,0.0012146384
298,location_SAINT-OUEN,0.00086874166
532,first_level_Other,0.00061321585
156,BIM_class_C.20.10.90.3a,0.000101395024
480,French_Code_Pr_40_20_87_08,0.0
341,material_emb_Weathering steel,0.0
351,French_Raw_Bath mixer taps,0.0
350,French_Raw_Automatic revolving doorsets,0.0
349,French_Raw_Arrises,0.0
348,French_Raw_Analogue metering equipment,0.0
347,French_Raw_Aluminium doorsets,0.0
346,French_Raw_Aluminium door leaves,0.0
345,French_Raw_Acoustic duct linings,0.0
344,French_Raw_Acoustic batten cradles,0.0
343,material_emb_Zinc,0.0
342,material_emb_Wood,0.0
340,material_emb_Water,0.0
496,French_Code_Pr_40_50_07_46,0.0
339,material_emb_Steel,0.0
338,material_emb_Stainless steel,0.0
337,material_emb_Soap,0.0
497,French_Code_Pr_40_50_21_21,0.0
335,material_emb_Silt,0.0
498,French_Code_Pr_40_50_81_90,0.0
333,material_emb_Potable water,0.0
332,material_emb_Polycarbonate (PC),0.0
499,French_Code_Pr_40_70,0.0
500,French_Code_Pr_40_70_17,0.0
501,French_Code_Pr_40_70_21_22,0.0
352,French_Raw_Bathroom cabinets,0.0
354,French_Raw_Boxed sash window hanging fittings,0.0
329,material_emb_Paper,0.0
355,French_Raw_Ceramic sinks,0.0
378,French_Raw_Fire detection and alarm devices and control equipment,0.0
377,French_Raw_Fire dampers,0.0
376,French_Raw_Equipment protection enclosures,0.0
375,French_Raw_Equipment,0.0
374,French_Raw_Engine exhausts,0.0
373,French_Raw_Emergency luminaires,0.0
372,French_Raw_Ductwork accessories,0.0
371,French_Raw_Dovecotes,0.0
495,French_Code_Pr_40_30_87_96,0.0
369,French_Raw_Door dampers,0.0
368,French_Raw_Domestic refrigerators and freezers,0.0
367,French_Raw_Dish and utensil washers,0.0
366,French_Raw_Desks,0.0
