,Feature,Importance
12,material_state_new,0.11357163
153,location_RENNES,0.079063326
109,location_AUBAGNE,0.06405136
121,location_EPERNAY,0.061515268
17,category_blast_resistant_doors,0.053718552
136,location_MONTIGNY-LES-CORMEILLES,0.04634928
9,Height,0.041665997
157,location_VILLENEUVE-SAINT-GEORGES,0.034938782
149,location_PARIS-8E-ARRONDISSEMENT,0.033263844
117,location_CHEVILLY-LARUE,0.031966433
140,location_PARIS-10E-ARRONDISSEMENT,0.02679458
15,category_air_heating_cooling_distribution,0.025637602
133,location_MARSEILLE-13E--ARRONDISSEMENT,0.025264027
212,French_Raw_Soffit grilles,0.024494689
265,"second_level_Floors, Ceiling",0.02437196
82,BIM_class_D.30.50.02.2b,0.022737805
43,category_ovens,0.022730548
150,location_PARIS-9E-ARRONDISSEMENT,0.020278284
159,material_type_reconditioned,0.019683583
156,location_SAINT-OUEN,0.017762242
57,BIM_class_D.30.10.04.3,0.016014246
131,location_LYON--6E--ARRONDISSEMENT,0.013653388
143,location_PARIS-13E-ARRONDISSEMENT,0.013623635
8,Width,0.012321808
81,BIM_class_D.30.50.02.2a,0.012073789
144,location_PARIS-15E-ARRONDISSEMENT,0.010308163
263,"second_level_Blocks, Panels, Fences, Bricks",0.010133672
14,material_state_verygood,0.008894779
176,material_emb_Heat-absorbing glass,0.007991886
210,French_Raw_Sample coolers,0.0077648535
128,location_LEVALLOIS-PERRET,0.0074679228
0,price_initial,0.007169302
10,material_state_correct,0.0061774417
202,French_Raw_Heat pumps,0.00609072
11,material_state_damaged,0.005971385
259,first_level_Other,0.005768623
160,material_type_used,0.005450062
22,category_electronically_heat,0.005278654
180,material_emb_Lignite,0.0049212654
168,material_emb_Compressed air,0.0045155585
4,price,0.004474612
189,French_Raw_Air conditioning units,0.003856702
75,BIM_class_D.30.40.01.7,0.0038393394
267,second_level_Other,0.0036998433
3,quantity_latest,0.003568723
261,first_level_Technical elements,0.0035546145
139,location_ORLEANS,0.0034392609
262,"first_level_Wall, Barriers, Pannels",0.0022902838
260,"first_level_Roof, Slabs, Stairs",0.0022462548
65,BIM_class_D.30.20.90.8a,0.001855473
222,French_Raw_Water heaters,0.001427391
37,category_other_production_of_heat,0.0014158041
