,Feature,Importance
63,location_AUBAGNE,0.14602862
66,location_CHATILLON,0.13738865
17,category_electronically_heat,0.13010925
84,location_PARIS-9E-ARRONDISSEMENT,0.11971044
78,location_PARIS-10E-ARRONDISSEMENT,0.08117087
82,location_PARIS-1ER-ARRONDISSEMENT,0.06651616
98,material_emb_Encaustic,0.042112287
11,material_state_damaged,0.03068011
14,category_call_system,0.02748967
0,price_initial,0.024722893
18,category_fire_extinguishing_device,0.023754638
124,"first_level_Wall, Barriers, Pannels",0.021962976
4,price,0.019632755
72,location_LYON--6E--ARRONDISSEMENT,0.015617015
102,material_emb_Pisé,0.013726804
105,French_Raw_Arrises,0.0120959915
1,price_latest,0.011947224
100,material_emb_Lignite,0.011862423
13,material_state_verygood,0.009274514
10,material_state_correct,0.009061743
28,category_removing_air,0.008452386
121,first_level_Other,0.0083920965
3,quantity_latest,0.0073945364
83,location_PARIS-8E-ARRONDISSEMENT,0.0052871252
125,"second_level_Covering, Finish",0.0051863687
20,category_lighting_general_equipment,0.004450109
123,first_level_Technical elements,0.003810363
52,BIM_class_D.50.20.02.12,0.002161965
88,location_SAINT-ETIENNE,0.0
87,location_RENNES,0.0
85,location_PONTCHARRA,0.0
89,location_SAINT-OUEN,0.0
86,location_PUTEAUX,0.0
90,material_type_new,0.0
81,location_PARIS-15E-ARRONDISSEMENT,0.0
122,"first_level_Roof, Slabs, Stairs",0.0
92,material_type_used,0.0
80,location_PARIS-13E-ARRONDISSEMENT,0.0
79,location_PARIS-12E-ARRONDISSEMENT,0.0
77,location_ORLEANS,0.0
76,location_NEUILLY-SUR-SEINE,0.0
126,second_level_Other,0.0
75,location_NANCY,0.0
74,location_MERIGNAC,0.0
73,location_MARSEILLE--2E--ARRONDISSEMENT,0.0
91,material_type_reconditioned,0.0
96,material_emb_Daub,0.0
93,country_FR,0.0
94,material_emb_Bamboo,0.0
118,French_Code_Pr_60_75_08_23,0.0
120,French_Code_Pr_70_70_48_62,0.0
117,French_Code_Pr_45_31_63_76,0.0
116,French_Code_Pr_40_70_65_30,0.0
115,French_Code_Pr_35_90_43_04,0.0
114,French_Code_Pr_35_31_68_46,0.0
113,French_Code_Pr_20_29_56_82,0.0
112,French_Raw_Sprigs,0.0
111,French_Raw_Sedge,0.0
110,French_Raw_Pendant luminaires,0.0
109,French_Raw_Lacquers,0.0
108,French_Raw_Food mincers,0.0
107,French_Raw_Filter products,0.0
106,French_Raw_Diplexers,0.0
104,material_emb_Sitka spruce,0.0
71,location_LEVALLOIS-PERRET,0.0
101,material_emb_Net,0.0
99,material_emb_Gravel,0.0
97,material_emb_Dolerite,0.0
119,French_Code_Pr_65_57,0.0
95,material_emb_Condensed silica fume,0.0
103,material_emb_Silt,0.0
64,location_CHAMPS-SUR-MARNE,0.0
70,location_GENNEVILLIERS,0.0
69,location_EPERNAY,0.0
36,BIM_class_B.20.20.01.6c,0.0
35,BIM_class_B.20.20.01.6a,0.0
34,BIM_class_B.20.10.90,0.0
33,BIM_class_B.10.10.01.2a,0.0
32,category_wires_connections,0.0
31,category_windows,0.0
30,category_sub_flooring_cones,0.0
29,category_storage_unit,0.0
27,category_ovens,0.0
26,category_other_special_system_device,0.0
25,category_other_outer_envelope,0.0
24,category_other_illuminations_and_wires_connections,0.0
23,category_other_domestic_water_systems,0.0
22,category_mat_and_accessory,0.0
21,category_linoleum_pvc_vinyl,0.0
19,category_interior_distribution_transformeur,0.0
16,category_door_hardware,0.0
15,category_circuits_breackers,0.0
12,material_state_new,0.0
9,Height,0.0
8,Width,0.0
7,Length,0.0
6,min_quantity,0.0
5,quantity,0.0
2,price_change,0.0
37,BIM_class_B.20.20.01.6f,0.0
38,BIM_class_C.10.20.07.7,0.0
39,BIM_class_C.30.20.04.4,0.0
54,BIM_class_D.50.20.90.2,0.0
68,location_CLERMONT-FERRAND,0.0
67,location_CHEVILLY-LARUE,0.0
65,location_CHATEAUROUX,0.0
62,location_ARGENTEUIL,0.0
61,location_ANNECY,0.0
60,BIM_class_E.20.20.05.3a,0.0
59,BIM_class_E.20.20.04.2,0.0
58,BIM_class_E.10.90.02.52,0.0
57,BIM_class_E.10.90.02.42,0.0
56,BIM_class_D.50.90.07.3,0.0
55,BIM_class_D.50.30.01.3,0.0
53,BIM_class_D.50.20.02.6,0.0
40,BIM_class_D.20.20.90,0.0
51,BIM_class_D.50.20.01.5,0.0
50,BIM_class_D.50.10.05.3,0.0
49,BIM_class_D.50.10.05.2,0.0
48,BIM_class_D.50.10.03.3,0.0
47,BIM_class_D.40.50.01.3,0.0
46,BIM_class_D.40.50.01.2,0.0
45,BIM_class_D.40.50.01.1,0.0
44,BIM_class_D.30.50.02.3a,0.0
43,BIM_class_D.30.50.02.2b,0.0
42,BIM_class_D.30.50.02.2a,0.0
41,BIM_class_D.30.40.07.1,0.0
127,third_level_Trim products,0.0
