,Feature,Importance
184,Code_Reclining chairs,0.13550343
166,Code_Occasional tables,0.13337865
167,Code_Office chairs,0.09210743
221,Code_Wardrobes,0.09036983
159,Code_Meeting room tables,0.06269042
168,Code_Office desks,0.047797102
145,Code_Kitchenette units,0.04511605
148,Code_Lamps,0.037673723
17,Material_Decorative aggregates,0.019649127
262,third_level_Space heating and cooling products,0.01961568
3,Height,0.01821555
82,Code_Built-in electric hobs,0.018088203
5,Material_Aluminium,0.018084338
1,Length,0.018052127
2,Width,0.017958585
129,Code_Furnishings,0.017698765
18,Material_Encaustic,0.017261358
0,Price,0.016865326
236,Code_Wood skirtings,0.014299728
56,Material_Sitka spruce,0.01359477
260,third_level_Sanitary fittings and accessories,0.013352512
65,Material_Wood,0.0132578425
224,Code_Wood architraves,0.012936505
247,second_level_Furnishings,0.012533069
250,third_level_Furnishings,0.00981953
84,Code_Cabinet and countertop hinges,0.009621252
249,"third_level_Floor plates, gratings and edgings",0.0090562245
51,Material_Porcelain,0.0090268925
101,Code_Cushions,0.008433385
246,"second_level_Floors, Ceiling",0.007738018
254,"third_level_Lighting columns, brackets and bollards",0.007521853
245,"second_level_Door, Windows, Gates",0.006896675
87,Code_Chaises longues,0.0068701273
251,third_level_Glass blocks and panels,0.004885642
256,third_level_Power and lighting outlet products,0.0038701992
70,Code_Aluminium alloy hinged bollards,0.0032670768
243,"second_level_Blocks, Panels, Fences, Bricks",0.0031350267
234,Code_Wood panelled door leaves,0.002497963
8,Material_Architectural glass,0.0012600785
252,third_level_Handrails,0.0
253,third_level_Headwall and swale inlet products,0.0
169,Code_Office equipment,0.0
170,Code_Office tables,0.0
171,Code_Overchair tables,0.0
172,"Code_Packings, washers and spacers",0.0
173,Code_Particleboards,0.0
174,Code_Pedestal washbasins,0.0
175,Code_Pendant luminaires,0.0
176,Code_Plastics balusters and newel posts,0.0
177,Code_Plastics dowel bar caps,0.0
179,Code_Plastics sleeving,0.0
178,Code_Plastics lighting bollards,0.0
257,third_level_Prefabricated buildings and structures,0.0
180,Code_Plastics window films,0.0
181,Code_Play chairs,0.0
182,Code_Polyethylene packers,0.0
183,Code_Rack cabinets,0.0
248,"second_level_Stairs, Ramps, Lift, Hardware",0.0
185,Code_Reclining treatment armchairs,0.0
186,Code_Refrigerated display cabinet doors,0.0
187,Code_Refrigerators,0.0
188,Code_Rigid pendants,0.0
255,"third_level_Non-rigid sheet, mat and strip covering and finish products",0.0
235,Code_Wood screws,0.0
189,Code_Room heaters,0.0
152,Code_Library shelf units,0.0
143,Code_Kitchen scales,0.0
144,Code_Kitchen worktops,0.0
263,third_level_Trim products,0.0
146,Code_Lacquers,0.0
147,Code_Laminboard core plywoods,0.0
261,third_level_Sectional products,0.0
149,Code_Laundry troughs and cabinets,0.0
150,Code_Laundry washing machines,0.0
259,third_level_Safety cages,0.0
151,Code_Lead-lined plywood boards,0.0
153,Code_Light tables,0.0
164,Code_Multilayer flooring,0.0
154,Code_Lighting cornices,0.0
155,Code_Lockers,0.0
156,Code_Lounge chairs,0.0
157,Code_Luminous paints,0.0
158,Code_Medicine cabinets,0.0
258,third_level_Retaining wall units,0.0
160,Code_Meter cabinets,0.0
161,Code_Mirrors,0.0
162,Code_Modified wood deck boards,0.0
163,Code_Modular bearer tie plates,0.0
165,Code_Murals,0.0
190,Code_Sauna room packages,0.0
244,"second_level_Covering, Finish",0.0
222,"Code_Wash basin, soap dispenser and hand dryer units",0.0
214,Code_Up-and-over doorsets,0.0
215,Code_Upholstered benches,0.0
216,Code_Vanity and washroom furniture,0.0
240,Code_Wood-burning stoves,0.0
217,Code_WC suites,0.0
218,Code_Wall-hung WC support brackets,0.0
219,Code_Wall-hung washbasins,0.0
220,Code_Wall-mounted kitchen cupboards,0.0
239,Code_Wood window walls,0.0
238,Code_Wood window units,0.0
223,Code_Window walls,0.0
191,Code_Scagliola,0.0
237,Code_Wood veneers,0.0
225,Code_Wood blocks,0.0
226,Code_Wood brise-soleil louvre blades,0.0
227,Code_Wood brise-soleil units,0.0
228,Code_Wood cover strips,0.0
