,Feature,Importance
169,Code_Door hinges,0.080603786
42,Material_Gravel,0.039266266
282,Code_Quarry tiles,0.036746547
140,Code_Column guards,0.035394687
0,Price,0.031238563
264,Code_Pedestal washbasins,0.026686592
307,Code_Sliding shutter doorsets,0.02651824
116,Code_Bidets,0.023626857
336,Code_Trellises,0.020028379
179,Code_Excavated earth and fill materials,0.019534903
402,third_level_Sanitary fittings and accessories,0.018615471
107,Code_Arrises,0.017953122
411,third_level_Walling units,0.017552422
255,Code_Murals,0.017415904
380,"second_level_Covering, Finish",0.017346455
51,Material_Lignite,0.016584871
405,third_level_Space heating and cooling products,0.015749017
311,Code_Sprinklers,0.015521531
53,Material_Loose surfacing decorative aggregates,0.014895002
388,"third_level_Floor plates, gratings and edgings",0.014854901
82,Material_Silt,0.014459661
25,Material_Decorative aggregates,0.014171662
26,Material_Encaustic,0.014103011
397,third_level_Other,0.013604796
398,third_level_Power and lighting outlet products,0.01340929
218,Code_High-security doorsets,0.013395084
267,Code_Plaques,0.013196095
394,"third_level_Lighting columns, brackets and bollards",0.012856069
381,"second_level_Door, Windows, Gates",0.0125956265
214,Code_Grommets,0.012451152
391,third_level_Glass blocks and panels,0.012195037
382,"second_level_Floors, Ceiling",0.012145852
66,Material_Pisé,0.012044508
401,third_level_Safety cages,0.011846038
14,Material_Ceramic,0.011542973
265,Code_Pendant luminaires,0.011162799
1,Length,0.010943609
208,Code_Glassware,0.010604791
310,Code_Sprigs,0.010234276
57,Material_Metal,0.010206385
379,"second_level_Blocks, Panels, Fences, Bricks",0.009496018
384,second_level_Other,0.009207548
412,third_level_Wire structure and general products,0.009188785
8,Material_Architectural glass,0.008695369
2,Width,0.008693757
19,Material_Coloured glass,0.008450052
69,Material_Potable water,0.008306186
392,third_level_Handrails,0.008109003
3,Height,0.008103352
94,Material_Water,0.008092643
129,Code_Ceramic tiles,0.007925939
393,third_level_Headwall and swale inlet products,0.007907052
409,third_level_Trim products,0.007906998
298,Code_Sedge,0.00788408
97,Material_Wood,0.0076543656
226,Code_Lacquers,0.007611808
64,Material_Patterned glass,0.006927302
369,Code_Window walls,0.006648471
204,Code_Glass brise-soleil louvre blades,0.0065173935
84,Material_Sitka spruce,0.006407586
285,Code_Rail pads,0.0058960207
87,Material_Stainless steel,0.005690685
40,Material_Granule,0.005451799
385,"second_level_Stairs, Ramps, Lift, Hardware",0.0053842384
73,Material_Prismatic glass,0.0053135417
396,"third_level_Non-rigid sheet, mat and strip covering and finish products",0.0050994726
395,third_level_Masonry walling units,0.005017342
200,Code_Gates and turnstiles,0.0049717627
206,Code_Glass fins,0.0047411686
139,Code_Column casings,0.004656531
399,third_level_Prefabricated buildings and structures,0.003991717
238,Code_Manual trapdoors,0.0038420616
293,Code_Scagliola,0.003559999
407,third_level_Support and restraint products,0.003390993
113,Code_Bathroom cabinets,0.0032144412
344,Code_Vases,0.0026884398
351,Code_WC pans,0.0025201645
386,third_level_Air and fume distribution products,0.0024945007
125,Code_Ceramic slates,0.0018182712
78,Material_Safety glass,0.0017985299
215,Code_Guard barriers,0.0015984768
145,Code_Concealed hinges,0.0015105455
6,Material_Aluminium,0.0011641873
9,Material_Basalt,0.00067978946
345,Code_Vault doors,0.00046943373
301,Code_Shower doors,0.0
278,Code_Protective fencing,0.0
284,Code_Rail clips,0.0
283,Code_Radiators,0.0
21,Material_Concrete,0.0
281,Code_Quarry tile sit-on skirtings,0.0
280,Code_Pump accessories,0.0
279,Code_Puddle flanges,0.0
305,Code_Sink taps,0.0
286,Code_Rainwater storage butts,0.0
277,Code_Projection window hinges,0.0
306,Code_Slab urinals,0.0
20,Material_Compressed air,0.0
276,Code_Pre-blended concretes,0.0
308,Code_Smoke dampers,0.0
406,third_level_Structural roofing units,0.0
287,Code_Rectifiers,0.0
300,Code_Shower curtains,0.0
294,Code_Screening and ventilation access doors,0.0
299,Code_Separators,0.0
404,third_level_Shaft-lining products,0.0
297,Code_Security shutters,0.0
302,Code_Shower enclosures,0.0
296,Code_Sealant backer rods,0.0
295,Code_Sculptural reliefs,0.0
303,Code_Shower manual water supply sets,0.0
288,Code_Refractory bricks,0.0
292,Code_Sanitary accessories,0.0
274,Code_Post room racks,0.0
291,Code_Saccardo nozzles,0.0
290,Code_Rock dowels,0.0
304,Code_Single axis door hinges,0.0
289,Code_Refrigerators,0.0
275,Code_Pot bearings,0.0
387,third_level_Fastener products,0.0
273,Code_Porcelain tiles,0.0
247,Code_Metal suspended ceiling hangers,0.0
253,Code_Mounting brackets,0.0
252,Code_Mosaic tiles,0.0
251,Code_Mooring cleats,0.0
250,Code_Meter cabinets,0.0
249,Code_Metal tubes and hollow sections,0.0
248,Code_Metal sways,0.0
410,third_level_Unit covering and finish products,0.0
246,Code_Metal spacers assemblies,0.0
27,Material_Expansive concrete,0.0
245,Code_Metal skirtings,0.0
244,Code_Metal hanging rails,0.0
243,Code_Metal gate surrounds,0.0
242,Code_Metal flues and chimneys,0.0
241,Code_Metal bollards,0.0
240,Code_Mesh anodes,0.0
239,Code_Masonry capping and coping units,0.0
254,Code_Mural roll coverings,0.0
256,Code_Museum showcases,0.0
272,Code_Pleated blinds,0.0
266,Code_Pillar hinges,0.0
271,Code_Playground bark,0.0
403,third_level_Sectional products,0.0
270,Code_Plastics window films,0.0
269,Code_Plastics sleeving,0.0
268,Code_Plastics sheet wall claddings,0.0
408,third_level_Treads and landing units,0.0
22,Material_Copper,0.0
23,Material_Crushed stone aggregates,0.0
257,Code_Natural stone quoins,0.0
24,Material_Daub,0.0
263,Code_Paper bales,0.0
262,Code_Pantographs,0.0
261,Code_Nave lecterns,0.0
260,Code_Natural turf,0.0
259,Code_Natural stone wall and floor slabs,0.0
258,Code_Natural stone slates,0.0
309,Code_Soffit grilles,0.0
316,Code_Stainless steel chemical anchor rods,0.0
18,Material_Coade stone,0.0
361,Code_Water heaters,0.0
400,third_level_Retaining wall units,0.0
367,Code_Window casement fasteners,0.0
366,Code_Weir plates,0.0
365,Code_Water-sensing cables,0.0
364,Code_Water strainers,0.0
363,Code_Water storage products,0.0
362,Code_Water hoses,0.0
360,Code_Water flumes,0.0
350,Code_Vision panels,0.0
359,Code_Water fire-extinguishing outlets,0.0
358,Code_Water conditioners,0.0
357,Code_Waste bins,0.0
356,Code_Washbasin spouts,0.0
355,Code_Wall-hung washbasins,0.0
354,Code_Wall-hung urinals,0.0
353,Code_Wall hangings,0.0
368,Code_Window hinges,0.0
7,Material_Anti-bandit glass,0.0
370,Code_Wood architraves,0.0
371,Code_Wood brise-soleil louvre blades,0.0
389,third_level_Formless structure and general products,0.0
11,Material_Blinding aggregates,0.0
383,second_level_Furnishings,0.0
12,Material_Borosilicate glass,0.0
13,Material_Brass,0.0
15,Material_Chlorine,0.0
16,Material_Cinder concrete,0.0
378,"first_level_Wall, Barriers, Pannels",0.0
390,third_level_Furnishings,0.0
377,Code_Wood skirtings,0.0
376,Code_Wood post and rail stiles,0.0
375,Code_Wood gates,0.0
374,Code_Wood gate surrounds,0.0
373,Code_Wood doorsets,0.0
372,Code_Wood door frames,0.0
352,Code_Wall and floor tile units,0.0
349,Code_Vertical extended spindles,0.0
312,Code_Stage curtains,0.0
321,Code_Stainless steel wire ropes,0.0
328,Code_Surface fillers,0.0
327,Code_Stone tiles,0.0
326,Code_Stone slabs,0.0
325,Code_Stilling tubes,0.0
324,Code_Steel lighting columns,0.0
323,Code_Steel bearers,0.0
322,Code_Steam traps and strainers,0.0
320,Code_Stainless steel welded circular tubes,0.0
348,Code_Vertical balers,0.0
319,Code_Stainless steel doorsets,0.0
318,Code_Stainless steel door leaves,0.0
317,Code_Stainless steel door frames,0.0
10,"Material_Base, bed and fill fine aggregates",0.0
315,Code_Stainless steel balusters and newel posts,0.0
314,Code_Stainless steel arris armourings,0.0
313,Code_Stained glass sheets,0.0
237,Code_Manifold nuts,0.0
4,Material_Air-cooled steel slag,0.0
330,Code_Terrazzo tile skirtings,0.0
331,Code_Thermochromic glass,0.0
347,Code_Ventilation ducts,0.0
346,Code_Veneers and facings,0.0
343,Code_Vapour meters,0.0
342,Code_Urinal dividers,0.0
341,Code_Up-and-over doorsets,0.0
