,Feature,Importance
15,"first_level_Wall, Barriers, Pannels",0.46663302
2,Width,0.20006524
3,Height,0.16136438
0,Price,0.14670639
4,Material_Architectural glass,0.025230993
12,first_level_Furnishings,0.0
18,third_level_Sanitary fittings and accessories,0.0
17,third_level_Glass blocks and panels,0.0
16,"second_level_Door, Windows, Gates",0.0
14,"first_level_Roof, Slabs, Stairs",0.0
13,first_level_Openings,0.0
10,Material_Sitka spruce,0.0
11,Code_Window walls,0.0
1,Length,0.0
9,Material_Silt,0.0
8,Material_Sheet glass,0.0
7,Material_Prismatic glass,0.0
6,Material_Insulating glass,0.0
5,Material_Glass,0.0
19,third_level_Structural roofing units,0.0
