,Feature,Importance
148,first_level_Technical elements,0.0540135
154,third_level_Furnishings,0.053008873
0,Price,0.049537063
157,third_level_Headwall and swale inlet products,0.046827424
123,Code_Soffit grilles,0.046577882
9,Material_Daub,0.043034013
62,Code_Double slips,0.041775197
134,Code_Trellises,0.040116236
146,"first_level_Roof, Slabs, Stairs",0.031766195
152,"third_level_Floor plates, gratings and edgings",0.027865423
141,Code_Weir plates,0.027759528
115,Code_Scagliola,0.027602958
10,Material_Encaustic,0.027084796
27,Material_Pisé,0.025713956
21,Material_Lignite,0.022879824
149,"first_level_Wall, Barriers, Pannels",0.022688253
158,"third_level_Lighting columns, brackets and bollards",0.021989135
16,Material_Granule,0.021918656
171,third_level_Trim products,0.021917574
1,Length,0.02185444
125,Code_Sprigs,0.021154912
24,Material_Paper,0.020009931
42,Code_Arrises,0.019337973
3,Height,0.019299163
118,Code_Sedge,0.019056866
35,Material_Sitka spruce,0.01845801
161,third_level_Other,0.01797067
159,third_level_Masonry walling units,0.017350381
144,first_level_Openings,0.015430898
82,Code_Lacquers,0.014202871
165,third_level_Sanitary fittings and accessories,0.013791315
160,"third_level_Non-rigid sheet, mat and strip covering and finish products",0.013724165
101,Code_Pendant luminaires,0.012998089
2,Width,0.012972878
33,Material_Silt,0.012257147
17,Material_Gravel,0.012037133
145,first_level_Other,0.009573487
131,Code_Suspended luminaires,0.009490913
155,third_level_Glass blocks and panels,0.009005184
129,Code_Stoppers,0.007990125
169,third_level_Support and restraint products,0.007484165
147,first_level_Structural elements,0.006710858
32,Material_Sheet,0.0056250715
172,third_level_Unit covering and finish products,0.0037156057
59,Code_Diplexers,0.0020755474
95,Code_Newspaper dispensers,0.0016782471
29,Material_Plate glass,0.00066750264
117,Code_Sectional products,0.0
103,Code_Plastics dowel bar caps,0.0
99,Code_Paper towel dispensers,0.0
119,Code_Signal transmitters,0.0
100,Code_Pedestal washbasins,0.0
120,Code_Silver plating,0.0
121,Code_Sink taps,0.0
116,Code_Sealant backer rods,0.0
110,Code_Quarry tile sit-on skirtings,0.0
114,Code_Sample coolers,0.0
113,Code_Saccardo nozzles,0.0
112,Code_Runners,0.0
111,Code_Rectifiers,0.0
102,Code_Plaques,0.0
109,Code_Pump accessories,0.0
108,Code_Primer-undercoats,0.0
107,Code_Pliable conduit,0.0
106,Code_Pleated blinds,0.0
122,Code_Smoke dampers,0.0
105,Code_Plastics sleeving,0.0
104,Code_Plastics skirtings,0.0
168,third_level_Structure and general products,0.0
135,Code_Tundishes,0.0
124,Code_Sound damping coatings,0.0
97,Code_Office tables,0.0
166,third_level_Sectional products,0.0
164,third_level_Safety cages,0.0
163,third_level_Prefabricated buildings and structures,0.0
162,third_level_Power and lighting outlet products,0.0
156,third_level_Hardware products,0.0
153,third_level_Formless structure and general products,0.0
170,third_level_Treads and landing units,0.0
151,third_level_Air and fume distribution products,0.0
150,"second_level_Covering, Finish",0.0
143,first_level_Furnishings,0.0
