,Feature,Importance
152,Code_Terrazzo tiles,0.10664985
22,Material_Marble,0.10547276
186,"third_level_Floor plates, gratings and edgings",0.09658102
84,Code_Excavated earth and fill materials,0.06967529
9,Material_Coloured glass,0.056451347
45,Material_Terracotta,0.048120763
17,Material_Heat-absorbing glass,0.0480692
0,Price,0.0437259
126,Code_Pendant luminaires,0.031972136
68,Code_Ceiling light switches,0.030917963
10,Material_Compressed air,0.027743595
39,Material_Sitka spruce,0.023490304
20,Material_Lignite,0.022063188
197,third_level_Structural roofing units,0.021959903
29,Material_Pisé,0.01772827
38,Material_Silt,0.016676916
180,"first_level_Roof, Slabs, Stairs",0.0160935
174,Code_Water heaters,0.01608243
48,Material_Wood,0.01432957
3,Height,0.014075719
16,Material_Gravel,0.013815856
1,Length,0.013755206
183,"first_level_Wall, Barriers, Pannels",0.012707529
199,third_level_Walling units,0.012250175
2,Width,0.011441561
195,third_level_Sanitary fittings and accessories,0.011316639
191,"third_level_Lighting columns, brackets and bollards",0.010665416
177,first_level_Furnishings,0.010433048
188,third_level_Glass blocks and panels,0.010295727
118,Code_Metal suspended ceiling hangers,0.0096721705
196,third_level_Space heating and cooling products,0.0089991605
182,first_level_Technical elements,0.008044005
54,Code_Air conditioning units,0.007643235
185,third_level_Air and fume distribution products,0.0064378353
130,Code_Radiators,0.0063714352
6,Material_Architectural glass,0.0052146665
125,Code_Pedestal washbasins,0.0048906407
193,third_level_Power and lighting outlet products,0.0045569926
73,Code_Coffered ceiling infill units,0.003609026
138,Code_Room heaters,0.0
139,Code_Sample coolers,0.0
137,Code_Roofing swags,0.0
140,Code_Scagliola,0.0
136,Code_Roofing corner plates,0.0
141,Code_Sedge,0.0
144,Code_Sinks,0.0
142,Code_Shower enclosures,0.0
143,Code_Sink taps,0.0
134,Code_Roof ventilator unit,0.0
145,Code_Special lamps,0.0
146,Code_Sprigs,0.0
147,Code_Sprinklers,0.0
148,Code_Stainless steel stools,0.0
149,Code_Strip ventilators,0.0
150,Code_Temperature gauges,0.0
135,Code_Roofing and cladding units,0.0
24,Material_Metal,0.0
133,Code_Rigid polyurethane frame roof window units,0.0
122,Code_Nails,0.0
115,Code_Macerator and dewaterer tank wash,0.0
116,Code_Medium boards,0.0
117,Code_Metal skirtings,0.0
119,Code_Meter cabinets,0.0
120,Code_Multilayer flooring,0.0
121,Code_Murals,0.0
123,Code_Overhead ventilators,0.0
132,Code_Recessed luminaires,0.0
124,Code_Particleboards,0.0
11,Material_Decorative aggregates,0.0
127,Code_Plastics lighting bollards,0.0
151,Code_Terrazzo mix ,0.0
129,Code_Quarry tiles,0.0
131,Code_Rail foot insulators,0.0
128,Code_Puddle flanges,0.0
157,Code_Trickle vents,0.0
8,Material_Ceramic,0.0
5,Material_Aluminium,0.0
173,Code_Washing products,0.0
7,Material_Cement-bound granular mixtures,0.0
175,Code_Window casement fasteners,0.0
176,Code_Wood oils,0.0
178,first_level_Openings,0.0
179,first_level_Other,0.0
181,first_level_Structural elements,0.0
184,"second_level_Floors, Ceiling",0.0
153,Code_Thermostatic steam traps,0.0
4,Material_Air-cooled steel slag,0.0
187,third_level_Furnishings,0.0
189,third_level_Handrails,0.0
190,third_level_Headwall and swale inlet products,0.0
192,"third_level_Non-rigid sheet, mat and strip covering and finish products",0.0
194,third_level_Safety cages,0.0
198,third_level_Treads and landing units,0.0
172,Code_Washers,0.0
171,Code_Wall-hung washbasins,0.0
170,Code_Wall-hung urinals,0.0
169,Code_Wall hangings,0.0
154,Code_Tilt meters,0.0
155,Code_Toilet brush holders,0.0
156,Code_Trellises,0.0
113,Code_Light-gauge steel floors and roofs,0.0
158,Code_Under-mounted washbasins,0.0
159,Code_Vanity and washroom furniture,0.0
160,Code_Veneers and facings,0.0
161,Code_Ventilated ceilings,0.0
162,Code_Ventilation ducts,0.0
163,Code_Ventilation grilles,0.0
164,Code_Vertical balers,0.0
165,Code_Vertical wastewater heat exchangers,0.0
166,Code_WC pans,0.0
167,Code_WC suites,0.0
168,Code_Wall and floor tile units,0.0
114,"Code_Luminaires, lighting track and lighting accessories",0.0
112,Code_Laundry washer-dryers,0.0
25,Material_Mosaic glass,0.0
57,Code_Air-handling units,0.0
15,Material_Granule,0.0
49,Code_Abutment ventilators,0.0
50,Code_Acoustic batten cradles,0.0
51,Code_Acoustic duct linings,0.0
52,Code_Air and fume outlet products,0.0
53,Code_Air compressors,0.0
55,Code_Air ventilation grilles,0.0
56,Code_Air-handling luminaires,0.0
58,Code_Airbricks,0.0
46,Material_Weathering steel,0.0
59,Code_Aluminium loft ladders,0.0
60,Code_Aluminium louvre blades,0.0
61,Code_Bath panels,0.0
62,Code_Bathroom cabinets,0.0
63,Code_Bidets,0.0
64,Code_Boxed sash window hanging fittings,0.0
65,Code_Buoyancy-aided movable floors,0.0
66,Code_Carbon steel framed vertical section panels,0.0
47,Material_Wired glass,0.0
18,Material_Insulating concrete,0.0
111,Code_Laundry troughs and cabinets,0.0
34,Material_Prismatic glass,0.0
26,Material_Non-reflective glass,0.0
27,Material_Opal glass,0.0
28,Material_Patterned glass,0.0
23,Material_Mastic resin,0.0
30,Material_Polyester,0.0
31,Material_Porcelain,0.0
32,Material_Potable water,0.0
33,Material_Pozzolan cement,0.0
35,Material_Radiata pine,0.0
44,Material_Structural steel,0.0
36,Material_Reflective glass,0.0
37,Material_Sheet glass,0.0
21,Material_Loose surfacing decorative aggregates,0.0
19,Material_Lacquer resin,0.0
40,Material_Slate,0.0
41,Material_Small-area repair concrete,0.0
42,Material_Steel,0.0
43,Material_Structural glass,0.0
67,Code_Carbon steel stools,0.0
14,Material_Glass wool,0.0
69,Code_Ceiling track hoists,0.0
