,Feature,Importance
181,Code_Bureaux,0.09628734
528,third_level_Hardware products,0.044329602
67,Material_Lignite,0.03757295
339,Code_Lighting distribution boxes,0.032693166
221,Code_Digital cameras,0.028039023
393,Code_Radiators,0.026793672
0,Price,0.024979612
373,Code_Pendant luminaires,0.023450745
129,Material_Weathering steel,0.021011958
76,Material_Metal,0.020436218
6,Material_Aluminium,0.018876463
91,Material_Pisé,0.017451245
15,Material_Blinding aggregates,0.017092269
35,Material_Dolerite,0.01589148
110,Material_Sitka spruce,0.01566013
279,Code_Fridge-freezers,0.015044503
515,first_level_Openings,0.014951275
310,Code_Healthcare hand rinse basins,0.014518697
27,Material_Coloured glass,0.014014423
540,third_level_Space heating and cooling products,0.013698136
533,third_level_Other,0.012864758
534,third_level_Power and lighting outlet products,0.011997767
60,Material_Heat-absorbing glass,0.011985835
258,Code_Fire detection and alarm devices and control equipment,0.011547467
526,third_level_Glass blocks and panels,0.010548899
130,Material_White poplar,0.010502016
418,Code_Soffit grilles,0.010074773
248,Code_Energy meters,0.010071436
389,Code_Projectors,0.009666954
536,third_level_Sanitary fittings and accessories,0.009444445
5,Material_Air-cooled steel slag,0.009177536
529,third_level_Headwall and swale inlet products,0.009138176
524,"third_level_Floor plates, gratings and edgings",0.009114639
89,Material_Petroleum,0.00902908
176,Code_Bolsters,0.0089773545
107,Material_Silt,0.008928844
520,"first_level_Wall, Barriers, Pannels",0.008740088
530,"third_level_Lighting columns, brackets and bollards",0.008654887
368,Code_Paging consoles,0.008561605
128,Material_Water,0.008544358
381,Code_Pot bearings,0.008478554
3,Height,0.008394395
459,Code_Suspended luminaires,0.008392649
516,first_level_Other,0.008325071
417,Code_Soap dispensers,0.008324437
112,Material_Soap,0.00792879
2,Width,0.007753014
214,Code_Corner guards,0.0077186865
396,Code_Recessed luminaires,0.007652482
243,Code_Electrochromic glass,0.0073106433
517,"first_level_Roof, Slabs, Stairs",0.007282679
101,Material_Reflective glass,0.007167633
71,Material_Mahogany,0.007055423
55,Material_Gravel,0.0066238833
357,Code_Modular cassette ventilated ceilings,0.0065836944
476,Code_Trellises,0.0063855723
397,Code_Refrigerators,0.0063277483
1,Length,0.00629874
95,Material_Potable water,0.006264077
28,Material_Compressed air,0.0062274127
115,Material_Stainless steel,0.00617572
131,Material_Wired glass,0.0060852296
519,first_level_Technical elements,0.0059309164
171,Code_Bin stores,0.005835404
544,third_level_Treads and landing units,0.0058219773
546,third_level_Walling units,0.0056927507
289,Code_Glass brise-soleil louvre blades,0.0055901227
43,Material_Film,0.005494251
120,Material_Thermoplastic elastomer resin,0.00548881
253,Code_Extender cables,0.005171269
223,Code_Dish and utensil washers,0.0051383227
19,Material_Brass,0.0050536566
164,Code_Bathroom cabinets,0.004897473
522,third_level_Air and fume distribution products,0.004841972
294,Code_Glassware,0.004733671
425,Code_Sports netting,0.0045648967
49,Material_Gas,0.00442594
87,Material_Patterned glass,0.0044066957
483,Code_Urinal dividers,0.0042164014
311,Code_Heat pumps,0.0040784283
44,Material_Fir,0.003532215
58,Material_Grog,0.0033241645
384,Code_Preformed casings,0.00316857
275,Code_Food preparation tables,0.0031680597
45,Material_Fire clay,0.003025429
427,Code_Sprinklers,0.0028925485
32,Material_Daub,0.0028438652
535,third_level_Safety cages,0.002260704
18,Material_Borosilicate glass,0.002260242
372,Code_Pedestal washbasins,0.0021025378
547,third_level_Wire structure and general products,0.0018325594
79,Material_Net,0.0016869756
105,Material_Safety glass,0.0013893783
94,Material_Porcelain,0.0012957675
48,Material_Galvanized steel,0.0012739566
38,Material_Encaustic,0.0012232406
153,Code_Arrises,0.0011549141
362,Code_Occupancy detectors,0.0010615651
398,Code_Roses,0.0
395,Code_Rainwater weirs,0.0
39,Material_European larch,0.0
399,Code_Round pin socket outlets,0.0
40,Material_Fibre,0.0
400,Code_Sand,0.0
401,Code_Sanitary accessories,0.0
402,Code_Sanitary towel dispensers,0.0
403,Code_Scagliola,0.0
394,Code_Radio receivers,0.0
391,Code_Pull handles,0.0
392,Code_Radiator enamels,0.0
405,Code_Semi-tubular rivets,0.0
390,Code_Protection and security control products,0.0
41,Material_Figured glass,0.0
388,Code_Projection screens,0.0
387,Code_Printers,0.0
386,Code_Pressure relief valves,0.0
385,Code_Premises information boxes,0.0
42,Material_Filament,0.0
383,Code_Power over ethernet (POE) network switches,0.0
382,Code_Power and lighting outlet products,0.0
46,Material_Float glass,0.0
404,Code_Scuttles,0.0
90,Material_Photosensitive glass,0.0
406,Code_Separators,0.0
421,Code_Solders,0.0
433,Code_Stainless steel edge strips and frames,0.0
432,Code_Stainless steel clips,0.0
431,Code_Stainless steel chemical anchor rods,0.0
430,Code_Stainless steel cappings and copings,0.0
429,Code_Stainless steel capping units,0.0
428,Code_Stainless steel bars and rods for general purposes,0.0
33,Material_Decorative aggregates,0.0
426,Code_Spotlights,0.0
34,Material_Dichromatic glass,0.0
424,Code_Special lamps,0.0
423,Code_Solvents,0.0
422,Code_Solenoid latches and locks,0.0
420,Code_Solar-powered illuminated bollards,0.0
380,Code_Porcelain tiles,0.0
419,Code_Solar heat collectors,0.0
36,Material_Dolomite,0.0
37,Material_Emulsion,0.0
416,Code_Soap dishes,0.0
415,Code_Slab urinals,0.0
414,Code_Sinks,0.0
413,Code_Sink taps,0.0
412,Code_Shower manual water supply sets,0.0
411,Code_Shower heads,0.0
410,Code_Shower head holders,0.0
409,Code_Shower fittings package,0.0
408,Code_Shower enclosures,0.0
407,Code_Shower curtains,0.0
377,Code_Plastics plugs,0.0
379,Code_Plugs,0.0
336,Code_Light tables,0.0
347,Code_Macerator and dewaterer tank wash,0.0
346,Code_Luminous paints,0.0
345,Code_Load cells,0.0
344,Code_Liquid fuel tank heaters,0.0
343,Code_Liquid and gas source products,0.0
342,Code_Linseed oil putties,0.0
341,Code_Lime renders,0.0
340,Code_Lighting tracks,0.0
52,Material_Gneiss,0.0
338,Code_Lighting beacons,0.0
337,Code_Light-emitting diode (LED) lamps,0.0
335,Code_Light switches,0.0
349,Code_Manifold nuts,0.0
334,Code_Laundry washing machines,0.0
333,Code_Lantern lights,0.0
332,Code_Lamps,0.0
331,Code_Lamprey plates,0.0
330,Code_Laminboard core plywoods,0.0
329,Code_Lacquers,0.0
328,Code_Lacquer resins,0.0
327,Code_Laboratory freezers,0.0
326,Code_LED light panels,0.0
325,Code_Kitchenette units,0.0
324,Code_Kitchen worktops,0.0
348,Code_Machine parts cleaning washer units,0.0
350,Code_Manual air vents,0.0
378,Code_Plate (square) washers,0.0
365,Code_Oils,0.0
435,Code_Stainless steel hinged bollards,0.0
376,Code_Pin kerbs,0.0
375,Code_Photovoltaic modules,0.0
374,Code_Photographic equipment,0.0
47,Material_Fluids,0.0
371,Code_Parallel wire strand cables,0.0
370,Code_Paper towel dispensers,0.0
369,Code_Pantographs,0.0
50,Material_Gases,0.0
367,Code_Overmantel mirrors,0.0
366,Code_Ottomans,0.0
364,Code_Office tables,0.0
351,Code_Medical and laboratory equipment,0.0
363,Code_Office desks,0.0
361,Code_Nave lecterns,0.0
360,Code_Musical instruments,0.0
359,Code_Murals,0.0
358,Code_Multistage pumps,0.0
51,Material_Glare-reducing glass,0.0
356,Code_Mirrors,0.0
355,Code_Miniature circuit breakers,0.0
354,Code_Microwave ovens,0.0
353,Code_Metal skirtings,0.0
352,Code_Metal bollards,0.0
434,Code_Stainless steel fascias,0.0
437,Code_Stainless steel louvre panel units,0.0
436,Code_Stainless steel hook bolts,0.0
322,Code_Intercom remote handsets,0.0
518,first_level_Structural elements,0.0
24,Material_Chrome steel,0.0
25,Material_Clinker,0.0
26,Material_Coade stone,0.0
514,Code_Zinc plating,0.0
513,Code_Wood-burning stoves,0.0
512,Code_Wood skirtings,0.0
511,Code_Wood lathings,0.0
510,Code_Wood architraves,0.0
509,Code_Wind direction indicator products,0.0
508,Code_Wheel lathes,0.0
507,Code_Wattmeters,0.0
506,Code_Water-sensing cables,0.0
505,Code_Water treatment products,0.0
504,Code_Water strainers,0.0
503,Code_Water storage products,0.0
502,Code_Water hoses,0.0
501,Code_Water heaters,0.0
500,Code_Water grilles,0.0
499,Code_Water flumes,0.0
498,Code_Water extraction presses,0.0
497,Code_Water conditioners,0.0
496,Code_Waste bins,0.0
495,Code_Washing products,0.0
494,Code_Washers,0.0
23,Material_Chlorofluorocarbons,0.0
22,Material_Chlorine,0.0
521,second_level_Other,0.0
10,Material_Balsam resin,0.0
4,Material_Aerogel,0.0
545,third_level_Trim products,0.0
7,Material_Anti-bandit glass,0.0
543,third_level_Support and restraint products,0.0
542,third_level_Structure and general products,0.0
541,third_level_Structural roofing units,0.0
8,Material_Architectural glass,0.0
539,third_level_Shaft-lining products,0.0
538,third_level_Services support and containment products,0.0
537,third_level_Sectional products,0.0
9,Material_Asphalt,0.0
11,Material_Barytes aggregates,0.0
21,Material_Ceramic,0.0
12,Material_Basalt,0.0
532,"third_level_Non-rigid sheet, mat and strip covering and finish products",0.0
531,third_level_Masonry walling units,0.0
13,"Material_Base, bed and fill aggregates",0.0
14,Material_Bitumen,0.0
16,Material_Blinding coarse aggregates,0.0
527,third_level_Handrails,0.0
17,Material_Bonded surfacing decorative aggregates,0.0
525,third_level_Formless structure and general products,0.0
20,Material_Cast iron,0.0
523,third_level_Fastener products,0.0
493,Code_Wash troughs,0.0
492,Code_Wall-hung urinals,0.0
491,Code_WC pans,0.0
450,Code_Steel plant containers,0.0
461,Code_Swimming pool fittings,0.0
460,Code_Suspension rigs,0.0
31,Material_Crystal glass,0.0
458,Code_Surveillance camera brackets,0.0
457,Code_Surface luminaires,0.0
456,Code_Sundials,0.0
455,Code_Submerged panel heat exchangers,0.0
454,Code_Strip ventilators,0.0
453,Code_Stilling tubes,0.0
452,Code_Steel spiles,0.0
451,Code_Steel security cabinets,0.0
449,Code_Steel lighting bollards,0.0
463,Code_Telecoms equipment,0.0
448,Code_Steam valves,0.0
447,Code_Steam traps and strainers,0.0
