,Feature,Importance
5,Material_Decorative aggregates,0.58619934
0,Price,0.41380066
14,Code_Scagliola,0.0
24,second_level_Other,0.0
23,second_level_Furnishings,0.0
22,"second_level_Covering, Finish",0.0
21,"second_level_Blocks, Panels, Fences, Bricks",0.0
20,"first_level_Wall, Barriers, Pannels",0.0
19,first_level_Technical elements,0.0
18,first_level_Structural elements,0.0
17,first_level_Furnishings,0.0
16,Code_Separators,0.0
15,Code_Sectional products,0.0
13,Code_Occasional tables,0.0
1,Length,0.0
12,Code_Display plinths,0.0
11,Code_Conical couplers,0.0
10,Code_Conference tables,0.0
9,Code_Arrises,0.0
8,Material_Sheet,0.0
7,Material_Pisé,0.0
6,Material_Lignite,0.0
4,Material_Aggregates,0.0
3,Height,0.0
2,Width,0.0
25,third_level_Sectional products,0.0
