,Feature,Importance
30,second_level_Other,0.6315982
0,Price,0.18682839
8,Material_Metal,0.18157345
31,"second_level_Stairs, Ramps, Lift, Hardware",0.0
29,"second_level_Blocks, Panels, Fences, Bricks",0.0
28,"first_level_Wall, Barriers, Pannels",0.0
27,first_level_Technical elements,0.0
26,first_level_Structural elements,0.0
17,Code_Display plinths,0.0
25,first_level_Other,0.0
24,Code_Stilling tubes,0.0
23,Code_Steel spiles,0.0
22,Code_Stainless steel welded circular tubes,0.0
21,Code_Process equipment,0.0
20,Code_Metal sways,0.0
19,Code_Metal skirtings,0.0
18,Code_Drafting machines,0.0
16,Code_Cast and wrought iron brackets,0.0
1,Length,0.0
15,Code_Brass sections,0.0
14,Code_Black bitumen coatings,0.0
13,Code_Bandings,0.0
12,Material_Wrought iron,0.0
11,Material_Tin,0.0
10,Material_Steel,0.0
9,Material_Nickel steel,0.0
7,Material_Lignite,0.0
6,Material_Gravel,0.0
5,Material_Brass,0.0
4,Material_Bitumen,0.0
3,Height,0.0
2,Width,0.0
32,third_level_Shaft-lining products,0.0
