,Feature,Importance
50,Code_Murals,0.3537257
0,Price,0.29294074
76,"second_level_Blocks, Panels, Fences, Bricks",0.20032573
11,Material_Decorative aggregates,0.111401774
62,Code_Terrazzo tile skirtings,0.04160606
47,Code_Lacquers,0.0
60,Code_Sprinklers,0.0
59,Code_Separators,0.0
58,Code_Sculptural reliefs,0.0
57,Code_Refractory bricks,0.0
56,Code_Plaques,0.0
55,Code_Pendant luminaires,0.0
54,Code_Office desks,0.0
46,Code_Guard barriers,0.0
52,Code_Natural stone wall and floor slabs,0.0
61,Code_Stilling tubes,0.0
51,Code_Natural stone quoins,0.0
44,Code_Gas meters,0.0
49,Code_Modular mezzanines,0.0
48,Code_Meter cabinets,0.0
45,Code_Grommets,0.0
53,Code_Nave lecterns,0.0
63,Code_Tilt meters,0.0
42,Code_Door dampers,0.0
64,Code_Up-and-over doorsets,0.0
80,second_level_Other,0.0
79,"second_level_Floors, Ceiling",0.0
78,"second_level_Door, Windows, Gates",0.0
77,"second_level_Covering, Finish",0.0
75,"first_level_Wall, Barriers, Pannels",0.0
74,first_level_Technical elements,0.0
73,first_level_Structural elements,0.0
72,first_level_Other,0.0
71,Code_Wall-hung washbasins,0.0
70,Code_Wall-hung urinals,0.0
69,Code_Wall hangings,0.0
68,Code_Wall and floor tile units,0.0
67,Code_Vault doors,0.0
66,Code_Vapour meters,0.0
65,Code_Urinal dividers,0.0
43,Code_Duvets,0.0
41,Code_Dimensioned stones,0.0
1,Length,0.0
40,Code_Culverts,0.0
19,Material_Loose surfacing decorative aggregates,0.0
18,Material_Liquid,0.0
17,Material_Lignite,0.0
16,Material_Insulating concrete,0.0
15,Material_Gravel,0.0
14,Material_Granite-powder cement,0.0
13,Material_Gas,0.0
12,Material_Encaustic,0.0
10,Material_Daub,0.0
9,Material_Coade stone,0.0
8,Material_Cinder concrete,0.0
7,Material_Ceramic,0.0
6,Material_Basalt,0.0
5,Material_Architectural glass,0.0
4,Material_Aluminium,0.0
3,Height,0.0
2,Width,0.0
20,Material_Pisé,0.0
21,Material_Porcelain,0.0
22,Material_Pozzolan cement,0.0
32,Code_Bidet wastes,0.0
39,Code_Concrete bollards,0.0
38,Code_Concealed hinges,0.0
37,Code_Ceramic tile borders,0.0
36,Code_Ceiling light switches,0.0
35,Code_Cavity sliding doorsets,0.0
34,Code_Bouldering walls,0.0
33,Code_Bidets,0.0
31,Code_Arrises,0.0
23,Material_Sheet,0.0
30,Code_Aluminium skirtings,0.0
29,Code_Air curtains,0.0
28,Material_Wychert,0.0
27,Material_Wallaba,0.0
26,Material_Terracotta,0.0
25,Material_Small-area repair concrete,0.0
24,Material_Sitka spruce,0.0
81,third_level_Walling units,0.0
