,Code,report,features
0,Pr_30_36_36_21,"              precision    recall  f1-score   support

         0.0       0.92      0.97      0.94        58
         1.0       0.91      0.81      0.86        26

    accuracy                           0.92        84
   macro avg       0.92      0.89      0.90        84
weighted avg       0.92      0.92      0.92        84
","                             Feature  Importance
49           Location_D-28217 Bremen    0.810020
3    Subcategory_Wohnungseingangstür    0.113773
64       Location_D-40213 Düsseldorf    0.038430
178                     Location_gut    0.016099
2             Subcategory_Außentüren    0.012239
..                               ...         ...
82          Location_D-50678 Cologne    0.000000
83          Location_D-50968 Cologne    0.000000
84         Location_D-53332 Bornheim    0.000000
85        Location_D-53359 Rheinbach    0.000000
226        material_emb_Sitka spruce    0.000000

[227 rows x 2 columns]"
1,Pr_65_52_61_91,"              precision    recall  f1-score   support

         0.0       0.97      0.96      0.96        99
         1.0       0.33      0.40      0.36         5

    accuracy                           0.93       104
   macro avg       0.65      0.68      0.66       104
weighted avg       0.94      0.93      0.94       104
","                                Feature  Importance
54              Location_D-14055 Berlin    0.716528
241                  Location_neuwertig    0.053479
90          Location_D-40213 Düsseldorf    0.044419
4                       Category_Rohbau    0.040027
230                  Location_Gebraucht    0.035332
..                                  ...         ...
130       Location_D-63263 Neu-Isenburg    0.000000
129           Location_D-61476 Kronberg    0.000000
128         Location_D-61118 Bad Vilbel    0.000000
127  Location_D-60311 Frankfurt am Main    0.000000
383                   material_emb_Pisé    0.000000

[384 rows x 2 columns]"
2,Pr_20_29_88_75,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00         2
         1.0       0.83      0.91      0.87        11

    accuracy                           0.77        13
   macro avg       0.42      0.45      0.43        13
weighted avg       0.71      0.77      0.74        13
","                                      Feature  Importance
35                 Location_D-93326 Abensberg    0.684652
39                            Hersteller_Roto    0.218057
0                            LastPriceNumeric    0.073066
40                           Hersteller_Velux    0.024226
31                 Location_D-77654 Offenburg    0.000000
24                  Location_D-70736 Fellbach    0.000000
25                 Location_D-72186 Empfingen    0.000000
26                 Location_D-72622 Nürtingen    0.000000
27     Location_D-73119 Zell unter Aichelberg    0.000000
28                 Location_D-73728 Esslingen    0.000000
29                Location_D-75217 Birkenfeld    0.000000
30                 Location_D-76275 Ettlingen    0.000000
33                    Location_D-81249 Munich    0.000000
32                    Location_D-78250 Tengen    0.000000
22         Location_D-63791 Karlstein am Main    0.000000
34  Location_D-84088 Neufahrn in Niederbayern    0.000000
36                               Location_Neu    0.000000
37                               Location_gut    0.000000
38                         Hersteller_Lamilux    0.000000
41                   German_Raw_Roofing swags    0.000000
23                 Location_D-70329 Stuttgart    0.000000
21                   Location_D-63768 Hösbach    0.000000
1                            Category_Fenster    0.000000
10                    Location_D-23829 Kükels    0.000000
2                     Subcategory_Dachfenster    0.000000
3           Location_24 Monate Gewährleistung    0.000000
4                    Location_D-04155 Leipzig    0.000000
5              Location_D-06116 Halle (Saale)    0.000000
6                     Location_D-12247 Berlin    0.000000
7                 Location_D-12529 Schönefeld    0.000000
8                     Location_D-12623 Berlin    0.000000
9                    Location_D-15345 Prötzel    0.000000
11                    Location_D-28217 Bremen    0.000000
20         Location_D-60389 Frankfurt am Main    0.000000
12                     Location_D-29223 Celle    0.000000
13                   Location_D-30449 Hanover    0.000000
14                      Location_D-31008 Elze    0.000000
15                    Location_D-32369 Rahden    0.000000
16                Location_D-40213 Düsseldorf    0.000000
17               Location_D-42799 Leichlingen    0.000000
18       Location_D-45478 Mülheim an der Ruhr    0.000000
19                  Location_D-53332 Bornheim    0.000000
42           material_emb_Architectural glass    0.000000"
3,Pr_35_90_43_04,"              precision    recall  f1-score   support

         0.0       1.00      0.48      0.65        31
         1.0       0.85      1.00      0.92        94

    accuracy                           0.87       125
   macro avg       0.93      0.74      0.79       125
weighted avg       0.89      0.87      0.85       125
","                       Feature  Importance
1                Category_Dach    0.664624
72     Location_D-28217 Bremen    0.153481
3         Category_Innenausbau    0.060670
288               Location_Neu    0.037153
356       Hersteller_Internorm    0.022734
..                         ...         ...
145   Location_D-53424 Remagen    0.000000
144  Location_D-53332 Bornheim    0.000000
143      Location_D-53111 Bonn    0.000000
142     Location_D-52351 Düren    0.000000
439          material_emb_Silt    0.000000

[440 rows x 2 columns]"
4,Pr_45_63_64_90,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00         1
         1.0       0.94      1.00      0.97        16

    accuracy                           0.94        17
   macro avg       0.47      0.50      0.48        17
weighted avg       0.89      0.94      0.91        17
","                      Feature  Importance
0            LastPriceNumeric         1.0
53               Location_Neu         0.0
61          Hersteller_Drutex         0.0
60         Hersteller_Croford         0.0
59       Hersteller_Bayerwald         0.0
..                        ...         ...
26  Location_D-47051 Duisburg         0.0
25      Location_D-45768 Marl         0.0
24     Location_D-45149 Essen         0.0
23   Location_D-40699 Erkrath         0.0
83          material_emb_Pisé         0.0

[84 rows x 2 columns]"
5,Pr_20_76_08_19,"              precision    recall  f1-score   support

         0.0       0.00      0.00      0.00         1
         1.0       0.92      0.85      0.88        13

    accuracy                           0.79        14
   macro avg       0.46      0.42      0.44        14
weighted avg       0.85      0.79      0.82        14
","                        Feature  Importance
0              LastPriceNumeric         1.0
53  Location_D-82166 Gräfelfing         0.0
61            Hersteller_BBLOXx         0.0
60        Location_HU-6500 Baja         0.0
59           Location_Gebraucht         0.0
..                          ...         ...
26   Location_D-25499 Tangstedt         0.0
25      Location_D-14089 Berlin         0.0
24      Location_D-13353 Berlin         0.0
23      Location_D-13055 Berlin         0.0
83        material_emb_Concrete         0.0

[84 rows x 2 columns]"
6,Pr_25_93_72,"              precision    recall  f1-score   support

         0.0       0.92      0.92      0.92        13
         1.0       0.00      0.00      0.00         1

    accuracy                           0.86        14
   macro avg       0.46      0.46      0.46        14
weighted avg       0.86      0.86      0.86        14
","                                Feature  Importance
0                      LastPriceNumeric         1.0
45      Location_D-91126 Rednitzhembach         0.0
51                         Location_gut         0.0
50                         Location_Neu         0.0
49                   Location_Gebraucht         0.0
..                                  ...         ...
23            Location_D-47625 Kevelaer         0.0
22             Location_D-42551 Velbert         0.0
21          Location_D-40213 Düsseldorf         0.0
20  Location_D-37235 Hessisch Lichtenau         0.0
70                    material_emb_Silt         0.0

[71 rows x 2 columns]"
7,Pr_20_85_86_30,"              precision    recall  f1-score   support

         0.0       1.00      1.00      1.00         8

    accuracy                           1.00         8
   macro avg       1.00      1.00      1.00         8
weighted avg       1.00      1.00      1.00         8
","                                              Feature  Importance
0                                    LastPriceNumeric         1.0
19                          Location_D-76646 Bruchsal         0.0
21                        Location_D-84069 Schierling         0.0
22                           Location_D-86857 Hurlach         0.0
23                         Location_D-96114 Hirschaid         0.0
24                       Location_D-97846 Partenstein         0.0
25                                 Location_Gebraucht         0.0
26                           Location_L-7333 Steinsel         0.0
27                                       Location_Neu         0.0
28                                 Location_neuwertig         0.0
29   Hersteller_Dachstuhl aus unbehandeltem Nadelholz         0.0
30               Hersteller_Eichenbalken als Vollholz         0.0
31                                  Hersteller_Steico         0.0
32  Hersteller_Verleimung exterieur, Qualität BB/B...         0.0
33                          Hersteller_Wooden Fencing         0.0
34                                   Hersteller_Würth         0.0
35                          German_Raw_Formwork props         0.0
20                           Location_D-82131 Gauting         0.0
18                   Location_D-74523 Schwäbisch Hall         0.0
1                                       Category_Dach         0.0
17                          Location_D-74219 Möckmühl         0.0
2                   Subcategory_Konstruktiver Holzbau         0.0
3                         Location_D-03130 Tschernitz         0.0
4                      Location_D-06120 Halle (Saale)         0.0
5                                    Location_D-06618         0.0
6                             Location_D-12587 Berlin         0.0
7                            Location_D-18055 Rostock         0.0
8                         Location_D-19412 Weitendorf         0.0
9                              Location_D-23701 Eutin         0.0
10                          Location_D-36129 Gersfeld         0.0
11                        Location_D-40213 Düsseldorf         0.0
12                             Location_D-45128 Essen         0.0
13                           Location_D-54636 Schleid         0.0
14                             Location_D-59494 Soest         0.0
15                     Location_D-67105 Schifferstadt         0.0
16                         Location_D-69245 Bammental         0.0
36                               material_emb_Ceramic         0.0"
8,Pr_45_31_63_76,"              precision    recall  f1-score   support

         0.0       0.93      0.96      0.94        52
         1.0       0.91      0.83      0.87        24

    accuracy                           0.92        76
   macro avg       0.92      0.90      0.91        76
weighted avg       0.92      0.92      0.92        76
","                            Feature  Importance
61          Location_D-28217 Bremen    0.853902
3           Category_Türen & Zargen    0.133645
0                  LastPriceNumeric    0.007803
1    Category_Haustechnik & Sanitär    0.003095
2                   Category_Rohbau    0.001555
..                              ...         ...
85         Location_D-48477 Hörstel    0.000000
86         Location_D-50181 Bedburg    0.000000
87           Location_D-50354 Hürth    0.000000
88         Location_D-50825 Cologne    0.000000
238               material_emb_Pisé    0.000000

[239 rows x 2 columns]"
9,Pr_40_10_57_23,"              precision    recall  f1-score   support

         0.0       1.00      0.92      0.96        25
         1.0       0.67      1.00      0.80         4

    accuracy                           0.93        29
   macro avg       0.83      0.96      0.88        29
weighted avg       0.95      0.93      0.94        29
","                                              Feature  Importance
16                            Location_D-28217 Bremen    0.982222
0                                    LastPriceNumeric    0.017778
43                 Hersteller_Berker Artikelnr.: 5031    0.000000
32                         Location_D-70199 Stuttgart    0.000000
33                           Location_D-71686 Remseck    0.000000
34                          Location_D-72461 Albstadt    0.000000
35                        Location_D-72764 Reutlingen    0.000000
36                           Location_D-81475 München    0.000000
37                       Location_D-85622 Feldkirchen    0.000000
38                        Location_D-90556 Cadolzburg    0.000000
39                                 Location_Gebraucht    0.000000
40                                       Location_Neu    0.000000
41                                 Location_brauchbar    0.000000
42                                       Location_gut    0.000000
44  Hersteller_Berker Gehäuse 2-fach AP, Art. Nr.:...    0.000000
30                         Location_D-55283 Nierstein    0.000000
45              Hersteller_Berker, Artikelnr.: 503808    0.000000
46                          Hersteller_Datwyler Keram    0.000000
47                                   Hersteller_Hager    0.000000
48                                    Hersteller_Jung    0.000000
49                                 Hersteller_Licatec    0.000000
50                                    Hersteller_MARS    0.000000
51                              Hersteller_Profiflex     0.000000
52                                     Hersteller_STR    0.000000
53                               Hersteller_Schwaiger    0.000000
54                       Hersteller_Siemens 5TT4101-0    0.000000
55                Hersteller_nkt Cables / Faber Kabel    0.000000
56                     German_Raw_Electrical diagrams    0.000000
31                        Location_D-69115 Heidelberg    0.000000
29                           Location_D-51065 Cologne    0.000000
1                      Category_Haustechnik & Sanitär    0.000000
28                           Location_D-51061 Cologne    0.000000
2                         Subcategory_Elektroarbeiten    0.000000
3                                           Location_    0.000000
4                   Location_12 Monate Gewährleistung    0.000000
5                          Location_D-04600 Altenburg    0.000000
6                              Location_D-07922 Tanna    0.000000
7                           Location_D-08209 Auerbach    0.000000
8                           Location_D-09112 Chemnitz    0.000000
9                            Location_D-14469 Potsdam    0.000000
10                       Location_D-14943 Luckenwalde    0.000000
11                       Location_D-14979 Grossbeeren    0.000000
12                           Location_D-20099 Hamburg    0.000000
13                           Location_D-21079 Hamburg    0.000000
14                          Location_D-21217 Seevetal    0.000000
15                              Location_D-24159 Kiel    0.000000
17                          Location_D-30169 Hannover    0.000000
18                           Location_D-30169 Hanover    0.000000
19                           Location_D-38518 Gifhorn    0.000000
20                        Location_D-38704 Liebenburg    0.000000
21                        Location_D-40213 Düsseldorf    0.000000
22                        Location_D-40215 Düsseldorf    0.000000
23                             Location_D-45127 Essen    0.000000
24                          Location_D-47259 Duisburg    0.000000
25                           Location_D-48477 Hörstel    0.000000
26                           Location_D-50823 Cologne    0.000000
27                           Location_D-50825 Cologne    0.000000
57                             material_emb_Encaustic    0.000000"
