,Feature,Importance
174,Material_gemischt,0.37769562
162,Material_Holz,0.087195374
52,Swiss_Raw_Lamps,0.08424479
173,Material_Wood,0.06422058
164,Material_Metal,0.05101424
166,Material_Mixed,0.04343138
144,Subcategory_Möbel,0.041518845
32,Swiss_Raw_Door hinges,0.033634193
113,Condition_like new,0.027605567
1,Quantity,0.02644851
124,Subcategory_Badezimmermöbel,0.026188381
0,LastPrice,0.024434758
116,Condition_used,0.021000942
142,Subcategory_Leuchten & Lampen,0.020684237
2,Length,0.019108828
117,Condition_used & cleaned,0.018138044
3,Width,0.017576095
7,Category_Gebäudetechnik & Sanitär,0.0058599985
118,"Condition_used, cleaned & tested",0.005495698
4,Category_Ausbau,0.004503987
122,Subcategory_Aussentüren,0.0
119,Subcategory_An- & Einbauten,0.0
120,Subcategory_Apparate & Geräte,0.0
121,Subcategory_Armaturen,0.0
130,Subcategory_Elektrogerät,0.0
129,Subcategory_Elastische Beläge,0.0
123,Subcategory_Badewanne & Dusche,0.0
115,Condition_neuwertig,0.0
125,Subcategory_Baustoffe,0.0
126,Subcategory_Dachhaut,0.0
127,Subcategory_Einbauküchen,0.0
128,Subcategory_Einrichtungen,0.0
131,Subcategory_Fenster,0.0
98,Swiss_Raw_Wood blocks,0.0
99,Swiss_Raw_Wood brise-soleil louvre blades,0.0
105,Swiss_Raw_Wood window units,0.0
100,Swiss_Raw_Wood cover strips,0.0
101,Swiss_Raw_Wood fibres,0.0
102,Swiss_Raw_Wood lathings,0.0
97,Swiss_Raw_Window walls,0.0
103,Swiss_Raw_Wood skirtings,0.0
104,Swiss_Raw_Wood veneers,0.0
96,"Swiss_Raw_Wash basin, soap dispenser and hand dryer units",0.0
106,Swiss_Raw_Wood-burning stoves,0.0
114,Condition_mixed,0.0
107,Swiss_Raw_Wrought iron decorative panels,0.0
108,Condition_cleaned & tested,0.0
132,Subcategory_Fertigteile & Geräte,0.0
110,Condition_gebraucht,0.0
111,Condition_gebraucht & gereinigt,0.0
112,"Condition_gebraucht, gereinigt & geprüft",0.0
95,Swiss_Raw_Wardrobes,0.0
109,Condition_defective,0.0
138,Subcategory_Innentüren,0.0
133,Subcategory_Freistehend,0.0
167,Material_Other,0.0
157,Material_Ceramic,0.0
158,Material_Chrome steel,0.0
159,Material_Compound,0.0
160,Material_Glas,0.0
161,Material_Glass,0.0
163,Material_Keramik,0.0
165,Material_Metall,0.0
168,Material_Plastic,0.0
155,Material_Aluminium,0.0
169,Material_Stahl,0.0
170,Material_Stainless steel,0.0
171,Material_Steel,0.0
172,Material_Stone,0.0
175,Energy_Efficiency_A,0.0
176,Energy_Efficiency_C,0.0
177,Energy_Efficiency_D,0.0
156,Material_Aluminum,0.0
154,Subcategory_Öfen & Cheminées,0.0
134,Subcategory_Gastroküche & Gastroartikel,0.0
143,Subcategory_Läden & Storen,0.0
135,Subcategory_Geländer,0.0
136,Subcategory_Heizkörper,0.0
