,Feature,Importance
223,Material_Keramik,0.28729022
243,Material_gemischt,0.1706485
227,Material_Metall,0.0774419
139,"Condition_gebraucht, gereinigt & geprüft",0.05735307
225,Material_Kunststoff,0.051818
236,Material_Stahl,0.045012258
142,Condition_mixed,0.026266929
226,Material_Metal,0.01793425
240,Material_Stone,0.017174149
229,Material_Mixed,0.016397407
143,Condition_neuwertig,0.016107587
242,Material_Wood,0.014646221
9,Category_Sonstiges,0.013817739
233,Material_Plastic,0.0136212185
214,Material_Ceramic,0.012671331
151,Subcategory_Armaturen,0.012649608
140,Condition_like new,0.012363535
1,Quantity,0.012051867
0,LastPrice,0.0113962535
5,Category_Baustoffe & Werkzeuge,0.010510397
147,"Condition_used, cleaned & tested",0.010456066
190,Subcategory_Sonstiges,0.00857614
221,Material_Glass-ceramics,0.008490127
146,Condition_used & cleaned,0.00799849
238,Material_Steel,0.006334446
188,Subcategory_Möbel,0.006254486
244,Energy_Efficiency_A,0.00596806
150,Subcategory_Apparate & Geräte,0.0053900625
3,Width,0.004615304
174,Subcategory_Heizkörper,0.0045423172
2,Length,0.0043173386
220,Material_Glass,0.0041074683
191,Subcategory_Spülen,0.0032834606
4,Category_Ausbau,0.003203723
8,Category_Gebäudetechnik & Sanitär,0.0031512922
7,Category_Gebäudehülle & Konstruktion,0.0027855914
205,Subcategory_Waschküche & Trockner,0.0026046708
90,Swiss_Raw_Refrigerators,0.002531093
210,Subcategory_Zubehör,0.0024929543
145,Condition_used,0.0012029876
201,Subcategory_WCs - Toiletten,0.0011735834
237,Material_Stainless steel,0.0011532028
156,Subcategory_Baustoffe,0.0008542981
206,Subcategory_Waschtisch & Lavabos,0.00068900845
88,Swiss_Raw_Radiators,0.00065140316
163,Subcategory_Elastische Beläge,0.0
164,Subcategory_Elektrogerät,0.0
165,Subcategory_F01.03	Bedachung geneigtes Dach,0.0
166,Subcategory_Fassade,0.0
167,Subcategory_Fenster,0.0
176,Subcategory_Innentüren,0.0
162,Subcategory_Einrichtungen,0.0
168,Subcategory_Fertigteile & Geräte,0.0
169,Subcategory_Freistehend,0.0
170,Subcategory_Gartenmöbel,0.0
172,Subcategory_Geländer,0.0
173,Subcategory_Geschirr & Besteck,0.0
175,Subcategory_Holzbeläge,0.0
171,Subcategory_Gastroküche & Gastroartikel,0.0
148,Subcategory_An- & Einbauten,0.0
161,Subcategory_Einbauküchen,0.0
160,Subcategory_Dämmung,0.0
133,Swiss_Raw_Water treatment products,0.0
134,Swiss_Raw_Wheels,0.0
135,Condition_cleaned & tested,0.0
136,Condition_defective,0.0
137,Condition_gebraucht,0.0
138,Condition_gebraucht & gereinigt,0.0
141,Condition_mangelhaft,0.0
144,Condition_new,0.0
178,Subcategory_Kleinteile,0.0
149,Subcategory_Anlage Frischwasser,0.0
152,Subcategory_Bad & Dusche,0.0
153,Subcategory_Badewanne & Dusche,0.0
154,Subcategory_Badezimmermöbel,0.0
155,Subcategory_Baumaschinen,0.0
157,Subcategory_Dachfenster,0.0
158,Subcategory_Dachhaut,0.0
159,Subcategory_Dachkonstruktion,0.0
177,Subcategory_Keramikbeläge,0.0
194,Subcategory_Stützen,0.0
179,Subcategory_Klimaanlagen,0.0
231,Material_Naturstein,0.0
213,Material_Carpet,0.0
215,Material_Chrome steel,0.0
216,Material_Compound,0.0
217,Material_Concrete,0.0
218,Material_Foamed PVC,0.0
219,Material_Glas,0.0
222,Material_Holz,0.0
224,Material_Kunststein,0.0
228,Material_Miscellaneous,0.0
230,Material_Natural stone,0.0
232,Material_Other,0.0
180,Subcategory_Klingelanlagen,0.0
234,Material_Plexiglass,0.0
235,Material_Similar,0.0
239,Material_Stein,0.0
241,Material_Textile,0.0
245,Energy_Efficiency_B,0.0
246,Energy_Efficiency_C,0.0
247,Energy_Efficiency_D,0.0
248,Energy_Efficiency_E,0.0
249,Energy_Efficiency_F,0.0
250,Energy_Efficiency_G,0.0
212,Material_Aluminum,0.0
211,Subcategory_Öfen & Cheminées,0.0
209,Subcategory_Wärmeerzeugung,0.0
208,Subcategory_Wände,0.0
181,Subcategory_Küchenmöbel,0.0
182,Subcategory_Laminat,0.0
183,Subcategory_Leitern,0.0
184,Subcategory_Leuchten & Lampen,0.0
185,Subcategory_Läden & Storen,0.0
186,Subcategory_Lüftungsanlage,0.0
187,Subcategory_Mauern,0.0
189,Subcategory_Pflanzen,0.0
192,Subcategory_Steinbeläge,0.0
193,Subcategory_Stromerzeugung,0.0
131,Swiss_Raw_Washing products,0.0
195,Subcategory_Teppiche,0.0
196,Subcategory_Tore,0.0
197,Subcategory_Treppen & Rampen,0.0
198,Subcategory_Umgebungsfläche,0.0
199,Subcategory_Verkleidung,0.0
200,Subcategory_WC-Anlagen,0.0
202,Subcategory_Wandfenster,0.0
203,Subcategory_Warmwasseraufbereitung,0.0
204,Subcategory_Waschküche & Trocknen,0.0
207,Subcategory_Werkzeug,0.0
132,Swiss_Raw_Water heaters,0.0
126,Swiss_Raw_Vermicides ,0.0
130,Swiss_Raw_Washers,0.0
129,Swiss_Raw_Washer compactors,0.0
39,Swiss_Raw_Electric cooking ranges,0.0
40,Swiss_Raw_Electric heater batteries,0.0
41,Swiss_Raw_Electric ovens,0.0
42,Swiss_Raw_Electric storage water heaters,0.0
43,Swiss_Raw_Electrochromic glass,0.0
44,Swiss_Raw_Electrodialysis units,0.0
45,Swiss_Raw_Emergency call radio-based equipment,0.0
46,Swiss_Raw_Espresso machines,0.0
47,Swiss_Raw_Exercise bikes,0.0
48,Swiss_Raw_Fire detection and alarm devices and control equipment,0.0
49,Swiss_Raw_Fishwashers,0.0
50,Swiss_Raw_Flange adaptors,0.0
51,Swiss_Raw_Flange nuts,0.0
52,Swiss_Raw_Flannels,0.0
53,Swiss_Raw_Flight diverters,0.0
54,Swiss_Raw_Freezers,0.0
55,Swiss_Raw_Fridge-freezers,0.0
56,Swiss_Raw_Gas cooking ranges,0.0
57,Swiss_Raw_Gas free-standing cookers,0.0
58,Swiss_Raw_Gas meters,0.0
59,Swiss_Raw_Gas-fired boilers,0.0
60,Swiss_Raw_Gas-fired unit heaters,0.0
61,Swiss_Raw_Girder clamps,0.0
62,Swiss_Raw_Glass bottles,0.0
63,Swiss_Raw_Glassware,0.0
64,Swiss_Raw_Gypsum,0.0
65,Swiss_Raw_Hairdryers,0.0
38,Swiss_Raw_Electric boilers,0.0
37,Swiss_Raw_Duvets,0.0
36,Swiss_Raw_Duct banks,0.0
21,Swiss_Raw_Boilers,0.0
6,Category_F Bedachung Gebäude,0.0
10,Category_Umgebung,0.0
11,Swiss_Raw_Acrylic resins,0.0
12,Swiss_Raw_Air-handling luminaires,0.0
13,Swiss_Raw_Balises,0.0
14,Swiss_Raw_Bare-root budded roses,0.0
15,Swiss_Raw_Bathroom cabinets,0.0
16,Swiss_Raw_Bathroom mirrors,0.0
17,Swiss_Raw_Bathroom pods,0.0
18,Swiss_Raw_Baths,0.0
19,Swiss_Raw_Bird boxes,0.0
20,Swiss_Raw_Bogie presses,0.0
22,Swiss_Raw_Bolsters,0.0
35,Swiss_Raw_Domestic cooking equipment,0.0
23,Swiss_Raw_Built-in microwave ovens,0.0
24,Swiss_Raw_Catering refrigerators,0.0
25,Swiss_Raw_Chlorine catchpots,0.0
26,Swiss_Raw_Chrome plating,0.0
27,Swiss_Raw_Commercial cooking equipment,0.0
28,Swiss_Raw_Commercial gas bratt pans,0.0
29,Swiss_Raw_Commercial gas cooking ranges,0.0
30,Swiss_Raw_Commercial gas griddles,0.0
