,Feature,Importance
23,Material_Ceramic,0.70585394
3,Width,0.12497269
14,"Condition_used, cleaned & tested",0.08348537
0,LastPrice,0.045342386
2,Length,0.040345628
19,Subcategory_Waschküche & Trocknen,0.0
20,Subcategory_Waschtisch & Lavabos,0.0
21,Subcategory_Zubehör,0.0
22,Material_Artificial stone,0.0
25,Material_Keramik,0.0
24,Material_Chrome steel,0.0
17,Subcategory_Steinbeläge,0.0
26,Material_Mixed,0.0
27,Material_Stahl,0.0
28,Material_Steel,0.0
29,Material_Stone,0.0
18,Subcategory_WCs - Toiletten,0.0
15,Subcategory_Badezimmermöbel,0.0
16,Subcategory_Spülen,0.0
1,Quantity,0.0
13,Condition_used & cleaned,0.0
12,Condition_used,0.0
11,Condition_neuwertig,0.0
10,Condition_mixed,0.0
9,Condition_like new,0.0
8,"Condition_gebraucht, gereinigt & geprüft",0.0
7,Condition_defective,0.0
6,Swiss_Raw_Pedestal washbasins,0.0
5,Category_Gebäudetechnik & Sanitär,0.0
4,Category_Ausbau,0.0
30,Material_gemischt,0.0
