,Feature,Importance
156,Condition_gebraucht & gereinigt,0.20849162
155,Condition_gebraucht,0.12868221
241,Material_Metall,0.12753758
179,Subcategory_Einrichtungen,0.08553644
55,Swiss_Raw_Glassware,0.057540305
237,Material_Holz,0.050522115
234,Material_Glass-ceramics,0.03952949
242,Material_Mixed,0.025957586
252,Material_Wood,0.024327336
178,Subcategory_Einbauküchen,0.02216426
228,Material_Ceramic,0.020177264
240,Material_Metal,0.019636048
245,Material_Plastic,0.018917317
0,LastPrice,0.016891556
158,Condition_like new,0.015159297
1,Quantity,0.014768125
164,Condition_used & cleaned,0.01282503
233,Material_Glass,0.012006138
163,Condition_used,0.011815973
167,Subcategory_Apparate & Geräte,0.011686686
9,Category_Umgebung,0.011269387
2,Length,0.010890562
165,"Condition_used, cleaned & tested",0.010301174
172,Subcategory_Baustoffe,0.010099481
3,Width,0.0074858875
205,Subcategory_Sonstiges,0.007062888
8,Category_Sonstiges,0.006256849
4,Category_Ausbau,0.004448101
7,Category_Gebäudetechnik & Sanitär,0.0032905922
6,Category_Gebäudehülle & Konstruktion,0.003145434
5,Category_Baustoffe & Werkzeuge,0.0015772328
182,Subcategory_Fassade,0.0
170,Subcategory_Bad & Dusche,0.0
190,Subcategory_Holzbeläge,0.0
189,Subcategory_Heizkörper,0.0
188,Subcategory_Geländer,0.0
171,Subcategory_Badewanne & Dusche,0.0
187,Subcategory_Gastroküche & Gastroartikel,0.0
173,Subcategory_Dachfenster,0.0
186,Subcategory_Gartenmöbel,0.0
175,Subcategory_Dachkonstruktion,0.0
174,Subcategory_Dachhaut,0.0
181,Subcategory_Elektroinstallation,0.0
176,Subcategory_Deckenkonstruktion,0.0
185,Subcategory_Freistehend,0.0
177,Subcategory_Dämmung,0.0
169,Subcategory_Aussentüren,0.0
184,Subcategory_Fertigteile & Geräte,0.0
183,Subcategory_Fenster,0.0
180,Subcategory_Elektrogerät,0.0
140,Swiss_Raw_Water conditioners,0.0
162,Condition_new,0.0
168,Subcategory_Armaturen,0.0
137,Swiss_Raw_Wall-hung washbasins,0.0
142,Swiss_Raw_Wheels,0.0
143,Swiss_Raw_Wood architraves,0.0
144,Swiss_Raw_Wood blocks,0.0
