,Category,Category_1,Subcategory,URL,Title,ID,Imagefile,Bredde,Bredde_unit,Højde,Højde_unit,Tykkelse,Tykkelse_unit,Quantity,LastPrice,Saved,LastUpOn,Store,Country,Language,material_emb,Danish_Raw,Danish_Code,first_level,second_level,third_level,SoldAfterDays,Sold
820,Doors and  Windows,Brugte Døre,Brugt Tilbehør,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-haengsler/260168/doerhammer-i-messing,Dørhammer i messing,260168,[],,,,,,,1.0,425.0,2023-04-28,2023-06-23,Genbyg,DK,dk,Metal,Metal skirtings,Pr_35_90_43_59,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Shaft-lining products,56.0,1.0
851,Doors and  Windows,Brugte Døre,Brugt Tilbehør,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-haengsler/256243/doerstopper-forniklet-messing,Dørstopper - forniklet messing,256243,[],,,,,,,2.0,475.0,2023-04-17,2023-05-03,Genbyg,DK,dk,Gravel,Metal skirtings,Pr_35_90_43_59,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Sanitary fittings and accessories,16.0,1.0
869,Doors and  Windows,Brugte Døre,Brugt Tilbehør,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-haengsler/251260/haengsler-messing,Hængsler - messing,251260,[],,,,,,,1.0,300.0,2023-03-02,2023-04-03,Genbyg,DK,dk,Metal,Metal skirtings,Pr_35_90_43_59,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards",32.0,1.0
870,Doors and  Windows,Brugte Døre,Brugt Tilbehør,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-haengsler/251262/haengsler-messing,Hængsler - messing,251262,[],,,,,,,1.0,250.0,2023-03-09,2023-05-20,Genbyg,DK,dk,Metal,Metal skirtings,Pr_35_90_43_59,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards",72.0,1.0
871,Doors and  Windows,Brugte Døre,Brugt Tilbehør,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-haengsler/251263/haengsel-messing,Hængsel - messing,251263,[],,,,,,,2.0,150.0,2023-03-30,2023-04-05,Genbyg,DK,dk,Metal,Metal skirtings,Pr_35_90_43_59,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Sanitary fittings and accessories,6.0,1.0
872,Doors and  Windows,Brugte Døre,Brugt Tilbehør,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-haengsler/85790/brevspraekke-i-forkromet-messing,Brevsprække i forkromet messing,85790,[],,,,,,,1.0,250.0,2023-03-02,2023-04-24,Genbyg,DK,dk,Ceramic,Metal skirtings,Pr_35_90_43_59,Structural elements,"Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",53.0,1.0
895,Doors and  Windows,Brugte Døre,Brugt Tilbehør,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-haengsler/75032/doerhammer-i-messing,Dørhammer i messing,75032,[],,,,,,,1.0,375.0,2023-03-02,2023-05-20,Genbyg,DK,dk,Metal,Metal skirtings,Pr_35_90_43_59,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Shaft-lining products,79.0,1.0
1098,Doors and  Windows,Brugte Vinduer,Jernvinduer,/doere-vinduer/brugte-vinduer/jernvinduer/267404/vinduesramme-i-jern,Vinduesramme i jern,267404,"['/dyn/resources/Shop_Model_Product/image/4/267404/1693292306/old2columns/267404.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/350593/1693292314/old2columns/267404.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/350594/1693292315/old2columns/267404.jpg']",82.5,cm,120.0,cm,3.0,cm,1.0,1400.0,2023-03-02,2023-03-26,Genbyg,DK,dk,Wrought iron,Metal skirtings,Pr_35_90_43_59,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Masonry walling units,24.0,1.0
1105,Doors and  Windows,Brugte Vinduer,Jernvinduer,/doere-vinduer/brugte-vinduer/jernvinduer/264064/vinduesramme-i-jern,Vinduesramme i jern,264064,"['/dyn/resources/Shop_Model_Product/image/4/264064/1667895896/old2columns/264064.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/336550/1667895902/old2columns/264064.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/336551/1667895904/old2columns/264064.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/336552/1667895905/old2columns/264064.jpg']",50.5,cm,89.0,cm,3.5,cm,1.0,650.0,2023-03-02,2023-09-27,Genbyg,DK,dk,Wrought iron,Metal skirtings,Pr_35_90_43_59,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Masonry walling units,209.0,1.0
1131,Doors and  Windows,Brugte Vinduer,Vinduesrammer,/doere-vinduer/brugte-vinduer/vinduesrammer/264063/vinduesramme-i-jern,Vinduesramme i jern,264063,"['/dyn/resources/Shop_Model_Product/image/3/264063/1667895210/old2columns/264063.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/336546/1667895216/old2columns/264063.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/336547/1667895217/old2columns/264063.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/336548/1667895219/old2columns/264063.jpg']",50.5,cm,89.0,cm,3.5,cm,1.0,650.0,2023-03-02,2023-05-26,Genbyg,DK,dk,Wrought iron,Metal skirtings,Pr_35_90_43_59,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Masonry walling units,85.0,1.0
