,Category,Category_1,Subcategory,URL,Title,ID,Imagefile,Bredde,Bredde_unit,Højde,Højde_unit,Tykkelse,Tykkelse_unit,Quantity,LastPrice,Saved,LastUpOn,Store,Country,Language,material_emb,Danish_Raw,Danish_Code,first_level,second_level,third_level,SoldAfterDays,Sold
893,Doors and  Windows,Brugte Døre,Brugt Tilbehør,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-haengsler/76598/skudrigle,Skudrigle,76598,[],,,,,,,1.0,17.0,2023-03-02,2023-05-04,Genbyg,DK,dk,Pisé,Sprigs,Pr_20_29_56_82,"Wall, Barriers, Pannels","Covering, Finish","Lighting columns, brackets and bollards",63.0,1.0
929,Doors and  Windows,Brugte Døre,Karmtræ,/doere-vinduer/brugte-doere/tilbehoer-til-doere/karmtrae/80738/karmskruer-saet,Karmskruer - sæt,80738,['/dyn/resources/Shop_Model_Product/image/8/80738/1558594317/old2columns/karmskruer-saet-80738.jpg'],,,,,,,,25.0,2023-03-02,2023-10-02,Genbyg,DK,dk,Pisé,Sprigs,Pr_20_29_56_82,"Wall, Barriers, Pannels","Covering, Finish",Trim products,214.0,1.0
980,Doors and  Windows,Brugte Vinduer,Sprossevinduer,/doere-vinduer/brugte-vinduer/sprossevinduer/267739/sprossevindue,Sprossevindue,267739,"['/dyn/resources/Shop_Model_Product/image/9/267739/1695826162/old2columns/267739.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/352094/1695716268/old2columns/267739.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/352095/1695716279/old2columns/267739.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/352097/1695716285/old2columns/267739.jpg']",108.0,cm,125.5,cm,12.0,cm,3.0,2200.0,2023-03-02,2023-10-03,Genbyg,DK,dk,Pisé,Sprigs,Pr_20_29_56_82,"Wall, Barriers, Pannels","Covering, Finish",Trim products,215.0,1.0
982,Doors and  Windows,Brugte Vinduer,Sprossevinduer,/doere-vinduer/brugte-vinduer/sprossevinduer/267216/sprossevindue-med-forsats,Sprossevindue med forsats,267216,"['/dyn/resources/Shop_Model_Product/image/6/267216/1692367653/old2columns/267216.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/349837/1691146890/old2columns/267216.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/349838/1691146900/old2columns/267216.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/349839/1691146902/old2columns/267216.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/349840/1691146904/old2columns/267216.jpg']",119.0,cm,126.0,cm,12.5,cm,3.0,3500.0,2023-03-02,2023-10-18,Genbyg,DK,dk,Pisé,Sprigs,Pr_20_29_56_82,"Wall, Barriers, Pannels","Covering, Finish","Lighting columns, brackets and bollards",230.0,1.0
983,Doors and  Windows,Brugte Vinduer,Sprossevinduer,/doere-vinduer/brugte-vinduer/sprossevinduer/267222/sprossevindue-uden-forsats,Sprossevindue uden forsats,267222,"['/dyn/resources/Shop_Model_Product/image/2/267222/1691151968/old2columns/267222.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/349859/1691149216/old2columns/267222.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/349870/1691151950/old2columns/sprossevindue-uden-forsats-267222.jpg']",119.0,cm,126.0,cm,12.5,cm,1.0,2800.0,2023-03-02,2023-10-08,Genbyg,DK,dk,Pisé,Sprigs,Pr_20_29_56_82,"Wall, Barriers, Pannels","Covering, Finish",Sanitary fittings and accessories,220.0,1.0
984,Doors and  Windows,Brugte Vinduer,Sprossevinduer,/doere-vinduer/brugte-vinduer/sprossevinduer/267277/sprossevindue,Sprossevindue,267277,"['/dyn/resources/Shop_Model_Product/image/7/267277/1692107523/old2columns/267277.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/350038/1691678585/old2columns/267277.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/350040/1691678595/old2columns/267277.jpg']",119.0,cm,65.0,cm,12.5,cm,2.0,1800.0,2023-03-02,2023-10-08,Genbyg,DK,dk,Pisé,Sprigs,Pr_20_29_56_82,"Wall, Barriers, Pannels","Covering, Finish",Trim products,220.0,1.0
985,Doors and  Windows,Brugte Vinduer,Sprossevinduer,/doere-vinduer/brugte-vinduer/sprossevinduer/267302/sprossevindue-med-forsats,Sprossevindue med forsats,267302,"['/dyn/resources/Shop_Model_Product/image/2/267302/1692189610/old2columns/267302.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/350170/1692176785/old2columns/267302.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/350171/1692176792/old2columns/267302.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/350173/1692176796/old2columns/267302.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/350174/1692176798/old2columns/267302.jpg']",119.0,cm,170.0,cm,12.0,cm,2.0,3200.0,2023-03-02,2023-10-04,Genbyg,DK,dk,Pisé,Sprigs,Pr_20_29_56_82,"Wall, Barriers, Pannels","Covering, Finish","Lighting columns, brackets and bollards",216.0,1.0
986,Doors and  Windows,Brugte Vinduer,Sprossevinduer,/doere-vinduer/brugte-vinduer/sprossevinduer/267072/sprossevindue,Sprossevindue,267072,"['/dyn/resources/Shop_Model_Product/image/2/267072/1690270050/old2columns/267072.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/349405/1690269891/old2columns/267072.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/349404/1690269880/old2columns/267072.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/349407/1690269895/old2columns/267072.jpg']",95.5,cm,102.0,cm,9.5,cm,1.0,1600.0,2023-03-02,2023-07-10,Genbyg,DK,dk,Pisé,Sprigs,Pr_20_29_56_82,"Wall, Barriers, Pannels","Covering, Finish",Trim products,130.0,1.0
992,Doors and  Windows,Brugte Vinduer,Sprossevinduer,/doere-vinduer/brugte-vinduer/sprossevinduer/266499/sprossevindue,Sprossevindue,266499,"['/dyn/resources/Shop_Model_Product/image/9/266499/1684147303/old2columns/266499.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/346862/1684147249/old2columns/266499.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/346860/1684147237/old2columns/266499.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/346861/1684147247/old2columns/266499.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/346864/1684147254/old2columns/266499.jpg']",125.0,cm,175.5,cm,12.0,cm,2.0,4000.0,2023-04-19,2023-11-02,Genbyg,DK,dk,Pisé,Sprigs,Pr_20_29_56_82,"Wall, Barriers, Pannels","Covering, Finish",Trim products,197.0,1.0
993,Doors and  Windows,Brugte Vinduer,Sprossevinduer,/doere-vinduer/brugte-vinduer/sprossevinduer/266500/sprossevindue-med-forsats,Sprossevindue med forsats,266500,"['/dyn/resources/Shop_Model_Product/image/0/266500/1684148482/old2columns/266500.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/346867/1684148331/old2columns/266500.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/346869/1684148337/old2columns/266500.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/346868/1684148334/old2columns/266500.jpg']",125.0,cm,175.5,cm,12.0,cm,1.0,4400.0,2023-03-19,2023-10-25,Genbyg,DK,dk,Pisé,Sprigs,Pr_20_29_56_82,"Wall, Barriers, Pannels","Covering, Finish","Lighting columns, brackets and bollards",220.0,1.0
994,Doors and  Windows,Brugte Vinduer,Sprossevinduer,/doere-vinduer/brugte-vinduer/sprossevinduer/266426/sprossevindue,Sprossevindue,266426,"['/dyn/resources/Shop_Model_Product/image/6/266426/1683638740/old2columns/sprossevindue-266426.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/346521/1683555556/old2columns/sprossevindue-266426.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/346525/1683555574/old2columns/sprossevindue-266426.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/346522/1683555567/old2columns/sprossevindue-266426.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/346524/1683555571/old2columns/sprossevindue-266426.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/346526/1683555576/old2columns/sprossevindue-266426.jpg']",112.5,cm,165.0,cm,12.0,cm,1.0,2800.0,2023-03-02,2023-10-15,Genbyg,DK,dk,Pisé,Sprigs,Pr_20_29_56_82,"Wall, Barriers, Pannels","Covering, Finish",Trim products,227.0,1.0
995,Doors and  Windows,Brugte Vinduer,Sprossevinduer,/doere-vinduer/brugte-vinduer/sprossevinduer/266167/koblet-sprossevindue-i-teak-matteret,Koblet sprossevindue i teak matteret,266167,"['/dyn/resources/Shop_Model_Product/image/7/266167/1681803380/old2columns/266167.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/345470/1681737427/old2columns/266167.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/345467/1681737413/old2columns/266167.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/345469/1681737425/old2columns/266167.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/345471/1681737768/old2columns/koblet-sprossevindue-i-teak-266167.jpg']",69.0,cm,119.0,cm,12.0,cm,1.0,2400.0,2023-03-14,2023-10-30,Genbyg,DK,dk,Sitka spruce,Sprigs,Pr_20_29_56_82,"Wall, Barriers, Pannels","Covering, Finish","Floor plates, gratings and edgings",230.0,1.0
996,Doors and  Windows,Brugte Vinduer,Sprossevinduer,/doere-vinduer/brugte-vinduer/sprossevinduer/266162/koblet-sprossevindue-i-teak,Koblet sprossevindue i teak,266162,"['/dyn/resources/Shop_Model_Product/image/2/266162/1681806260/old2columns/266162.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/345448/1681733606/old2columns/266162.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/345451/1681733617/old2columns/266162.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/345450/1681733615/old2columns/266162.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/345452/1681733619/old2columns/266162.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/345453/1681733621/old2columns/266162.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/345454/1681733623/old2columns/266162.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/345511/1681806197/old2columns/koblet-sprossevindue-i-teak-266162.jpg']",69.0,cm,165.0,cm,12.0,cm,1.0,2600.0,2023-03-02,2023-10-23,Genbyg,DK,dk,Teak,Sprigs,Pr_20_29_56_82,"Wall, Barriers, Pannels","Covering, Finish","Floor plates, gratings and edgings",235.0,1.0
997,Doors and  Windows,Brugte Vinduer,Sprossevinduer,/doere-vinduer/brugte-vinduer/sprossevinduer/266161/koblet-sprossevindue-i-teak,Koblet sprossevindue i teak,266161,"['/dyn/resources/Shop_Model_Product/image/1/266161/1681806376/old2columns/266161.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/345443/1681728361/old2columns/266161.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/345444/1681728372/old2columns/266161.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/345445/1681728373/old2columns/266161.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/345446/1681728376/old2columns/266161.jpg']",69.0,cm,119.0,cm,12.0,cm,1.0,2400.0,2023-03-02,2023-10-27,Genbyg,DK,dk,Teak,Sprigs,Pr_20_29_56_82,"Wall, Barriers, Pannels","Covering, Finish","Floor plates, gratings and edgings",239.0,1.0
998,Doors and  Windows,Brugte Vinduer,Sprossevinduer,/doere-vinduer/brugte-vinduer/sprossevinduer/266160/koblet-sprossevindue-i-teak,Koblet sprossevindue i teak,266160,"['/dyn/resources/Shop_Model_Product/image/0/266160/1681805923/old2columns/266160.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/345437/1681726228/old2columns/266160.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/345438/1681726238/old2columns/266160.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/345440/1681726242/old2columns/266160.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/345441/1681726245/old2columns/266160.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/345442/1681726248/old2columns/266160.jpg']",69.0,cm,119.0,cm,12.0,cm,2.0,2400.0,2023-03-02,2023-11-01,Genbyg,DK,dk,Teak,Sprigs,Pr_20_29_56_82,"Wall, Barriers, Pannels","Covering, Finish","Floor plates, gratings and edgings",244.0,1.0
