,Category,Category_1,Subcategory,URL,Title,ID,Imagefile,Bredde,Bredde_unit,Højde,Højde_unit,Tykkelse,Tykkelse_unit,Quantity,LastPrice,Saved,LastUpOn,Store,Country,Language,material_emb,Danish_Raw,Danish_Code,first_level,second_level,third_level,SoldAfterDays,Sold
472,Doors and  Windows,Brugte Døre,Fyldningsdøre med glas uden karm,/doere-vinduer/brugte-doere/fyldningsdoere/fyldningsdoere-med-glas/265646/toiletdoer-uden-karm,Toiletdør uden karm,265646,"['/dyn/resources/Shop_Model_Product/image/6/265646/1677834489/old2columns/fyldningsdoer-med-glas-265646.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/343323/1677834406/old2columns/fyldningsdoer-med-glas-265646.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/343322/1677834404/old2columns/fyldningsdoer-med-glas-265646.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/343320/1677834401/old2columns/fyldningsdoer-med-glas-265646.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/343319/1677834399/old2columns/fyldningsdoer-med-glas-265646.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/343318/1677834391/old2columns/fyldningsdoer-med-glas-265646.jpg']",78.0,cm,209.0,cm,3.5,cm,1.0,1500.0,2023-03-02,2023-06-18,Genbyg,DK,dk,Sitka spruce,WC pans,Pr_40_20_93_94,"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,108.0,1.0
781,Doors and  Windows,Brugte Døre,Brugt Tilbehør,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-haengsler/266360/toiletmarkering-35-mm,Toiletmarkering - mm .,266360,[],,,,,,,1.0,775.0,2023-03-02,2023-10-02,Genbyg,DK,dk,Sitka spruce,WC pans,Pr_40_20_93_94,Other,Other,Sanitary fittings and accessories,214.0,1.0
797,Doors and  Windows,Brugte Døre,Brugt Tilbehør,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-haengsler/263636/toiletmarkering-alpha-600,Toiletmarkering -,263636,[],,,,,,,1.0,425.0,2023-03-02,2023-10-02,Genbyg,DK,dk,Sitka spruce,WC pans,Pr_40_20_93_94,Other,Other,Other,214.0,1.0
808,Doors and  Windows,Brugte Døre,Brugt Tilbehør,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-haengsler/261427/toiletmarkering-op-til-45-mm,Toiletmarkering - op til mm .,261427,[],,,,,,,1.0,575.0,2023-04-01,2023-05-22,Genbyg,DK,dk,Sitka spruce,WC pans,Pr_40_20_93_94,"Wall, Barriers, Pannels","Floors, Ceiling",Sanitary fittings and accessories,51.0,1.0
809,Doors and  Windows,Brugte Døre,Brugt Tilbehør,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-haengsler/261274/skudrigle-toiletmarkering,Skudrigle / toiletmarkering,261274,[],,,,,,,2.0,125.0,2023-04-06,2023-06-16,Genbyg,DK,dk,Sitka spruce,WC pans,Pr_40_20_93_94,"Wall, Barriers, Pannels",Other,Sanitary fittings and accessories,71.0,1.0
810,Doors and  Windows,Brugte Døre,Brugt Tilbehør,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-haengsler/260573/toiletmarkering-35-mm,Toiletmarkering - mm .,260573,[],,,,,,,1.0,225.0,2023-03-02,2023-07-01,Genbyg,DK,dk,Sitka spruce,WC pans,Pr_40_20_93_94,Other,Other,Sanitary fittings and accessories,121.0,1.0
840,Doors and  Windows,Brugte Døre,Brugt Tilbehør,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-haengsler/257876/toiletmarkering-med-laas,Toiletmarkering med lås,257876,[],,,,,,,1.0,675.0,2023-04-14,2023-07-14,Genbyg,DK,dk,Sitka spruce,WC pans,Pr_40_20_93_94,"Wall, Barriers, Pannels",Other,Sanitary fittings and accessories,91.0,1.0
841,Doors and  Windows,Brugte Døre,Brugt Tilbehør,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-haengsler/257877/toiletmarkering-med-laas,Toiletmarkering med lås,257877,[],,,,,,,1.0,625.0,2023-03-02,2023-04-10,Genbyg,DK,dk,Sitka spruce,WC pans,Pr_40_20_93_94,"Wall, Barriers, Pannels",Other,Sanitary fittings and accessories,39.0,1.0
854,Doors and  Windows,Brugte Døre,Brugt Tilbehør,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-haengsler/254585/toiletmarkering,Toiletmarkering,254585,[],,,,,,,2.0,575.0,2023-04-28,2023-04-30,Genbyg,DK,dk,Sitka spruce,WC pans,Pr_40_20_93_94,Other,Other,Other,2.0,1.0
887,Doors and  Windows,Brugte Døre,Brugt Tilbehør,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-haengsler/82648/toiletmarkering,Toiletmarkering,82648,[],,,,,,,2.0,375.0,2023-03-02,2023-04-16,Genbyg,DK,dk,Sitka spruce,WC pans,Pr_40_20_93_94,Other,Other,Other,45.0,1.0
892,Doors and  Windows,Brugte Døre,Brugt Tilbehør,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-haengsler/76669/toiletmarkering,Toiletmarkering,76669,[],,,,,,,2.0,137.0,2023-04-05,2023-06-20,Genbyg,DK,dk,Sitka spruce,WC pans,Pr_40_20_93_94,Other,Other,Other,76.0,1.0
900,Doors and  Windows,Brugte Døre,Brugt Tilbehør,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-haengsler/70792/toiletmarkering-i-forniklet-messing,Toiletmarkering i forniklet messing,70792,[],,,,,,,1.0,375.0,2023-04-05,2023-04-22,Genbyg,DK,dk,Sitka spruce,WC pans,Pr_40_20_93_94,"Wall, Barriers, Pannels",Other,Sanitary fittings and accessories,17.0,1.0
4179,Miscellaneous Used Items,Kort & Skilte,Kort & Skilte,/diverse-brugt/kort-skilte/80302/toilet,Toilet,80302,[],,,,,,,1.0,56.0,2023-06-19,2023-10-19,Genbyg,DK,dk,Sitka spruce,WC pans,Pr_40_20_93_94,Other,Other,Other,122.0,1.0
4190,Miscellaneous Used Items,Kort & Skilte,Kort & Skilte,/diverse-brugt/kort-skilte/68557/toiletskilt-herre,Toiletskilt - Herre,68557,[],,,,,,,2.0,75.0,2023-05-15,2023-10-15,Genbyg,DK,dk,Pisé,WC pans,Pr_40_20_93_94,"Wall, Barriers, Pannels",Other,Sanitary fittings and accessories,153.0,1.0
4935,Doors and  Windows,Brugte Døre,Brugt Tilbehør,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-haengsler/261427/toiletmarkering-op-til-45-mm,Toiletmarkering - op til mm .,261427,[],,,,,,,1.0,575.0,2023-09-08,2023-09-17,Genbyg,DK,dk,Sitka spruce,WC pans,Pr_40_20_93_94,"Wall, Barriers, Pannels","Floors, Ceiling",Sanitary fittings and accessories,9.0,1.0
4936,Doors and  Windows,Brugte Døre,Brugt Tilbehør,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-haengsler/261274/skudrigle-toiletmarkering,Skudrigle / toiletmarkering,261274,[],,,,,,,2.0,125.0,2023-08-07,2023-08-15,Genbyg,DK,dk,Sitka spruce,WC pans,Pr_40_20_93_94,"Wall, Barriers, Pannels",Other,Sanitary fittings and accessories,8.0,1.0
4966,Doors and  Windows,Brugte Døre,Brugt Tilbehør,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-haengsler/257876/toiletmarkering-med-laas,Toiletmarkering med lås,257876,[],,,,,,,1.0,675.0,2023-07-26,2023-07-28,Genbyg,DK,dk,Sitka spruce,WC pans,Pr_40_20_93_94,"Wall, Barriers, Pannels",Other,Sanitary fittings and accessories,2.0,1.0
4967,Doors and  Windows,Brugte Døre,Brugt Tilbehør,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-haengsler/257877/toiletmarkering-med-laas,Toiletmarkering med lås,257877,[],,,,,,,1.0,625.0,2023-08-21,2023-08-29,Genbyg,DK,dk,Sitka spruce,WC pans,Pr_40_20_93_94,"Wall, Barriers, Pannels",Other,Sanitary fittings and accessories,8.0,1.0
4979,Doors and  Windows,Brugte Døre,Brugt Tilbehør,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-haengsler/254585/toiletmarkering,Toiletmarkering,254585,[],,,,,,,2.0,575.0,2023-08-02,2023-08-04,Genbyg,DK,dk,Sitka spruce,WC pans,Pr_40_20_93_94,Other,Other,Other,2.0,1.0
5008,Doors and  Windows,Brugte Døre,Brugt Tilbehør,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-haengsler/82648/toiletmarkering,Toiletmarkering,82648,[],,,,,,,2.0,375.0,2023-08-02,2023-08-03,Genbyg,DK,dk,Sitka spruce,WC pans,Pr_40_20_93_94,Other,Other,Other,1.0,1.0
5013,Doors and  Windows,Brugte Døre,Brugt Tilbehør,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-haengsler/76669/toiletmarkering,Toiletmarkering,76669,[],,,,,,,2.0,137.0,2023-09-05,2023-09-09,Genbyg,DK,dk,Sitka spruce,WC pans,Pr_40_20_93_94,Other,Other,Other,4.0,1.0
