,Category,Category_1,Subcategory,URL,Title,ID,Imagefile,Bredde,Bredde_unit,Højde,Højde_unit,Tykkelse,Tykkelse_unit,Quantity,LastPrice,Saved,LastUpOn,Store,Country,Language,material_emb,Danish_Raw,Danish_Code,first_level,second_level,third_level,SoldAfterDays,Sold
1044,Doors and  Windows,Brugte Vinduer,Termovinduer,/doere-vinduer/brugte-vinduer/termovinduer/266507/stort-rationel-vindue-med-3-lags-glas,Stort Rationel vindue med -lags glas,266507,"['/dyn/resources/Shop_Model_Product/image/7/266507/1684154137/old2columns/stort-rationel-vindue-med-3-lags-glas-266507.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/346906/1684154121/old2columns/stort-rationel-vindue-med-3-lags-glas-266507.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/346907/1684154121/old2columns/stort-rationel-vindue-med-3-lags-glas-266507.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/346908/1684154123/old2columns/stort-rationel-vindue-med-3-lags-glas-266507.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/346909/1684154124/old2columns/stort-rationel-vindue-med-3-lags-glas-266507.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/346903/1684154118/old2columns/stort-rationel-vindue-med-3-lags-glas-266507.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/346902/1684154114/old2columns/stort-rationel-vindue-med-3-lags-glas-266507.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/346904/1684154119/old2columns/stort-rationel-vindue-med-3-lags-glas-266507.jpg']",144.0,cm,219.0,cm,12.5,cm,1.0,4000.0,2023-03-02,2023-04-01,Genbyg,DK,dk,Prismatic glass,Glass louvre window units,Pr_30_59_98_34,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,30.0,1.0
1078,Doors and  Windows,Brugte Vinduer,Termovinduer,/doere-vinduer/brugte-vinduer/termovinduer/265043/vinduesparti-fra-rationel-med-energiglas,Vinduesparti fra Rationel med energiglas,265043,"['/dyn/resources/Shop_Model_Product/image/3/265043/1674134858/old2columns/265043.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/340794/1673961041/old2columns/265043.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/340791/1673961028/old2columns/265043.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/340792/1673961039/old2columns/265043.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/340793/1673961040/old2columns/265043.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/340795/1673961043/old2columns/265043.jpg']",95.0,cm,212.0,cm,12.3,cm,1.0,3800.0,2023-03-02,2023-03-31,Genbyg,DK,dk,Prismatic glass,Glass louvre window units,Pr_30_59_98_34,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,29.0,1.0
1095,Doors and  Windows,Brugte Vinduer,Termovinduer,/doere-vinduer/brugte-vinduer/termovinduer/264584/stort-rationel-vindue-med-2-lags-glas,Stort Rationel vindue med -lags glas,264584,"['/dyn/resources/Shop_Model_Product/image/4/264584/1671095483/old2columns/264584.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/338868/1671094548/old2columns/264584.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/338874/1671094556/old2columns/264584.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/338873/1671094554/old2columns/264584.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/338870/1671094550/old2columns/264584.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/338867/1671094545/old2columns/264584.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/338871/1671094551/old2columns/264584.jpg']",179.8,cm,240.0,cm,11.5,cm,2.0,5000.0,2023-03-02,2023-03-04,Genbyg,DK,dk,Prismatic glass,Glass louvre window units,Pr_30_59_98_34,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,2.0,1.0
1125,Doors and  Windows,Brugte Vinduer,Vinduesrammer,/doere-vinduer/brugte-vinduer/vinduesrammer/266851/vinduesramme-med-farvede-glas,Vinduesramme med farvede glas,266851,"['/dyn/resources/Shop_Model_Product/image/1/266851/1687337087/old2columns/266851.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/348448/1687337092/old2columns/266851.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/348447/1687337091/old2columns/266851.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/348449/1687337093/old2columns/266851.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/348450/1687337095/old2columns/266851.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/348452/1687337100/old2columns/266851.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/348535/1687430801/old2columns/vinduesramme-med-farvede-glas-266851.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/348536/1687430803/old2columns/vinduesramme-med-farvede-glas-266851.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/348537/1687430805/old2columns/vinduesramme-med-farvede-glas-266851.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/348538/1687430807/old2columns/vinduesramme-med-farvede-glas-266851.jpg']",54.0,cm,166.0,cm,3.5,cm,5.0,1200.0,2023-03-02,2023-05-31,Genbyg,DK,dk,Coloured glass,Glass louvre window units,Pr_30_59_98_34,Furnishings,"Door, Windows, Gates",Glass blocks and panels,90.0,1.0
1126,Doors and  Windows,Brugte Vinduer,Vinduesrammer,/doere-vinduer/brugte-vinduer/vinduesrammer/266871/vinduesramme-med-farvede-glas,Vinduesramme med farvede glas,266871,"['/dyn/resources/Shop_Model_Product/image/1/266871/1687856193/old2columns/266871.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/348532/1687428620/old2columns/266871.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/348534/1687428627/old2columns/266871.jpg']",55.0,cm,166.5,cm,3.5,cm,1.0,900.0,2023-03-08,2023-06-10,Genbyg,DK,dk,Coloured glass,Glass louvre window units,Pr_30_59_98_34,Furnishings,"Door, Windows, Gates",Glass blocks and panels,94.0,1.0
1166,Doors and  Windows,Brugte Vinduer,Vinduesrammer,/doere-vinduer/brugte-vinduer/vinduesrammer/54363/forsatsvindue-med-gammelt-glas,Forsatsvindue med gammelt glas,54363,"['/dyn/resources/Shop_Model_Product/image/3/54363/1558419828/old2columns/forsatsvindue-med-gammelt-glas-54363.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/129408/1558419828/old2columns/forsatsvindue-med-gammelt-glas-54363.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/129409/1558419829/old2columns/forsatsvindue-med-gammelt-glas-54363.jpg']",58.0,cm,123.5,cm,3.0,cm,1.0,400.0,2023-03-02,2023-04-05,Genbyg,DK,dk,Architectural glass,Glass louvre window units,Pr_30_59_98_34,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,34.0,1.0
1211,Doors and  Windows,Brugte Vinduer,Vinduesrammer,/doere-vinduer/brugte-vinduer/vinduesrammer/59973/stor-vinduesramme-med-gammelt-glas,Stor vinduesramme med gammelt glas,59973,"['/dyn/resources/Shop_Model_Product/image/3/59973/1558691871/old2columns/stor-vinduesramme-med-gammelt-glas-59973.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/145846/1558691871/old2columns/stor-vinduesramme-med-gammelt-glas-59973.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/145847/1558691872/old2columns/stor-vinduesramme-med-gammelt-glas-59973.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/145848/1558691874/old2columns/stor-vinduesramme-med-gammelt-glas-59973.jpg']",71.0,cm,153.0,cm,3.5,cm,3.0,250.0,2023-03-02,2023-06-11,Genbyg,DK,dk,Architectural glass,Glass louvre window units,Pr_30_59_98_34,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,101.0,1.0
1212,Doors and  Windows,Brugte Vinduer,Enkeltlagsglas,/doere-vinduer/brugte-vinduer/enkeltlagsglas/267681/vindue-med-farvede-glas,Vindue med farvede glas,267681,"['/dyn/resources/Shop_Model_Product/image/1/267681/1695128430/old2columns/267681.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/351704/1695046777/old2columns/267681.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/351706/1695046791/old2columns/267681.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/351705/1695046788/old2columns/267681.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/351707/1695046793/old2columns/267681.jpg']",83.0,cm,135.0,cm,11.0,cm,1.0,1500.0,2023-03-02,2023-04-05,Genbyg,DK,dk,Coloured glass,Glass louvre window units,Pr_30_59_98_34,Furnishings,"Door, Windows, Gates",Glass blocks and panels,34.0,1.0
1213,Doors and  Windows,Brugte Vinduer,Enkeltlagsglas,/doere-vinduer/brugte-vinduer/enkeltlagsglas/267559/vindue-med-farvede-glas,Vindue med farvede glas,267559,"['/dyn/resources/Shop_Model_Product/image/9/267559/1695028340/old2columns/267559.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/351215/1694423334/old2columns/267559.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/351217/1694423343/old2columns/267559.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/351218/1694423346/old2columns/267559.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/351219/1694423350/old2columns/267559.jpg']",65.5,cm,170.5,cm,12.0,cm,1.0,3500.0,2023-04-12,2023-10-02,Genbyg,DK,dk,Coloured glass,Glass louvre window units,Pr_30_59_98_34,Furnishings,"Door, Windows, Gates",Glass blocks and panels,173.0,1.0
1226,Doors and  Windows,Brugte Vinduer,Enkeltlagsglas,/doere-vinduer/brugte-vinduer/enkeltlagsglas/264151/enkeltlagsglas-vindue,Enkeltlagsglas vindue,264151,"['/dyn/resources/Shop_Model_Product/image/1/264151/1668429844/old2columns/264151.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/336891/1668429846/old2columns/264151.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/336893/1668429860/old2columns/264151.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/336892/1668429847/old2columns/264151.jpg']",61.0,cm,192.5,cm,12.0,cm,3.0,750.0,2023-03-02,2023-07-14,Genbyg,DK,dk,Prismatic glass,Glass louvre window units,Pr_30_59_98_34,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,134.0,1.0
