,Category,Category_1,Subcategory,URL,Title,ID,Imagefile,Bredde,Bredde_unit,Højde,Højde_unit,Tykkelse,Tykkelse_unit,Quantity,LastPrice,Saved,LastUpOn,Store,Country,Language,material_emb,Danish_Raw,Danish_Code,first_level,second_level,third_level,SoldAfterDays,Sold
1004,Doors and  Windows,Brugte Vinduer,Termovinduer,/doere-vinduer/brugte-vinduer/termovinduer/267680/termovindue,Termovindue,267680,"['/dyn/resources/Shop_Model_Product/image/0/267680/1695043406/old2columns/267680.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/351700/1695042982/old2columns/267680.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/351699/1695042967/old2columns/267680.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/351701/1695042984/old2columns/267680.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/351703/1695042990/old2columns/267680.jpg']",148.5,cm,122.0,cm,11.5,cm,1.0,1200.0,2023-03-31,2023-05-30,Genbyg,DK,dk,Heat-absorbing glass,Heat emitters,Pr_70_60_36,"Roof, Slabs, Stairs","Floors, Ceiling",Space heating and cooling products,60.0,1.0
1006,Doors and  Windows,Brugte Vinduer,Termovinduer,/doere-vinduer/brugte-vinduer/termovinduer/267787/termovindue,Termovindue,267787,"['/dyn/resources/Shop_Model_Product/image/7/267787/1695815344/old2columns/267787.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/352293/1695815350/old2columns/267787.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/352294/1695815352/old2columns/267787.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/352295/1695815371/old2columns/267787.jpg']",150.0,cm,99.5,cm,11.5,cm,1.0,2700.0,2023-04-07,2023-05-26,Genbyg,DK,dk,Heat-absorbing glass,Heat emitters,Pr_70_60_36,"Roof, Slabs, Stairs","Floors, Ceiling",Space heating and cooling products,49.0,1.0
1007,Doors and  Windows,Brugte Vinduer,Termovinduer,/doere-vinduer/brugte-vinduer/termovinduer/267788/termovindue,Termovindue,267788,"['/dyn/resources/Shop_Model_Product/image/8/267788/1695815602/old2columns/267788.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/352296/1695815522/old2columns/267788.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/352297/1695815531/old2columns/267788.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/352299/1695815534/old2columns/267788.jpg']",150.0,cm,99.5,cm,11.5,cm,1.0,2700.0,2023-03-02,2023-07-11,Genbyg,DK,dk,Heat-absorbing glass,Heat emitters,Pr_70_60_36,"Roof, Slabs, Stairs","Floors, Ceiling",Space heating and cooling products,131.0,1.0
1010,Doors and  Windows,Brugte Vinduer,Termovinduer,/doere-vinduer/brugte-vinduer/termovinduer/267684/termovindue,Termovindue,267684,"['/dyn/resources/Shop_Model_Product/image/4/267684/1695120786/old2columns/termovindue-dannebrog-1565x1075x115-cm-267684.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/351784/1695120567/old2columns/termovindue-dannebrog-1565x1075x115-cm-267684.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/351798/1695120574/old2columns/termovindue-dannebrog-1565x1075x115-cm-267684.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/351796/1695120573/old2columns/termovindue-dannebrog-1565x1075x115-cm-267684.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/351786/1695120569/old2columns/termovindue-dannebrog-1565x1075x115-cm-267684.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/351791/1695120571/old2columns/termovindue-dannebrog-1565x1075x115-cm-267684.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/351788/1695120570/old2columns/termovindue-dannebrog-1565x1075x115-cm-267684.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/351714/1695062011/old2columns/267684.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/351715/1695062016/old2columns/267684.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/351718/1695062059/old2columns/267684.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/351717/1695062017/old2columns/267684.jpg']",107.5,cm,156.5,cm,11.5,cm,64.0,375.0,2023-04-06,2023-04-14,Genbyg,DK,dk,Heat-absorbing glass,Heat emitters,Pr_70_60_36,"Roof, Slabs, Stairs","Floors, Ceiling",Space heating and cooling products,8.0,1.0
1015,Doors and  Windows,Brugte Vinduer,Termovinduer,/doere-vinduer/brugte-vinduer/termovinduer/267310/termovindue,Termovindue,267310,"['/dyn/resources/Shop_Model_Product/image/0/267310/1692259742/old2columns/267310.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/350204/1692258849/old2columns/267310.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/350205/1692258862/old2columns/267310.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/350207/1692258867/old2columns/267310.jpg']",140.0,cm,140.0,cm,30.0,cm,4.0,2800.0,2023-03-30,2023-04-06,Genbyg,DK,dk,Heat-absorbing glass,Heat emitters,Pr_70_60_36,"Roof, Slabs, Stairs","Floors, Ceiling",Space heating and cooling products,7.0,1.0
1016,Doors and  Windows,Brugte Vinduer,Termovinduer,/doere-vinduer/brugte-vinduer/termovinduer/267595/termovindue,Termovindue,267595,"['/dyn/resources/Shop_Model_Product/image/5/267595/1694593715/old2columns/termovindue-267595.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/351344/1694521149/old2columns/termovindue-267595.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/351342/1694521143/old2columns/termovindue-267595.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/351341/1694521132/old2columns/termovindue-267595.jpg']",141.3,cm,136.5,cm,11.5,cm,1.0,750.0,2023-03-02,2023-06-26,Genbyg,DK,dk,Heat-absorbing glass,Heat emitters,Pr_70_60_36,"Roof, Slabs, Stairs","Floors, Ceiling",Space heating and cooling products,116.0,1.0
1017,Doors and  Windows,Brugte Vinduer,Termovinduer,/doere-vinduer/brugte-vinduer/termovinduer/267594/termovindue,Termovindue,267594,"['/dyn/resources/Shop_Model_Product/image/4/267594/1694592324/old2columns/267594.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/351337/1694520408/old2columns/267594.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/351340/1694520427/old2columns/267594.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/351338/1694520422/old2columns/267594.jpg']",129.0,cm,136.5,cm,11.5,cm,1.0,750.0,2023-03-02,2023-06-02,Genbyg,DK,dk,Heat-absorbing glass,Heat emitters,Pr_70_60_36,"Roof, Slabs, Stairs","Floors, Ceiling",Space heating and cooling products,92.0,1.0
1019,Doors and  Windows,Brugte Vinduer,Termovinduer,/doere-vinduer/brugte-vinduer/termovinduer/267420/termovindue,Termovindue,267420,"['/dyn/resources/Shop_Model_Product/image/0/267420/1694519663/old2columns/267420.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/350648/1693311715/old2columns/267420.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/350652/1693311735/old2columns/267420.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/350649/1693311724/old2columns/267420.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/350651/1693311733/old2columns/267420.jpg']",92.0,cm,124.0,cm,11.5,cm,4.0,1500.0,2023-03-02,2023-06-22,Genbyg,DK,dk,Heat-absorbing glass,Heat emitters,Pr_70_60_36,"Roof, Slabs, Stairs","Floors, Ceiling",Space heating and cooling products,112.0,1.0
1020,Doors and  Windows,Brugte Vinduer,Termovinduer,/doere-vinduer/brugte-vinduer/termovinduer/267543/termovindue,Termovindue,267543,"['/dyn/resources/Shop_Model_Product/image/3/267543/1694175519/old2columns/267543.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/351142/1694175424/old2columns/267543.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/351145/1694175446/old2columns/267543.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/351144/1694175443/old2columns/267543.jpg']",60.0,cm,60.0,cm,12.0,cm,1.0,750.0,2023-03-02,2023-03-14,Genbyg,DK,dk,Heat-absorbing glass,Heat emitters,Pr_70_60_36,"Roof, Slabs, Stairs","Floors, Ceiling",Space heating and cooling products,12.0,1.0
1021,Doors and  Windows,Brugte Vinduer,Termovinduer,/doere-vinduer/brugte-vinduer/termovinduer/267545/termovindue,Termovindue,267545,"['/dyn/resources/Shop_Model_Product/image/5/267545/1694178215/old2columns/termovindue-267545.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/351158/1694178146/old2columns/termovindue-267545.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/351160/1694178152/old2columns/termovindue-267545.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/351161/1694178154/old2columns/termovindue-267545.jpg']",95.5,cm,137.0,cm,11.5,cm,5.0,1500.0,2023-05-01,2023-06-05,Genbyg,DK,dk,Heat-absorbing glass,Heat emitters,Pr_70_60_36,"Roof, Slabs, Stairs","Floors, Ceiling",Space heating and cooling products,35.0,1.0
