,Category,Category_1,Subcategory,URL,Title,ID,Imagefile,Bredde,Bredde_unit,Højde,Højde_unit,Tykkelse,Tykkelse_unit,Quantity,LastPrice,Saved,LastUpOn,Store,Country,Language,material_emb,Danish_Raw,Danish_Code,first_level,second_level,third_level,SoldAfterDays,Sold
4067,Miscellaneous Used Items,Paneler,Paneler,/diverse-brugt/paneler/266989/panel-af-gl-doer,Panel af gl dør,266989,"['/dyn/resources/Shop_Model_Product/image/9/266989/1688991367/old2columns/266989.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/349036/1688549970/old2columns/266989.jpg']",,,73.0,cm,,,1.0,450.0,2023-05-08,2023-07-14,Genbyg,DK,dk,Architectural glass,Door protection panels,Pr_35_90_43_20,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,67.0,1.0
4085,Miscellaneous Used Items,Paneler,Paneler,/diverse-brugt/paneler/258390/afsyret-panel-af-gl-fyldningsdoer,Afsyret panel af gl . fyldningsdør,258390,['/dyn/resources/Shop_Model_Product/image/0/258390/1617804655/old2columns/258390.jpg'],,,80.0,cm,3.5,cm,1.0,400.0,2023-05-05,2023-08-20,Genbyg,DK,dk,Sheet glass,Door protection panels,Pr_35_90_43_20,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,107.0,1.0
4118,Miscellaneous Used Items,Paneler,Paneler,/diverse-brugt/paneler/70306/doer-som-kan-anvendes-som-panel,Dør som kan anvendes som panel,70306,"['/dyn/resources/Shop_Model_Product/image/6/70306/1559651432/old2columns/doer-som-kan-anvendes-som-panel-70306.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/203276/1559651432/old2columns/doer-som-kan-anvendes-som-panel-70306.jpg']",,,70.0,cm,,,1.0,400.0,2023-05-10,2023-06-14,Genbyg,DK,dk,Architectural glass,Door protection panels,Pr_35_90_43_20,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,35.0,1.0
4119,Miscellaneous Used Items,Paneler,Paneler,/diverse-brugt/paneler/69217/doer-som-kan-anvendes-som-panel,Dør som kan anvendes som panel,69217,"['/dyn/resources/Shop_Model_Product/image/7/69217/1557832258/old2columns/doer-som-kan-anvendes-som-panel-69217.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/173432/1557832258/old2columns/doer-som-kan-anvendes-som-panel-69217.jpg']",,,71.5,cm,,,1.0,400.0,2023-05-27,2023-06-29,Genbyg,DK,dk,Architectural glass,Door protection panels,Pr_35_90_43_20,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,33.0,1.0
4120,Miscellaneous Used Items,Paneler,Paneler,/diverse-brugt/paneler/60183/doer-som-kan-anvendes-til-panel,Dør som kan anvendes til panel,60183,"['/dyn/resources/Shop_Model_Product/image/3/60183/1558697684/old2columns/doer-som-kan-anvendes-til-panel-60183.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/146468/1558697684/old2columns/doer-som-kan-anvendes-til-panel-60183.jpg']",,,90.0,cm,,,1.0,650.0,2023-05-10,2023-05-21,Genbyg,DK,dk,Sheet glass,Door protection panels,Pr_35_90_43_20,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,11.0,1.0
4580,Miscellaneous Used Items,Paneler,Paneler,/diverse-brugt/paneler/264696/panel-af-gl-fyldningsdoer,Panel af gl fyldningsdør,264696,"['/dyn/resources/Shop_Model_Product/image/6/264696/1671625298/old2columns/264696.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/339321/1671625267/old2columns/264696.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/339322/1671625273/old2columns/264696.jpg']",224.5,cm,71.0,cm,3.5,cm,1.0,400.0,2023-07-01,2023-07-25,Genbyg,DK,dk,Sheet glass,Door protection panels,Pr_35_90_43_20,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,24.0,1.0
4581,Miscellaneous Used Items,Paneler,Paneler,/diverse-brugt/paneler/264697/panel-af-gl-fyldningsdoer,Panel af gl fyldningsdør,264697,"['/dyn/resources/Shop_Model_Product/image/7/264697/1671749042/old2columns/264697.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/339327/1671625711/old2columns/264697.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/339323/1671625667/old2columns/264697.jpg']",224.0,cm,58.0,cm,3.9,cm,1.0,450.0,2023-07-12,2023-09-02,Genbyg,DK,dk,Sheet glass,Door protection panels,Pr_35_90_43_20,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,52.0,1.0
4589,Miscellaneous Used Items,Paneler,Paneler,/diverse-brugt/paneler/263131/panel-af-gl-fyldningsdoer,Panel af gl fyldningsdør,263131,"['/dyn/resources/Shop_Model_Product/image/1/263131/1660120193/old2columns/263131.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/332710/1660120249/old2columns/263131.jpg']",,,62.5,cm,3.5,cm,1.0,400.0,2023-07-15,2023-08-03,Genbyg,DK,dk,Sheet glass,Door protection panels,Pr_35_90_43_20,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,19.0,1.0
4597,Miscellaneous Used Items,Paneler,Paneler,/diverse-brugt/paneler/258429/panel-af-fyldningsdoer,Panel af fyldningsdør,258429,"['/dyn/resources/Shop_Model_Product/image/9/258429/1618209896/old2columns/258429.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/313982/1618209903/old2columns/258429.jpg']",,,83.5,cm,3.5,cm,1.0,400.0,2023-07-02,2023-07-16,Genbyg,DK,dk,Sheet glass,Door protection panels,Pr_35_90_43_20,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,14.0,1.0
4602,Miscellaneous Used Items,Paneler,Paneler,/diverse-brugt/paneler/251214/panel-af-fyldningsdoer,Panel af fyldningsdør,251214,"['/dyn/resources/Shop_Model_Product/image/4/251214/1560403587/old2columns/panel-af-fyldningsdoer-251214.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/284789/1560403585/old2columns/panel-af-fyldningsdoer-251214.jpg']",253.0,cm,66.0,cm,,,1.0,400.0,2023-07-04,2023-09-05,Genbyg,DK,dk,Sheet glass,Door protection panels,Pr_35_90_43_20,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,63.0,1.0
