,Category,Category_1,Subcategory,URL,Title,ID,Imagefile,Bredde,Bredde_unit,Højde,Højde_unit,Tykkelse,Tykkelse_unit,Quantity,LastPrice,Saved,LastUpOn,Store,Country,Language,material_emb,Danish_Raw,Danish_Code,first_level,second_level,third_level,SoldAfterDays,Sold
30,Doors and  Windows,Brugte Døre,Terrassedøre,/doere-vinduer/brugte-doere/yderdoere/terrassedoere/266796/smal-terrassedoer-med-3-lags-glas-velfacmed-skade,"Smal terrassedør med -lags glas , Velfac/med skade",266796,"['/dyn/resources/Shop_Model_Product/image/6/266796/1686815025/old2columns/266796.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/348176/1686815012/old2columns/266796.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/348181/1686815017/old2columns/266796.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/348177/1686815014/old2columns/266796.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/348178/1686815014/old2columns/266796.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/348179/1686815015/old2columns/266796.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/348182/1686815018/old2columns/266796.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/348183/1686815019/old2columns/266796.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/348184/1686815019/old2columns/266796.jpg']",66.4,cm,225.5,cm,12.4,cm,2.0,500.0,2023-03-02,2023-07-28,Genbyg,DK,dk,Architectural glass,Glass infill gate leaves,Pr_30_59_33_34,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,148.0,1.0
75,Doors and  Windows,Brugte Døre,Dobbeltdøre,/doere-vinduer/brugte-doere/dobbeltdoere/267403/dobbelt-fyldningsdoer-med-glas,Dobbelt fyldningsdør med glas,267403,"['/dyn/resources/Shop_Model_Product/image/3/267403/1694510276/old2columns/dobbelt-fyldningsdoer-med-glas-267403.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/351313/1694509625/old2columns/dobbelt-fyldningsdoer-med-glas-267403.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/351315/1694509639/old2columns/dobbelt-fyldningsdoer-med-glas-267403.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/351314/1694509637/old2columns/dobbelt-fyldningsdoer-med-glas-267403.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/351317/1694509643/old2columns/dobbelt-fyldningsdoer-med-glas-267403.jpg']",141.0,cm,220.0,cm,11.8,cm,1.0,18500.0,2023-03-25,2023-03-28,Genbyg,DK,dk,Structural glass,Glass infill gate leaves,Pr_30_59_33_34,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,3.0,1.0
448,Doors and  Windows,Brugte Døre,Fyldningsdøre med glas uden karm,/doere-vinduer/brugte-doere/fyldningsdoere/fyldningsdoere-med-glas/267802/fyldningsdoer-med-glas,Fyldningsdør med glas,267802,"['/dyn/resources/Shop_Model_Product/image/2/267802/1695887602/old2columns/267802.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/352354/1695887606/old2columns/267802.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/352355/1695887607/old2columns/267802.jpg']",66.5,cm,201.0,cm,3.5,cm,1.0,650.0,2023-03-02,2023-07-14,Genbyg,DK,dk,Glass,Glass infill gate leaves,Pr_30_59_33_34,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,134.0,1.0
450,Doors and  Windows,Brugte Døre,Fyldningsdøre med glas uden karm,/doere-vinduer/brugte-doere/fyldningsdoere/fyldningsdoere-med-glas/267440/fyldningsdoer-med-glas,Fyldningsdør med glas,267440,"['/dyn/resources/Shop_Model_Product/image/0/267440/1694525051/old2columns/267440.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/350730/1693390975/old2columns/267440.jpg']",78.0,cm,203.0,cm,3.5,cm,1.0,600.0,2023-04-26,2023-08-12,Genbyg,DK,dk,Glass,Glass infill gate leaves,Pr_30_59_33_34,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,108.0,1.0
451,Doors and  Windows,Brugte Døre,Fyldningsdøre med glas uden karm,/doere-vinduer/brugte-doere/fyldningsdoere/fyldningsdoere-med-glas/267258/fyldningsdoer-med-glas-og-karm,Fyldningsdør med glas og karm,267258,"['/dyn/resources/Shop_Model_Product/image/8/267258/1692964242/old2columns/fyldningsdoer-med-glas-og-karm-267258.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/350586/1692964130/old2columns/fyldningsdoer-med-glas-og-karm-267258.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/350585/1692964124/old2columns/fyldningsdoer-med-glas-og-karm-267258.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/350587/1692964131/old2columns/fyldningsdoer-med-glas-og-karm-267258.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/350588/1692964133/old2columns/fyldningsdoer-med-glas-og-karm-267258.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/350589/1692964134/old2columns/fyldningsdoer-med-glas-og-karm-267258.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/350590/1692964136/old2columns/fyldningsdoer-med-glas-og-karm-267258.jpg']",90.5,cm,205.5,cm,12.0,cm,1.0,9500.0,2023-03-02,2023-07-08,Genbyg,DK,dk,Patterned glass,Glass infill gate leaves,Pr_30_59_33_34,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,128.0,1.0
453,Doors and  Windows,Brugte Døre,Fyldningsdøre med glas uden karm,/doere-vinduer/brugte-doere/fyldningsdoere/fyldningsdoere-med-glas/267180/fyldningsdoer-med-glas,Fyldningsdør med glas,267180,"['/dyn/resources/Shop_Model_Product/image/0/267180/1690895901/old2columns/267180.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/349688/1690895904/old2columns/267180.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/349689/1690895905/old2columns/267180.jpg']",61.5,cm,202.0,cm,3.5,cm,1.0,900.0,2023-03-18,2023-07-12,Genbyg,DK,dk,Glass,Glass infill gate leaves,Pr_30_59_33_34,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,116.0,1.0
454,Doors and  Windows,Brugte Døre,Fyldningsdøre med glas uden karm,/doere-vinduer/brugte-doere/fyldningsdoere/fyldningsdoere-med-glas/267076/fyldningsdoer-med-glas-og-karm,Fyldningsdør med glas og karm,267076,"['/dyn/resources/Shop_Model_Product/image/6/267076/1690272392/old2columns/267076.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/349417/1690272397/old2columns/267076.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/349418/1690272399/old2columns/267076.jpg']",89.0,cm,203.5,cm,12.0,cm,1.0,3500.0,2023-04-20,2023-07-10,Genbyg,DK,dk,Patterned glass,Glass infill gate leaves,Pr_30_59_33_34,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,81.0,1.0
461,Doors and  Windows,Brugte Døre,Fyldningsdøre med glas uden karm,/doere-vinduer/brugte-doere/fyldningsdoere/fyldningsdoere-med-glas/266862/fyldningsdoer-med-glas,Fyldningsdør med glas,266862,"['/dyn/resources/Shop_Model_Product/image/2/266862/1687857387/old2columns/266862.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/348500/1687419747/old2columns/266862.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/348497/1687419740/old2columns/266862.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/348499/1687419746/old2columns/266862.jpg']",77.0,cm,187.0,cm,3.5,cm,1.0,2500.0,2023-03-02,2023-04-26,Genbyg,DK,dk,Glass,Glass infill gate leaves,Pr_30_59_33_34,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,55.0,1.0
466,Doors and  Windows,Brugte Døre,Fyldningsdøre med glas uden karm,/doere-vinduer/brugte-doere/fyldningsdoere/fyldningsdoere-med-glas/266728/fyldningsdoer-med-glas,Fyldningsdør med glas,266728,"['/dyn/resources/Shop_Model_Product/image/8/266728/1686294620/old2columns/266728.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/347937/1686230759/old2columns/266728.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/347939/1686230768/old2columns/266728.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/347940/1686230771/old2columns/266728.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/347941/1686230773/old2columns/266728.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/347942/1686230778/old2columns/266728.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/347943/1686230780/old2columns/266728.jpg']",84.0,cm,217.0,cm,4.5,cm,1.0,2200.0,2023-03-02,2023-06-15,Genbyg,DK,dk,Glass,Glass infill gate leaves,Pr_30_59_33_34,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,105.0,1.0
476,Doors and  Windows,Brugte Døre,Fyldningsdøre med glas uden karm,/doere-vinduer/brugte-doere/fyldningsdoere/fyldningsdoere-med-glas/265427/fyldningsdoer-med-facetslebne-glas,Fyldningsdør med facetslebne glas,265427,"['/dyn/resources/Shop_Model_Product/image/7/265427/1675961690/old2columns/265427.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/342423/1675955146/old2columns/265427.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/342422/1675955141/old2columns/265427.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/342424/1675955148/old2columns/265427.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/342425/1675955150/old2columns/265427.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/342426/1675955152/old2columns/265427.jpg']",73.0,cm,197.0,cm,3.5,cm,1.0,4000.0,2023-03-02,2023-04-18,Genbyg,DK,dk,Patterned glass,Glass infill gate leaves,Pr_30_59_33_34,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,47.0,1.0
525,Doors and  Windows,Brugte Døre,Fyldningsdøre med glas uden karm,/doere-vinduer/brugte-doere/fyldningsdoere/fyldningsdoere-med-glas/14781/fyldningsdoer-med-glas,Fyldningsdør med glas,14781,['/dyn/resources/Shop_Model_Product/image/1/14781/1558595945/old2columns/fyldningsdoer-med-glas-14781.jpg'],78.0,cm,202.5,cm,4.5,cm,1.0,500.0,2023-03-02,2023-05-28,Genbyg,DK,dk,Glass,Glass infill gate leaves,Pr_30_59_33_34,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,87.0,1.0
536,Doors and  Windows,Brugte Døre,Fyldningsdøre med glas og karm,/doere-vinduer/brugte-doere/fyldningsdoere/fyldningsdoere-med-glas-og-karm/267706/fyldningsdoer-med-glas-og-karm,Fyldningsdør med glas og karm,267706,"['/dyn/resources/Shop_Model_Product/image/6/267706/1695377460/old2columns/fyldningsdoer-med-glas-og-karm-267706.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/351937/1695377465/old2columns/fyldningsdoer-med-glas-og-karm-267706.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/351938/1695377466/old2columns/fyldningsdoer-med-glas-og-karm-267706.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/351939/1695377467/old2columns/fyldningsdoer-med-glas-og-karm-267706.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/351940/1695377469/old2columns/fyldningsdoer-med-glas-og-karm-267706.jpg']",72.0,cm,208.5,cm,11.5,cm,1.0,8500.0,2023-03-02,2023-10-23,Genbyg,DK,dk,Patterned glass,Glass infill gate leaves,Pr_30_59_33_34,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,235.0,1.0
537,Doors and  Windows,Brugte Døre,Fyldningsdøre med glas og karm,/doere-vinduer/brugte-doere/fyldningsdoere/fyldningsdoere-med-glas-og-karm/267801/fyldningsdoer-med-glas-og-karm,Fyldningsdør med glas og karm,267801,"['/dyn/resources/Shop_Model_Product/image/1/267801/1695903783/old2columns/267801.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/352346/1695886151/old2columns/267801.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/352347/1695886158/old2columns/267801.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/352349/1695886161/old2columns/267801.jpg']",79.5,cm,203.5,cm,11.7,cm,1.0,3650.0,2023-03-02,2023-06-21,Genbyg,DK,dk,Patterned glass,Glass infill gate leaves,Pr_30_59_33_34,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,111.0,1.0
538,Doors and  Windows,Brugte Døre,Fyldningsdøre med glas og karm,/doere-vinduer/brugte-doere/fyldningsdoere/fyldningsdoere-med-glas-og-karm/267749/fyldningsdoer-med-glas-i-karm,Fyldningsdør med glas - i karm,267749,"['/dyn/resources/Shop_Model_Product/image/9/267749/1695886472/old2columns/fyldningsdoere-med-karm-267749.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/352351/1695886476/old2columns/fyldningsdoere-med-karm-267749.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/352352/1695886478/old2columns/fyldningsdoere-med-karm-267749.jpg']",86.0,cm,208.0,cm,11.5,cm,1.0,4000.0,2023-03-02,2023-10-17,Genbyg,DK,dk,Patterned glass,Glass infill gate leaves,Pr_30_59_33_34,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,229.0,1.0
539,Doors and  Windows,Brugte Døre,Fyldningsdøre med glas og karm,/doere-vinduer/brugte-doere/fyldningsdoere/fyldningsdoere-med-glas-og-karm/267624/fyldningsdoer-med-glas-i-karm,Fyldningsdør med glas - i karm,267624,"['/dyn/resources/Shop_Model_Product/image/4/267624/1694780002/old2columns/267624.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/351479/1694680340/old2columns/267624.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/351480/1694680352/old2columns/267624.jpg']",73.5,cm,204.5,cm,7.0,cm,1.0,3400.0,2023-03-13,2023-06-21,Genbyg,DK,dk,Patterned glass,Glass infill gate leaves,Pr_30_59_33_34,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,100.0,1.0
540,Doors and  Windows,Brugte Døre,Fyldningsdøre med glas og karm,/doere-vinduer/brugte-doere/fyldningsdoere/fyldningsdoere-med-glas-og-karm/267334/fyldningsdoer-med-glas-og-karm,Fyldningsdør med glas og karm,267334,"['/dyn/resources/Shop_Model_Product/image/4/267334/1692696934/old2columns/267334.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/350325/1692696895/old2columns/267334.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/350326/1692696901/old2columns/267334.jpg']",79.0,cm,190.5,cm,12.3,cm,1.0,2200.0,2023-03-02,2023-09-04,Genbyg,DK,dk,Patterned glass,Glass infill gate leaves,Pr_30_59_33_34,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,186.0,1.0
