,Category,Category_1,Subcategory,URL,Title,ID,Imagefile,Bredde,Bredde_unit,Højde,Højde_unit,Tykkelse,Tykkelse_unit,Quantity,LastPrice,Saved,LastUpOn,Store,Country,Language,material_emb,Danish_Raw,Danish_Code,first_level,second_level,third_level,SoldAfterDays,Sold
833,Doors and  Windows,Brugte Døre,Brugt Tilbehør,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-haengsler/258888/porthaengsel-55-cm,Porthængsel - cm .,258888,[],,,,,,,2.0,125.0,2023-03-02,2023-04-29,Genbyg,DK,dk,Sitka spruce,Tilt meters,Pr_80_51_85_88,"Wall, Barriers, Pannels","Floors, Ceiling",Sanitary fittings and accessories,58.0,1.0
2691,Timber and Floors,Planker & Tømmer,Brugt Tømmer,/trae_og_gulve/planker_og_toemmer/brugt-toemmer/263427/toemmer-15-x-17-cm-a-48-meter,"Tømmer x cm a , meter",263427,"['/dyn/resources/Shop_Model_Product/image/7/263427/1662027301/old2columns/263427.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/333854/1662027303/old2columns/263427.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/333855/1662027304/old2columns/263427.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/334056/1662478769/old2columns/toemmer-15-x-17-cm-a-48-meter-263427.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/334057/1662478774/old2columns/toemmer-15-x-17-cm-a-48-meter-263427.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/334058/1662478778/old2columns/toemmer-15-x-17-cm-a-48-meter-263427.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/334059/1662478781/old2columns/toemmer-15-x-17-cm-a-48-meter-263427.jpg']",15.0,cm,,,17.0,cm,566.0,200.0,2023-03-02,2023-08-16,Genbyg,DK,dk,Sitka spruce,Tilt meters,Pr_80_51_85_88,"Wall, Barriers, Pannels","Floors, Ceiling",Walling units,167.0,1.0
3850,Timber and Floors,Planker & Tømmer,Brugt Tømmer,/trae_og_gulve/planker_og_toemmer/brugt-toemmer/261929/stolpevaerk-15-x-15-cm-hoejde-196-cm,Stolpeværk x cm - højde cm,261929,"['/dyn/resources/Shop_Model_Product/image/9/261929/1648651824/old2columns/261929.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/327813/1648651828/old2columns/261929.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/327814/1648651829/old2columns/261929.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/327815/1648651830/old2columns/261929.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/327816/1648651831/old2columns/261929.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/327817/1648651832/old2columns/261929.jpg']",69.0,cm,,,,,6.0,750.0,2023-04-30,2023-07-05,Genbyg,DK,dk,Expansive concrete,Tilt meters,Pr_80_51_85_88,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,66.0,1.0
3913,Masonry Materials,Skifer,Skifer,/murervarer/skifer/256129/skifer-30-x-60-cm,Skifer x cm,256129,[],,,,,,,570.0,30.0,2023-06-14,2023-09-17,Genbyg,DK,dk,Sitka spruce,Tilt meters,Pr_80_51_85_88,"Wall, Barriers, Pannels","Covering, Finish",Treads and landing units,95.0,1.0
4009,Miscellaneous Used Items,Borde & Stole,Borde & Stole,/diverse-brugt/borde-stole/267225/hay-loop-bord-125-cm-x-50-cm,- Loop bord cm x cm,267225,"['/dyn/resources/Shop_Model_Product/image/5/267225/1691155005/old2columns/267225.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/349875/1691154081/old2columns/267225.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/349876/1691154092/old2columns/267225.jpg']",50.0,cm,71.5,cm,2.5,cm,9.0,800.0,2023-06-04,2023-07-23,Genbyg,DK,dk,Sitka spruce,Tilt meters,Pr_80_51_85_88,"Wall, Barriers, Pannels","Covering, Finish","Floor plates, gratings and edgings",49.0,1.0
4034,Miscellaneous Used Items,Gitre & Rækværk m.m.,Gitre & Rækværk m.m.,/diverse-brugt/gitre-raekvaerk-mm/267278/stoebejernsgitter-330-cm,Støbejernsgitter - cm,267278,"['/dyn/resources/Shop_Model_Product/image/8/267278/1691745814/old2columns/stoebejernsgitter-267278.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/350042/1691742684/old2columns/267278.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/350043/1691742686/old2columns/267278.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/350048/1691742700/old2columns/267278.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/350056/1691745544/old2columns/stoebejernsgitter-267278.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/350052/1691745534/old2columns/stoebejernsgitter-267278.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/350053/1691745535/old2columns/stoebejernsgitter-267278.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/350054/1691745538/old2columns/stoebejernsgitter-267278.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/350044/1691742689/old2columns/267278.jpg']",330.0,cm,103.0,cm,,,1.0,4500.0,2023-06-06,2023-07-05,Genbyg,DK,dk,Granule,Tilt meters,Pr_80_51_85_88,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",29.0,1.0
4036,Miscellaneous Used Items,Gitre & Rækværk m.m.,Gitre & Rækværk m.m.,/diverse-brugt/gitre-raekvaerk-mm/264306/raekvaerk-200-cm,Rækværk - cm,264306,"['/dyn/resources/Shop_Model_Product/image/6/264306/1669304660/old2columns/264306.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/337570/1669296590/old2columns/264306.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/337572/1669296601/old2columns/264306.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/337573/1669296607/old2columns/264306.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/337574/1669296610/old2columns/264306.jpg']",200.0,cm,99.0,cm,,,8.0,2500.0,2023-06-06,2023-08-07,Genbyg,DK,dk,Granule,Tilt meters,Pr_80_51_85_88,Technical elements,"Covering, Finish",Walling units,62.0,1.0
4185,Miscellaneous Used Items,Kort & Skilte,Kort & Skilte,/diverse-brugt/kort-skilte/78679/ramme-til-skilt-oe-46-cm,Ramme til skilt - cm,78679,[],,,,,,,9.0,75.0,2023-05-16,2023-10-16,Genbyg,DK,dk,Granule,Tilt meters,Pr_80_51_85_88,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,153.0,1.0
4216,Miscellaneous Used Items,Sjove ting,Sjove ting,/diverse-brugt/sjove-ting/267834/kobber-tagrende-3-meter,Kobber tagrende - meter,267834,"['/dyn/resources/Shop_Model_Product/image/4/267834/1695910549/old2columns/267834.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/352441/1695910517/old2columns/267834.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/352442/1695910521/old2columns/267834.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/352444/1695910522/old2columns/267834.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/352454/1695911682/old2columns/kobber-tagrende-267834.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/353185/1696926838/old2columns/kobber-tagrende-3-meter-267834.JPG', '/dyn/resources/Shop_Model_Product_Image/image/6/353186/1696926840/old2columns/kobber-tagrende-3-meter-267834.JPG', '/dyn/resources/Shop_Model_Product_Image/image/7/353187/1696926841/old2columns/kobber-tagrende-3-meter-267834.JPG']",,,,,,,26.0,1200.0,2023-05-23,2023-10-15,Genbyg,DK,dk,Gravel,Tilt meters,Pr_80_51_85_88,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,145.0,1.0
4240,Miscellaneous Used Items,Sjove ting,Sjove ting,/diverse-brugt/sjove-ting/267051/hampereb-375-cm,Hampereb - cm,267051,"['/dyn/resources/Shop_Model_Product/image/1/267051/1689677054/old2columns/267051.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/349306/1689677065/old2columns/267051.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/349305/1689677062/old2columns/267051.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/349307/1689677067/old2columns/267051.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/349308/1689677408/old2columns/267051.jpg']",,,,,4.0,cm,1.0,400.0,2023-05-10,2023-08-15,Genbyg,DK,dk,Granule,Tilt meters,Pr_80_51_85_88,"Wall, Barriers, Pannels","Covering, Finish",Walling units,97.0,1.0
