,Category,Category_1,Subcategory,URL,Title,ID,Imagefile,Bredde,Bredde_unit,Højde,Højde_unit,Tykkelse,Tykkelse_unit,Quantity,LastPrice,Saved,LastUpOn,Store,Country,Language,material_emb,Danish_Raw,Danish_Code,first_level,second_level,third_level,SoldAfterDays,Sold
4062,Miscellaneous Used Items,Paneler,Paneler,/diverse-brugt/paneler/267655/panel,Panel,267655,"['/dyn/resources/Shop_Model_Product/image/5/267655/1694780322/old2columns/267655.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/351608/1694770307/old2columns/267655.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/351604/1694770256/old2columns/267655.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/351605/1694770268/old2columns/267655.jpg']",,,88.0,cm,3.5,cm,1.0,1500.0,2023-05-05,2023-08-03,Genbyg,DK,dk,Sheet glass,Mesh panels,Pr_25_71_50_51,Technical elements,"Blocks, Panels, Fences, Bricks",Glass blocks and panels,90.0,1.0
4064,Miscellaneous Used Items,Paneler,Paneler,/diverse-brugt/paneler/267517/panel,Panel,267517,"['/dyn/resources/Shop_Model_Product/image/7/267517/1694001569/old2columns/267517.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/351026/1694001575/old2columns/267517.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/351027/1694001576/old2columns/267517.jpg']",79.0,cm,197.0,cm,3.5,cm,1.0,425.0,2023-06-05,2023-08-24,Genbyg,DK,dk,Sheet glass,Mesh panels,Pr_25_71_50_51,Technical elements,"Blocks, Panels, Fences, Bricks",Glass blocks and panels,80.0,1.0
4065,Miscellaneous Used Items,Paneler,Paneler,/diverse-brugt/paneler/267415/panel,Panel,267415,"['/dyn/resources/Shop_Model_Product/image/5/267415/1693302149/old2columns/267415.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/350626/1693302154/old2columns/267415.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/350627/1693302156/old2columns/267415.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/350628/1693302158/old2columns/267415.jpg']",129.5,cm,198.5,cm,4.5,cm,2.0,425.0,2023-05-31,2023-09-04,Genbyg,DK,dk,Sheet glass,Mesh panels,Pr_25_71_50_51,Technical elements,"Blocks, Panels, Fences, Bricks",Glass blocks and panels,96.0,1.0
4066,Miscellaneous Used Items,Paneler,Paneler,/diverse-brugt/paneler/267416/panel,Panel,267416,"['/dyn/resources/Shop_Model_Product/image/6/267416/1693302514/old2columns/267416.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/350634/1693302521/old2columns/267416.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/350635/1693302523/old2columns/267416.jpg']",139.3,cm,192.0,cm,4.5,cm,1.0,525.0,2023-05-09,2023-07-16,Genbyg,DK,dk,Sheet glass,Mesh panels,Pr_25_71_50_51,Technical elements,"Blocks, Panels, Fences, Bricks",Glass blocks and panels,68.0,1.0
4068,Miscellaneous Used Items,Paneler,Paneler,/diverse-brugt/paneler/266115/vaegpanel,Vægpanel,266115,"['/dyn/resources/Shop_Model_Product/image/5/266115/1681215561/old2columns/266115.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/345203/1681215568/old2columns/266115.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/345204/1681215571/old2columns/266115.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/345205/1681215573/old2columns/266115.jpg']",129.0,cm,79.0,cm,2.5,cm,1.0,1200.0,2023-05-14,2023-08-15,Genbyg,DK,dk,Encaustic,Mesh panels,Pr_25_71_50_51,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Glass blocks and panels,93.0,1.0
4070,Miscellaneous Used Items,Paneler,Paneler,/diverse-brugt/paneler/265272/panel,Panel,265272,"['/dyn/resources/Shop_Model_Product/image/2/265272/1674810915/old2columns/265272.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/341700/1674810891/old2columns/265272.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/341698/1674810886/old2columns/265272.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/341697/1674810877/old2columns/265272.jpg']",87.0,cm,77.5,cm,2.3,cm,1.0,900.0,2023-05-01,2023-07-19,Genbyg,DK,dk,Sheet glass,Mesh panels,Pr_25_71_50_51,Technical elements,"Blocks, Panels, Fences, Bricks",Glass blocks and panels,79.0,1.0
4071,Miscellaneous Used Items,Paneler,Paneler,/diverse-brugt/paneler/265273/panel,Panel,265273,"['/dyn/resources/Shop_Model_Product/image/3/265273/1674811796/old2columns/265273.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/341703/1674811655/old2columns/265273.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/341701/1674811643/old2columns/265273.jpg']",61.5,cm,77.5,cm,2.3,cm,1.0,750.0,2023-06-09,2023-09-02,Genbyg,DK,dk,Sheet glass,Mesh panels,Pr_25_71_50_51,Technical elements,"Blocks, Panels, Fences, Bricks",Glass blocks and panels,85.0,1.0
4075,Miscellaneous Used Items,Paneler,Paneler,/diverse-brugt/paneler/265280/panel,Panel,265280,"['/dyn/resources/Shop_Model_Product/image/0/265280/1675077691/old2columns/265280.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/341724/1674815333/old2columns/265280.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/341722/1674815325/old2columns/265280.jpg']",38.5,cm,78.0,cm,2.3,cm,1.0,550.0,2023-05-17,2023-08-07,Genbyg,DK,dk,Sheet glass,Mesh panels,Pr_25_71_50_51,Technical elements,"Blocks, Panels, Fences, Bricks",Glass blocks and panels,82.0,1.0
4077,Miscellaneous Used Items,Paneler,Paneler,/diverse-brugt/paneler/265298/panel,Panel,265298,"['/dyn/resources/Shop_Model_Product/image/8/265298/1675076999/old2columns/265298.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/341782/1675066148/old2columns/265298.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/341783/1675066159/old2columns/265298.jpg']",47.0,cm,78.0,cm,2.3,cm,1.0,700.0,2023-05-24,2023-08-22,Genbyg,DK,dk,Sheet glass,Mesh panels,Pr_25_71_50_51,Technical elements,"Blocks, Panels, Fences, Bricks",Glass blocks and panels,90.0,1.0
4078,Miscellaneous Used Items,Paneler,Paneler,/diverse-brugt/paneler/265299/panel,Panel,265299,"['/dyn/resources/Shop_Model_Product/image/9/265299/1675066716/old2columns/265299.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/341785/1675066689/old2columns/265299.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/341787/1675066701/old2columns/265299.jpg']",35.3,cm,78.0,cm,2.3,cm,1.0,700.0,2023-05-20,2023-08-07,Genbyg,DK,dk,Sheet glass,Mesh panels,Pr_25_71_50_51,Technical elements,"Blocks, Panels, Fences, Bricks",Glass blocks and panels,79.0,1.0
