,Category,Category_1,Subcategory,URL,Title,ID,Imagefile,Bredde,Bredde_unit,Højde,Højde_unit,Tykkelse,Tykkelse_unit,Quantity,LastPrice,Saved,LastUpOn,Store,Country,Language,material_emb,Danish_Raw,Danish_Code,first_level,second_level,third_level,SoldAfterDays,Sold
20,Doors and  Windows,Brugte Døre,Yderdøre,/doere-vinduer/brugte-doere/yderdoere/yderdoere/266157/hoveddoer-i-teak-med-karm,Hoveddør i teak med karm,266157,"['/dyn/resources/Shop_Model_Product/image/7/266157/1681718386/old2columns/266157.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/345422/1681718404/old2columns/266157.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/345418/1681718392/old2columns/266157.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/345419/1681718395/old2columns/266157.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/345420/1681718398/old2columns/266157.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/345421/1681718402/old2columns/266157.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/345423/1681718406/old2columns/266157.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/345426/1681718458/old2columns/266157.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/345427/1681718462/old2columns/266157.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/345530/1681823356/old2columns/hoveddoer-i-teak-med-karm-266157.jpg']",100.5,cm,206.0,cm,12.0,cm,1.0,4800.0,2023-03-02,2023-10-17,Genbyg,DK,dk,Teak,Tee hinges,Pr_30_36_36_88,"Wall, Barriers, Pannels","Door, Windows, Gates","Floor plates, gratings and edgings",229.0,1.0
21,Doors and  Windows,Brugte Døre,Yderdøre,/doere-vinduer/brugte-doere/yderdoere/yderdoere/266000/yderdoersparti-i-teak,Yderdørsparti i teak,266000,"['/dyn/resources/Shop_Model_Product/image/0/266000/1679922938/old2columns/266000.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/344708/1679922046/old2columns/266000.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/344720/1679922101/old2columns/266000.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/344706/1679922035/old2columns/266000.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/344709/1679922048/old2columns/266000.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/344710/1679922050/old2columns/266000.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/344711/1679922052/old2columns/266000.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/344712/1679922054/old2columns/266000.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/344713/1679922058/old2columns/266000.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/344714/1679922064/old2columns/266000.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/344715/1679922067/old2columns/266000.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/344716/1679922069/old2columns/266000.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/344722/1679922889/old2columns/yderdoersparti-i-teak-266000.jpeg', '/dyn/resources/Shop_Model_Product_Image/image/4/344814/1680077680/old2columns/yderdoersparti-i-teak-266000.jpeg']",251.0,cm,213.0,cm,14.0,cm,1.0,15000.0,2023-03-02,2023-10-09,Genbyg,DK,dk,Teak,Tee hinges,Pr_30_36_36_88,Furnishings,"Door, Windows, Gates",Furnishings,221.0,1.0
48,Doors and  Windows,Brugte Døre,Indvendige døre,/doere-vinduer/brugte-doere/indvendige-doere/267774/teakfineret-doer-med-karm,Teakfineret dør med karm,267774,"['/dyn/resources/Shop_Model_Product/image/4/267774/1695807289/old2columns/267774.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/352241/1695807293/old2columns/267774.jpg']",70.0,cm,190.5,cm,9.0,cm,2.0,1900.0,2023-03-02,2023-10-02,Genbyg,DK,dk,Teak,Tee hinges,Pr_30_36_36_88,"Wall, Barriers, Pannels","Door, Windows, Gates","Floor plates, gratings and edgings",214.0,1.0
49,Doors and  Windows,Brugte Døre,Indvendige døre,/doere-vinduer/brugte-doere/indvendige-doere/267779/teakfineret-doer-med-karm,Teakfineret dør med karm,267779,"['/dyn/resources/Shop_Model_Product/image/9/267779/1695808819/old2columns/teakfineret-doer-med-karm-267779.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/352261/1695808823/old2columns/teakfineret-doer-med-karm-267779.jpg']",70.0,cm,190.5,cm,9.0,cm,1.0,1900.0,2023-04-09,2023-09-10,Genbyg,DK,dk,Teak,Tee hinges,Pr_30_36_36_88,"Wall, Barriers, Pannels","Door, Windows, Gates","Floor plates, gratings and edgings",154.0,1.0
50,Doors and  Windows,Brugte Døre,Indvendige døre,/doere-vinduer/brugte-doere/indvendige-doere/267780/teakfineret-doer-med-karm,Teakfineret dør med karm,267780,"['/dyn/resources/Shop_Model_Product/image/0/267780/1695809914/old2columns/267780.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/352263/1695809919/old2columns/267780.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/352264/1695809921/old2columns/267780.jpg']",70.0,cm,190.5,cm,9.0,cm,1.0,2000.0,2023-05-04,2023-09-28,Genbyg,DK,dk,Teak,Tee hinges,Pr_30_36_36_88,"Wall, Barriers, Pannels","Door, Windows, Gates","Floor plates, gratings and edgings",147.0,1.0
1158,Doors and  Windows,Brugte Vinduer,Vinduesrammer,/doere-vinduer/brugte-vinduer/vinduesrammer/259205/vinduesramme-i-teak,Vinduesramme i teak,259205,"['/dyn/resources/Shop_Model_Product/image/5/259205/1624004001/old2columns/259205.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/316750/1624004005/old2columns/259205.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/316751/1624004006/old2columns/259205.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/316752/1624004007/old2columns/259205.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/316753/1624004009/old2columns/259205.jpg']",110.0,cm,110.0,cm,6.0,cm,2.0,500.0,2023-03-02,2023-07-07,Genbyg,DK,dk,Teak,Tee hinges,Pr_30_36_36_88,"Wall, Barriers, Pannels","Covering, Finish",Trim products,127.0,1.0
1197,Doors and  Windows,Brugte Vinduer,Vinduesrammer,/doere-vinduer/brugte-vinduer/vinduesrammer/82791/forsatsramme-i-teak,Forsatsramme i teak,82791,"['/dyn/resources/Shop_Model_Product/image/1/82791/1559115728/old2columns/forsatsramme-i-teak-82791.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/248325/1559115728/old2columns/forsatsramme-i-teak-82791.jpg']",54.0,cm,60.0,cm,1.0,cm,2.0,100.0,2023-03-02,2023-05-22,Genbyg,DK,dk,Teak,Tee hinges,Pr_30_36_36_88,Other,Other,Trim products,81.0,1.0
1235,Doors and  Windows,Brugte Vinduer,Enkeltlagsglas,/doere-vinduer/brugte-vinduer/enkeltlagsglas/262762/teakvindue-i-fire-fag,Teakvindue i fire fag,262762,"['/dyn/resources/Shop_Model_Product/image/2/262762/1655217891/old2columns/teakvindue-i-fire-fag-262762.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/331339/1655217914/old2columns/teakvindue-i-fire-fag-262762.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/331331/1655217897/old2columns/teakvindue-i-fire-fag-262762.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/331332/1655217900/old2columns/teakvindue-i-fire-fag-262762.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/331333/1655217902/old2columns/teakvindue-i-fire-fag-262762.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/331334/1655217904/old2columns/teakvindue-i-fire-fag-262762.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/331335/1655217906/old2columns/teakvindue-i-fire-fag-262762.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/331336/1655217908/old2columns/teakvindue-i-fire-fag-262762.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/331337/1655217910/old2columns/teakvindue-i-fire-fag-262762.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/331338/1655217912/old2columns/teakvindue-i-fire-fag-262762.jpg']",282.0,cm,149.0,cm,5.5,cm,1.0,2995.0,2023-03-02,2023-06-24,Genbyg,DK,dk,Teak,Tee hinges,Pr_30_36_36_88,"Wall, Barriers, Pannels",Other,"Floor plates, gratings and edgings",114.0,1.0
1236,Doors and  Windows,Brugte Vinduer,Enkeltlagsglas,/doere-vinduer/brugte-vinduer/enkeltlagsglas/262771/teakvindue-i-fire-fag,Teakvindue i fire fag,262771,"['/dyn/resources/Shop_Model_Product/image/1/262771/1655281142/old2columns/262771.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/331360/1655280075/old2columns/262771.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/331363/1655280087/old2columns/262771.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/331362/1655280085/old2columns/262771.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/331364/1655280089/old2columns/262771.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/331365/1655280091/old2columns/262771.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/331366/1655280093/old2columns/262771.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/331367/1655281127/old2columns/teakvindue-i-fire-fag-262771.jpeg']",281.0,cm,147.0,cm,6.5,cm,1.0,3495.0,2023-03-02,2023-08-16,Genbyg,DK,dk,Teak,Tee hinges,Pr_30_36_36_88,"Wall, Barriers, Pannels",Other,"Floor plates, gratings and edgings",167.0,1.0
3290,Doors and  Windows,Brugte Døre,Yderdøre,/doere-vinduer/brugte-doere/yderdoere/yderdoere/265914/yderdoer-i-teak-uden-karm,Yderdør i teak uden karm,265914,"['/dyn/resources/Shop_Model_Product/image/4/265914/1679396279/old2columns/265914.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/344324/1679394705/old2columns/265914.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/344325/1679394713/old2columns/265914.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/344326/1679394718/old2columns/265914.jpg']",73.5,cm,204.0,cm,4.5,cm,1.0,1500.0,2023-05-01,2023-10-03,Genbyg,DK,dk,Teak,Tee hinges,Pr_30_36_36_88,"Wall, Barriers, Pannels","Door, Windows, Gates","Floor plates, gratings and edgings",155.0,1.0
