,Category,Category_1,Subcategory,URL,Title,ID,Imagefile,Bredde,Bredde_unit,Højde,Højde_unit,Tykkelse,Tykkelse_unit,Quantity,LastPrice,Saved,LastUpOn,Store,Country,Language,material_emb,Danish_Raw,Danish_Code,first_level,second_level,third_level,SoldAfterDays,Sold
16,Doors and  Windows,Brugte Døre,Yderdøre,/doere-vinduer/brugte-doere/yderdoere/yderdoere/267043/yderdoer-med-glas-og-karm,Yderdør med glas og karm,267043,"['/dyn/resources/Shop_Model_Product/image/3/267043/1689330470/old2columns/267043.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/349264/1689330182/old2columns/267043.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/349268/1689330193/old2columns/267043.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/349269/1689330194/old2columns/267043.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/349267/1689330191/old2columns/267043.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/349266/1689330190/old2columns/267043.jpg']",97.0,cm,216.0,cm,12.0,cm,1.0,8500.0,2023-03-02,2023-10-31,Genbyg,DK,dk,Architectural glass,Frameless glass door leaves,Pr_30_59_23_32,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,243.0,1.0
51,Doors and  Windows,Brugte Døre,Indvendige døre,/doere-vinduer/brugte-doere/indvendige-doere/267682/indvendig-doer-med-glas,Indvendig dør med glas,267682,"['/dyn/resources/Shop_Model_Product/image/2/267682/1695116621/old2columns/267682.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/351709/1695048265/old2columns/267682.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/351710/1695048274/old2columns/267682.jpg']",88.5,cm,202.5,cm,10.0,cm,1.0,1100.0,2023-03-02,2023-09-05,Genbyg,DK,dk,Architectural glass,Frameless glass door leaves,Pr_30_59_23_32,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,187.0,1.0
93,Doors and  Windows,Brugte Døre,Dobbeltdøre,/doere-vinduer/brugte-doere/dobbeltdoere/267197/dobbeltdoer-med-glas,Dobbeltdør med glas,267197,"['/dyn/resources/Shop_Model_Product/image/7/267197/1690984824/old2columns/267197.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/349766/1690978910/old2columns/267197.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/349761/1690978895/old2columns/267197.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/349763/1690978904/old2columns/267197.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/349764/1690978907/old2columns/267197.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/349765/1690978908/old2columns/267197.jpg']",126.5,cm,248.0,cm,12.0,cm,1.0,14000.0,2023-03-02,2023-07-24,Genbyg,DK,dk,Architectural glass,Frameless glass door leaves,Pr_30_59_23_32,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,144.0,1.0
452,Doors and  Windows,Brugte Døre,Fyldningsdøre med glas uden karm,/doere-vinduer/brugte-doere/fyldningsdoere/fyldningsdoere-med-glas/267496/fyldningsdoer-med-glas-uden-karm,Fyldningsdør med glas uden karm,267496,"['/dyn/resources/Shop_Model_Product/image/6/267496/1693914059/old2columns/267496.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/350953/1693914064/old2columns/267496.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/350954/1693914066/old2columns/267496.jpg']",75.3,cm,203.0,cm,3.5,cm,1.0,950.0,2023-03-02,2023-09-03,Genbyg,DK,dk,Insulating glass,Frameless glass door leaves,Pr_30_59_23_32,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,185.0,1.0
456,Doors and  Windows,Brugte Døre,Fyldningsdøre med glas uden karm,/doere-vinduer/brugte-doere/fyldningsdoere/fyldningsdoere-med-glas/267000/fyldningsdoer-med-glas-uden-karm,Fyldningsdør med glas uden karm,267000,"['/dyn/resources/Shop_Model_Product/image/0/267000/1688629016/old2columns/267000.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/349085/1688629024/old2columns/267000.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/349084/1688629023/old2columns/267000.jpg']",72.5,cm,202.0,cm,3.5,cm,1.0,850.0,2023-04-01,2023-04-29,Genbyg,DK,dk,Insulating glass,Frameless glass door leaves,Pr_30_59_23_32,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,28.0,1.0
457,Doors and  Windows,Brugte Døre,Fyldningsdøre med glas uden karm,/doere-vinduer/brugte-doere/fyldningsdoere/fyldningsdoere-med-glas/267001/fyldningsdoer-med-glas-uden-karm,Fyldningsdør med glas uden karm,267001,"['/dyn/resources/Shop_Model_Product/image/1/267001/1688980772/old2columns/267001.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/349088/1688629751/old2columns/267001.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/349086/1688629742/old2columns/267001.jpg']",72.8,cm,199.0,cm,3.5,cm,1.0,950.0,2023-03-02,2023-05-24,Genbyg,DK,dk,Insulating glass,Frameless glass door leaves,Pr_30_59_23_32,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,83.0,1.0
458,Doors and  Windows,Brugte Døre,Fyldningsdøre med glas uden karm,/doere-vinduer/brugte-doere/fyldningsdoere/fyldningsdoere-med-glas/266915/fyldningsdoer-med-glas-uden-karm,Fyldningsdør med glas uden karm,266915,"['/dyn/resources/Shop_Model_Product/image/5/266915/1688022025/old2columns/266915.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/348751/1688022002/old2columns/266915.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/348753/1688022012/old2columns/266915.jpg']",73.0,cm,197.5,cm,3.5,cm,1.0,750.0,2023-03-02,2023-06-27,Genbyg,DK,dk,Insulating glass,Frameless glass door leaves,Pr_30_59_23_32,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,117.0,1.0
459,Doors and  Windows,Brugte Døre,Fyldningsdøre med glas uden karm,/doere-vinduer/brugte-doere/fyldningsdoere/fyldningsdoere-med-glas/266919/fyldningsdoer-med-glas-uden-karm,Fyldningsdør med glas uden karm,266919,"['/dyn/resources/Shop_Model_Product/image/9/266919/1688025592/old2columns/266919.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/348765/1688025598/old2columns/266919.jpg']",83.5,cm,203.5,cm,3.5,cm,1.0,750.0,2023-03-02,2023-06-30,Genbyg,DK,dk,Insulating glass,Frameless glass door leaves,Pr_30_59_23_32,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,120.0,1.0
460,Doors and  Windows,Brugte Døre,Fyldningsdøre med glas uden karm,/doere-vinduer/brugte-doere/fyldningsdoere/fyldningsdoere-med-glas/266924/fyldningsdoer-med-glas-uden-karm,Fyldningsdør med glas uden karm,266924,"['/dyn/resources/Shop_Model_Product/image/4/266924/1688029811/old2columns/266924.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/348774/1688029817/old2columns/266924.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/348775/1688029819/old2columns/266924.jpg']",74.0,cm,203.5,cm,3.5,cm,1.0,800.0,2023-03-11,2023-06-01,Genbyg,DK,dk,Insulating glass,Frameless glass door leaves,Pr_30_59_23_32,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,82.0,1.0
462,Doors and  Windows,Brugte Døre,Fyldningsdøre med glas uden karm,/doere-vinduer/brugte-doere/fyldningsdoere/fyldningsdoere-med-glas/266772/fyldningsdoer-med-glas-uden-karm,Fyldningsdør med glas uden karm,266772,"['/dyn/resources/Shop_Model_Product/image/2/266772/1686646235/old2columns/266772.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/348092/1686646168/old2columns/266772.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/348094/1686646176/old2columns/266772.jpg']",73.5,cm,203.5,cm,3.5,cm,1.0,650.0,2023-03-02,2023-06-01,Genbyg,DK,dk,Insulating glass,Frameless glass door leaves,Pr_30_59_23_32,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,91.0,1.0
