,Category,Category_1,Subcategory,URL,Title,ID,Imagefile,Bredde,Bredde_unit,Højde,Højde_unit,Tykkelse,Tykkelse_unit,Quantity,LastPrice,Saved,LastUpOn,Store,Country,Language,material_emb,Danish_Raw,Danish_Code,first_level,second_level,third_level,SoldAfterDays,Sold
1139,Doors and  Windows,Brugte Vinduer,Vinduesrammer,/doere-vinduer/brugte-vinduer/vinduesrammer/263128/vinduesrammer-med-bue-saet,Vinduesrammer med bue - sæt,263128,"['/dyn/resources/Shop_Model_Product/image/8/263128/1660049132/old2columns/263128.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/332698/1660049077/old2columns/263128.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/332699/1660049079/old2columns/263128.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/332697/1660049059/old2columns/263128.jpg']",128.0,cm,144.0,cm,3.5,cm,1.0,1200.0,2023-03-02,2023-05-23,Genbyg,DK,dk,Architectural glass,Boxed sash window hanging fittings,Pr_30_36_36_08,Furnishings,"Door, Windows, Gates",Glass blocks and panels,82.0,1.0
1160,Doors and  Windows,Brugte Vinduer,Vinduesrammer,/doere-vinduer/brugte-vinduer/vinduesrammer/257553/vinduesrammer-med-bue-saet,Vinduesrammer med bue - sæt,257553,"['/dyn/resources/Shop_Model_Product/image/3/257553/1608123825/old2columns/257553.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/310378/1608123832/old2columns/257553.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/310379/1608123834/old2columns/257553.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/310381/1608123839/old2columns/257553.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/310701/1609354745/old2columns/vinduesrammer-med-bue-saet-257553.jpg']",127.0,cm,107.0,cm,3.5,cm,1.0,900.0,2023-05-01,2023-07-04,Genbyg,DK,dk,Architectural glass,Boxed sash window hanging fittings,Pr_30_36_36_08,Furnishings,"Door, Windows, Gates",Glass blocks and panels,64.0,1.0
1162,Doors and  Windows,Brugte Vinduer,Vinduesrammer,/doere-vinduer/brugte-vinduer/vinduesrammer/256964/vinduesrammer-med-bue-saet,Vinduesrammer med bue - sæt,256964,"['/dyn/resources/Shop_Model_Product/image/4/256964/1603919857/old2columns/256964.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/308242/1603786871/old2columns/256964.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/308244/1603786884/old2columns/256964.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/308245/1603786886/old2columns/256964.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/308246/1603786888/old2columns/256964.jpg']",115.0,cm,115.0,cm,3.5,cm,5.0,1200.0,2023-03-02,2023-04-01,Genbyg,DK,dk,Architectural glass,Boxed sash window hanging fittings,Pr_30_36_36_08,Furnishings,"Door, Windows, Gates",Glass blocks and panels,30.0,1.0
1176,Doors and  Windows,Brugte Vinduer,Vinduesrammer,/doere-vinduer/brugte-vinduer/vinduesrammer/85347/vinduesramme-med-sprosser-og-koblet-forsats,Vinduesramme med sprosser og koblet forsats,85347,"['/dyn/resources/Shop_Model_Product/image/7/85347/1560414981/old2columns/vinduesramme-med-sprosser-og-koblet-forsats-85347.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/279748/1560414981/old2columns/vinduesramme-med-sprosser-og-koblet-forsats-85347.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/279749/1560414984/old2columns/vinduesramme-med-sprosser-og-koblet-forsats-85347.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/279750/1560414986/old2columns/vinduesramme-med-sprosser-og-koblet-forsats-85347.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/279751/1560414988/old2columns/vinduesramme-med-sprosser-og-koblet-forsats-85347.jpg']",60.0,cm,128.0,cm,6.5,cm,2.0,487.0,2023-03-02,2023-05-31,Genbyg,DK,dk,Structural glass,Boxed sash window hanging fittings,Pr_30_36_36_08,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,90.0,1.0
1180,Doors and  Windows,Brugte Vinduer,Vinduesrammer,/doere-vinduer/brugte-vinduer/vinduesrammer/85348/vinduesramme-med-sprosser-og-koblet-forsats,Vinduesramme med sprosser og koblet forsats,85348,"['/dyn/resources/Shop_Model_Product/image/8/85348/1558347149/old2columns/vinduesramme-med-sprosser-og-koblet-forsats-85348.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/279753/1558347149/old2columns/vinduesramme-med-sprosser-og-koblet-forsats-85348.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/279754/1558347151/old2columns/vinduesramme-med-sprosser-og-koblet-forsats-85348.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/279755/1558347153/old2columns/vinduesramme-med-sprosser-og-koblet-forsats-85348.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/279756/1558347155/old2columns/vinduesramme-med-sprosser-og-koblet-forsats-85348.jpg']",55.5,cm,128.0,cm,6.5,cm,2.0,325.0,2023-03-02,2023-06-19,Genbyg,DK,dk,Structural glass,Boxed sash window hanging fittings,Pr_30_36_36_08,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,109.0,1.0
1323,Doors and  Windows,Brugte Vinduer,Brugte Monteringsdele,/doere-vinduer/brugte-vinduer/tilbehoer-til-vinduer/monteringsdele-anverfere-stormkroge-mm/265066/paskvillaas-til-vindue-125-cm,Paskvillås til vindue - cm .,265066,"['/dyn/resources/Shop_Model_Product/image/6/265066/1674041761/old2columns/265066.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/340904/1674041765/old2columns/265066.jpg']",,,,,,,2.0,425.0,2023-03-02,2023-10-02,Genbyg,DK,dk,Sitka spruce,Boxed sash window hanging fittings,Pr_30_36_36_08,"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,214.0,1.0
1324,Doors and  Windows,Brugte Vinduer,Brugte Monteringsdele,/doere-vinduer/brugte-vinduer/tilbehoer-til-vinduer/monteringsdele-anverfere-stormkroge-mm/265071/paskvillaas-til-vindue-1235-cm,"Paskvillås til vindue - , cm .",265071,"['/dyn/resources/Shop_Model_Product/image/1/265071/1674042121/old2columns/265071.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/340916/1674042123/old2columns/265071.jpg']",,,,,,,1.0,425.0,2023-03-02,2023-10-02,Genbyg,DK,dk,Sitka spruce,Boxed sash window hanging fittings,Pr_30_36_36_08,"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,214.0,1.0
1325,Doors and  Windows,Brugte Vinduer,Brugte Monteringsdele,/doere-vinduer/brugte-vinduer/tilbehoer-til-vinduer/monteringsdele-anverfere-stormkroge-mm/265072/paskvillaas-til-vindue-1128-cm,"Paskvillås til vindue - , cm .",265072,"['/dyn/resources/Shop_Model_Product/image/2/265072/1674042367/old2columns/265072.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/340917/1674042354/old2columns/265072.jpg']",,,,,,,1.0,425.0,2023-03-02,2023-10-02,Genbyg,DK,dk,Sitka spruce,Boxed sash window hanging fittings,Pr_30_36_36_08,"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,214.0,1.0
3668,Doors and  Windows,Brugte Vinduer,Sprossevinduer,/doere-vinduer/brugte-vinduer/sprossevinduer/267790/stort-sprossevindue-med-koblede-rammer,Stort sprossevindue med koblede rammer,267790,"['/dyn/resources/Shop_Model_Product/image/0/267790/1695818890/old2columns/267790.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/352304/1695818601/old2columns/267790.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/352309/1695818603/old2columns/267790.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/352308/1695818603/old2columns/267790.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/352310/1695818603/old2columns/267790.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/352312/1695818605/old2columns/267790.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/352303/1695818597/old2columns/267790.jpg']",139.5,cm,203.0,cm,11.8,cm,1.0,3800.0,2023-06-02,2023-10-25,Genbyg,DK,dk,Structural glass,Boxed sash window hanging fittings,Pr_30_36_36_08,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,145.0,1.0
3749,Doors and  Windows,Brugte Vinduer,Vinduesrammer,/doere-vinduer/brugte-vinduer/vinduesrammer/263881/vinduesrammer-med-bue-saet,Vinduesrammer med bue - sæt,263881,"['/dyn/resources/Shop_Model_Product/image/1/263881/1666433222/old2columns/263881.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/335811/1666433175/old2columns/263881.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/335813/1666433187/old2columns/263881.jpg']",115.0,cm,43.0,cm,3.5,cm,2.0,750.0,2023-05-23,2023-07-09,Genbyg,DK,dk,Architectural glass,Boxed sash window hanging fittings,Pr_30_36_36_08,Furnishings,"Door, Windows, Gates",Glass blocks and panels,47.0,1.0
