,Category,Category_1,Subcategory,URL,Title,ID,Imagefile,Bredde,Bredde_unit,Højde,Højde_unit,Tykkelse,Tykkelse_unit,Quantity,LastPrice,Saved,LastUpOn,Store,Country,Language,material_emb,Danish_Raw,Danish_Code,first_level,second_level,third_level,SoldAfterDays,Sold
777,Doors and  Windows,Brugte Døre,Brugt Tilbehør,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-haengsler/266858/karmsaet-65mm-m9-21,"Karmsæt mm ,",266858,[],,,,,,,47.0,200.0,2023-03-02,2023-10-02,Genbyg,DK,dk,Lignite,Grommets,Pr_20_29_60_34,"Wall, Barriers, Pannels","Covering, Finish",Trim products,214.0,1.0
801,Doors and  Windows,Brugte Døre,Brugt Tilbehør,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-haengsler/262779/rumpestabel-13-mm,Rumpestabel - mm .,262779,[],,,,,,,1.0,75.0,2023-03-02,2023-06-24,Genbyg,DK,dk,Silt,Grommets,Pr_20_29_60_34,"Wall, Barriers, Pannels","Covering, Finish","Floor plates, gratings and edgings",114.0,1.0
803,Doors and  Windows,Brugte Døre,Brugt Tilbehør,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-haengsler/262780/rumpestabel-125-mm,"Rumpestabel - , mm .",262780,[],,,,,,,1.0,75.0,2023-03-02,2023-06-16,Genbyg,DK,dk,Silt,Grommets,Pr_20_29_60_34,"Wall, Barriers, Pannels","Covering, Finish","Floor plates, gratings and edgings",106.0,1.0
987,Doors and  Windows,Brugte Vinduer,Sprossevinduer,/doere-vinduer/brugte-vinduer/sprossevinduer/266946/2-fags-sprossevindue-med-forsatsrammer,-fags sprossevindue med forsatsrammer,266946,"['/dyn/resources/Shop_Model_Product/image/6/266946/1688986340/old2columns/266946.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/348865/1688118127/old2columns/266946.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/348863/1688118126/old2columns/266946.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/348864/1688118126/old2columns/266946.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/348860/1688118122/old2columns/266946.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/348861/1688118124/old2columns/266946.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/348862/1688118125/old2columns/266946.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/348866/1688118127/old2columns/266946.jpg']",143.0,cm,192.5,cm,12.0,cm,3.0,1800.0,2023-03-02,2023-08-25,Genbyg,DK,dk,Sitka spruce,Grommets,Pr_20_29_60_34,"Wall, Barriers, Pannels","Door, Windows, Gates","Floor plates, gratings and edgings",176.0,1.0
1029,Doors and  Windows,Brugte Vinduer,Termovinduer,/doere-vinduer/brugte-vinduer/termovinduer/267453/2-fags-termovindue-m1-oplukkeligt-fag,-fags termovindue m/ oplukkeligt fag,267453,"['/dyn/resources/Shop_Model_Product/image/3/267453/1693481844/old2columns/267453.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/350786/1693481516/old2columns/267453.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/350784/1693481511/old2columns/267453.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/350790/1693481518/old2columns/267453.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/350785/1693481515/old2columns/267453.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/350788/1693481517/old2columns/267453.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/350787/1693481516/old2columns/267453.jpg']",195.0,cm,110.0,cm,14.2,cm,1.0,900.0,2023-03-02,2023-03-17,Genbyg,DK,dk,Silt,Grommets,Pr_20_29_60_34,"Roof, Slabs, Stairs","Door, Windows, Gates",Space heating and cooling products,15.0,1.0
1331,Doors and  Windows,Brugte Vinduer,Brugte Monteringsdele,/doere-vinduer/brugte-vinduer/tilbehoer-til-vinduer/monteringsdele-anverfere-stormkroge-mm/258992/styretap-boesning-516-14-mm,Styretap bøsning / '' - mm .,258992,"['/dyn/resources/Shop_Model_Product/image/2/258992/1622707696/old2columns/258992.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/316064/1622707684/old2columns/258992.jpg']",,,,,,,10.0,35.0,2023-03-24,2023-10-02,Genbyg,DK,dk,Silt,Grommets,Pr_20_29_60_34,"Wall, Barriers, Pannels","Covering, Finish","Floor plates, gratings and edgings",192.0,1.0
1333,Doors and  Windows,Brugte Vinduer,Brugte Monteringsdele,/doere-vinduer/brugte-vinduer/tilbehoer-til-vinduer/monteringsdele-anverfere-stormkroge-mm/259008/styretap-boesning-14-21-mm,Styretap bøsning / '' - mm .,259008,"['/dyn/resources/Shop_Model_Product/image/8/259008/1622712833/old2columns/259008.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/316089/1622712818/old2columns/259008.jpg']",,,,,,,16.0,25.0,2023-04-30,2023-10-02,Genbyg,DK,dk,Silt,Grommets,Pr_20_29_60_34,"Wall, Barriers, Pannels","Covering, Finish","Floor plates, gratings and edgings",155.0,1.0
1437,Doors and  Windows,Brugte Vinduer,Brugte Vinkelhængsler,/doere-vinduer/brugte-vinduer/tilbehoer-til-vinduer/brugte-vinkelhaengsler/266488/hjoernebaandshaengsel-126-mm,Hjørnebåndshængsel - mm .,266488,[],,,,,,,3.0,75.0,2023-03-21,2023-10-02,Genbyg,DK,dk,Silt,Grommets,Pr_20_29_60_34,"Wall, Barriers, Pannels","Covering, Finish",Sanitary fittings and accessories,195.0,1.0
1438,Doors and  Windows,Brugte Vinduer,Brugte Vinkelhængsler,/doere-vinduer/brugte-vinduer/tilbehoer-til-vinduer/brugte-vinkelhaengsler/266494/hjoernebaandshaengsel-122-mm,Hjørnebåndshængsel - mm .,266494,[],,,,,,,6.0,75.0,2023-04-14,2023-10-02,Genbyg,DK,dk,Silt,Grommets,Pr_20_29_60_34,"Wall, Barriers, Pannels","Covering, Finish",Sanitary fittings and accessories,171.0,1.0
1439,Doors and  Windows,Brugte Vinduer,Brugte Vinkelhængsler,/doere-vinduer/brugte-vinduer/tilbehoer-til-vinduer/brugte-vinkelhaengsler/266495/hjoernebaandshaengsel-124-mm,Hjørnebåndshængsel - mm .,266495,[],,,,,,,9.0,75.0,2023-03-02,2023-10-02,Genbyg,DK,dk,Silt,Grommets,Pr_20_29_60_34,"Wall, Barriers, Pannels","Covering, Finish",Sanitary fittings and accessories,214.0,1.0
