,Category,Category_1,Subcategory,URL,Title,ID,Imagefile,Bredde,Bredde_unit,Højde,Højde_unit,Tykkelse,Tykkelse_unit,Quantity,LastPrice,Saved,LastUpOn,Store,Country,Language,material_emb,Danish_Raw,Danish_Code,first_level,second_level,third_level,SoldAfterDays,Sold
926,Doors and  Windows,Brugte Døre,Karmtræ,/doere-vinduer/brugte-doere/tilbehoer-til-doere/karmtrae/1837/bundstykke-i-egetrae-35-mm-fals,Bundstykke i egetræ - mm fals,1837,['/dyn/resources/Shop_Model_Product/image/7/1837/1558674947/old2columns/bundstykke-i-egetrae-35-mm-fals-1837.jpg'],,,,,,,,515.0,2023-04-28,2023-10-02,Genbyg,DK,dk,Granule,Wood brise-soleil louvre blades,Pr_30_59_09_91,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards",157.0,1.0
927,Doors and  Windows,Brugte Døre,Karmtræ,/doere-vinduer/brugte-doere/tilbehoer-til-doere/karmtrae/257929/bundstykke-i-egetrae-40-mm-fals,Bundstykke i egetræ - mm fals,257929,['/dyn/resources/Shop_Model_Product/image/9/257929/1612529395/old2columns/257929.jpg'],,,,,,,,455.0,2023-03-02,2023-10-02,Genbyg,DK,dk,Granule,Wood brise-soleil louvre blades,Pr_30_59_09_91,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards",214.0,1.0
928,Doors and  Windows,Brugte Døre,Karmtræ,/doere-vinduer/brugte-doere/tilbehoer-til-doere/karmtrae/35054/bundstykke-i-egetrae-45-mm-fals,Bundstykke i egetræ - mm fals,35054,['/dyn/resources/Shop_Model_Product/image/4/35054/1558945499/old2columns/bundstykke-i-egetrae-45-mm-fals-35054.jpg'],,,,,,,,570.0,2023-03-02,2023-10-02,Genbyg,DK,dk,Granule,Wood brise-soleil louvre blades,Pr_30_59_09_91,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards",214.0,1.0
2705,Timber and Floors,Planker & Tømmer,Hylder af Genbrugstræ,/trae_og_gulve/planker_og_toemmer/hylder-genbyg-design/259262/rustik-hylde-i-fyrretrae-af-gammelt-spaertrae-1-meter,Rustik hylde i fyrretræ af gammelt spærtræ - Vælg ml . længder,259266,[],,,,,,,0.0,900.0,2023-03-02,2023-09-19,Genbyg,DK,dk,Mahogany,Wood brise-soleil louvre blades,Pr_30_59_09_91,Furnishings,Furnishings,"Lighting columns, brackets and bollards",201.0,1.0
2723,Timber and Floors,Planker & Tømmer,Restpartier fra Savværk,/trae_og_gulve/planker_og_toemmer/restpartier-fra-savvaerk/267515/gulvplanker-i-eg-og-ask-i-forskellige-bredde,Gulvplanker i eg og ask i forskellige bredde,267515,[],,,,,,,60.0,100.0,2023-03-02,2023-10-02,Genbyg,DK,dk,Wood,Wood brise-soleil louvre blades,Pr_30_59_09_91,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",214.0,1.0
2724,Timber and Floors,Planker & Tømmer,Restpartier fra Savværk,/trae_og_gulve/planker_og_toemmer/restpartier-fra-savvaerk/267521/gulvplanker-i-eg-og-ask-i-forskellige-bredde,Gulvplanker i eg og ask i forskellige bredde,267521,[],,,,,,,110.0,100.0,2023-03-02,2023-10-02,Genbyg,DK,dk,Wood,Wood brise-soleil louvre blades,Pr_30_59_09_91,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",214.0,1.0
2725,Timber and Floors,Planker & Tømmer,Restpartier fra Savværk,/trae_og_gulve/planker_og_toemmer/restpartier-fra-savvaerk/267522/gulvplanker-i-eg-og-ask-13-cm-i-bredde,Gulvplanker i eg og ask cm i bredde,267522,[],,,,,,,90.0,100.0,2023-03-29,2023-10-02,Genbyg,DK,dk,Granule,Wood brise-soleil louvre blades,Pr_30_59_09_91,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",187.0,1.0
2726,Timber and Floors,Planker & Tømmer,Restpartier fra Savværk,/trae_og_gulve/planker_og_toemmer/restpartier-fra-savvaerk/267523/gulvplanker-i-eg-og-ask-21-cm-bredde,Gulvplanker i eg og ask cm bredde,267523,[],,,,,,,89.0,100.0,2023-03-03,2023-10-02,Genbyg,DK,dk,Granule,Wood brise-soleil louvre blades,Pr_30_59_09_91,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",213.0,1.0
2729,Timber and Floors,Planker & Tømmer,Restpartier fra Savværk,/trae_og_gulve/planker_og_toemmer/restpartier-fra-savvaerk/267473/valnoedstraesstave-30x52x393mm-savskaaret,Valnødstræsstave xxmm savskåret,267473,[],,,,,,,1.0,25.0,2023-03-02,2023-10-02,Genbyg,DK,dk,Sitka spruce,Wood brise-soleil louvre blades,Pr_30_59_09_91,"Wall, Barriers, Pannels","Covering, Finish","Floor plates, gratings and edgings",214.0,1.0
2735,Timber and Floors,Planker & Tømmer,Restpartier fra Savværk,/trae_og_gulve/planker_og_toemmer/restpartier-fra-savvaerk/266303/boegetraesstave-45x24x560-mm,Bøgetræsstave xx mm,266303,[],,,,,,,81.0,15.0,2023-03-02,2023-10-02,Genbyg,DK,dk,Wood,Wood brise-soleil louvre blades,Pr_30_59_09_91,Furnishings,"Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",214.0,1.0
