,Category,Category_1,Subcategory,URL,Title,ID,Imagefile,Bredde,Bredde_unit,Højde,Højde_unit,Tykkelse,Tykkelse_unit,Quantity,LastPrice,Saved,LastUpOn,Store,Country,Language,material_emb,Danish_Raw,Danish_Code,first_level,second_level,third_level,SoldAfterDays,Sold
1354,Doors and  Windows,Brugte Vinduer,Brugte Monteringsdele,/doere-vinduer/brugte-vinduer/tilbehoer-til-vinduer/monteringsdele-anverfere-stormkroge-mm/49643/stormkrog-i-stoebejern,Stormkrog i støbejern,49643,"['/dyn/resources/Shop_Model_Product/image/3/49643/1558690001/old2columns/stormkrog-i-stoebejern-49643.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/114382/1558690001/old2columns/stormkrog-i-stoebejern-49643.jpg']",,,,,,,564.0,5.0,2023-03-02,2023-06-22,Genbyg,DK,dk,Gravel,Steel spiles,Pr_20_85_34_84,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards",112.0,1.0
1362,Doors and  Windows,Brugte Vinduer,Brugte Monteringsdele,/doere-vinduer/brugte-vinduer/tilbehoer-til-vinduer/monteringsdele-anverfere-stormkroge-mm/49630/stormkrog-i-stoebejern,Stormkrog i støbejern,49630,['/dyn/resources/Shop_Model_Product/image/0/49630/1557919613/old2columns/stormkrog-i-stoebejern-49630.jpg'],,,,,,,46.0,5.0,2023-03-02,2023-08-30,Genbyg,DK,dk,Gravel,Steel spiles,Pr_20_85_34_84,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards",181.0,1.0
1367,Doors and  Windows,Brugte Vinduer,Brugte Monteringsdele,/doere-vinduer/brugte-vinduer/tilbehoer-til-vinduer/monteringsdele-anverfere-stormkroge-mm/81034/vrider-i-staal,Vrider i stål,81034,"['/dyn/resources/Shop_Model_Product/image/4/81034/1558358191/old2columns/vrider-i-staal-81034.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/242804/1558358191/old2columns/vrider-i-staal-81034.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/242805/1558358191/old2columns/vrider-i-staal-81034.jpg']",,,,,,,1.0,86.0,2023-03-18,2023-07-30,Genbyg,DK,dk,Steel,Steel spiles,Pr_20_85_34_84,Structural elements,Other,Wire structure and general products,134.0,1.0
1370,Doors and  Windows,Brugte Vinduer,Brugte Monteringsdele,/doere-vinduer/brugte-vinduer/tilbehoer-til-vinduer/monteringsdele-anverfere-stormkroge-mm/49629/stormkrog-i-stoebejern,Stormkrog i støbejern,49629,"['/dyn/resources/Shop_Model_Product/image/9/49629/1557826734/old2columns/stormkrog-i-stoebejern-49629.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/114341/1557826734/old2columns/stormkrog-i-stoebejern-49629.jpg']",,,,,,,808.0,5.0,2023-03-15,2023-08-21,Genbyg,DK,dk,Gravel,Steel spiles,Pr_20_85_34_84,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards",159.0,1.0
1395,Doors and  Windows,Brugte Vinduer,"Vinkelhængsler, Vridere & Anverfere",/doere-vinduer/brugte-vinduer/tilbehoer-til-vinduer/nye-vinkelhaengsler/54019/anverfer-ubehandlet-staal,Anverfer - ubehandlet stål,54019,[],,,,,,,,20.0,2023-03-09,2023-10-02,Genbyg,DK,dk,Steel,Steel spiles,Pr_20_85_34_84,Structural elements,Other,Wire structure and general products,207.0,1.0
1396,Doors and  Windows,Brugte Vinduer,"Vinkelhængsler, Vridere & Anverfere",/doere-vinduer/brugte-vinduer/tilbehoer-til-vinduer/nye-vinkelhaengsler/54018/stormjern-ubehandlet-staal-93-mm,Stormjern - ubehandlet stål mm,54018,[],,,,,,,,25.0,2023-03-02,2023-10-02,Genbyg,DK,dk,Steel,Steel spiles,Pr_20_85_34_84,Structural elements,Other,Wire structure and general products,214.0,1.0
1397,Doors and  Windows,Brugte Vinduer,"Vinkelhængsler, Vridere & Anverfere",/doere-vinduer/brugte-vinduer/tilbehoer-til-vinduer/nye-vinkelhaengsler/54017/stormkrog-ubehandlet-staal,Stormkrog - ubehandlet stål,54017,[],,,,,,,,55.0,2023-03-02,2023-10-02,Genbyg,DK,dk,Weathering steel,Steel spiles,Pr_20_85_34_84,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Shaft-lining products,214.0,1.0
1398,Doors and  Windows,Brugte Vinduer,"Vinkelhængsler, Vridere & Anverfere",/doere-vinduer/brugte-vinduer/tilbehoer-til-vinduer/nye-vinkelhaengsler/54016/anverfer-ubehandlet-staal,Anverfer - ubehandlet stål,54016,[],,,,,,,,50.0,2023-03-02,2023-10-02,Genbyg,DK,dk,Steel,Steel spiles,Pr_20_85_34_84,Structural elements,Other,Wire structure and general products,214.0,1.0
1399,Doors and  Windows,Brugte Vinduer,"Vinkelhængsler, Vridere & Anverfere",/doere-vinduer/brugte-vinduer/tilbehoer-til-vinduer/nye-vinkelhaengsler/54015/stjerthage-ubehandlet-staal,Stjerthage - ubehandlet stål,54015,[],,,,,,,,17.0,2023-03-02,2023-10-02,Genbyg,DK,dk,Steel,Steel spiles,Pr_20_85_34_84,Structural elements,Other,Shaft-lining products,214.0,1.0
1415,Doors and  Windows,Brugte Vinduer,"Vinkelhængsler, Vridere & Anverfere",/doere-vinduer/brugte-vinduer/tilbehoer-til-vinduer/nye-vinkelhaengsler/262366/jernkrampe-til-stormkroge-og-anverfer-elforzinket,Jernkrampe til stormkroge og anverfer - elforzinket,262366,[],,,,,,,,2.0,2023-03-02,2023-10-02,Genbyg,DK,dk,Weathering steel,Steel spiles,Pr_20_85_34_84,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Power and lighting outlet products,214.0,1.0
