,Category,Category_1,Subcategory,URL,Title,ID,Imagefile,Bredde,Bredde_unit,Højde,Højde_unit,Tykkelse,Tykkelse_unit,Quantity,LastPrice,Saved,LastUpOn,Store,Country,Language,material_emb,Danish_Raw,Danish_Code,first_level,second_level,third_level,SoldAfterDays,Sold
4061,Miscellaneous Used Items,Paneler,Paneler,/diverse-brugt/paneler/267719/hoejt-vaegpanel,Højt vægpanel,267719,"['/dyn/resources/Shop_Model_Product/image/9/267719/1695620541/old2columns/267719.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/351975/1695620434/old2columns/267719.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/351976/1695620435/old2columns/267719.jpg']",149.0,cm,356.5,cm,2.5,cm,12.0,1800.0,2023-05-31,2023-08-11,Genbyg,DK,dk,Wallaba,Raised access floor panels with finish,Pr_25_71_42_71,"Wall, Barriers, Pannels","Floors, Ceiling",Glass blocks and panels,72.0,1.0
4087,Miscellaneous Used Items,Paneler,Paneler,/diverse-brugt/paneler/258092/hoejt-vaegpanel,Højt vægpanel,258092,"['/dyn/resources/Shop_Model_Product/image/2/258092/1613727956/old2columns/258092.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/312502/1613727855/old2columns/258092.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/312503/1613727862/old2columns/258092.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/312544/1614026965/old2columns/hoejt-vaegpanel-258092.jpg']",310.0,cm,96.0,cm,2.5,cm,1.0,1500.0,2023-05-25,2023-08-17,Genbyg,DK,dk,Wallaba,Raised access floor panels with finish,Pr_25_71_42_71,"Wall, Barriers, Pannels","Floors, Ceiling",Glass blocks and panels,84.0,1.0
4088,Miscellaneous Used Items,Paneler,Paneler,/diverse-brugt/paneler/258090/hoejt-vaegpanel,Højt vægpanel,258090,"['/dyn/resources/Shop_Model_Product/image/0/258090/1613726453/old2columns/258090.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/312493/1613726367/old2columns/258090.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/312490/1613726355/old2columns/258090.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/312492/1613726365/old2columns/258090.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/312542/1614025124/old2columns/hoejt-vaegpanel-258090.jpg']",134.0,cm,127.0,cm,,,1.0,1400.0,2023-06-11,2023-08-18,Genbyg,DK,dk,Wallaba,Raised access floor panels with finish,Pr_25_71_42_71,"Wall, Barriers, Pannels","Floors, Ceiling",Glass blocks and panels,68.0,1.0
4089,Miscellaneous Used Items,Paneler,Paneler,/diverse-brugt/paneler/258086/hoejt-vaegpanel,Højt vægpanel,258086,"['/dyn/resources/Shop_Model_Product/image/6/258086/1613722630/old2columns/258086.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/312466/1613661997/old2columns/258086.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/312470/1613662015/old2columns/258086.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/312467/1613662008/old2columns/258086.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/312469/1613662012/old2columns/258086.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/312541/1614024929/old2columns/hoejt-vaegpanel-258086.jpg']",110.0,cm,125.0,cm,,,5.0,975.0,2023-06-22,2023-08-10,Genbyg,DK,dk,Wallaba,Raised access floor panels with finish,Pr_25_71_42_71,"Wall, Barriers, Pannels","Floors, Ceiling",Glass blocks and panels,49.0,1.0
4090,Miscellaneous Used Items,Paneler,Paneler,/diverse-brugt/paneler/258094/hoejt-vaegpanel,Højt vægpanel,258094,"['/dyn/resources/Shop_Model_Product/image/4/258094/1613741763/old2columns/258094.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/312509/1613741770/old2columns/258094.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/312510/1613741772/old2columns/258094.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/312516/1613935453/old2columns/hoejt-vaegpanel-258094.jpg']",284.0,cm,128.0,cm,2.3,cm,2.0,2699.0,2023-06-15,2023-07-14,Genbyg,DK,dk,Wallaba,Raised access floor panels with finish,Pr_25_71_42_71,"Wall, Barriers, Pannels","Floors, Ceiling",Glass blocks and panels,29.0,1.0
4091,Miscellaneous Used Items,Paneler,Paneler,/diverse-brugt/paneler/256345/hoejt-vaegpanel,Højt vægpanel,256345,"['/dyn/resources/Shop_Model_Product/image/5/256345/1597915289/old2columns/256345.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/305700/1597915295/old2columns/256345.jpg']",196.0,cm,79.0,cm,3.6,cm,1.0,400.0,2023-06-01,2023-08-28,Genbyg,DK,dk,Wallaba,Raised access floor panels with finish,Pr_25_71_42_71,"Wall, Barriers, Pannels","Floors, Ceiling",Glass blocks and panels,88.0,1.0
4092,Miscellaneous Used Items,Paneler,Paneler,/diverse-brugt/paneler/255807/hoejt-vaegpanel,Højt vægpanel,255807,"['/dyn/resources/Shop_Model_Product/image/7/255807/1591776454/old2columns/hoejt-vaegpanel-255807.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/303410/1591776433/old2columns/hoejt-vaegpanel-255807.jpg']",201.0,cm,82.0,cm,3.5,cm,1.0,400.0,2023-05-05,2023-05-24,Genbyg,DK,dk,Wallaba,Raised access floor panels with finish,Pr_25_71_42_71,"Wall, Barriers, Pannels","Floors, Ceiling",Glass blocks and panels,19.0,1.0
4093,Miscellaneous Used Items,Paneler,Paneler,/diverse-brugt/paneler/255808/hoejt-vaegpanel,Højt vægpanel,255808,"['/dyn/resources/Shop_Model_Product/image/8/255808/1591777586/old2columns/hoejt-vaegpanel-255808.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/303412/1591777518/old2columns/hoejt-vaegpanel-255808.jpg']",207.0,cm,81.0,cm,3.5,cm,1.0,400.0,2023-06-14,2023-07-10,Genbyg,DK,dk,Wallaba,Raised access floor panels with finish,Pr_25_71_42_71,"Wall, Barriers, Pannels","Floors, Ceiling",Glass blocks and panels,26.0,1.0
4097,Miscellaneous Used Items,Paneler,Paneler,/diverse-brugt/paneler/83729/hoejt-vaegpanel,Højt vægpanel,83729,"['/dyn/resources/Shop_Model_Product/image/9/83729/1558342399/old2columns/hoejt-vaegpanel-83729.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/251537/1558342399/old2columns/hoejt-vaegpanel-83729.jpg']",,,83.0,cm,,,1.0,400.0,2023-06-05,2023-06-28,Genbyg,DK,dk,Wallaba,Raised access floor panels with finish,Pr_25_71_42_71,"Wall, Barriers, Pannels","Floors, Ceiling",Glass blocks and panels,23.0,1.0
4098,Miscellaneous Used Items,Paneler,Paneler,/diverse-brugt/paneler/83731/hoejt-vaegpanel,Højt vægpanel,83731,"['/dyn/resources/Shop_Model_Product/image/1/83731/1558424506/old2columns/hoejt-vaegpanel-83731.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/251543/1558424506/old2columns/hoejt-vaegpanel-83731.jpg']",,,73.0,cm,,,1.0,400.0,2023-05-19,2023-07-09,Genbyg,DK,dk,Wallaba,Raised access floor panels with finish,Pr_25_71_42_71,"Wall, Barriers, Pannels","Floors, Ceiling",Glass blocks and panels,51.0,1.0
