,Category,Category_1,Subcategory,URL,Title,ID,Imagefile,Bredde,Bredde_unit,Højde,Højde_unit,Tykkelse,Tykkelse_unit,Quantity,LastPrice,Saved,LastUpOn,Store,Country,Language,material_emb,Danish_Raw,Danish_Code,first_level,second_level,third_level,SoldAfterDays,Sold
700,Doors and  Windows,Brugte Døre,Brugte Låsekasser,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-lasekasser/58625/ruko-250-laasekasse-hoejrehaengt,Ruko låsekasse - højrehængt,58625,[],,,,,,,1.0,325.0,2023-03-02,2023-10-02,Genbyg,DK,dk,Sitka spruce,Padlock and key cabinets,Pr_80_77_28_60,"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,214.0,1.0
713,Doors and  Windows,Brugte Døre,Brugte Låsekasser,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-lasekasser/265545/laasekasse-med-noegle-hoejrehaengt,Låsekasse med nøgle - højrehængt,265545,[],,,,,,,1.0,475.0,2023-03-02,2023-10-02,Genbyg,DK,dk,Sitka spruce,Padlock and key cabinets,Pr_80_77_28_60,Other,"Door, Windows, Gates",Sanitary fittings and accessories,214.0,1.0
714,Doors and  Windows,Brugte Døre,Brugte Låsekasser,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-lasekasser/265547/laasekasse-med-noegle-venstrehaengt,Låsekasse med nøgle - venstrehængt,265547,[],,,,,,,1.0,475.0,2023-03-28,2023-03-31,Genbyg,DK,dk,Sitka spruce,Padlock and key cabinets,Pr_80_77_28_60,Other,"Door, Windows, Gates",Sanitary fittings and accessories,3.0,1.0
715,Doors and  Windows,Brugte Døre,Brugte Låsekasser,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-lasekasser/263788/laasekasse-med-noegler-rigellaas,Låsekasse med nøgler - rigellås,263788,[],,,,,,,1.0,275.0,2023-03-02,2023-10-02,Genbyg,DK,dk,Anti-bandit glass,Padlock and key cabinets,Pr_80_77_28_60,"Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,214.0,1.0
716,Doors and  Windows,Brugte Døre,Brugte Låsekasser,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-lasekasser/263789/laasekasse-med-noegler-rigellaas,Låsekasse med nøgler - rigellås,263789,[],,,,,,,1.0,275.0,2023-04-02,2023-10-02,Genbyg,DK,dk,Anti-bandit glass,Padlock and key cabinets,Pr_80_77_28_60,"Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,183.0,1.0
719,Doors and  Windows,Brugte Døre,Brugte Låsekasser,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-lasekasser/263781/laasekasse-med-noegle-venstrehaengt,Låsekasse med nøgle - venstrehængt,263781,[],,,,,,,1.0,775.0,2023-03-02,2023-10-02,Genbyg,DK,dk,Sitka spruce,Padlock and key cabinets,Pr_80_77_28_60,Other,"Door, Windows, Gates",Sanitary fittings and accessories,214.0,1.0
861,Doors and  Windows,Brugte Døre,Brugt Tilbehør,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-haengsler/252948/laasekasse-med-noegle,Låsekasse med nøgle,252948,[],,,,,,,1.0,275.0,2023-03-02,2023-05-22,Genbyg,DK,dk,Sitka spruce,Padlock and key cabinets,Pr_80_77_28_60,Other,"Door, Windows, Gates",Safety cages,81.0,1.0
862,Doors and  Windows,Brugte Døre,Brugt Tilbehør,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-haengsler/252947/laasekasse-med-noegle,Låsekasse med nøgle,252947,[],,,,,,,1.0,225.0,2023-03-02,2023-04-26,Genbyg,DK,dk,Sitka spruce,Padlock and key cabinets,Pr_80_77_28_60,Other,"Door, Windows, Gates",Safety cages,55.0,1.0
4986,Doors and  Windows,Brugte Døre,Brugt Tilbehør,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-haengsler/252948/laasekasse-med-noegle,Låsekasse med nøgle,252948,[],,,,,,,1.0,275.0,2023-08-01,2023-08-03,Genbyg,DK,dk,Sitka spruce,Padlock and key cabinets,Pr_80_77_28_60,Other,"Door, Windows, Gates",Safety cages,2.0,1.0
4987,Doors and  Windows,Brugte Døre,Brugt Tilbehør,/doere-vinduer/brugte-doere/tilbehoer-til-doere/brugte-haengsler/252947/laasekasse-med-noegle,Låsekasse med nøgle,252947,[],,,,,,,1.0,225.0,2023-08-23,2023-09-01,Genbyg,DK,dk,Sitka spruce,Padlock and key cabinets,Pr_80_77_28_60,Other,"Door, Windows, Gates",Safety cages,9.0,1.0
