,Category,Category_1,Subcategory,URL,Title,ID,Imagefile,Bredde,Bredde_unit,Højde,Højde_unit,Tykkelse,Tykkelse_unit,Quantity,LastPrice,Saved,LastUpOn,Store,Country,Language,material_emb,Danish_Raw,Danish_Code,first_level,second_level,third_level,SoldAfterDays,Sold
70,Doors and  Windows,Brugte Døre,Dobbeltdøre,/doere-vinduer/brugte-doere/dobbeltdoere/267562/lav-dobbeltdoer-med-karm,Lav dobbeltdør med karm,267562,"['/dyn/resources/Shop_Model_Product/image/2/267562/1694424906/old2columns/267562.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/351223/1694424225/old2columns/267562.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/351222/1694424219/old2columns/267562.jpg']",150.7,cm,193.8,cm,9.0,cm,1.0,1900.0,2023-03-02,2023-07-03,Genbyg,DK,dk,Sitka spruce,Up-and-over doorsets,Pr_30_59_24_93,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,123.0,1.0
549,Doors and  Windows,Brugte Døre,Fyldningsdøre med glas og karm,/doere-vinduer/brugte-doere/fyldningsdoere/fyldningsdoere-med-glas-og-karm/266641/sprossedoer-med-nybygget-karm,Sprossedør med nybygget karm,266641,"['/dyn/resources/Shop_Model_Product/image/1/266641/1685604865/old2columns/fyldningsdoer-med-glas-og-karm-266641.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/347570/1685604872/old2columns/fyldningsdoer-med-glas-og-karm-266641.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/347571/1685604873/old2columns/fyldningsdoer-med-glas-og-karm-266641.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/347572/1685604875/old2columns/fyldningsdoer-med-glas-og-karm-266641.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/347573/1685604876/old2columns/fyldningsdoer-med-glas-og-karm-266641.jpg']",88.0,cm,202.0,cm,11.8,cm,1.0,10000.0,2023-03-12,2023-08-10,Genbyg,DK,dk,Architectural glass,Up-and-over doorsets,Pr_30_59_24_93,"Roof, Slabs, Stairs","Door, Windows, Gates",Sanitary fittings and accessories,151.0,1.0
569,Doors and  Windows,Brugte Døre,Skæve Fyldningsdøre til dekoration,/doere-vinduer/brugte-doere/fyldningsdoere/skaeve-fyldningsdoere/264599/halve-fyldningsdoere-til-dekoration,Halve fyldningsdøre til dekoration,264599,"['/dyn/resources/Shop_Model_Product/image/9/264599/1671109256/old2columns/264599.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/338920/1671109152/old2columns/264599.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/338917/1671109150/old2columns/264599.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/338921/1671109153/old2columns/264599.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/338918/1671109150/old2columns/264599.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/338913/1671109142/old2columns/264599.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/338915/1671109148/old2columns/264599.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/338916/1671109149/old2columns/264599.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/338914/1671109147/old2columns/264599.jpg']",,,,,,,21.0,250.0,2023-03-02,2023-10-02,Genbyg,DK,dk,Decorative aggregates,Up-and-over doorsets,Pr_30_59_24_93,"Wall, Barriers, Pannels","Door, Windows, Gates","Floor plates, gratings and edgings",214.0,1.0
570,Doors and  Windows,Brugte Døre,Skæve Fyldningsdøre til dekoration,/doere-vinduer/brugte-doere/fyldningsdoere/skaeve-fyldningsdoere/252207/skaeve-fyldningsdoere-til-dekoration,Skæve fyldningsdøre til dekoration,252207,"['/dyn/resources/Shop_Model_Product/image/7/252207/1560750866/old2columns/skaeve-fyldningsdoere-til-dekoration-252207.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/289058/1560750864/old2columns/skaeve-fyldningsdoere-til-dekoration-252207.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/289057/1560750864/old2columns/skaeve-fyldningsdoere-til-dekoration-252207.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/289059/1560750863/old2columns/skaeve-fyldningsdoere-til-dekoration-252207.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/289088/1560750862/old2columns/skaeve-fyldningsdoere-til-dekoration-252207.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/289089/1560750860/old2columns/skaeve-fyldningsdoere-til-dekoration-252207.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/289090/1560750859/old2columns/skaeve-fyldningsdoere-til-dekoration-252207.jpg']",,,,,,,34.0,250.0,2023-03-29,2023-10-02,Genbyg,DK,dk,Decorative aggregates,Up-and-over doorsets,Pr_30_59_24_93,"Wall, Barriers, Pannels","Door, Windows, Gates","Floor plates, gratings and edgings",187.0,1.0
687,Doors and  Windows,Brugte Døre,Diverse Døre,/doere-vinduer/brugte-doere/diverse-doere/257591/loftsdoerrevledoer,Loftsdør/revledør,257591,"['/dyn/resources/Shop_Model_Product/image/1/257591/1608540775/old2columns/257591.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/310542/1608540745/old2columns/257591.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/310546/1608540759/old2columns/257591.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/310543/1608540754/old2columns/257591.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/310544/1608540756/old2columns/257591.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/310556/1608588590/old2columns/loftsdoerrevledoer-257591.jpeg', '/dyn/resources/Shop_Model_Product_Image/image/7/310557/1608588593/old2columns/loftsdoerrevledoer-257591.jpeg']",72.0,cm,181.0,cm,2.2,cm,4.0,550.0,2023-03-02,2023-10-02,Genbyg,DK,dk,Sitka spruce,Up-and-over doorsets,Pr_30_59_24_93,"Roof, Slabs, Stairs","Door, Windows, Gates",Structural roofing units,214.0,1.0
919,Doors and  Windows,Brugte Døre,Karmtræ,/doere-vinduer/brugte-doere/tilbehoer-til-doere/karmtrae/251184/karmsaet-til-gamle-dobbeltdoere-35-mm-falsdybde,Karmsæt til gamle dobbeltdøre mm falsdybde,251184,['/dyn/resources/Shop_Model_Product/image/4/251184/1612533663/old2columns/karmsaet-til-gamle-dobbeltdoere-35-mm-falsdybde-251184.jpg'],,,,,,,,2300.0,2023-03-02,2023-10-02,Genbyg,DK,dk,Sitka spruce,Up-and-over doorsets,Pr_30_59_24_93,"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,214.0,1.0
921,Doors and  Windows,Brugte Døre,Karmtræ,/doere-vinduer/brugte-doere/tilbehoer-til-doere/karmtrae/257926/karmsaet-til-gamle-dobbeltdoere-40-mm-falsdybde,Karmsæt til gamle dobbeltdøre mm falsdybde,257926,['/dyn/resources/Shop_Model_Product/image/6/257926/1612533705/old2columns/karmsaet-til-gamle-dobbeltdoere-40-mm-falsdybde-257926.jpg'],,,,,,,,2365.0,2023-03-02,2023-10-02,Genbyg,DK,dk,Sitka spruce,Up-and-over doorsets,Pr_30_59_24_93,"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,214.0,1.0
3454,Doors and  Windows,Brugte Døre,Dobbeltdøre,/doere-vinduer/brugte-doere/dobbeltdoere/260908/dobbeltdoer-med-overparti,Dobbeltdør med overparti,260908,"['/dyn/resources/Shop_Model_Product/image/8/260908/1641549495/old2columns/260908.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/323547/1641549507/old2columns/260908.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/323545/1641549502/old2columns/260908.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/323546/1641549504/old2columns/260908.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/323548/1641549508/old2columns/260908.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/323555/1641552091/old2columns/dobbeltdoer-med-overparti-260908.jpg']",139.0,cm,273.5,cm,18.0,cm,1.0,23500.0,2023-06-20,2023-06-26,Genbyg,DK,dk,Sitka spruce,Up-and-over doorsets,Pr_30_59_24_93,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,6.0,1.0
4493,Doors and  Windows,Brugte Døre,Fyldningsdøre med glas og karm,/doere-vinduer/brugte-doere/fyldningsdoere/fyldningsdoere-med-glas-og-karm/266641/sprossedoer-med-nybygget-karm,Sprossedør med nybygget karm,266641,"['/dyn/resources/Shop_Model_Product/image/1/266641/1685604865/old2columns/fyldningsdoer-med-glas-og-karm-266641.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/347570/1685604872/old2columns/fyldningsdoer-med-glas-og-karm-266641.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/347571/1685604873/old2columns/fyldningsdoer-med-glas-og-karm-266641.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/347572/1685604875/old2columns/fyldningsdoer-med-glas-og-karm-266641.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/347573/1685604876/old2columns/fyldningsdoer-med-glas-og-karm-266641.jpg']",88.0,cm,202.0,cm,11.8,cm,1.0,10000.0,2023-07-14,2023-07-20,Genbyg,DK,dk,Architectural glass,Up-and-over doorsets,Pr_30_59_24_93,"Roof, Slabs, Stairs","Door, Windows, Gates",Sanitary fittings and accessories,6.0,1.0
5297,Doors and  Windows,Brugte Døre,Yderdøre,/doere-vinduer/brugte-doere/yderdoere/yderdoere/264724/facadedoer-med-overparti,Facadedør med overparti,264724,"['/dyn/resources/Shop_Model_Product/image/4/264724/1671706882/old2columns/264724.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/339436/1671706890/old2columns/264724.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/339434/1671706885/old2columns/264724.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/339444/1671706927/old2columns/264724.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/339435/1671706887/old2columns/264724.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/339437/1671706893/old2columns/264724.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/339439/1671706900/old2columns/264724.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/339440/1671706904/old2columns/264724.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/339441/1671706906/old2columns/264724.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/339445/1671706929/old2columns/264724.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/339438/1671706897/old2columns/264724.jpg']",115.0,cm,302.0,cm,11.5,cm,1.0,12000.0,2023-09-24,2023-10-10,Genbyg,DK,dk,Encaustic,Up-and-over doorsets,Pr_30_59_24_93,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,16.0,1.0
