,Category,Category_1,Subcategory,URL,Title,ID,Imagefile,Bredde,Bredde_unit,Højde,Højde_unit,Tykkelse,Tykkelse_unit,Quantity,LastPrice,Saved,LastUpOn,Store,Country,Language,material_emb,Danish_Raw,Danish_Code,first_level,second_level,third_level,SoldAfterDays,Sold
1284,Doors and  Windows,Brugte Vinduer,Original Linoliemaling,/doere-vinduer/brugte-vinduer/tilbehoer-til-vinduer/original-lineoliemaling/30937/original-linoliemaling-1-liter-hvid-til-baade-inden-og-udendoers-brug,Linoliemaling - hvid - Liter Indendørs & Udendørs,30937,[],,,,,,,,615.0,2023-03-17,2023-10-02,Genbyg,DK,dk,Lacquer resin,Linseed oil putties,Pr_30_31_68_47,Other,"Floors, Ceiling",Headwall and swale inlet products,199.0,1.0
1286,Doors and  Windows,Brugte Vinduer,Original Linoliemaling,/doere-vinduer/brugte-vinduer/tilbehoer-til-vinduer/original-lineoliemaling/30951/original-linoliemaling-1-liter-sort-udendoers,Linoliemaling - Sodsort - Liter Udendørs,30951,[],,,,,,,,585.0,2023-03-02,2023-10-02,Genbyg,DK,dk,Balsam resin,Linseed oil putties,Pr_30_31_68_47,Other,Other,Trim products,214.0,1.0
1287,Doors and  Windows,Brugte Vinduer,Original Linoliemaling,/doere-vinduer/brugte-vinduer/tilbehoer-til-vinduer/original-lineoliemaling/30981/original-linoliemaling-1-liter-dyrehaveroed-udendoers,Linoliemaling - Dyrehaverød - Liter Udendørs,30981,[],,,,,,,,650.0,2023-03-02,2023-10-02,Genbyg,DK,dk,Granule,Linseed oil putties,Pr_30_31_68_47,Other,Other,Trim products,214.0,1.0
1288,Doors and  Windows,Brugte Vinduer,Original Linoliemaling,/doere-vinduer/brugte-vinduer/tilbehoer-til-vinduer/original-lineoliemaling/30946/original-linoliemaling-1-liter-portgroen-koebenhavnergroen-udendoers,Linoliemaling - Portgrøn - Liter Udendørs,30946,[],,,,,,,,735.0,2023-03-02,2023-10-02,Genbyg,DK,dk,Copal resin,Linseed oil putties,Pr_30_31_68_47,Other,Other,Trim products,214.0,1.0
1289,Doors and  Windows,Brugte Vinduer,Original Linoliemaling,/doere-vinduer/brugte-vinduer/tilbehoer-til-vinduer/original-lineoliemaling/250377/original-linoliemaling-1-liter-vogngroen-udendoers,Linoliemaling - Vogngrøn - Liter Udendørs,250377,[],,,,,,,,735.0,2023-03-02,2023-10-02,Genbyg,DK,dk,Balsam resin,Linseed oil putties,Pr_30_31_68_47,Other,Other,Trim products,214.0,1.0
1290,Doors and  Windows,Brugte Vinduer,Original Linoliemaling,/doere-vinduer/brugte-vinduer/tilbehoer-til-vinduer/original-lineoliemaling/250374/original-linoliemaling-1-liter-kromoxydgroen-udendoers,Linoliemaling - Kromoxydgrøn - Liter Udendørs,250374,[],,,,,,,,735.0,2023-03-02,2023-10-02,Genbyg,DK,dk,Copal resin,Linseed oil putties,Pr_30_31_68_47,Other,Other,Trim products,214.0,1.0
1291,Doors and  Windows,Brugte Vinduer,Original Linoliemaling,/doere-vinduer/brugte-vinduer/tilbehoer-til-vinduer/original-lineoliemaling/250371/original-linoliemaling-1-liter-svinkloevgraa-udendoers,Linoliemaling - Svinkløvgrå - Liter Udendørs,250371,[],,,,,,,,675.0,2023-03-14,2023-10-02,Genbyg,DK,dk,Granule,Linseed oil putties,Pr_30_31_68_47,"Wall, Barriers, Pannels","Floors, Ceiling",Trim products,202.0,1.0
1298,Doors and  Windows,Brugte Vinduer,Linolie,/doere-vinduer/brugte-vinduer/tilbehoer-til-vinduer/linolie/5610/kogt-linolie-1-liter,Kogt linolie liter,5610,[],,,,,,,,175.0,2023-03-22,2023-10-02,Genbyg,DK,dk,Oil,Linseed oil putties,Pr_30_31_68_47,Other,Other,Fastener products,194.0,1.0
1299,Doors and  Windows,Brugte Vinduer,Linolie,/doere-vinduer/brugte-vinduer/tilbehoer-til-vinduer/linolie/5609/kogt-linolie-5-liter,Kogt linolie liter,5609,[],,,,,,,,575.0,2023-03-02,2023-10-02,Genbyg,DK,dk,Oil,Linseed oil putties,Pr_30_31_68_47,Other,Other,Fastener products,214.0,1.0
1300,Doors and  Windows,Brugte Vinduer,Linolie,/doere-vinduer/brugte-vinduer/tilbehoer-til-vinduer/linolie/5608/kogt-linolie-25-liter,Kogt linolie liter,5608,[],,,,,,,,2875.0,2023-03-02,2023-10-02,Genbyg,DK,dk,Oil,Linseed oil putties,Pr_30_31_68_47,Other,Other,Fastener products,214.0,1.0
1302,Doors and  Windows,Brugte Vinduer,Linolie,/doere-vinduer/brugte-vinduer/tilbehoer-til-vinduer/linolie/58059/linoliesaebe-1-liter,Linoliesæbe - liter,58059,[],,,,,,,,90.0,2023-04-25,2023-10-02,Genbyg,DK,dk,Soap,Linseed oil putties,Pr_30_31_68_47,Other,Other,Trim products,160.0,1.0
1312,Doors and  Windows,Brugte Vinduer,Linolie,/doere-vinduer/brugte-vinduer/tilbehoer-til-vinduer/linolie/255814/linoliesaebe-05-l,"Linoliesæbe ,",255814,[],,,,,,,,55.0,2023-04-04,2023-10-02,Genbyg,DK,dk,Soap,Linseed oil putties,Pr_30_31_68_47,Other,Other,Trim products,181.0,1.0
