,Category,Category_1,Subcategory,URL,Title,ID,Imagefile,Bredde,Bredde_unit,Højde,Højde_unit,Tykkelse,Tykkelse_unit,Quantity,LastPrice,Saved,LastUpOn,Store,Country,Language,material_emb,Danish_Raw,Danish_Code,first_level,second_level,third_level,SoldAfterDays,Sold
69,Doors and  Windows,Brugte Døre,Dobbeltdøre,/doere-vinduer/brugte-doere/dobbeltdoere/267408/dobbelt-fyldningsdoer-med-karm,Dobbelt fyldningsdør med karm,267408,"['/dyn/resources/Shop_Model_Product/image/8/267408/1694525310/old2columns/dobbelt-fyldningsdoer-med-karm-267408.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/351051/1694008236/old2columns/dobbelt-fyldningsdoer-med-karm-267408.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/351060/1694008415/old2columns/dobbelt-fyldningsdoer-med-karm-267408.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/351055/1694008256/old2columns/dobbelt-fyldningsdoer-med-karm-267408.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/351053/1694008251/old2columns/dobbelt-fyldningsdoer-med-karm-267408.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/351054/1694008253/old2columns/dobbelt-fyldningsdoer-med-karm-267408.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/351061/1694008418/old2columns/dobbelt-fyldningsdoer-med-karm-267408.jpg']",137.3,cm,208.0,cm,12.0,cm,1.0,16500.0,2023-03-02,2023-08-13,Genbyg,DK,dk,Sitka spruce,Cavity sliding doorsets,Pr_30_59_24_11,"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,164.0,1.0
88,Doors and  Windows,Brugte Døre,Dobbeltdøre,/doere-vinduer/brugte-doere/dobbeltdoere/267074/dobbelt-fyldningsdoer-med-karm,Dobbelt fyldningsdør med karm,267074,"['/dyn/resources/Shop_Model_Product/image/4/267074/1690875645/old2columns/dobbelt-fyldningsdoer-med-karm-267074.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/349646/1690875523/old2columns/dobbelt-fyldningsdoer-med-karm-267074.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/349651/1690875537/old2columns/dobbelt-fyldningsdoer-med-karm-267074.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/349647/1690875531/old2columns/dobbelt-fyldningsdoer-med-karm-267074.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/349648/1690875533/old2columns/dobbelt-fyldningsdoer-med-karm-267074.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/349649/1690875535/old2columns/dobbelt-fyldningsdoer-med-karm-267074.jpg']",127.6,cm,223.0,cm,11.8,cm,1.0,17000.0,2023-04-14,2023-09-01,Genbyg,DK,dk,Sitka spruce,Cavity sliding doorsets,Pr_30_59_24_11,"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,140.0,1.0
89,Doors and  Windows,Brugte Døre,Dobbeltdøre,/doere-vinduer/brugte-doere/dobbeltdoere/267066/dobbelt-fyldningsdoer-med-karm,Dobbelt fyldningsdør med karm,267066,"['/dyn/resources/Shop_Model_Product/image/6/267066/1691567079/old2columns/dobbelt-fyldningsdoer-med-karm-267066.jpeg', '/dyn/resources/Shop_Model_Product_Image/image/2/349652/1690876753/old2columns/dobbelt-fyldningsdoer-med-karm-267066.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/349653/1690876761/old2columns/dobbelt-fyldningsdoer-med-karm-267066.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/349654/1690876762/old2columns/dobbelt-fyldningsdoer-med-karm-267066.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/349655/1690876765/old2columns/dobbelt-fyldningsdoer-med-karm-267066.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/349656/1690876767/old2columns/dobbelt-fyldningsdoer-med-karm-267066.jpg']",129.6,cm,223.0,cm,11.8,cm,1.0,17000.0,2023-04-09,2023-08-19,Genbyg,DK,dk,Sitka spruce,Cavity sliding doorsets,Pr_30_59_24_11,"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,132.0,1.0
90,Doors and  Windows,Brugte Døre,Dobbeltdøre,/doere-vinduer/brugte-doere/dobbeltdoere/267248/dobbelt-fyldningsdoer-med-karm,Dobbelt fyldningsdør med karm,267248,"['/dyn/resources/Shop_Model_Product/image/8/267248/1691500674/old2columns/267248.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/349976/1691500607/old2columns/267248.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/349977/1691500608/old2columns/267248.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/349974/1691500598/old2columns/267248.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/349978/1691500609/old2columns/267248.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/349979/1691502181/old2columns/dobbelt-fyldningsdoer-med-karm-267248.jpg']",131.0,cm,249.0,cm,8.5,cm,1.0,12000.0,2023-03-02,2023-07-10,Genbyg,DK,dk,Sitka spruce,Cavity sliding doorsets,Pr_30_59_24_11,"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,130.0,1.0
91,Doors and  Windows,Brugte Døre,Dobbeltdøre,/doere-vinduer/brugte-doere/dobbeltdoere/267229/dobbelt-fyldningsdoer-med-karm,Dobbelt fyldningsdør med karm,267229,"['/dyn/resources/Shop_Model_Product/image/9/267229/1691399045/old2columns/dobbelt-fyldningsdoer-med-karm-267229.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/349887/1691398450/old2columns/267229.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/349888/1691399018/old2columns/dobbelt-fyldningsdoer-med-karm-267229.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/349890/1691399021/old2columns/dobbelt-fyldningsdoer-med-karm-267229.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/349891/1691399023/old2columns/dobbelt-fyldningsdoer-med-karm-267229.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/349892/1691399025/old2columns/dobbelt-fyldningsdoer-med-karm-267229.jpg']",130.5,cm,247.0,cm,12.0,cm,1.0,9000.0,2023-03-02,2023-08-12,Genbyg,DK,dk,Sitka spruce,Cavity sliding doorsets,Pr_30_59_24_11,"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,163.0,1.0
94,Doors and  Windows,Brugte Døre,Dobbeltdøre,/doere-vinduer/brugte-doere/dobbeltdoere/267198/dobbelt-fyldningsdoer-med-karm,Dobbelt fyldningsdør med karm,267198,"['/dyn/resources/Shop_Model_Product/image/8/267198/1690981600/old2columns/267198.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/349767/1690981414/old2columns/267198.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/349768/1690981422/old2columns/267198.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/349769/1690981423/old2columns/267198.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/349771/1690981427/old2columns/267198.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/349772/1690981429/old2columns/267198.jpg']",129.0,cm,231.0,cm,8.5,cm,1.0,12000.0,2023-03-02,2023-03-17,Genbyg,DK,dk,Sitka spruce,Cavity sliding doorsets,Pr_30_59_24_11,"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,15.0,1.0
206,Doors and  Windows,Brugte Døre,Fyldningsdøre med karm,/doere-vinduer/brugte-doere/fyldningsdoere/fyldningsdoere-med-karm/82731/klassisk-fyldningsdoer-med-karm,Klassisk fyldningsdør med karm,82731,"['/dyn/resources/Shop_Model_Product/image/1/82731/1557996388/old2columns/klassisk-fyldningsdoer-med-karm-82731.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/248108/1557996385/old2columns/klassisk-fyldningsdoer-med-karm-82731.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/248109/1557996383/old2columns/klassisk-fyldningsdoer-med-karm-82731.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/248110/1557996381/old2columns/klassisk-fyldningsdoer-med-karm-82731.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/248111/1557996379/old2columns/klassisk-fyldningsdoer-med-karm-82731.jpg']",87.5,cm,212.0,cm,11.5,cm,1.0,1500.0,2023-04-02,2023-04-05,Genbyg,DK,dk,Sitka spruce,Cavity sliding doorsets,Pr_30_59_24_11,"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,3.0,1.0
209,Doors and  Windows,Brugte Døre,Fyldningsdøre med karm,/doere-vinduer/brugte-doere/fyldningsdoere/fyldningsdoere-med-karm/82503/klassisk-fyldningsdoer-med-karm,Klassisk fyldningsdør med karm,82503,"['/dyn/resources/Shop_Model_Product/image/3/82503/1557995778/old2columns/klassisk-fyldningsdoer-med-karm-82503.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/247482/1557995776/old2columns/klassisk-fyldningsdoer-med-karm-82503.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/247483/1557995774/old2columns/klassisk-fyldningsdoer-med-karm-82503.jpg']",88.0,cm,212.0,cm,17.0,cm,1.0,2200.0,2023-04-25,2023-05-07,Genbyg,DK,dk,Sitka spruce,Cavity sliding doorsets,Pr_30_59_24_11,"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,12.0,1.0
210,Doors and  Windows,Brugte Døre,Fyldningsdøre med karm,/doere-vinduer/brugte-doere/fyldningsdoere/fyldningsdoere-med-karm/82496/klassisk-fyldningsdoer-med-karm,Klassisk fyldningsdør med karm,82496,"['/dyn/resources/Shop_Model_Product/image/6/82496/1560403272/old2columns/klassisk-fyldningsdoer-med-karm-82496.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/247448/1560403270/old2columns/klassisk-fyldningsdoer-med-karm-82496.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/247449/1560403269/old2columns/klassisk-fyldningsdoer-med-karm-82496.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/247450/1560403268/old2columns/klassisk-fyldningsdoer-med-karm-82496.jpg']",88.0,cm,212.0,cm,11.5,cm,1.0,2100.0,2023-03-07,2023-04-02,Genbyg,DK,dk,Sitka spruce,Cavity sliding doorsets,Pr_30_59_24_11,"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,26.0,1.0
211,Doors and  Windows,Brugte Døre,Fyldningsdøre med karm,/doere-vinduer/brugte-doere/fyldningsdoere/fyldningsdoere-med-karm/82534/klassisk-fyldningsdoer-med-karm,Klassisk fyldningsdør med karm,82534,"['/dyn/resources/Shop_Model_Product/image/4/82534/1557918180/old2columns/klassisk-fyldningsdoer-med-karm-82534.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/244107/1557918178/old2columns/klassisk-fyldningsdoer-med-karm-82534.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/244108/1557918176/old2columns/klassisk-fyldningsdoer-med-karm-82534.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/244109/1557918174/old2columns/klassisk-fyldningsdoer-med-karm-82534.jpg']",87.5,cm,222.0,cm,11.5,cm,1.0,2200.0,2023-03-02,2023-04-09,Genbyg,DK,dk,Sitka spruce,Cavity sliding doorsets,Pr_30_59_24_11,"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,38.0,1.0
