,Category,Category_1,Subcategory,URL,Title,ID,Imagefile,Bredde,Bredde_unit,Højde,Højde_unit,Tykkelse,Tykkelse_unit,Dørkarm,Quantity,LastPrice,Saved,LastUpOn,Hængning,Bredde m/karm,Bredde m/karm_unit,Højde m/karm,Højde m/karm_unit,Karmtykkelse,Karmtykkelse_unit,FirstPrice,PriceChange,Description,Skinne,Gammelt glas,Med hjørnebånd,Glas,Defekte glas,Materiale,Monteret før,Produktionsår,Produktionsår_unit,Til indmuring,Overfalset,Med vinkelhængsler,Koblet,Med udskyderstang,Længde,Længde_unit,Dybde,Dybde_unit,Konvektorer,Konvektorer_unit,Ophængsbeslag,Med termostat,Trykprøvet,Store,Country,Language,Bundstykke,Fyldningstype,Fyldningstype_unit,Fast ramme,Alu på træ,Title_en
0,Doors and  Windows,Brugte Døre,Yderdøre,/doere-vinduer/brugte-doere/yderdoere/yderdoere/267838/altandoersparti,Altandørsparti,267838,"['/dyn/resources/Shop_Model_Product/image/8/267838/1695963760/old2columns/267838.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/352472/1695963598/old2columns/267838.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/352468/1695963595/old2columns/267838.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/352467/1695963594/old2columns/267838.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/352473/1695963598/old2columns/267838.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/352469/1695963595/old2columns/267838.jpg']",171.0,cm,292.5,cm,12.0,cm,m/karm,1 stk,4500.0,2023-03-02,2023-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genbyg,DK,dk,,,,,,Balcony party
1,Doors and  Windows,Brugte Døre,Yderdøre,/doere-vinduer/brugte-doere/yderdoere/yderdoere/267792/stalddoer-med-sidevindue,Stalddør med sidevindue,267792,"['/dyn/resources/Shop_Model_Product/image/2/267792/1695892182/old2columns/267792.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/352320/1695818870/old2columns/267792.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/352321/1695818878/old2columns/267792.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/352324/1695818883/old2columns/267792.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/352322/1695818880/old2columns/267792.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/352323/1695818882/old2columns/267792.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/352325/1695818885/old2columns/267792.jpg']",141.5,cm,190.5,cm,11.5,cm,,1 stk,6000.0,2023-04-24,2023-05-01,Venstrehængt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genbyg,DK,dk,,,,,,Barn door with side window
2,Doors and  Windows,Brugte Døre,Yderdøre,/doere-vinduer/brugte-doere/yderdoere/yderdoere/267676/yderdoer-med-med-karm,Yderdør med med karm,267676,"['/dyn/resources/Shop_Model_Product/image/6/267676/1695038490/old2columns/267676.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/351676/1695038165/old2columns/267676.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/351677/1695038174/old2columns/267676.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/351678/1695038176/old2columns/267676.jpg']",99.0,cm,192.5,cm,14.0,cm,,1 stk,4200.0,2023-03-02,2023-11-02,Venstrehængt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genbyg,DK,dk,,,,,,Outer door with frame
3,Doors and  Windows,Brugte Døre,Yderdøre,/doere-vinduer/brugte-doere/yderdoere/yderdoere/267675/yderdoer-med-karm,Yderdør med karm,267675,"['/dyn/resources/Shop_Model_Product/image/5/267675/1695046914/old2columns/267675.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/351671/1695034345/old2columns/267675.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/351672/1695034353/old2columns/267675.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/351673/1695034356/old2columns/267675.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/351674/1695034358/old2columns/267675.jpg']",84.5,cm,208.0,cm,9.5,cm,,1 stk,1800.0,2023-03-02,2023-07-08,Venstrehængt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genbyg,DK,dk,,,,,,Exterior door with frame
4,Doors and  Windows,Brugte Døre,Yderdøre,/doere-vinduer/brugte-doere/yderdoere/yderdoere/267724/yderdoer-med-karm,Yderdør med karm,267724,"['/dyn/resources/Shop_Model_Product/image/4/267724/1695645869/old2columns/267724.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/352006/1695628831/old2columns/267724.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/352004/1695628822/old2columns/267724.jpg']",82.5,cm,203.0,cm,11.5,cm,,1 stk,2600.0,2023-03-12,2023-03-13,Venstrehængt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genbyg,DK,dk,,,,,,Exterior door with frame
5,Doors and  Windows,Brugte Døre,Yderdøre,/doere-vinduer/brugte-doere/yderdoere/yderdoere/267725/yderdoer-med-karm,Yderdør med karm,267725,"['/dyn/resources/Shop_Model_Product/image/5/267725/1695631491/old2columns/267725.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/352008/1695631496/old2columns/267725.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/352009/1695631497/old2columns/267725.jpg']",75.5,cm,210.0,cm,11.5,cm,,4 stk,2600.0,2023-03-25,2023-07-12,Højrehængt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genbyg,DK,dk,,,,,,Exterior door with frame
6,Doors and  Windows,Brugte Døre,Yderdøre,/doere-vinduer/brugte-doere/yderdoere/yderdoere/267705/altandoersparti,Altandørsparti,267705,"['/dyn/resources/Shop_Model_Product/image/5/267705/1695272680/old2columns/267705.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/351889/1695271812/old2columns/267705.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/351877/1695271642/old2columns/267705.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/351879/1695271647/old2columns/267705.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/351880/1695271648/old2columns/267705.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/351881/1695271649/old2columns/267705.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/351884/1695271652/old2columns/267705.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/351885/1695271653/old2columns/267705.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/351891/1695272558/old2columns/267705.jpg']",171.5,cm,296.5,cm,12.0,cm,m/karm,1 stk,4500.0,2023-03-04,2023-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genbyg,DK,dk,,,,,,Balcony party
7,Doors and  Windows,Brugte Døre,Yderdøre,/doere-vinduer/brugte-doere/yderdoere/yderdoere/267619/yderdoer-med-karm,Yderdør med karm,267619,"['/dyn/resources/Shop_Model_Product/image/9/267619/1694676852/old2columns/267619.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/351456/1694676737/old2columns/267619.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/351457/1694676747/old2columns/267619.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/351458/1694676750/old2columns/267619.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/351459/1694676752/old2columns/267619.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/351460/1694676754/old2columns/267619.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/351461/1694676759/old2columns/267619.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/351462/1694676761/old2columns/267619.jpg']",100.0,cm,221.5,cm,12.3,cm,,1 stk,4500.0,2023-03-02,2023-10-18,Højrehængt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genbyg,DK,dk,,,,,,Exterior door with frame
8,Doors and  Windows,Brugte Døre,Yderdøre,/doere-vinduer/brugte-doere/yderdoere/yderdoere/267339/revledoer-uden-karm,Revledør uden karm,267339,"['/dyn/resources/Shop_Model_Product/image/9/267339/1694601165/old2columns/267339.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/350346/1692704225/old2columns/267339.jpg']",78.0,cm,190.0,cm,2.2,cm,,1 stk,450.0,2023-04-17,2023-10-16,Venstrehængt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genbyg,DK,dk,,,,,,Revled door without frame
9,Doors and  Windows,Brugte Døre,Yderdøre,/doere-vinduer/brugte-doere/yderdoere/yderdoere/267448/dobbelt-yderdoer-med-karm,Dobbelt yderdør med karm,267448,"['/dyn/resources/Shop_Model_Product/image/8/267448/1693399980/old2columns/267448.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/350753/1693399838/old2columns/267448.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/350754/1693399839/old2columns/267448.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/350757/1693399844/old2columns/267448.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/350756/1693399843/old2columns/267448.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/350755/1693399841/old2columns/267448.jpg']",153.5,cm,230.0,cm,11.0,cm,,1 stk,9500.0,2023-03-02,2023-03-07,Højrehængt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genbyg,DK,dk,,,,,,Double outer door with frame
