,Unnamed: 0.1,Unnamed: 0,id,title,description,material_state,category,BIM_class,location,date_published,price_initial,price_latest,price_change,imagefiles,material_type,co2,avoided_waste,quantity_initial,quantity_latest,disappeared,country,sold,sold_after,city,deconstruction,state,constraints,price,publishDate,images,distance,rseSummary,promotion,source,conditioning,rate,diag_it,showroom,avoidedWastes,trustLevel,quantity,min_quantity,end_date,pickup_start_date,pickup_end_date,deposit_mode,date,object,material,dim,quantity_n
0,0,0,00249fb6-3011-411f-a276-7f92e35a8981,Table,"Table à manger, de longueur de 120 cm, largeur de 80 cm et hauteur de 76 cm.",correct,ovens,E.10.90.02.46,PARIS-13E-ARRONDISSEMENT,2022-08-11,10.0,10.0,0.0,['/upload/material/images/84c53165-3f30-4c10-b281-ff358f8e2114.jpeg'],used,,,69.0,69.0,2023-05-04,FR,1.0,266.0,,,,,"{'score': 0.00034570222487673163, 'start': 0, 'end': 15, 'answer': 'Table à manger,'}",,,,,,,,,,,,,,,,,,,,"Table à manger,",,,
1,1,1,003e47f1-89b1-4fb3-9e42-0d645d2cb5f7,Projecteur,Projecteur blanc,correct,lighting_general_equipment,D.50.20.02.10,ARGENTEUIL,2022-06-23,13.0,13.0,0.0,['/upload/material/images/ca0a2dfe-b2c0-4e00-bf13-faabd43e891e.jpeg'],used,,,1.0,1.0,2022-09-26,FR,1.0,95.0,,,,,"{'score': 0.17677821218967438, 'start': 0, 'end': 16, 'answer': 'Projecteur blanc'}",,,,,,,,,,,,,,,,,,,,Projecteur blanc,,,
2,6,6,017c80c6-2ae1-4f70-9a69-6fcdf1c3064f,Porte simple manuelle,"Dimensions avec bâti bois massif h210 l94,5 e9. Porte simple manuelle en Bois reconstitué",damaged,simple_solid_doors,C.10.20.01.1e,RENNES,2022-07-18,60.0,60.0,0.0,"['/upload/material/images/a99320bf-f510-46e0-9f18-aac75899427e.jpeg', '/upload/material/images/14fb0473-834d-4226-a783-a20538e23ac1.jpeg', '/upload/material/images/42ecd476-9f9d-4049-b3f1-c502054306fb.jpeg']",used,,,1.0,1.0,2022-09-26,FR,1.0,70.0,,,,,"{'score': 7.29227258489118e-06, 'start': 47, 'end': 89, 'answer': ' Porte simple manuelle en Bois reconstitué'}",,,,,,,,,,,,,,,,,,,, Porte simple manuelle,," h210 l94,5 e9.",
3,7,7,01c42a92-bdf1-4742-8477-83d1c8bd532f,Main courante seule,"Main courante métallique de couleur noire, de hauteur de 12 cm, épaisseur de 4 cm.",correct,handrail,C.20.10.90.3c,ORLEANS,2022-04-15,35.0,35.0,0.0,['/upload/material/images/70781524-b2e9-4b1e-a170-39e81f198eca.jpeg'],used,,,4.0,4.0,2023-09-24,FR,2.0,527.0,,,,,"{'score': 2.1966974600218236e-05, 'start': 0, 'end': 42, 'answer': 'Main courante métallique de couleur noire,'}",,,,,,,,,,,,,,,,,,,,Main courante métallique,,,
4,8,8,0235c89a-2cf3-47d2-979d-0ea0ba2c67b9,Isolation laine de verre,"Vendu par rouleaux de 12m2 et 60mm d'épaisseur dans l'emballage d'origine
A disposition 44 rouleaux sur 2 palettes de 18 et une de 8 
Surplus de chantier à venir chercher très rapidement",new,other_coating,C.30.30.90,AVON,2022-08-19,5.0,5.0,0.0,"['/upload/material/images/c3f04845-48da-4f7d-bdb8-ea08f1b8953f.jpeg', '/upload/material/images/48bc342b-5a4e-4f43-af59-84bbf47a3c35.jpeg', '/upload/material/images/ec838a21-915b-450c-adfe-1c6f47678e10.jpeg', '/upload/material/images/58251e40-dbbd-478b-aa68-22e4f9bdd80a.jpeg']",new,,,528.0,528.0,2022-09-26,FR,1.0,38.0,,,,,"{'score': 1.774325710357516e-06, 'start': 29, 'end': 73, 'answer': "" 60mm d'épaisseur dans l'emballage d'origine""}",,,,,,,,,,,,,,,,,,,,,,,
5,9,9,0238d07c-1ec8-4d50-825e-9c4f090f2e44,Radiateur à eau,Radiateur à eau en acier blanc.,correct,electronically_heat,D.30.50.02.2a,ARGENTEUIL,2022-06-23,35.0,35.0,0.0,['/upload/material/images/35744d19-8cd5-47f0-a9b0-98f9a3e5be9e.jpeg'],used,,,5.0,5.0,2022-09-26,FR,1.0,95.0,,,,,"{'score': 0.0005326924147084355, 'start': 0, 'end': 31, 'answer': 'Radiateur à eau en acier blanc.'}",,,,,,,,,,,,,,,,,,,,Radiateur à eau, acier,,
6,10,10,025b2a13-acda-48c2-80e4-e7c52029553c,Porte double manuelle,"Porte palière, tiant laiton, Huisserie bois",correct,simple_solid_doors,C.10.20.01.2e,PARIS-12E-ARRONDISSEMENT,2021-07-20,97.5,97.5,0.0,"['/upload/material/images/7ee8e83a-0ac1-4954-b2ad-dcb806462be0.jpeg', '/upload/material/images/2f086143-c270-4f96-8b84-b586f6fc2057.jpeg', '/upload/material/images/7d4b9ea8-ac55-42d4-8335-15337f0dff15.jpeg']",used,,,114.0,114.0,2022-08-30,FR,1.0,406.0,,,,,"{'score': 0.00024693927844054997, 'start': 0, 'end': 43, 'answer': 'Porte palière, tiant laiton, Huisserie bois'}",,,,,,,,,,,,,,,,,,,,,,,
7,13,13,028d30ca-750e-476e-82a0-c07bffa952eb,Dalle luminaire LED,"Dalles luminaires quasi neuve, ayant été utilisées 15 jours. Possibilité d'un stock plus grand, pour cela, contactez le service-client cycle-up
Une palette comprend 52 dalles.  Les dalles sont reconditionnées dans leurs cartons d’origine. Le colisage d’une palette : Longueur : 136 cm Largeur : 72 cm Hauteur : 117 cm Poids : 117 Kg La référence spécifique de ces dalles : https://www.sylvania-lighting.com/product/en-int/products/0048401/
Pour des quantités différentes, nous consulter.",verygood,lighting_general_equipment,D.50.20.02.3,SAINT-OUEN,2022-03-16,15.0,15.0,0.0,"['/upload/material/images/3206e9d5-f579-49f5-8fee-5e9b9167319b.JPG', '/upload/material/images/7284acf2-ebbe-4711-9812-e1ad5533d836.JPG', '/upload/material/images/83257f69-e432-4b2e-84b4-861c976223e7.JPG', '/upload/material/images/22558311-edfe-427c-927e-30be4dc5ba40.PNG', '/upload/material/images/c18bffcd-891d-4076-8489-d91c03a61078.PNG']",used,,,1003.0,200.0,2023-04-11,FR,1.0,391.0,,," quasi neuve,",,"{'score': 0.00024097709683701396, 'start': 0, 'end': 30, 'answer': 'Dalles luminaires quasi neuve,'}",,,,,,,,,,,,,,,,,,,,,,, 52 dalles.
8,15,15,02ca040a-7adc-41d4-ab37-908a700755e5,Cloison amovible,"Cloison amovible
Sous bassement , dimensions données pour un panneau",correct,demountable_partitions,C.10.10.02.1g,ARGENTEUIL,2022-06-23,40.0,40.0,0.0,['/upload/material/images/d10efe50-0fe0-49ba-9bdd-125c0c2da0d4.jpeg'],used,,,11.0,11.0,2022-09-26,FR,1.0,95.0,,,,,"{'score': 0.00045898856478743255, 'start': 0, 'end': 32, 'answer': 'Cloison amovible\r\nSous bassement'}",,,,,,,,,,,,,,,,,,,,Cloison amovible,, dimensions données pour un panneau,
9,17,17,030d5007-41bc-4b62-a1b4-701240a9461b,Porte coulissante métallique,"Porte coulissante métallique
L totale 3,70m",correct,sliding_and_folding_doors,C.10.20.04.2a,VILLENEUVE-SAINT-GEORGES,2022-04-01,45.0,45.0,0.0,['/upload/material/images/2b2e71dc-774d-4056-a55f-9973af13b22e.jpeg'],used,,,1.0,1.0,2023-05-04,FR,1.0,398.0,,,,,"{'score': 0.003531377064064145, 'start': 0, 'end': 44, 'answer': 'Porte coulissante métallique\r\nL totale 3,70m'}",,,,,,,,,,,,,,,,,,,,Porte coulissante métallique, métallique,,
10,18,18,0336db1a-535c-4f50-b0dd-f1717c4c0245,W.C. suspendu,WC suspendu marque Idéal Standard en céramique avec bâti support.,correct,WC,D.20.10.02.2a,NANTES,2022-01-21,40.0,40.0,0.0,"['/upload/material/images/462eade4-9655-4b5c-9d5b-c0954aae0e3f.jpeg', '/upload/material/images/11d9e6cc-d8ef-4bc9-b792-4e48ccfbfb07.jpeg', '/upload/material/images/9fcdc7e3-78c3-42f3-b3f4-68c2e243aa70.jpeg']",used,,,8.0,4.0,2022-10-03,FR,1.0,255.0,,,,,"{'score': 0.0031896280124783516, 'start': 0, 'end': 33, 'answer': 'WC suspendu marque Idéal Standard'}",,,,,,,,,,,,,,,,,,,,WC suspendu, céramique,,
11,19,19,03e63b78-0ae5-4943-a717-d899301f3f43,Autre siège fixe,Siège,correct,chairs_and_armchairs,E.20.10.03.4,CHATILLON,2022-07-06,3.0,35.0,32.0,['/upload/material/images/fc73d4ba-1b09-451d-81de-61d577397bac.jpeg'],used,,,105.0,105.0,2023-02-21,FR,1.0,230.0,,,,,"{'score': 0.0356457494199276, 'start': 0, 'end': 5, 'answer': 'Siège'}",,,,,,,,,,,,,,,,,,,,Siège,,,
