,Unnamed: 0,Title,Condition,eBKP_H,eBKP_H_EN,MateriuumCategory,Category,Category_1,Subcategory,Description,Material,Length,Width,Height,Diameter,Weight,Color,Energy_Efficiency,Availability,FirstPrice,PriceOnDemand,Quantity,Saved,LastPrice,LastUpOn,PriceChange,Sold,SoldAfter,Location,Provider,Store,ID,Country,Language,Imagefile,URL,eBKP_H_Generalized,ElementType,Price,Stock,Dimensions,material,dim,quantity_n
758,758,Fenster 3-fache Festverglasung,,['Sonstiges'],,,Gebäudehülle & Konstruktion,Fenster,Fenster,"Holz-Doppelfenster / 3-fache Festverglasung / braun

Rahmenmitte aufgrund Montage  hinter Altholzpfosten aussen angebohrt.",Glass,,,,,,,,,100.0,,,1970-01-01,100.0,1970-01-01 00:00:00.000,0.0,1.0,18.0,,,useagain,77838,CH,de,,https://www.useagain.ch/de/fenster-3-fache-festverglasung-77838,,window,,,,"{'score': 0.8726319074630737, 'start': 0, 'end': 18, 'answer': 'Holz-Doppelfenster'}","{'score': 0.0001372178376186639, 'start': 0, 'end': 18, 'answer': 'Holz-Doppelfenster'}","{'score': 7.992181781446561e-05, 'start': 0, 'end': 28, 'answer': 'Holz-Doppelfenster / 3-fache'}"
759,759,Handtuchradiator ARBONIA,used & cleaned,"['D05.01', 'D05.05']",Heating installations,,Gebäudetechnik & Sanitär,"Heizung, Klima & Lüftung",Heizkörper,"sehr grosser Handtuchradiator von ARBONIA mit elektr. Zusatzheizung 220 V 1200 W, Anschlüsse : unten, Entlüftung: rechts oben

Intern: Nr: 1004 ; ID: 16023;  HP: 80682",Metal,10,100,185,,,,,24.03.2023,385.0,,,1970-01-01,385.0,2023-09-25 00:00:00.000,0.0,1.0,265.0,,,useagain,80682,CH,de,20210109_134530_570x570.jpg,https://www.useagain.ch/de/handtuchradiator-arbonia-80682,D05,radiator,,,,"{'score': 0.10564597696065903, 'start': 12, 'end': 29, 'answer': ' Handtuchradiator'}","{'score': 0.0006729714805260301, 'start': 0, 'end': 41, 'answer': 'sehr grosser Handtuchradiator von ARBONIA'}","{'score': 0.002294959733262658, 'start': 73, 'end': 81, 'answer': ' 1200 W,'}"
760,760,BUDERUS BE 1.1-17/HS4211/Toc-Duo-3,used & cleaned,"['D05.01', 'D05.02', 'I05.03']",Heating installations,,Gebäudetechnik & Sanitär,"Heizung, Klima & Lüftung",Wärmeerzeugung,"sehr gut erhaltener Oelbrenner BUDERUS BE 1.1-17 Der Brenner läuft einwandfrei!! Er wurde im Rahmen eines Systemwechsels ausgebaut passend z.B. zu BUDERUS LOGANO G115 21kW

Buderus Regelgerät HS4211 mit Fernsteuerung, d.h. die Bedieneinheit der Steuerung kann z.B. im Wohnzimmer montiert werden (nur 2-adriges Kabel notwendig, BUS-Technik) Passend z.B. zu Buderus LOGANO G115

selbstenlüftender Oelfilter für Oelheizung. Passend zu jeder Oelheizung OVENTROP Toc-Duo--3 Typ: 214 27 einwandfreier Zustand",,,,,,,,,,300.0,,,1970-01-01,300.0,2023-09-25 00:00:00.000,0.0,1.0,265.0,"Witterswil, 4108",,useagain,80649,CH,de,20200629_133129_570x570.jpg,https://www.useagain.ch/de/buderus-be-1.1-17-hs4211-toc-duo-3-80649,D05,,,,,"{'score': 2.501443987057428e-06, 'start': 448, 'end': 468, 'answer': ' OVENTROP Toc-Duo--3'}","{'score': 4.958182034897618e-05, 'start': 473, 'end': 480, 'answer': ' 214 27'}","{'score': 0.006664992310106754, 'start': 166, 'end': 171, 'answer': ' 21kW'}"
761,761,Radiator,used & cleaned,"['D05.01', 'D05.05']",Heating installations,,Gebäudetechnik & Sanitär,"Heizung, Klima & Lüftung",Heizkörper,"Hersteller: Runtal
Modell: Runtal RX
Flachrohrradiator zweireihig
Montage: vertikal
Anschluss: Unten, Einrohrsystem
Ohne Montagematerial (Wandhalterungen) und Thermostat",Metal,16,22,190,,,,,02.02.2023,250.0,,,1970-01-01,250.0,2023-09-25 00:00:00.000,0.0,1.0,265.0,"Brügg, 2555",,useagain,80589,CH,de,1_%2812%29_570x570.png,https://www.useagain.ch/de/radiator-80589,D05,radiator,,,,"{'score': 0.05495757609605789, 'start': 36, 'end': 54, 'answer': '\nFlachrohrradiator'}","{'score': 0.003590733278542757, 'start': 54, 'end': 83, 'answer': ' zweireihig\nMontage: vertikal'}","{'score': 0.003732456360012293, 'start': 26, 'end': 54, 'answer': ' Runtal RX\nFlachrohrradiator'}"
762,762,1.86m2 Marmor Mosaik,like new,"['G02.02', 'G03.02']",Building fit-out,,Ausbau,Boden - & Wandbeläge,Steinbeläge,"20 Netze Marmor Mosaikfliesen / Mosaikplättchen, Treviso weiss.

Wunderschöne Marmor-Mosaikfliesen. 2 Kisten a 10 Netze. Insgesamt 1,86 m2.

- Farbe: Weiss (leicht gräulich, da Naturstein), matt
- Steingrösse: 23x23mm
- Oberfläche: Matt
- Mattenmass: 30,5x30,5cm
- Material: Marmor
- Stärke: 10mm
- Eine Matte: 0,093mÂ²

Die Fliesen müssen in 8704 Herrliberg abgeholt werden.",Stone,,,,,,,,,100.0,,,1970-01-01,100.0,2023-09-25 00:00:00.000,0.0,1.0,265.0,"Herrliberg, 8704",,useagain,82036,CH,de,bad_570x570.jpg,https://www.useagain.ch/de/1.86m2-marmor-mosaik-82036,G,marble slab,,,,"{'score': 0.008809361606836319, 'start': 274, 'end': 281, 'answer': ' Marmor'}","{'score': 3.434880454733502e-06, 'start': 110, 'end': 113, 'answer': ' 10'}","{'score': 0.016940774396061897, 'start': 110, 'end': 113, 'answer': ' 10'}"
763,763,Radiator,"used, cleaned & tested","['D05.01', 'D05.05']",Heating installations,,Gebäudetechnik & Sanitär,"Heizung, Klima & Lüftung",Heizkörper,"Ca. Masse

Länge 180 cm, Höhe 63 cm, Tiefe 4.5 cm

Siehe Foto",Mixed,180,,63,,,,,13.06.2022,150.0,,,1970-01-01,150.0,1970-01-01 00:00:00.000,0.0,1.0,265.0,"Zug, 6300",,useagain,80032,CH,de,unbenannt_%289%29_570x570.jpg,https://www.useagain.ch/de/radiator-80032,D05,radiator,,,,"{'score': 0.0340733602643013, 'start': 50, 'end': 61, 'answer': '\nSiehe Foto'}","{'score': 0.5558615922927856, 'start': 10, 'end': 49, 'answer': '\nLänge 180 cm, Höhe 63 cm, Tiefe 4.5 cm'}","{'score': 0.02648809552192688, 'start': 10, 'end': 49, 'answer': '\nLänge 180 cm, Höhe 63 cm, Tiefe 4.5 cm'}"
764,764,2-Flügel Fenster,,['Sonstiges'],,,Gebäudehülle & Konstruktion,Fenster,Fenster,"Material: Kunststoff
Farbe: Weiss
Funktion: 1-Seite Kippfenster 
Art: Doppelverglasung
Fenster mit Rahmen
inkl. Fenstergriff",Glass,,,,,,,,03.06.2022,300.0,,,1970-01-01,300.0,1970-01-01 00:00:00.000,0.0,1.0,18.0,"Zug, 6300",,useagain,78113,CH,de,,https://www.useagain.ch/de/2-fluegel-fenster-78113,,double leaf window,,,,"{'score': 0.9961680173873901, 'start': 9, 'end': 20, 'answer': ' Kunststoff'}","{'score': 0.00023672808310948312, 'start': 9, 'end': 20, 'answer': ' Kunststoff'}","{'score': 0.00039096391992643476, 'start': 45, 'end': 53, 'answer': ' 1-Seite'}"
765,765,grosser neuer Röhrenradiator,like new,"['D05.01', 'D05.05']",Heating installations,,Gebäudetechnik & Sanitär,"Heizung, Klima & Lüftung",Heizkörper,"neuer doppelter Röhrenradiator ( noch ohne Verschraubungen) anschlüsse links oder rechts, Entlüftung u Ablass: links oder rechts, weiss",Metal,6,183,150,,,,,,350.0,,,1970-01-01,350.0,2023-09-25 00:00:00.000,0.0,1.0,265.0,,,useagain,79877,CH,de,20200610_171550_570x570.jpg,https://www.useagain.ch/de/grosser-neuer-roehrenradiator-79877,D05,radiator,,,,"{'score': 0.6504930853843689, 'start': 129, 'end': 135, 'answer': ' weiss'}","{'score': 0.037603430449962616, 'start': 59, 'end': 89, 'answer': ' anschlüsse links oder rechts,'}","{'score': 1.6208377928705886e-05, 'start': 0, 'end': 59, 'answer': 'neuer doppelter Röhrenradiator ( noch ohne Verschraubungen)'}"
766,766,Granit-Verkleidung Fassade Eingang,,"['E02.03', 'E02.05']",External wall cladding above ground,,Gebäudehülle & Konstruktion,Konstruktion & Dächer,Verkleidung,"Demontierte Granitverkleidung, Standort Balterswil TG",,,,,,,,,,1500.0,,,1970-01-01,1500.0,1970-01-01 00:00:00.000,0.0,1.0,18.0,"Teufen AR, 9053",,useagain,79774,CH,de,,https://www.useagain.ch/de/granit-verkleidung-fassade-eingang-79774,E02,,,,,"{'score': 0.6676499247550964, 'start': 11, 'end': 30, 'answer': ' Granitverkleidung,'}","{'score': 0.0001716426486382261, 'start': 0, 'end': 53, 'answer': 'Demontierte Granitverkleidung, Standort Balterswil TG'}","{'score': 0.0001398057211190462, 'start': 0, 'end': 53, 'answer': 'Demontierte Granitverkleidung, Standort Balterswil TG'}"
767,767,Badheizkörper,used & cleaned,"['D05.01', 'D05.05']",Heating installations,,Gebäudetechnik & Sanitär,"Heizung, Klima & Lüftung",Heizkörper,"Badheizkörper/Heizwand/Radiator

Material: Stahl
Farbe: cremweiss, vergilbt
Montageart: Wandmontage Vertikal, Inkl.Montagehalterung
Lüftung: oben links
Anschlüsse: unten in der mitte, wechselbar nach aussen links/rechts möglich
1x Danfoss Thermostat
etliche Gebrauchspuren wie Lackschäden vorhanden
Masse gemessen ohne Anschlüsse",Metal,3,75,119,,,,,15.07.2022,75.0,,,1970-01-01,75.0,2023-09-25 00:00:00.000,0.0,1.0,265.0,"Brügg, 2555",,useagain,80524,CH,de,1_%28105%29_570x570.jpg,https://www.useagain.ch/de/badheizkoerper-80524,D05,bathroom radiator,,,,"{'score': 0.9969459772109985, 'start': 42, 'end': 48, 'answer': ' Stahl'}","{'score': 0.014870518818497658, 'start': 313, 'end': 329, 'answer': ' ohne Anschlüsse'}","{'score': 0.21233943104743958, 'start': 227, 'end': 249, 'answer': '\n1x Danfoss Thermostat'}"
