,Feature,Importance
103,location_PARIS-9E-ARRONDISSEMENT,0.05513052
85,location_NEUILLY-SUR-SEINE,0.04942558
98,location_PARIS-1ER-ARRONDISSEMENT,0.035629626
31,location_CHOLET,0.027751677
106,location_PUTEAUX,0.027422532
30,location_CHEVILLY-LARUE,0.026689082
1263,material_type_new,0.025803344
6,location_AUBAGNE,0.025643265
93,location_PARIS-13E-ARRONDISSEMENT,0.02401522
43,location_EPERNAY,0.02319642
108,location_RUNGIS,0.021778008
71,location_MARSEILLE--2E--ARRONDISSEMENT,0.021161368
56,location_LA MADELEINE,0.020325938
104,location_PLOEREN,0.019736435
1264,material_type_reconditioned,0.017732315
113,location_SAINT-OUEN,0.017722623
48,location_GENNEVILLIERS,0.017086623
18,location_CHAMPS-SUR-MARNE,0.016597642
32,location_CLERMONT-FERRAND,0.015341176
87,location_ORLEANS,0.013805243
95,location_PARIS-15E-ARRONDISSEMENT,0.013334605
90,location_PARIS-10E-ARRONDISSEMENT,0.01316809
77,location_MONTIGNY-LES-CORMEILLES,0.012460433
72,location_MARSEILLE-13E--ARRONDISSEMENT,0.010805565
107,location_RENNES,0.0102601675
153,French_Raw_Aluminium shutters,0.009234684
811,BIM_class_C.10.30.02.3,0.009143072
16,location_BRIANCON,0.00860661
28,location_CHELLES,0.0085700555
37,location_CRAS,0.008154494
66,location_LYON--6E--ARRONDISSEMENT,0.007818399
572,material_state_damaged,0.007813078
1,co2,0.0077633313
4,location_ARGENTEUIL,0.00721675
61,location_LEVALLOIS-PERRET,0.007026431
59,location_LES SABLES-D'OLONNE,0.0069003953
127,location_VILLENEUVE-SAINT-GEORGES,0.006757647
82,location_NANCY,0.0066721733
101,location_PARIS-6E-ARRONDISSEMENT,0.0066263056
874,BIM_class_C.30.20.04.3e,0.0065195356
241,French_Raw_Extender cables,0.0061943466
1018,BIM_class_D.30.40.08.4,0.0059015825
1082,BIM_class_D.50.20.02.6,0.0058533726
291,French_Raw_Joist seals,0.0056942934
892,BIM_class_C.30.30.01.1a,0.0056419624
462,French_Raw_ceiling,0.0056296396
122,location_SAVIGNY-SUR-ORGE,0.0055823713
1000,BIM_class_D.30.30.01.4,0.0055721565
91,location_PARIS-11E-ARRONDISSEMENT,0.005508687
25,location_CHATILLON,0.005343814
92,location_PARIS-12E-ARRONDISSEMENT,0.0053050797
542,French_Raw_stair,0.0050720996
471,French_Raw_computer,0.005030737
